Year,Види економічної діяльності,Область,Value
2016,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",,
2016,Виробництво макаронних виробів та подібних борошняних виробів,,
2016,Виробництво цукру,,
2016,"Виробництво какао, шоколаду та цукрових кондитерських виробів",,
2016,Виробництво чаю та кави,,
2016,Виробництво прянощів і приправ,,
2016,Виробництво готової їжі та страв,,
2016,Виробництво дитячого харчування та дієтичних харчових продуктів,,
2016,"Виробництво інших харчових продуктів, н.в.і.у.",,
2016,"Виробництво готових кормів для тварин, що утримуються на фермах",,
2016,Виробництво готових кормів для домашніх тварин,,
2016,Виробництво виноградних вин,,
2016,Виробництво сидру та інших плодово-ягідних вин,,
2016,Виробництво інших недистильованих напоїв із зброджуваних продуктів,,
2016,Виробництво пива,,
2016,"Виробництво безалкогольних напоїв; виробництво мінеральних вод та інших вод, розлитих у пляшки",,
2016,Виробництво тютюнових виробів,,
2016,Підготування та прядіння текстильних волокон,,
2016,Ткацьке виробництво,,
2016,Оздоблення текстильних виробів,,
2016,Виробництво трикотажного полотна,,
2016,"Виробництво готових текстильних виробів, крім одягу",,
2016,Виробництво килимів і килимових виробів,,
2016,"Виробництво канатів, мотузок, шпагату та сіток",,
2016,"Виробництво нетканих текстильних матеріалів та виробів із них, крім одягу",,
2016,Виробництво інших текстильних виробів технічного та промислового призначення,,
2016,"Виробництво інших текстильних виробів, н.в.і.у.",,
2016,Виробництво одягу зі шкіри,,
2016,Виробництво робочого одягу,,
2016,Виробництво іншого верхнього одягу,,
2016,Виробництво спіднього одягу,,
2016,Виробництво іншого одягу й аксесуарів,,
2016,Виготовлення виробів із хутра,,
2016,Виробництво панчішно-шкарпеткових виробів,,
2016,Виробництво іншого трикотажного та в'язаного одягу,,
2016,Дублення шкур і оздоблення шкіри; вичинка та фарбування хутра,,
2016,"Виробництво дорожніх виробів, сумок, лимарно-сідельних виробів зі шкіри та інших матеріалів",,
2016,Виробництво взуття,,
2016,Лісопильне та стругальне виробництво,,
2016,"Виробництво фанери, дерев'яних плит і панелей, шпону",,
2016,Виробництво інших дерев'яних будівельних конструкцій і столярних виробів,,
2016,Виробництво дерев'яної тари,,
2016,"Виробництво інших виробів з деревини; виготовлення виробів з корка, соломки та рослинних матеріалів для плетіння",,
2016,Виробництво паперової маси,,
2016,Виробництво паперу та картону,,
2016,"Виробництво гофрованого паперу та картону, паперової та картонної тари",,
2016,Виробництво паперових виробів господарсько-побутового та санітарно-гігієнічного призначення,,
2016,Виробництво паперових канцелярських виробів,,
2016,Виробництво шпалер,,
2016,Виробництво інших виробів з паперу та картону,,
2016,Друкування газет,,
2016,Друкування іншої продукції,,
2016,Виготовлення друкарських форм і надання інших поліграфічних послуг,,
2016,Брошурувально-палітурна діяльність і надання пов'язаних із нею послуг,,
2016,"Тиражування звуко-, відеозаписів і програмного забезпечення",,
2016,Виробництво коксу та коксопродуктів,,
2016,Виробництво продуктів нафтоперероблення,,
2016,Виробництво промислових газів,,
2016,Виробництво барвників і пігментів,,
2016,Виробництво інших основних неорганічних хімічних речовин,,
2016,Виробництво інших основних органічних хімічних речовин,,
2016,Виробництво добрив і азотних сполук,,
2016,Виробництво пластмас у первинних формах,,
2016,Виробництво синтетичного каучуку в первинних формах,,
2016,Виробництво пестицидів та іншої агрохімічної продукції,,
2016,"Виробництво фарб, лаків і подібної продукції, друкарської фарби та мастик",,
2016,"Виробництво мила та мийних засобів, засобів для чищення та полірування",,
2016,Виробництво парфумних і косметичних засобів,,
2016,Виробництво вибухових речовин,,
2016,Виробництво клеїв,,
2016,Виробництво ефірних олій,,
2016,"Виробництво іншої хімічної продукції, н.в.і.у.",,
2016,Виробництво штучних і синтетичних волокон,,
2016,Виробництво основних фармацевтичних продуктів,,
2016,Виробництво фармацевтичних препаратів і матеріалів,,
2016,"Виробництво гумових шин, покришок і камер; відновлення протектора гумових шин і покришок",,
2016,Виробництво інших гумових виробів,,
2016,"Виробництво плит, листів, труб і профілів із пластмас",,
2016,Виробництво тари з пластмас,,
2016,Виробництво будівельних виробів із пластмас,,
2016,Виробництво інших виробів із пластмас,,
2016,Виробництво листового скла,,
2016,Формування й оброблення листового скла,,
2016,Виробництво порожнистого скла,,
2016,Виробництво скловолокна,,
2016,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,
2016,Виробництво вогнетривких виробів,,
2016,Виробництво керамічних плиток і плит,,
2016,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,
2016,Виробництво господарських і декоративних керамічних виробів,,
2016,Виробництво керамічних санітарно-технічних виробів,,
2016,Виробництво керамічних електроізоляторів та ізоляційної арматури,,
2016,Виробництво інших керамічних виробів,,
2016,Виробництво цементу,,
2016,Виробництво вапна та гіпсових сумішей,,
2016,Виготовлення виробів із бетону для будівництва,,
2016,Виготовлення виробів із гіпсу для будівництва,,
2016,"Виробництво бетонних розчинів, готових для використання",,
2016,Виробництво сухих будівельних сумішей,,
2016,Виготовлення виробів із волокнистого цементу,,
2016,"Виробництво інших виробів із бетону, гіпсу та цементу",,
2016,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,
2016,Виробництво абразивних виробів,,
2016,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,
2016,"Виробництво чавуну, сталі та феросплавів",,
2016,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,
2016,Холодне волочіння прутків і профілів,,
2016,Холодний прокат вузької штаби,,
2016,Холодне штампування та гнуття,,
2016,Холодне волочіння дроту,,
2016,Виробництво дорогоцінних металів,,
2016,"Виробництво свинцю, цинку й олова",,
2016,Виробництво інших кольорових металів,,
2016,Лиття чавуну,,
2016,Лиття сталі,,
2016,Лиття легких кольорових металів,,
2016,Лиття інших кольорових металів,,
2016,Виробництво будівельних металевих конструкцій і частин конструкцій,,
2016,Виробництво металевих дверей і вікон,,
2016,Виробництво радіаторів і  котлів центрального опалення,,
2016,"Виробництво інших металевих баків, резервуарів і контейнерів",,
2016,"Виробництво парових котлів, крім котлів центрального опалення",,
2016,"Кування, пресування, штампування, профілювання; порошкова металургія",,
2016,Оброблення металів та нанесення покриття на метали,,
2016,Механічне оброблення металевих виробів,,
2016,Виробництво столових приборів,,
2016,Виробництво замків і дверних петель,,
2016,Виробництво інструментів,,
2016,Виробництво сталевих бочок і подібних контейнерів,,
2016,Виробництво легких металевих паковань,,
2016,"Виробництво виробів із дроту, ланцюгів і пружин",,
2016,Виробництво кріпильних і ґвинтонарізних виробів,,
2016,"Виробництво інших готових металевих виробів, н.в.і.у.",,
2016,Виробництво електронних компонентів,,
2016,Виробництво змонтованих електронних плат,,
2016,Виробництво комп'ютерів і периферійного устатковання,,
2016,Виробництво обладнання зв'язку,,
2016,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,
2016,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,
2016,Виробництво годинників,,
2016,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,
2016,Виробництво оптичних приладів і фотографічного устатковання,,
2016,"Виробництво електродвигунів, генераторів і трансформаторів",,
2016,Виробництво електророзподільчої та контрольної апаратури,,
2016,Виробництво батарей і акумуляторів,,
2016,Виробництво волоконно-оптичних кабелів,,
2016,Виробництво інших видів електронних і електричних проводів та кабелів,,
2016,Виробництво електромонтажних пристроїв,,
2016,Виробництво електричного освітлювального устатковання,,
2016,Виробництво електричних побутових приладів,,
2016,Виробництво неелектричних побутових приладів,,
2016,Виробництво іншого електричного устатковання,,
2016,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,
2016,Виробництво гідравлічного та пневматичного устатковання,,
2016,Виробництво інших помп і компресорів,,
2016,Виробництво інших кранів і клапанів,,
2016,"Виробництво підшипників, зубчастих передач, елементів механічних передач і приводів",,
2016,"Виробництво духових шаф, печей і пічних пальників",,
2016,Виробництво підіймального та вантажно-розвантажувального устатковання,,
2016,Виробництво ручних електромеханічних і пневматичних інструментів,,
2016,Виробництво промислового холодильного та вентиляційного устатковання,,
2016,"Виробництво інших машин і устатковання загального призначення, н.в.і.у.",,
2016,Виробництво машин і устатковання для сільського та лісового господарства,,
2016,Виробництво металообробних машин,,
2016,Виробництво інших верстатів,,
2016,Виробництво машин і устатковання для металургії,,
2016,Виробництво машин і устатковання для добувної промисловості та будівництва,,
2016,"Виробництво машин і устатковання для виготовлення харчових продуктів і напоїв, перероблення тютюну",,
2016,"Виробництво машин і устатковання для виготовлення текстильних, швейних, хутряних і шкіряних виробів",,
2016,Виробництво машин і устатковання для виготовлення паперу та картону,,
2016,Виробництво машин і устатковання для виготовлення пластмас і гуми,,
2016,"Виробництво інших машин і устатковання спеціального призначення, н.в.і.у.",,
2016,Виробництво автотранспортних засобів,,
2016,"Виробництво кузовів для автотранспортних засобів, причепів і напівпричепів",,
2016,Виробництво електричного й електронного устатковання для автотранспортних засобів,,
2016,"Виробництво інших вузлів, деталей і приладдя для автотранспортних засобів",,
2016,Будування суден і плавучих конструкцій,,
2016,Будування прогулянкових і спортивних човнів,,
2016,Виробництво залізничних локомотивів і рухомого складу,,
2016,"Виробництво повітряних і космічних літальних апаратів, супутнього устатковання",,
2016,Виробництво військових транспортних засобів,,
2016,Виробництво мотоциклів,,
2016,"Виробництво велосипедів, дитячих та інвалідних колясок",,
2016,"Виробництво інших транспортних засобів і обладнання, н.в.і.у.",,
2016,Виробництво меблів для офісів і підприємств торгівлі,,
2016,Виробництво кухонних меблів,,
2016,Виробництво матраців,,
2016,Виробництво інших меблів,,
2016,Карбування монет,,
2016,Виробництво ювелірних і подібних виробів,,
2016,Виробництво біжутерії та подібних виробів,,
2016,Виробництво музичних інструментів,,
2016,Виробництво спортивних товарів,,
2016,Виробництво ігор та іграшок,,
2016,Виробництво медичних і стоматологічних інструментів і матеріалів,,
2016,Виробництво мітел і щіток,,
2016,"Виробництво іншої продукції, н.в.і.у.",,
2016,Ремонт і технічне обслуговування готових металевих виробів,,
2016,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,
2016,Ремонт і технічне обслуговування електронного й оптичного устатковання,,
2016,Ремонт і технічне обслуговування електричного устатковання,,
2016,Ремонт і технічне обслуговування суден і човнів,,
2016,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,
2016,Ремонт і технічне обслуговування інших транспортних засобів,,
2016,Ремонт і технічне обслуговування інших машин і устатковання,,
2016,Установлення та монтаж машин і устатковання,,
2016,Виробництво електроенергії,,
2016,Передача електроенергії,,
2016,Розподілення електроенергії,,
2016,Торгівля електроенергією,,
2016,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,
2016,"Постачання пари, гарячої води та кондиційованого повітря",,
2016,Забір очищення та постачання води,,
2016,"Каналізація, відведення й очищення стічних вод",,
2016,Збирання безпечних відходів,,
2016,Збирання небезпечних відходів,,
2016,Оброблення та видалення безпечних відходів,,
2016,Оброблення та видалення небезпечних відходів,,
2016,Демонтаж (розбирання) машин і устатковання,,
2016,Відновлення відсортованих відходів,,
2016,Інша діяльність щодо поводження з відходами,,
2016,Організація будівництва будівель,,
2016,Будівництво житлових і нежитлових будівель,,
2016,Будівництво доріг і автострад,,
2016,Будівництво залізниць і метрополітену,,
2016,Будівництво трубопроводів,,
2016,Будівництво споруд електропостачання та телекомунікацій,,
2016,Будівництво водних споруд,,
2016,"Будівництво інших споруд, н.в.і.у.",,
2016,Знесення,,
2016,Підготовчі роботи на будівельному майданчику,,
2016,Розвідувальне буріння,,
2016,Електромонтажні роботи,,
2016,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,
2016,Інші будівельно-монтажні роботи,,
2016,Штукатурні роботи,,
2016,Установлення столярних виробів,,
2016,Покриття підлоги й облицювання стін,,
2016,Малярні роботи та скління,,
2016,Інші роботи із завершення будівництва,,
2016,Покрівельні роботи,,
2016,"Інші спеціалізовані будівельні роботи, н.в.і.у.",,
2016,Торгівля автомобілями та легковими автотранспортними засобами,,
2016,Торгівля іншими автотранспортними засобами,,
2016,Технічне обслуговування та ремонт автотранспортних засобів,,
2016,Оптова торгівля деталями та приладдям для автотранспортних засобів,,
2016,Роздрібна торгівля деталями та приладдям для автотранспортних засобів,,
2016,"Торгівля мотоциклами, деталями та приладдям до них, технічне обслуговування і ремонт мотоциклів",,
2016,"Діяльність посередників у торгівлі сільськогосподарською сировиною, живими тваринами, текстильною сировиною та напівфабрикатами",,
2016,"Діяльність посередників у торгівлі паливом, рудами, металами та промисловими хімічними речовинами",,
2016,"Діяльність посередників у торгівлі деревиною, будівельними матеріалами та санітарно-технічними виробами",,
2016,"Діяльність посередників у торгівлі машинами, промисловим устаткованням, суднами та літаками",,
2016,"Діяльність посередників у торгівлі меблями, господарськими товарами, залізними та іншими металевими виробами",,
2016,"Діяльність посередників у торгівлі текстильними виробами, одягом, хутром, взуттям і шкіряними виробами",,
2016,"Діяльність посередників у торгівлі продуктами харчування, напоями та тютюновими виробами",,
2016,"Діяльність посередників, що спеціалізуються в торгівлі іншими товарами",,
2016,Діяльність посередників у торгівлі товарами широкого асортименту,,
2016,"Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин",,
2016,Оптова торгівля квітами та рослинами,,
2016,Оптова торгівля живими тваринами,,
2016,"Оптова торгівля шкірсировиною, шкурами та шкірою",,
2016,Оптова торгівля фруктами й овочами,,
2016,Оптова торгівля м'ясом і м'ясними продуктами,,
2016,"Оптова торгівля молочними продуктами, яйцями, харчовими оліями та жирами",,
2016,Оптова торгівля напоями,,
2016,Оптова торгівля тютюновими виробами,,
2016,"Оптова торгівля цукром, шоколадом і кондитерськими виробами",,
2016,"Оптова торгівля кавою, чаєм, какао та прянощами",,
2016,"Оптова торгівля іншими продуктами харчування, у тому числі рибою, ракоподібними і молюсками",,
2016,"Неспеціалізована оптова торгівля продуктами харчування, напоями та тютюновими виробами",,
2016,Оптова торгівля текстильними товарами,,
2016,Оптова торгівля одягом і взуттям,,
2016,"Оптова торгівля побутовими електротоварами й електронною апаратурою побутового призначення для приймання, записування, відтворювання звуку й зображення",,
2016,"Оптова торгівля фарфором, скляним посудом і засобами для чищення",,
2016,Оптова торгівля парфумними та косметичними товарами,,
2016,Оптова торгівля фармацевтичними товарами,,
2016,"Оптова торгівля меблями, килимами й освітлювальним приладдям",,
2016,Оптова торгівля годинниками та ювелірними виробами,,
2016,Оптова торгівля іншими товарами господарського призначення,,
2016,"Оптова торгівля комп'ютерами, периферійним устаткованням і програмним забезпеченням",,
2016,"Оптова торгівля електронним і телекомунікаційним устаткованням, деталями до нього",,
2016,Оптова торгівля сільськогосподарськими машинами й устаткованням,,
2016,Оптова торгівля верстатами,,
2016,Оптова торгівля машинами й устаткованням для добувної промисловості та будівництва,,
2016,"Оптова торгівля машинами й устаткованням для текстильного, швейного та трикотажного виробництва",,
2016,Оптова торгівля офісними меблями,,
2016,Оптова торгівля іншими офісними машинами й устаткованням,,
2016,Оптова торгівля іншими машинами й устаткованням,,
2016,"Оптова торгівля твердим, рідким, газоподібним паливом і подібними продуктами",,
2016,Оптова торгівля металами та металевими рудами,,
2016,"Оптова торгівля деревиною, будівельними матеріалами та санітарно-технічним обладнанням",,
2016,"Оптова торгівля залізними виробами, водопровідним і опалювальним устаткованням і приладдям до нього",,
2016,Оптова торгівля хімічними продуктами,,
2016,Оптова торгівля іншими проміжними продуктами,,
2016,Оптова торгівля відходами та брухтом,,
2016,Неспеціалізована оптова торгівля,,
2016,"Роздрібна торгівля в неспеціалізованих магазинах переважно продуктами харчування, напоями та тютюновими виробами",,
2016,Інші види роздрібної торгівлі в неспеціалізованих магазинах,,
2016,Роздрібна торгівля фруктами й овочами в спеціалізованих магазинах,,
2016,Роздрібна торгівля м'ясом і м'ясними продуктами в спеціалізованих магазинах,,
2016,"Роздрібна торгівля рибою, ракоподібними та молюсками в спеціалізованих магазинах",,
2016,"Роздрібна торгівля хлібобулочними виробами, борошняними та цукровими кондитерськими виробами в спеціалізованих магазинах",,
2016,Роздрібна торгівля напоями в спеціалізованих магазинах,,
2016,Роздрібна торгівля тютюновими виробами в спеціалізованих магазинах,,
2016,Роздрібна торгівля іншими продуктами харчування в спеціалізованих магазинах,,
2016,Роздрібна торгівля пальним,,
2016,"Роздрібна торгівля комп'ютерами, периферійним устаткованням і програмним забезпеченням у спеціалізованих магазинах",,
2016,Роздрібна торгівля телекомунікаційним устаткованням у спеціалізованих магазинах,,
2016,"Роздрібна торгівля в спеціалізованих магазинах електронною апаратурою побутового призначення для приймання, записування, відтворювання звуку й зображення",,
2016,Роздрібна торгівля текстильними товарами в спеціалізованих магазинах,,
2016,"Роздрібна торгівля залізними виробами, будівельними матеріалами та санітарно-технічними виробами в спеціалізованих магазинах",,
2016,"Роздрібна торгівля килимами, килимовими виробами, покриттям для стін і підлоги в спеціалізованих магазинах",,
2016,Роздрібна торгівля побутовими електротоварами в спеціалізованих магазинах,,
2016,"Роздрібна торгівля меблями, освітлювальним приладдям та іншими товарами для дому в спеціалізованих магазинах",,
2016,Роздрібна торгівля книгами в спеціалізованих магазинах,,
2016,Роздрібна торгівля газетами та канцелярськими товарами в спеціалізованих магазинах,,
2016,Роздрібна торгівля аудіо- та відеозаписами в спеціалізованих магазинах,,
2016,Роздрібна торгівля спортивним інвентарем у спеціалізованих магазинах,,
2016,Роздрібна торгівля іграми та іграшками в спеціалізованих магазинах,,
2016,Роздрібна торгівля одягом у спеціалізованих магазинах,,
2016,Роздрібна торгівля взуттям і шкіряними виробами в спеціалізованих магазинах,,
2016,Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,,
2016,Роздрібна торгівля медичними й ортопедичними товарами в спеціалізованих магазинах,,
2016,Роздрібна торгівля косметичними товарами та туалетними приналежностями в спеціалізованих магазинах,,
2016,"Роздрібна торгівля квітами, рослинами, насінням, добривами, домашніми тваринами та кормами для них у спеціалізованих магазинах",,
2016,Роздрібна торгівля годинниками та ювелірними виробами в спеціалізованих магазинах,,
2016,Роздрібна торгівля іншими невживаними товарами в спеціалізованих магазинах,,
2016,Роздрібна торгівля уживаними товарами в магазинах,,
2016,"Роздрібна торгівля з лотків і на ринках харчовими продуктами, напоями та тютюновими виробами",,
2016,"Роздрібна торгівля з лотків і на ринках текстильними виробами, одягом і взуттям",,
2016,Роздрібна торгівля з лотків і на ринках іншими товарами,,
2016,"Роздрібна торгівля, що здійснюється фірмами поштового замовлення або через мережу Інтернет",,
2016,Інші види роздрібної торгівлі поза магазинами,,
2016,Пасажирський залізничний транспорт міжміського сполучення,,
2016,Вантажний залізничний транспорт,,
2016,Пасажирський наземний транспорт міського та приміського сполучення,,
2016,Надання послуг таксі,,
2016,"Інший пасажирський наземний транспорт, н.в.і.у.",,
2016,Вантажний автомобільний транспорт,,
2016,Надання послуг перевезення речей (переїзду),,
2016,Пасажирський морський транспорт,,
2016,Вантажний морський транспорт,,
2016,Пасажирський річковий транспорт,,
2016,Вантажний річковий транспорт,,
2016,Пасажирський авіаційний транспорт,,
2016,Вантажний авіаційний транспорт,,
2016,Космічний транспорт,,
2016,Складське господарство,,
2016,Допоміжне обслуговування наземного транспорту,,
2016,Допоміжне обслуговування водного транспорту,,
2016,Допоміжне обслуговування авіаційного транспорту,,
2016,Транспортне оброблення вантажів,,
2016,Інша допоміжна діяльність у сфері транспорту,,
2016,Діяльність національної пошти,,
2016,Інша поштова та кур'єрська діяльність,,
2016,Діяльність готелів і подібних засобів тимчасового розміщування,,
2016,Діяльність засобів розміщування на період відпустки та іншого тимчасового проживання,,
2016,Надання місць кемпінгами та стоянками для житлових автофургонів і причепів,,
2016,Діяльність інших засобів тимчасового розміщування,,
2016,"Діяльність ресторанів, надання послуг мобільного харчування",,
2016,Постачання готових страв для подій,,
2016,Постачання інших готових страв,,
2016,Обслуговування напоями,,
2016,Видання книг,,
2016,Видання довідників і каталогів,,
2016,Видання газет,,
2016,Видання журналів і періодичних видань,,
2016,Інші види видавничої діяльності,,
2016,Видання комп'ютерних ігор,,
2016,Видання іншого програмного забезпечення,,
2016,"Виробництво кіно- та відеофільмів, телевізійних програм",,
2016,"Компонування кіно- та відеофільмів, телевізійних програм",,
2016,"Розповсюдження кіно- та відеофільмів, телевізійних програм",,
2016,Демонстрація кінофільмів,,
2016,Видання звукозаписів,,
2016,Діяльність у сфері радіомовлення,,
2016,Діяльність у сфері телевізійного мовлення,,
2016,Діяльність у сфері проводового електрозв'язку,,
2016,Діяльність у сфері безпроводового електрозв'язку,,
2016,Діяльність у сфері супутникового електрозв'язку,,
2016,Інша діяльність у сфері електрозв'язку,,
2016,Комп'ютерне програмування,,
2016,Консультування з питань інформатизації,,
2016,Діяльність із керування комп'ютерним устаткованням,,
2016,Інша діяльність у сфері інформаційних технологій і комп'ютерних систем,,
