Year,Область,Value
2018,Одеська,12.0
2018,Полтавська,16.0
2018,Рівненська,14.0
2018,Сумська,13.0
2018,Тернопільська,17.0
2018,Харківська,12.0
2018,Херсонська,14.0
2018,Хмельницька,16.0
2018,Черкаська,16.0
2018,Чернівецька,11.0
2018,Чернігівська,13.0
2018,м. Київ,10.0
2018,м. Севастополь,
2019,Україна,12.0
2019,Автономна Республіка Крим,
2019,Вінницька,12.0
2019,Волинська,14.0
2019,Дніпропетровська,8.0
2019,Донецька,14.0
2019,Житомирська,12.0
2019,Закарпатська,13.0
2019,Запорізька,11.0
2019,Івано-Франківська,11.0
2019,Київська,14.0
2019,Кіровоградська,15.0
2019,Луганська,12.0
2019,Львівська,10.0
2019,Миколаївська,14.0
2019,Одеська,10.0
2019,Полтавська,15.0
2019,Рівненська,13.0
2019,Сумська,12.0
2019,Тернопільська,12.0
2019,Харківська,10.0
2019,Херсонська,15.0
2019,Хмельницька,16.0
2019,Черкаська,14.0
2019,Чернівецька,12.0
2019,Чернігівська,12.0
2019,м. Київ,11.0
2019,м. Севастополь,
2020,Україна,11.0
2020,Автономна Республіка Крим,
2020,Вінницька,11.0
2020,Волинська,15.0
2020,Дніпропетровська,8.0
2020,Донецька,11.0
2020,Житомирська,13.0
2020,Закарпатська,13.0
2020,Запорізька,11.0
2020,Івано-Франківська,11.0
2020,Київська,13.0
2020,Кіровоградська,12.0
2020,Луганська,10.0
2020,Львівська,10.0
2020,Миколаївська,14.0
2020,Одеська,10.0
2020,Полтавська,15.0
2020,Рівненська,11.0
2020,Сумська,13.0
2020,Тернопільська,12.0
2020,Харківська,11.0
2020,Херсонська,16.0
2020,Хмельницька,13.0
2020,Черкаська,13.0
2020,Чернівецька,14.0
2020,Чернігівська,12.0
2020,м. Київ,11.0
2020,м. Севастополь,
2021,Україна,10.0
2021,Автономна Республіка Крим,
2021,Вінницька,10.0
2021,Волинська,14.0
2021,Дніпропетровська,5.0
2021,Донецька,10.0
2021,Житомирська,13.0
2021,Закарпатська,11.0
2021,Запорізька,9.0
2021,Івано-Франківська,10.0
2021,Київська,12.0
2021,Кіровоградська,11.0
2021,Луганська,10.0
2021,Львівська,9.0
2021,Миколаївська,13.0
2021,Одеська,9.0
2021,Полтавська,12.0
2021,Рівненська,11.0
2021,Сумська,13.0
2021,Тернопільська,11.0
2021,Харківська,10.0
2021,Херсонська,15.0
2021,Хмельницька,10.0
2021,Черкаська,11.0
2021,Чернівецька,13.0
2021,Чернігівська,11.0
2021,м. Київ,10.0
2021,м. Севастополь,
2022,Україна,10.0
2022,Автономна Республіка Крим,
2022,Вінницька,8.0
2022,Волинська,14.0
2022,Дніпропетровська,5.0
2022,Донецька,12.0
2022,Житомирська,13.0
2022,Закарпатська,11.0
2022,Запорізька,8.0
2022,Івано-Франківська,11.0
2022,Київська,11.0
2022,Кіровоградська,10.0
2022,Луганська,7.0
2022,Львівська,9.0
2022,Миколаївська,12.0
2022,Одеська,10.0
2022,Полтавська,13.0
2022,Рівненська,12.0
2022,Сумська,12.0
2022,Тернопільська,10.0
2022,Харківська,9.0
2022,Херсонська,15.0
2022,Хмельницька,11.0
2022,Черкаська,11.0
2022,Чернівецька,8.0
2022,Чернігівська,11.0
2022,м. Київ,10.0
2022,м. Севастополь,
2023,Україна,11.0
2023,Автономна Республіка Крим,
2023,Вінницька,9.0
2023,Волинська,13.0
2023,Дніпропетровська,8.0
2023,Донецька,15.0
2023,Житомирська,15.0
2023,Закарпатська,13.0
2023,Запорізька,9.0
2023,Івано-Франківська,12.0
2023,Київська,14.0
2023,Кіровоградська,11.0
2023,Луганська,4.0
2023,Львівська,10.0
2023,Миколаївська,14.0
2023,Одеська,10.0
2023,Полтавська,13.0
2023,Рівненська,11.0
2023,Сумська,12.0
2023,Тернопільська,11.0
2023,Харківська,12.0
2023,Херсонська,15.0
2023,Хмельницька,12.0
2023,Черкаська,12.0
2023,Чернівецька,8.0
2023,Чернігівська,12.0
2023,м. Київ,10.0
2023,м. Севастополь,
2024,Україна,10.0
2024,Автономна Республіка Крим,
2024,Вінницька,10.0
2024,Волинська,11.0
2024,Дніпропетровська,8.0
2024,Донецька,9.0
2024,Житомирська,16.0
2024,Закарпатська,14.0
2024,Запорізька,8.0
2024,Івано-Франківська,12.0
2024,Київська,13.0
2024,Кіровоградська,10.0
2024,Луганська,1.0
2024,Львівська,11.0
2024,Миколаївська,14.0
2024,Одеська,9.0
2024,Полтавська,12.0
2024,Рівненська,11.0
2024,Сумська,9.0
2024,Тернопільська,11.0
2024,Харківська,10.0
2024,Херсонська,10.0
2024,Хмельницька,12.0
2024,Черкаська,12.0
2024,Чернівецька,8.0
2024,Чернігівська,12.0
2024,м. Київ,10.0
2024,м. Севастополь,
