Year,Область,Категорія,Value
2020,Рівненська,,1.7
2020,Сумська,,19.1
2020,Тернопільська,,24.1
2020,Харківська,,16.6
2020,Херсонська,,26.4
2020,Хмельницька,,81.7
2020,Черкаська,,56.4
2020,Чернівецька,,39.5
2020,Чернігівська,,14.7
2020,м. Київ,,4.1
2020,м. Севастополь,,
2021,Україна,,21.8
2021,Автономна Республіка Крим,,
2021,Вінницька,,6.9
2021,Волинська,,7.4
2021,Дніпропетровська,,34.1
2021,Донецька,,27.8
2021,Житомирська,,6.8
2021,Закарпатська,,0.4
2021,Запорізька,,60.9
2021,Івано-Франківська,,28.1
2021,Київська,,5.5
2021,Кіровоградська,,0.2
2021,Луганська,,7.4
2021,Львівська,,16.9
2021,Миколаївська,,3.6
2021,Одеська,,2.2
2021,Полтавська,,1.6
2021,Рівненська,,0.8
2021,Сумська,,19.1
2021,Тернопільська,,14.2
2021,Харківська,,2.5
2021,Херсонська,,19.9
2021,Хмельницька,,43.2
2021,Черкаська,,60.4
2021,Чернівецька,,5.3
2021,Чернігівська,,10.2
2021,м. Київ,,8.9
2021,м. Севастополь,,
2022,Україна,,29.0
2022,Автономна Республіка Крим,,
2022,Вінницька,,9.6
2022,Волинська,,16.7
2022,Дніпропетровська,,47.1
2022,Донецька,,0.1
2022,Житомирська,,5.4
2022,Закарпатська,,0.3
2022,Запорізька,,40.3
2022,Івано-Франківська,,27.8
2022,Київська,,0.6
2022,Кіровоградська,,0.3
2022,Луганська,,0.0
2022,Львівська,,22.1
2022,Миколаївська,,9.7
2022,Одеська,,3.8
2022,Полтавська,,3.3
2022,Рівненська,,2.7
2022,Сумська,,13.3
2022,Тернопільська,,22.6
2022,Харківська,,3.4
2022,Херсонська,,7.9
2022,Хмельницька,,18.3
2022,Черкаська,,55.6
2022,Чернівецька,,5.9
2022,Чернігівська,,16.2
2022,м. Київ,,49.1
2022,м. Севастополь,,
2023,Україна,,22.3
2023,Автономна Республіка Крим,,
2023,Вінницька,,8.6
2023,Волинська,,30.7
2023,Дніпропетровська,,32.1
2023,Донецька,,0.1
2023,Житомирська,,0.5
2023,Закарпатська,,0.2
2023,Запорізька,,0.1
2023,Івано-Франківська,,29.8
2023,Київська,,2.4
2023,Кіровоградська,,0.3
2023,Луганська,,0.0
2023,Львівська,,25.2
2023,Миколаївська,,22.0
2023,Одеська,,1.6
2023,Полтавська,,5.2
2023,Рівненська,,3.5
2023,Сумська,,6.6
2023,Тернопільська,,4.6
2023,Харківська,,0.7
2023,Херсонська,,0.2
2023,Хмельницька,,16.7
2023,Черкаська,,58.8
2023,Чернівецька,,6.6
2023,Чернігівська,,18.0
2023,м. Київ,,2.0
2023,м. Севастополь,,
2024,Україна,,12.6
2024,Автономна Республіка Крим,,
2024,Вінницька,,9.3
2024,Волинська,,51.5
2024,Дніпропетровська,,17.7
2024,Донецька,,0.0
2024,Житомирська,,0.6
2024,Закарпатська,,0.2
2024,Запорізька,,0.0
2024,Івано-Франківська,,59.6
2024,Київська,,28.2
2024,Кіровоградська,,0.3
2024,Луганська,,0.0
2024,Львівська,,17.0
2024,Миколаївська,,24.1
2024,Одеська,,29.9
2024,Полтавська,,1.6
2024,Рівненська,,2.4
2024,Сумська,,2.8
2024,Тернопільська,,12.4
2024,Харківська,,30.4
2024,Херсонська,,0.0
2024,Хмельницька,,8.0
2024,Черкаська,,52.4
2024,Чернівецька,,10.2
2024,Чернігівська,,25.3
2024,м. Київ,,4.3
2024,м. Севастополь,,
