Year,Азовське море,Чорне море,Дніпровсько-Бузька естуарна система,Пониззя Дністра з озерами та Дністровський лиман,Тузловська група лиманів,Будацький (Шаболатський) лиман,Березанський лиман,Тилігульський лиман,Value
2020,Гамариди,,,,,,,,
2021,Гамариди,,,,,,,,
2022,Гамариди,,,,,,,,
2023,Гамариди,,,,,,,,
2024,Гамариди,,,,,,,,
2015,Глоса,,,,,,,,
2016,Глоса,,,,,,,,
2017,Глоса,,,,,,,,
2018,Глоса,,,,,,,,
2019,Глоса,,,,,,,,
2020,Глоса,,,,,,,,9.27
2021,Глоса,,,,,,,,
2022,Глоса,,,,,,,,
2023,Глоса,,,,,,,,
2024,Глоса,,,,,,,,
2015,Зостера,,,,,,,,
2016,Зостера,,,,,,,,
2017,Зостера,,,,,,,,
2018,Зостера,,,,,,,,
2019,Зостера,,,,,,,,
2020,Зостера,,,,,,,,
2021,Зостера,,,,,,,,
2022,Зостера,,,,,,,,
2023,Зостера,,,,,,,,
2024,Зостера,,,,,,,,
2015,Креветка,,,,,,,,
2016,Креветка,,,,,,,,
2017,Креветка,,,,,,,,
2018,Креветка,,,,,,,,
2019,Креветка,,,,,,,,
2020,Креветка,,,,,,,,
2021,Креветка,,,,,,,,
2022,Креветка,,,,,,,,
2023,Креветка,,,,,,,,
2024,Креветка,,,,,,,,
2015,Куніарка (скафарка),,,,,,,,
2016,Куніарка (скафарка),,,,,,,,
2017,Куніарка (скафарка),,,,,,,,
2018,Куніарка (скафарка),,,,,,,,
2019,Куніарка (скафарка),,,,,,,,
2020,Куніарка (скафарка),,,,,,,,
2021,Куніарка (скафарка),,,,,,,,
2022,Куніарка (скафарка),,,,,,,,
2023,Куніарка (скафарка),,,,,,,,
2024,Куніарка (скафарка),,,,,,,,
2015,Лящ,,,,,,,,
2016,Лящ,,,,,,,,
2017,Лящ,,,,,,,,
2018,Лящ,,,,,,,,
2019,Лящ,,,,,,,,
2020,Лящ,,,,,,,,
2021,Лящ,,,,,,,,
2022,Лящ,,,,,,,,
2023,Лящ,,,,,,,,
2024,Лящ,,,,,,,,
2015,Мідія,,,,,,,,
2016,Мідія,,,,,,,,
2017,Мідія,,,,,,,,
2018,Мідія,,,,,,,,
2019,Мідія,,,,,,,,
2020,Мідія,,,,,,,,
2021,Мідія,,,,,,,,
2022,Мідія,,,,,,,,
2023,Мідія,,,,,,,,
2024,Мідія,,,,,,,,
2015,Мотиль (личинки хірономід),,,,,,,,
2016,Мотиль (личинки хірономід),,,,,,,,
2017,Мотиль (личинки хірономід),,,,,,,,
2018,Мотиль (личинки хірономід),,,,,,,,
2019,Мотиль (личинки хірономід),,,,,,,,
2020,Мотиль (личинки хірономід),,,,,,,,
2021,Мотиль (личинки хірономід),,,,,,,,
2022,Мотиль (личинки хірономід),,,,,,,,
2023,Мотиль (личинки хірономід),,,,,,,,
2024,Мотиль (личинки хірономід),,,,,,,,
2015,Оселедець чорноморський,,,,,,,,
2016,Оселедець чорноморський,,,,,,,,
2017,Оселедець чорноморський,,,,,,,,
2018,Оселедець чорноморський,,,,,,,,2.69
2019,Оселедець чорноморський,,,,,,,,4.13
2020,Оселедець чорноморський,,,,,,,,1.67
2021,Оселедець чорноморський,,,,,,,,
2022,Оселедець чорноморський,,,,,,,,
2023,Оселедець чорноморський,,,,,,,,
2024,Оселедець чорноморський,,,,,,,,
2015,Піленгас,,,,,,,,
2016,Піленгас,,,,,,,,
2017,Піленгас,,,,,,,,87.96
2018,Піленгас,,,,,,,,23.1
2019,Піленгас,,,,,,,,
2020,Піленгас,,,,,,,,9.74
2021,Піленгас,,,,,,,,
2022,Піленгас,,,,,,,,
2023,Піленгас,,,,,,,,
2024,Піленгас,,,,,,,,
2015,Плітка,,,,,,,,
2016,Плітка,,,,,,,,
2017,Плітка,,,,,,,,
2018,Плітка,,,,,,,,
2019,Плітка,,,,,,,,
2020,Плітка,,,,,,,,
2021,Плітка,,,,,,,,
2022,Плітка,,,,,,,,
2023,Плітка,,,,,,,,
2024,Плітка,,,,,,,,
2015,Рапана,,,,,,,,
2016,Рапана,,,,,,,,
2017,Рапана,,,,,,,,
2018,Рапана,,,,,,,,
2019,Рапана,,,,,,,,
2020,Рапана,,,,,,,,
2021,Рапана,,,,,,,,
2022,Рапана,,,,,,,,
2023,Рапана,,,,,,,,
2024,Рапана,,,,,,,,
2015,Рибець,,,,,,,,
2016,Рибець,,,,,,,,
2017,Рибець,,,,,,,,
2018,Рибець,,,,,,,,
2019,Рибець,,,,,,,,
2020,Рибець,,,,,,,,
2021,Рибець,,,,,,,,
2022,Рибець,,,,,,,,
2023,Рибець,,,,,,,,
2024,Рибець,,,,,,,,
2015,Судак звичайний,,,,,,,,
2016,Судак звичайний,,,,,,,,
2017,Судак звичайний,,,,,,,,5.5
2018,Судак звичайний,,,,,,,,
2019,Судак звичайний,,,,,,,,
2020,Судак звичайний,,,,,,,,
2021,Судак звичайний,,,,,,,,
2022,Судак звичайний,,,,,,,,
2023,Судак звичайний,,,,,,,,
2024,Судак звичайний,,,,,,,,
2015,Тюлька звичайна,,,,,,,,
2016,Тюлька звичайна,,,,,,,,
2017,Тюлька звичайна,,,,,,,,16.69
2018,Тюлька звичайна,,,,,,,,11.33
2019,Тюлька звичайна,,,,,,,,
2020,Тюлька звичайна,,,,,,,,
2021,Тюлька звичайна,,,,,,,,
2022,Тюлька звичайна,,,,,,,,
2023,Тюлька звичайна,,,,,,,,
2024,Тюлька звичайна,,,,,,,,
2015,Хамса (азовська),,,,,,,,
2016,Хамса (азовська),,,,,,,,
2017,Хамса (азовська),,,,,,,,
2018,Хамса (азовська),,,,,,,,
2019,Хамса (азовська),,,,,,,,
2020,Хамса (азовська),,,,,,,,
2021,Хамса (азовська),,,,,,,,
2022,Хамса (азовська),,,,,,,,
2023,Хамса (азовська),,,,,,,,
2024,Хамса (азовська),,,,,,,,
2015,,Атерина піщана,,,,,,,
2016,,Атерина піщана,,,,,,,
2017,,Атерина піщана,,,,,,,
2018,,Атерина піщана,,,,,,,
2019,,Атерина піщана,,,,,,,
2020,,Атерина піщана,,,,,,,
2021,,Атерина піщана,,,,,,,
2022,,Атерина піщана,,,,,,,
2023,,Атерина піщана,,,,,,,
2024,,Атерина піщана,,,,,,,
2015,,Барабуля,,,,,,,
2016,,Барабуля,,,,,,,
2017,,Барабуля,,,,,,,
2018,,Барабуля,,,,,,,
2019,,Барабуля,,,,,,,
2020,,Барабуля,,,,,,,
2021,,Барабуля,,,,,,,
2022,,Барабуля,,,,,,,
2023,,Барабуля,,,,,,,
2024,,Барабуля,,,,,,,
2015,,Бички,,,,,,,
2016,,Бички,,,,,,,
2017,,Бички,,,,,,,
2018,,Бички,,,,,,,
2019,,Бички,,,,,,,
2020,,Бички,,,,,,,
2021,,Бички,,,,,,,
2022,,Бички,,,,,,,
2023,,Бички,,,,,,,
2024,,Бички,,,,,,,
2015,,Гамариди,,,,,,,
2016,,Гамариди,,,,,,,
2017,,Гамариди,,,,,,,
2018,,Гамариди,,,,,,,
2019,,Гамариди,,,,,,,
2020,,Гамариди,,,,,,,
2021,,Гамариди,,,,,,,
2022,,Гамариди,,,,,,,
2023,,Гамариди,,,,,,,
2024,,Гамариди,,,,,,,
2015,,Глоса,,,,,,,
2016,,Глоса,,,,,,,
2017,,Глоса,,,,,,,99.82
2018,,Глоса,,,,,,,32.27
2019,,Глоса,,,,,,,7.48
2020,,Глоса,,,,,,,31.68
2021,,Глоса,,,,,,,
2022,,Глоса,,,,,,,
2023,,Глоса,,,,,,,
2024,,Глоса,,,,,,,
2015,,Гостроніс,,,,,,,
2016,,Гостроніс,,,,,,,
2017,,Гостроніс,,,,,,,
2018,,Гостроніс,,,,,,,
2019,,Гостроніс,,,,,,,
2020,,Гостроніс,,,,,,,
2021,,Гостроніс,,,,,,,
2022,,Гостроніс,,,,,,,
2023,,Гостроніс,,,,,,,
2024,,Гостроніс,,,,,,,
2015,,Кілька чорноморська (шпрот),,,,,,,
2016,,Кілька чорноморська (шпрот),,,,,,,
2017,,Кілька чорноморська (шпрот),,,,,,,
2018,,Кілька чорноморська (шпрот),,,,,,,
2019,,Кілька чорноморська (шпрот),,,,,,,
2020,,Кілька чорноморська (шпрот),,,,,,,
2021,,Кілька чорноморська (шпрот),,,,,,,
2022,,Кілька чорноморська (шпрот),,,,,,,
2023,,Кілька чорноморська (шпрот),,,,,,,
2024,,Кілька чорноморська (шпрот),,,,,,,
2015,,Креветка,,,,,,,
2016,,Креветка,,,,,,,
2017,,Креветка,,,,,,,
2018,,Креветка,,,,,,,
2019,,Креветка,,,,,,,
2020,,Креветка,,,,,,,
2021,,Креветка,,,,,,,
2022,,Креветка,,,,,,,
2023,,Креветка,,,,,,,
2024,,Креветка,,,,,,,
2015,,Лобань,,,,,,,
2016,,Лобань,,,,,,,
2017,,Лобань,,,,,,,
2018,,Лобань,,,,,,,
2019,,Лобань,,,,,,,
2020,,Лобань,,,,,,,
2021,,Лобань,,,,,,,
2022,,Лобань,,,,,,,
2023,,Лобань,,,,,,,
2024,,Лобань,,,,,,,
2015,,Мерланг,,,,,,,
2016,,Мерланг,,,,,,,
2017,,Мерланг,,,,,,,
2018,,Мерланг,,,,,,,
2019,,Мерланг,,,,,,,
2020,,Мерланг,,,,,,,
2021,,Мерланг,,,,,,,
2022,,Мерланг,,,,,,,
2023,,Мерланг,,,,,,,
2024,,Мерланг,,,,,,,
2015,,Мідія,,,,,,,
2016,,Мідія,,,,,,,
2017,,Мідія,,,,,,,
2018,,Мідія,,,,,,,
2019,,Мідія,,,,,,,
2020,,Мідія,,,,,,,
2021,,Мідія,,,,,,,
2022,,Мідія,,,,,,,
2023,,Мідія,,,,,,,
2024,,Мідія,,,,,,,
2015,,Морська лисиця,,,,,,,
2016,,Морська лисиця,,,,,,,
2017,,Морська лисиця,,,,,,,
2018,,Морська лисиця,,,,,,,
2019,,Морська лисиця,,,,,,,
2020,,Морська лисиця,,,,,,,
2021,,Морська лисиця,,,,,,,
2022,,Морська лисиця,,,,,,,
2023,,Морська лисиця,,,,,,,
2024,,Морська лисиця,,,,,,,
2015,,Морський кіт,,,,,,,
2016,,Морський кіт,,,,,,,
2017,,Морський кіт,,,,,,,
2018,,Морський кіт,,,,,,,
2019,,Морський кіт,,,,,,,
2020,,Морський кіт,,,,,,,
2021,,Морський кіт,,,,,,,
2022,,Морський кіт,,,,,,,
2023,,Морський кіт,,,,,,,
2024,,Морський кіт,,,,,,,
2015,,Оселедець чорноморський,,,,,,,
2016,,Оселедець чорноморський,,,,,,,
2017,,Оселедець чорноморський,,,,,,,
2018,,Оселедець чорноморський,,,,,,,
2019,,Оселедець чорноморський,,,,,,,
2020,,Оселедець чорноморський,,,,,,,
2021,,Оселедець чорноморський,,,,,,,
2022,,Оселедець чорноморський,,,,,,,
2023,,Оселедець чорноморський,,,,,,,
2024,,Оселедець чорноморський,,,,,,,
2015,,Піленгас,,,,,,,
2016,,Піленгас,,,,,,,
2017,,Піленгас,,,,,,,
2018,,Піленгас,,,,,,,
2019,,Піленгас,,,,,,,
2020,,Піленгас,,,,,,,
2021,,Піленгас,,,,,,,
2022,,Піленгас,,,,,,,
2023,,Піленгас,,,,,,,
2024,,Піленгас,,,,,,,
2015,,Рапана,,,,,,,
2016,,Рапана,,,,,,,
2017,,Рапана,,,,,,,
2018,,Рапана,,,,,,,
2019,,Рапана,,,,,,,
2020,,Рапана,,,,,,,
2021,,Рапана,,,,,,,
2022,,Рапана,,,,,,,
2023,,Рапана,,,,,,,
2024,,Рапана,,,,,,,
2015,,Сарган звичайний,,,,,,,
2016,,Сарган звичайний,,,,,,,
2017,,Сарган звичайний,,,,,,,
2018,,Сарган звичайний,,,,,,,
2019,,Сарган звичайний,,,,,,,
2020,,Сарган звичайний,,,,,,,
2021,,Сарган звичайний,,,,,,,
2022,,Сарган звичайний,,,,,,,
2023,,Сарган звичайний,,,,,,,
2024,,Сарган звичайний,,,,,,,
2015,,Сингіль,,,,,,,
2016,,Сингіль,,,,,,,
2017,,Сингіль,,,,,,,
2018,,Сингіль,,,,,,,
2019,,Сингіль,,,,,,,
2020,,Сингіль,,,,,,,
2021,,Сингіль,,,,,,,
2022,,Сингіль,,,,,,,
2023,,Сингіль,,,,,,,
2024,,Сингіль,,,,,,,
2015,,Ставрида,,,,,,,
2016,,Ставрида,,,,,,,
2017,,Ставрида,,,,,,,
2018,,Ставрида,,,,,,,
2019,,Ставрида,,,,,,,
2020,,Ставрида,,,,,,,
2021,,Ставрида,,,,,,,
2022,,Ставрида,,,,,,,
2023,,Ставрида,,,,,,,
2024,,Ставрида,,,,,,,
2015,,Тюлька звичайна,,,,,,,
2016,,Тюлька звичайна,,,,,,,
2017,,Тюлька звичайна,,,,,,,
2018,,Тюлька звичайна,,,,,,,
2019,,Тюлька звичайна,,,,,,,
2020,,Тюлька звичайна,,,,,,,
2021,,Тюлька звичайна,,,,,,,
2022,,Тюлька звичайна,,,,,,,
2023,,Тюлька звичайна,,,,,,,
2024,,Тюлька звичайна,,,,,,,
2015,,Хамса (чорноморська),,,,,,,
2016,,Хамса (чорноморська),,,,,,,
2017,,Хамса (чорноморська),,,,,,,
2018,,Хамса (чорноморська),,,,,,,
2019,,Хамса (чорноморська),,,,,,,
2020,,Хамса (чорноморська),,,,,,,
2021,,Хамса (чорноморська),,,,,,,
2022,,Хамса (чорноморська),,,,,,,
2023,,Хамса (чорноморська),,,,,,,
2024,,Хамса (чорноморська),,,,,,,
2015,,Цистозіра,,,,,,,
2016,,Цистозіра,,,,,,,
2017,,Цистозіра,,,,,,,
2018,,Цистозіра,,,,,,,
2019,,Цистозіра,,,,,,,
2020,,Цистозіра,,,,,,,
2021,,Цистозіра,,,,,,,
2022,,Цистозіра,,,,,,,
2023,,Цистозіра,,,,,,,
2024,,Цистозіра,,,,,,,
2015,,Чорноморський калкан,,,,,,,
2016,,Чорноморський калкан,,,,,,,
2017,,Чорноморський калкан,,,,,,,78.27
2018,,Чорноморський калкан,,,,,,,76.92
2019,,Чорноморський калкан,,,,,,,74.79
2020,,Чорноморський калкан,,,,,,,72.18
2021,,Чорноморський калкан,,,,,,,73.4
2022,,Чорноморський калкан,,,,,,,1.26
2023,,Чорноморський калкан,,,,,,,
2024,,Чорноморський калкан,,,,,,,
2015,,,Атерина піщана,,,,,,
2016,,,Атерина піщана,,,,,,
2017,,,Атерина піщана,,,,,,
2018,,,Атерина піщана,,,,,,
2019,,,Атерина піщана,,,,,,
2020,,,Атерина піщана,,,,,,
2021,,,Атерина піщана,,,,,,
2022,,,Атерина піщана,,,,,,
2023,,,Атерина піщана,,,,,,
2024,,,Атерина піщана,,,,,,1.18
2015,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2016,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2017,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2018,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2019,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2020,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2021,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2022,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2023,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2024,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,,
2015,,,Білизна звичайна,,,,,,
2016,,,Білизна звичайна,,,,,,
2017,,,Білизна звичайна,,,,,,
2018,,,Білизна звичайна,,,,,,
2019,,,Білизна звичайна,,,,,,
2020,,,Білизна звичайна,,,,,,
2021,,,Білизна звичайна,,,,,,
2022,,,Білизна звичайна,,,,,,
2023,,,Білизна звичайна,,,,,,
2024,,,Білизна звичайна,,,,,,
2015,,,Верховодка звичайна,,,,,,
2016,,,Верховодка звичайна,,,,,,
2017,,,Верховодка звичайна,,,,,,
2018,,,Верховодка звичайна,,,,,,
2019,,,Верховодка звичайна,,,,,,
2020,,,Верховодка звичайна,,,,,,
2021,,,Верховодка звичайна,,,,,,
2022,,,Верховодка звичайна,,,,,,
2023,,,Верховодка звичайна,,,,,,
2024,,,Верховодка звичайна,,,,,,2.01
2015,,,Головень європейський,,,,,,
2016,,,Головень європейський,,,,,,
2017,,,Головень європейський,,,,,,
2018,,,Головень європейський,,,,,,
2019,,,Головень європейський,,,,,,
2020,,,Головень європейський,,,,,,
2021,,,Головень європейський,,,,,,
2022,,,Головень європейський,,,,,,
2023,,,Головень європейський,,,,,,
2024,,,Головень європейський,,,,,,
2015,,,Карась сріблястий,,,,,,
2016,,,Карась сріблястий,,,,,,
2017,,,Карась сріблястий,,,,,,
2018,,,Карась сріблястий,,,,,,
2019,,,Карась сріблястий,,,,,,
2020,,,Карась сріблястий,,,,,,
2021,,,Карась сріблястий,,,,,,
2022,,,Карась сріблястий,,,,,,
2023,,,Карась сріблястий,,,,,,
2024,,,Карась сріблястий,,,,,,11.14
2015,,,Краснопірка,,,,,,
2016,,,Краснопірка,,,,,,
2017,,,Краснопірка,,,,,,
2018,,,Краснопірка,,,,,,
2019,,,Краснопірка,,,,,,
2020,,,Краснопірка,,,,,,
2021,,,Краснопірка,,,,,,
2022,,,Краснопірка,,,,,,
2023,,,Краснопірка,,,,,,
2024,,,Краснопірка,,,,,,1.76
2015,,,Лин,,,,,,
2016,,,Лин,,,,,,
2017,,,Лин,,,,,,
2018,,,Лин,,,,,,
2019,,,Лин,,,,,,
2020,,,Лин,,,,,,
2021,,,Лин,,,,,,
2022,,,Лин,,,,,,
2023,,,Лин,,,,,,
2024,,,Лин,,,,,,2.33
2015,,,Лящ,,,,,,
2016,,,Лящ,,,,,,
2017,,,Лящ,,,,,,60.18
2018,,,Лящ,,,,,,69.33
2019,,,Лящ,,,,,,71.96
2020,,,Лящ,,,,,,58.95
2021,,,Лящ,,,,,,67.45
2022,,,Лящ,,,,,,2.43
2023,,,Лящ,,,,,,9.2
2024,,,Лящ,,,,,,6.19
2015,,,Окунь звичайний,,,,,,
2016,,,Окунь звичайний,,,,,,
2017,,,Окунь звичайний,,,,,,
2018,,,Окунь звичайний,,,,,,
2019,,,Окунь звичайний,,,,,,
2020,,,Окунь звичайний,,,,,,
2021,,,Окунь звичайний,,,,,,
2022,,,Окунь звичайний,,,,,,
2023,,,Окунь звичайний,,,,,,
2024,,,Окунь звичайний,,,,,,7.44
2015,,,Окунь сонячний,,,,,,
2016,,,Окунь сонячний,,,,,,
2017,,,Окунь сонячний,,,,,,
2018,,,Окунь сонячний,,,,,,
2019,,,Окунь сонячний,,,,,,
2020,,,Окунь сонячний,,,,,,
2021,,,Окунь сонячний,,,,,,
2022,,,Окунь сонячний,,,,,,
2023,,,Окунь сонячний,,,,,,
2024,,,Окунь сонячний,,,,,,1.67
2015,,,Оселедець чорноморський,,,,,,
2016,,,Оселедець чорноморський,,,,,,
2017,,,Оселедець чорноморський,,,,,,
2018,,,Оселедець чорноморський,,,,,,
2019,,,Оселедець чорноморський,,,,,,
2020,,,Оселедець чорноморський,,,,,,
2021,,,Оселедець чорноморський,,,,,,
2022,,,Оселедець чорноморський,,,,,,
2023,,,Оселедець чорноморський,,,,,,
2024,,,Оселедець чорноморський,,,,,,7.81
2015,,,Піленгас,,,,,,
2016,,,Піленгас,,,,,,
2017,,,Піленгас,,,,,,
2018,,,Піленгас,,,,,,
2019,,,Піленгас,,,,,,
2020,,,Піленгас,,,,,,
2021,,,Піленгас,,,,,,
2022,,,Піленгас,,,,,,
2023,,,Піленгас,,,,,,
2024,,,Піленгас,,,,,,
2015,,,Плоскирка,,,,,,
2016,,,Плоскирка,,,,,,
2017,,,Плоскирка,,,,,,
2018,,,Плоскирка,,,,,,
2019,,,Плоскирка,,,,,,
2020,,,Плоскирка,,,,,,
2021,,,Плоскирка,,,,,,
2022,,,Плоскирка,,,,,,
2023,,,Плоскирка,,,,,,
2024,,,Плоскирка,,,,,,2.78
2015,,,Пузанок,,,,,,
2016,,,Пузанок,,,,,,
2017,,,Пузанок,,,,,,
2018,,,Пузанок,,,,,,
2019,,,Пузанок,,,,,,
2020,,,Пузанок,,,,,,
2021,,,Пузанок,,,,,,
2022,,,Пузанок,,,,,,
2023,,,Пузанок,,,,,,
2024,,,Пузанок,,,,,,14.95
2015,,,Рак вузькопалий,,,,,,
2016,,,Рак вузькопалий,,,,,,
2017,,,Рак вузькопалий,,,,,,
2018,,,Рак вузькопалий,,,,,,
2019,,,Рак вузькопалий,,,,,,
2020,,,Рак вузькопалий,,,,,,
2021,,,Рак вузькопалий,,,,,,
2022,,,Рак вузькопалий,,,,,,
2023,,,Рак вузькопалий,,,,,,
2024,,,Рак вузькопалий,,,,,,0.59
2015,,,Рибець звичайний,,,,,,
2016,,,Рибець звичайний,,,,,,
2017,,,Рибець звичайний,,,,,,
2018,,,Рибець звичайний,,,,,,
2019,,,Рибець звичайний,,,,,,
2020,,,Рибець звичайний,,,,,,
2021,,,Рибець звичайний,,,,,,
2022,,,Рибець звичайний,,,,,,
2023,,,Рибець звичайний,,,,,,
2024,,,Рибець звичайний,,,,,,
2015,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2016,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2017,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2018,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2019,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2020,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2021,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2022,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2023,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,
2024,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид, білий амур)",,,,,,3.95
2015,,,Сазан,,,,,,
2016,,,Сазан,,,,,,
2017,,,Сазан,,,,,,
2018,,,Сазан,,,,,,
2019,,,Сазан,,,,,,
2020,,,Сазан,,,,,,
2021,,,Сазан,,,,,,
2022,,,Сазан,,,,,,
2023,,,Сазан,,,,,,
2024,,,Сазан,,,,,,5.63
2015,,,Сом європейський,,,,,,
2016,,,Сом європейський,,,,,,
2017,,,Сом європейський,,,,,,
2018,,,Сом європейський,,,,,,
2019,,,Сом європейський,,,,,,
2020,,,Сом європейський,,,,,,
2021,,,Сом європейський,,,,,,
2022,,,Сом європейський,,,,,,
2023,,,Сом європейський,,,,,,
2024,,,Сом європейський,,,,,,2.98
2015,,,Судак звичайний,,,,,,
2016,,,Судак звичайний,,,,,,
2017,,,Судак звичайний,,,,,,67.66
2018,,,Судак звичайний,,,,,,67.92
2019,,,Судак звичайний,,,,,,77.7
2020,,,Судак звичайний,,,,,,20.04
2021,,,Судак звичайний,,,,,,80.69
2022,,,Судак звичайний,,,,,,3.29
2023,,,Судак звичайний,,,,,,19.82
2024,,,Судак звичайний,,,,,,12.21
2015,,,Тараня (плітка звичайна),,,,,,
2016,,,Тараня (плітка звичайна),,,,,,
2017,,,Тараня (плітка звичайна),,,,,,64.73
2018,,,Тараня (плітка звичайна),,,,,,75.92
2019,,,Тараня (плітка звичайна),,,,,,74.15
2020,,,Тараня (плітка звичайна),,,,,,29.82
2021,,,Тараня (плітка звичайна),,,,,,69.77
2022,,,Тараня (плітка звичайна),,,,,,5.52
2023,,,Тараня (плітка звичайна),,,,,,18.14
2024,,,Тараня (плітка звичайна),,,,,,11.86
2015,,,Тюлька звичайна,,,,,,
2016,,,Тюлька звичайна,,,,,,
2017,,,Тюлька звичайна,,,,,,
2018,,,Тюлька звичайна,,,,,,
2019,,,Тюлька звичайна,,,,,,
2020,,,Тюлька звичайна,,,,,,
2021,,,Тюлька звичайна,,,,,,
2022,,,Тюлька звичайна,,,,,,
2023,,,Тюлька звичайна,,,,,,
2024,,,Тюлька звичайна,,,,,,12.84
2015,,,Хамса (чорноморська),,,,,,
2016,,,Хамса (чорноморська),,,,,,
2017,,,Хамса (чорноморська),,,,,,
2018,,,Хамса (чорноморська),,,,,,
2019,,,Хамса (чорноморська),,,,,,
2020,,,Хамса (чорноморська),,,,,,
2021,,,Хамса (чорноморська),,,,,,
2022,,,Хамса (чорноморська),,,,,,
2023,,,Хамса (чорноморська),,,,,,
2024,,,Хамса (чорноморська),,,,,,
2015,,,Чехоня,,,,,,
2016,,,Чехоня,,,,,,
2017,,,Чехоня,,,,,,
2018,,,Чехоня,,,,,,
2019,,,Чехоня,,,,,,
2020,,,Чехоня,,,,,,
2021,,,Чехоня,,,,,,
2022,,,Чехоня,,,,,,
2023,,,Чехоня,,,,,,
2024,,,Чехоня,,,,,,
2015,,,Щука звичайна,,,,,,
2016,,,Щука звичайна,,,,,,
2017,,,Щука звичайна,,,,,,
2018,,,Щука звичайна,,,,,,
2019,,,Щука звичайна,,,,,,
2020,,,Щука звичайна,,,,,,
2021,,,Щука звичайна,,,,,,
2022,,,Щука звичайна,,,,,,
2023,,,Щука звичайна,,,,,,
2024,,,Щука звичайна,,,,,,8.28
2015,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2016,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2017,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
