Year,Область,Value
2023,Миколаївська,21.6
2024,Миколаївська,22.9
2015,Одеська,30.2
2016,Одеська,29.4
2017,Одеська,35.8
2018,Одеська,31.7
2019,Одеська,38.5
2020,Одеська,21.3
2021,Одеська,19.8
2022,Одеська,19.4
2023,Одеська,25.2
2024,Одеська,25.8
2015,Полтавська,21.0
2016,Полтавська,21.5
2017,Полтавська,29.8
2018,Полтавська,31.4
2019,Полтавська,31.3
2020,Полтавська,23.8
2021,Полтавська,26.1
2022,Полтавська,13.6
2023,Полтавська,24.3
2024,Полтавська,25.9
2015,Рівненська,35.8
2016,Рівненська,28.8
2017,Рівненська,30.3
2018,Рівненська,40.7
2019,Рівненська,36.5
2020,Рівненська,30.6
2021,Рівненська,32.9
2022,Рівненська,29.1
2023,Рівненська,37.6
2024,Рівненська,36.2
2015,Сумська,22.6
2016,Сумська,20.9
2017,Сумська,30.7
2018,Сумська,32.1
2019,Сумська,23.3
2020,Сумська,22.3
2021,Сумська,28.6
2022,Сумська,16.5
2023,Сумська,22.5
2024,Сумська,27.5
2015,Тернопільська,31.4
2016,Тернопільська,35.1
2017,Тернопільська,34.2
2018,Тернопільська,34.3
2019,Тернопільська,27.4
2020,Тернопільська,24.1
2021,Тернопільська,37.8
2022,Тернопільська,15.0
2023,Тернопільська,25.1
2024,Тернопільська,29.8
2015,Харківська,34.0
2016,Харківська,35.4
2017,Харківська,39.8
2018,Харківська,38.4
2019,Харківська,34.8
2020,Харківська,29.4
2021,Харківська,27.8
2022,Харківська,12.2
2023,Харківська,21.4
2024,Харківська,22.1
2015,Херсонська,31.9
2016,Херсонська,31.2
2017,Херсонська,37.9
2018,Херсонська,36.5
2019,Херсонська,34.9
2020,Херсонська,34.0
2021,Херсонська,30.2
2022,Херсонська,14.6
2023,Херсонська,10.6
2024,Херсонська,13.3
2015,Хмельницька,30.9
2016,Хмельницька,26.4
2017,Хмельницька,26.1
2018,Хмельницька,36.0
2019,Хмельницька,29.4
2020,Хмельницька,32.4
2021,Хмельницька,28.4
2022,Хмельницька,15.6
2023,Хмельницька,23.2
2024,Хмельницька,25.3
2015,Черкаська,29.6
2016,Черкаська,29.2
2017,Черкаська,36.7
2018,Черкаська,33.8
2019,Черкаська,36.8
2020,Черкаська,25.0
2021,Черкаська,24.0
2022,Черкаська,17.1
2023,Черкаська,24.3
2024,Черкаська,31.3
2015,Чернівецька,23.1
2016,Чернівецька,25.0
2017,Чернівецька,16.3
2018,Чернівецька,30.8
2019,Чернівецька,19.5
2020,Чернівецька,16.7
2021,Чернівецька,23.1
2022,Чернівецька,20.2
2023,Чернівецька,26.6
2024,Чернівецька,20.6
2015,Чернігівська,22.9
2016,Чернігівська,19.5
2017,Чернігівська,31.0
2018,Чернігівська,34.6
2019,Чернігівська,30.9
2020,Чернігівська,27.4
2021,Чернігівська,28.0
2022,Чернігівська,17.9
2023,Чернігівська,27.2
2024,Чернігівська,30.4
2015,місто Київ,24.4
2016,місто Київ,29.4
2017,місто Київ,33.3
2018,місто Київ,35.5
2019,місто Київ,34.1
2020,місто Київ,26.2
2021,місто Київ,24.6
2022,місто Київ,20.8
2023,місто Київ,26.7
2024,місто Київ,33.8
2015,м. Севастополь,
2016,м. Севастополь,
2017,м. Севастополь,
2018,м. Севастополь,
2019,м. Севастополь,
2020,м. Севастополь,
2021,м. Севастополь,
2022,м. Севастополь,
2023,м. Севастополь,
2024,м. Севастополь,
