Year,Region,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,Age,Gender,Type of place of residence,Type of legal aid,Category of issues,Value
2023,Zhytomyr,,,,,,,29832.0
2024,Zhytomyr,,,,,,,25061.0
2015,Zakarpattya,,,,,,,829.0
2016,Zakarpattya,,,,,,,4847.0
2017,Zakarpattya,,,,,,,11230.0
2018,Zakarpattya,,,,,,,13549.0
2019,Zakarpattya,,,,,,,11231.0
2020,Zakarpattya,,,,,,,9396.0
2021,Zakarpattya,,,,,,,14638.0
2022,Zakarpattya,,,,,,,15248.0
2023,Zakarpattya,,,,,,,15990.0
2024,Zakarpattya,,,,,,,15311.0
2015,Zaporizhzhya,,,,,,,2094.0
2016,Zaporizhzhya,,,,,,,14941.0
2017,Zaporizhzhya,,,,,,,27930.0
2018,Zaporizhzhya,,,,,,,36784.0
2019,Zaporizhzhya,,,,,,,47164.0
2020,Zaporizhzhya,,,,,,,42345.0
2021,Zaporizhzhya,,,,,,,47366.0
2022,Zaporizhzhya,,,,,,,18822.0
2023,Zaporizhzhya,,,,,,,14296.0
2024,Zaporizhzhya,,,,,,,10879.0
2015,Ivano-Frankivsk,,,,,,,1062.0
2016,Ivano-Frankivsk,,,,,,,9858.0
2017,Ivano-Frankivsk,,,,,,,17836.0
2018,Ivano-Frankivsk,,,,,,,18607.0
2019,Ivano-Frankivsk,,,,,,,17491.0
2020,Ivano-Frankivsk,,,,,,,11633.0
2021,Ivano-Frankivsk,,,,,,,19949.0
2022,Ivano-Frankivsk,,,,,,,25556.0
2023,Ivano-Frankivsk,,,,,,,28422.0
2024,Ivano-Frankivsk,,,,,,,28492.0
2015,Kyiv,,,,,,,1223.0
2016,Kyiv,,,,,,,8040.0
2017,Kyiv,,,,,,,23547.0
2018,Kyiv,,,,,,,30849.0
2019,Kyiv,,,,,,,37824.0
2020,Kyiv,,,,,,,36650.0
2021,Kyiv,,,,,,,42744.0
2022,Kyiv,,,,,,,29784.0
2023,Kyiv,,,,,,,34381.0
2024,Kyiv,,,,,,,30103.0
2015,Kirovohrad,,,,,,,2054.0
2016,Kirovohrad,,,,,,,12539.0
2017,Kirovohrad,,,,,,,25146.0
2018,Kirovohrad,,,,,,,22179.0
2019,Kirovohrad,,,,,,,18063.0
2020,Kirovohrad,,,,,,,18005.0
2021,Kirovohrad,,,,,,,18977.0
2022,Kirovohrad,,,,,,,13946.0
2023,Kirovohrad,,,,,,,14429.0
2024,Kirovohrad,,,,,,,14091.0
2015,Luhansk,,,,,,,250.0
2016,Luhansk,,,,,,,3497.0
2017,Luhansk,,,,,,,11100.0
2018,Luhansk,,,,,,,13076.0
2019,Luhansk,,,,,,,10329.0
2020,Luhansk,,,,,,,11242.0
2021,Luhansk,,,,,,,13120.0
2022,Luhansk,,,,,,,2080.0
2023,Luhansk,,,,,,,
2024,Luhansk,,,,,,,
2015,Lviv,,,,,,,1969.0
2016,Lviv,,,,,,,15887.0
2017,Lviv,,,,,,,30570.0
2018,Lviv,,,,,,,29252.0
2019,Lviv,,,,,,,27937.0
2020,Lviv,,,,,,,30235.0
2021,Lviv,,,,,,,38138.0
2022,Lviv,,,,,,,43626.0
2023,Lviv,,,,,,,34016.0
2024,Lviv,,,,,,,33457.0
2015,Mykolayiv,,,,,,,929.0
2016,Mykolayiv,,,,,,,9661.0
2017,Mykolayiv,,,,,,,23511.0
2018,Mykolayiv,,,,,,,24354.0
2019,Mykolayiv,,,,,,,18515.0
2020,Mykolayiv,,,,,,,18329.0
2021,Mykolayiv,,,,,,,20155.0
2022,Mykolayiv,,,,,,,11273.0
2023,Mykolayiv,,,,,,,15049.0
2024,Mykolayiv,,,,,,,13837.0
2015,Odesa,,,,,,,2175.0
2016,Odesa,,,,,,,18664.0
2017,Odesa,,,,,,,27723.0
2018,Odesa,,,,,,,22542.0
2019,Odesa,,,,,,,22230.0
2020,Odesa,,,,,,,24575.0
2021,Odesa,,,,,,,28272.0
2022,Odesa,,,,,,,23538.0
2023,Odesa,,,,,,,26872.0
2024,Odesa,,,,,,,23861.0
2015,Poltava,,,,,,,1960.0
2016,Poltava,,,,,,,11465.0
2017,Poltava,,,,,,,28980.0
2018,Poltava,,,,,,,34488.0
2019,Poltava,,,,,,,33411.0
2020,Poltava,,,,,,,30935.0
2021,Poltava,,,,,,,37619.0
2022,Poltava,,,,,,,42934.0
2023,Poltava,,,,,,,41622.0
2024,Poltava,,,,,,,33114.0
2015,Rivne,,,,,,,2067.0
2016,Rivne,,,,,,,10194.0
2017,Rivne,,,,,,,16783.0
2018,Rivne,,,,,,,19637.0
2019,Rivne,,,,,,,19121.0
2020,Rivne,,,,,,,17593.0
2021,Rivne,,,,,,,22052.0
2022,Rivne,,,,,,,23864.0
2023,Rivne,,,,,,,17904.0
2024,Rivne,,,,,,,19644.0
2015,Sumy,,,,,,,2881.0
2016,Sumy,,,,,,,12580.0
2017,Sumy,,,,,,,23526.0
2018,Sumy,,,,,,,30806.0
2019,Sumy,,,,,,,33409.0
2020,Sumy,,,,,,,30514.0
2021,Sumy,,,,,,,35493.0
2022,Sumy,,,,,,,25019.0
2023,Sumy,,,,,,,32863.0
2024,Sumy,,,,,,,27548.0
2015,Ternopil,,,,,,,948.0
2016,Ternopil,,,,,,,9833.0
2017,Ternopil,,,,,,,19410.0
2018,Ternopil,,,,,,,21801.0
2019,Ternopil,,,,,,,21503.0
2020,Ternopil,,,,,,,18096.0
2021,Ternopil,,,,,,,25895.0
2022,Ternopil,,,,,,,22279.0
2023,Ternopil,,,,,,,24619.0
2024,Ternopil,,,,,,,26252.0
2015,Kharkiv,,,,,,,2680.0
2016,Kharkiv,,,,,,,9275.0
2017,Kharkiv,,,,,,,22247.0
2018,Kharkiv,,,,,,,31720.0
2019,Kharkiv,,,,,,,31263.0
2020,Kharkiv,,,,,,,36544.0
2021,Kharkiv,,,,,,,41621.0
2022,Kharkiv,,,,,,,23384.0
2023,Kharkiv,,,,,,,26660.0
2024,Kharkiv,,,,,,,28040.0
2015,Kherson,,,,,,,1072.0
2016,Kherson,,,,,,,7240.0
2017,Kherson,,,,,,,21013.0
2018,Kherson,,,,,,,22532.0
2019,Kherson,,,,,,,22129.0
2020,Kherson,,,,,,,18543.0
2021,Kherson,,,,,,,27880.0
2022,Kherson,,,,,,,4959.0
2023,Kherson,,,,,,,1797.0
2024,Kherson,,,,,,,4074.0
2015,Khmelnytskiy,,,,,,,1599.0
2016,Khmelnytskiy,,,,,,,11274.0
2017,Khmelnytskiy,,,,,,,23410.0
2018,Khmelnytskiy,,,,,,,25215.0
2019,Khmelnytskiy,,,,,,,23400.0
2020,Khmelnytskiy,,,,,,,20164.0
2021,Khmelnytskiy,,,,,,,27208.0
2022,Khmelnytskiy,,,,,,,26244.0
2023,Khmelnytskiy,,,,,,,25110.0
2024,Khmelnytskiy,,,,,,,22285.0
2015,Cherkasy,,,,,,,1444.0
2016,Cherkasy,,,,,,,8859.0
2017,Cherkasy,,,,,,,17949.0
2018,Cherkasy,,,,,,,20996.0
2019,Cherkasy,,,,,,,19704.0
2020,Cherkasy,,,,,,,17278.0
2021,Cherkasy,,,,,,,20222.0
2022,Cherkasy,,,,,,,20381.0
2023,Cherkasy,,,,,,,21314.0
2024,Cherkasy,,,,,,,18561.0
2015,Chernivtsi,,,,,,,1147.0
2016,Chernivtsi,,,,,,,5565.0
2017,Chernivtsi,,,,,,,9072.0
2018,Chernivtsi,,,,,,,8802.0
2019,Chernivtsi,,,,,,,9295.0
2020,Chernivtsi,,,,,,,8396.0
2021,Chernivtsi,,,,,,,13566.0
2022,Chernivtsi,,,,,,,14886.0
2023,Chernivtsi,,,,,,,16622.0
2024,Chernivtsi,,,,,,,16955.0
2015,Chernihiv,,,,,,,1184.0
2016,Chernihiv,,,,,,,8233.0
2017,Chernihiv,,,,,,,16409.0
2018,Chernihiv,,,,,,,14357.0
2019,Chernihiv,,,,,,,26213.0
2020,Chernihiv,,,,,,,21014.0
2021,Chernihiv,,,,,,,27715.0
2022,Chernihiv,,,,,,,21845.0
2023,Chernihiv,,,,,,,28509.0
2024,Chernihiv,,,,,,,26858.0
2015,the city of Kyiv,,,,,,,2548.0
2016,the city of Kyiv,,,,,,,8340.0
2017,the city of Kyiv,,,,,,,13736.0
2018,the city of Kyiv,,,,,,,18314.0
2019,the city of Kyiv,,,,,,,15175.0
2020,the city of Kyiv,,,,,,,10390.0
2021,the city of Kyiv,,,,,,,14218.0
2022,the city of Kyiv,,,,,,,9989.0
2023,the city of Kyiv,,,,,,,18719.0
2024,the city of Kyiv,,,,,,,23767.0
2015,city Sevastopol,,,,,,,
2016,city Sevastopol,,,,,,,
2017,city Sevastopol,,,,,,,
2018,city Sevastopol,,,,,,,
2019,city Sevastopol,,,,,,,
2020,city Sevastopol,,,,,,,
2021,city Sevastopol,,,,,,,
2022,city Sevastopol,,,,,,,
2023,city Sevastopol,,,,,,,
2024,city Sevastopol,,,,,,,
2015,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2016,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2017,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2018,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2019,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2020,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2021,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,
2022,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,121832.0
2023,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,121108.0
2024,,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,102969.0
2015,,,under 18 years old,,,,,169.0
2016,,,under 18 years old,,,,,1413.0
2017,,,under 18 years old,,,,,1803.0
2018,,,under 18 years old,,,,,2051.0
2019,,,under 18 years old,,,,,1976.0
2020,,,under 18 years old,,,,,1893.0
2021,,,under 18 years old,,,,,2972.0
2022,,,under 18 years old,,,,,4601.0
2023,,,under 18 years old,,,,,4830.0
2024,,,under 18 years old,,,,,5253.0
2015,,,18–35 years,,,,,5827.0
2016,,,18–35 years,,,,,48456.0
2017,,,18–35 years,,,,,88404.0
2018,,,18–35 years,,,,,86792.0
2019,,,18–35 years,,,,,70756.0
2020,,,18–35 years,,,,,71945.0
2021,,,18–35 years,,,,,93881.0
2022,,,18–35 years,,,,,85801.0
2023,,,18–35 years,,,,,75787.0
2024,,,18–35 years,,,,,83558.0
2015,,,36–60 years,,,,,18009.0
2016,,,36–60 years,,,,,110488.0
2017,,,36–60 years,,,,,196311.0
2018,,,36–60 years,,,,,193433.0
2019,,,36–60 years,,,,,185227.0
2020,,,36–60 years,,,,,172036.0
2021,,,36–60 years,,,,,220951.0
2022,,,36–60 years,,,,,192322.0
2023,,,36–60 years,,,,,185630.0
2024,,,36–60 years,,,,,167067.0
2015,,,61 years and older,,,,,14298.0
2016,,,61 years and older,,,,,59624.0
2017,,,61 years and older,,,,,106710.0
2018,,,61 years and older,,,,,118202.0
2019,,,61 years and older,,,,,146071.0
2020,,,61 years and older,,,,,108144.0
2021,,,61 years and older,,,,,116006.0
2022,,,61 years and older,,,,,96448.0
2023,,,61 years and older,,,,,102865.0
2024,,,61 years and older,,,,,98021.0
2015,,,,men,,,,15673.0
2016,,,,men,,,,93488.0
2017,,,,men,,,,158462.0
2018,,,,men,,,,151787.0
2019,,,,men,,,,152578.0
2020,,,,men,,,,137011.0
2021,,,,men,,,,179040.0
2022,,,,men,,,,153006.0
2023,,,,men,,,,143272.0
2024,,,,men,,,,140508.0
2015,,,,females,,,,22630.0
2016,,,,females,,,,126493.0
2017,,,,females,,,,234766.0
2018,,,,females,,,,248691.0
2019,,,,females,,,,251452.0
2020,,,,females,,,,217007.0
2021,,,,females,,,,254770.0
2022,,,,females,,,,226166.0
2023,,,,females,,,,225840.0
2024,,,,females,,,,213391.0
2015,,,,,urban,,,
2016,,,,,urban,,,
2017,,,,,urban,,,
2018,,,,,urban,,,
2019,,,,,urban,,,
2020,,,,,urban,,,
2021,,,,,urban,,,
2022,,,,,urban,,,
2023,,,,,urban,,,
2024,,,,,urban,,,
2015,,,,,rural,,,
2016,,,,,rural,,,
2017,,,,,rural,,,
2018,,,,,rural,,,
2019,,,,,rural,,,
2020,,,,,rural,,,
2021,,,,,rural,,,
2022,,,,,rural,,,
2023,,,,,rural,,,
2024,,,,,rural,,,
2015,,,,,,Primary legal aid,,28444.0
2016,,,,,,Primary legal aid,,239164.0
2017,,,,,,Primary legal aid,,501786.0
2018,,,,,,Primary legal aid,,553301.0
2019,,,,,,Primary legal aid,,558160.0
2020,,,,,,Primary legal aid,,510118.0
2021,,,,,,Primary legal aid,,627281.0
2022,,,,,,Primary legal aid,,506914.0
2023,,,,,,Primary legal aid,,508127.0
2024,,,,,,Primary legal aid,,465744.0
2015,,,,,,Secondary legal aid,,8911.0
2016,,,,,,Secondary legal aid,,34126.0
2017,,,,,,Secondary legal aid,,69457.0
2018,,,,,,Secondary legal aid,,72800.0
2019,,,,,,Secondary legal aid,,65817.0
2020,,,,,,Secondary legal aid,,58813.0
2021,,,,,,Secondary legal aid,,85921.0
2022,,,,,,Secondary legal aid,,49634.0
2023,,,,,,Secondary legal aid,,55527.0
2024,,,,,,Secondary legal aid,,58326.0
2015,,,,,,,Social security,6534.0
2016,,,,,,,Social security,50898.0
2017,,,,,,,Social security,78751.0
2018,,,,,,,Social security,73854.0
2019,,,,,,,Social security,11746.0
2020,,,,,,,Social security,31528.0
2021,,,,,,,Social security,49226.0
2022,,,,,,,Social security,65984.0
2023,,,,,,,Social security,42421.0
2024,,,,,,,Social security,34387.0
2015,,,,,,,Inheritance law,3996.0
2016,,,,,,,Inheritance law,29722.0
2017,,,,,,,Inheritance law,62946.0
2018,,,,,,,Inheritance law,60437.0
2019,,,,,,,Inheritance law,58186.0
2020,,,,,,,Inheritance law,47393.0
2021,,,,,,,Inheritance law,60530.0
2022,,,,,,,Inheritance law,38011.0
2023,,,,,,,Inheritance law,40223.0
2024,,,,,,,Inheritance law,33985.0
2015,,,,,,,Family law,4129.0
2016,,,,,,,Family law,29671.0
2017,,,,,,,Family law,72398.0
2018,,,,,,,Family law,104400.0
2019,,,,,,,Family law,106065.0
2020,,,,,,,Family law,85575.0
2021,,,,,,,Family law,98459.0
2022,,,,,,,Family law,76382.0
2023,,,,,,,Family law,81123.0
2024,,,,,,,Family law,68639.0
2015,,,,,,,Medical law,369.0
2016,,,,,,,Medical law,2265.0
2017,,,,,,,Medical law,4298.0
2018,,,,,,,Medical law,4059.0
2019,,,,,,,Medical law,
2020,,,,,,,Medical law,
2021,,,,,,,Medical law,
2022,,,,,,,Medical law,
2023,,,,,,,Medical law,
2024,,,,,,,Medical law,
2015,,,,,,,Labor law,2151.0
2016,,,,,,,Labor law,14023.0
2017,,,,,,,Labor law,29338.0
2018,,,,,,,Labor law,25847.0
2019,,,,,,,Labor law,25310.0
2020,,,,,,,Labor law,26762.0
2021,,,,,,,Labor law,32023.0
2022,,,,,,,Labor law,38670.0
2023,,,,,,,Labor law,44272.0
2024,,,,,,,Labor law,65449.0
2015,,,,,,,Administrative law and administrative procedure,1181.0
2016,,,,,,,Administrative law and administrative procedure,10217.0
2017,,,,,,,Administrative law and administrative procedure,25415.0
2018,,,,,,,Administrative law and administrative procedure,27771.0
2019,,,,,,,Administrative law and administrative procedure,35938.0
2020,,,,,,,Administrative law and administrative procedure,45275.0
2021,,,,,,,Administrative law and administrative procedure,82730.0
2022,,,,,,,Administrative law and administrative procedure,90502.0
2023,,,,,,,Administrative law and administrative procedure,98783.0
2024,,,,,,,Administrative law and administrative procedure,89363.0
2015,,,,,,,Land law,3376.0
2016,,,,,,,Land law,23269.0
2017,,,,,,,Land law,47308.0
2018,,,,,,,Land law,36996.0
2019,,,,,,,Land law,39436.0
2020,,,,,,,Land law,51284.0
2021,,,,,,,Land law,51625.0
2022,,,,,,,Land law,24851.0
2023,,,,,,,Land law,22914.0
2024,,,,,,,Land law,15528.0
2015,,,,,,,Contract law,3130.0
2016,,,,,,,Contract law,18617.0
2017,,,,,,,Contract law,34715.0
2018,,,,,,,Contract law,31099.0
2019,,,,,,,Contract law,
2020,,,,,,,Contract law,
2021,,,,,,,Contract law,
2022,,,,,,,Contract law,
2023,,,,,,,Contract law,
2024,,,,,,,Contract law,
2015,,,,,,,Housing law,5168.0
2016,,,,,,,Housing law,21979.0
2017,,,,,,,Housing law,33562.0
2018,,,,,,,Housing law,50940.0
2019,,,,,,,Housing law,64778.0
2020,,,,,,,Housing law,47231.0
2021,,,,,,,Housing law,65339.0
2022,,,,,,,Housing law,34713.0
2023,,,,,,,Housing law,29930.0
2024,,,,,,,Housing law,23324.0
2015,,,,,,,Civil law and civil procedure,5997.0
2016,,,,,,,Civil law and civil procedure,43639.0
2017,,,,,,,Civil law and civil procedure,104315.0
2018,,,,,,,Civil law and civil procedure,120281.0
2019,,,,,,,Civil law and civil procedure,122853.0
2020,,,,,,,Civil law and civil procedure,107386.0
2021,,,,,,,Civil law and civil procedure,141747.0
2022,,,,,,,Civil law and civil procedure,91710.0
2023,,,,,,,Civil law and civil procedure,101400.0
2024,,,,,,,Civil law and civil procedure,101868.0
2015,,,,,,,Enforcement of court decisions,1016.0
2016,,,,,,,Enforcement of court decisions,7323.0
2017,,,,,,,Enforcement of court decisions,19861.0
2018,,,,,,,Enforcement of court decisions,27422.0
2019,,,,,,,Enforcement of court decisions,9642.0
2020,,,,,,,Enforcement of court decisions,24652.0
2021,,,,,,,Enforcement of court decisions,32918.0
2022,,,,,,,Enforcement of court decisions,27305.0
2023,,,,,,,Enforcement of court decisions,36308.0
2024,,,,,,,Enforcement of court decisions,32793.0
2015,,,,,,,Non-legal issue,360.0
2016,,,,,,,Non-legal issue,3163.0
2017,,,,,,,Non-legal issue,6163.0
2018,,,,,,,Non-legal issue,5864.0
2019,,,,,,,Non-legal issue,4354.0
2020,,,,,,,Non-legal issue,556.0
2021,,,,,,,Non-legal issue,176.0
2022,,,,,,,Non-legal issue,360.0
2023,,,,,,,Non-legal issue,334.0
2024,,,,,,,Non-legal issue,388.0
2015,,,,,,,Other,4249.0
2016,,,,,,,Other,20545.0
2017,,,,,,,Other,48615.0
2018,,,,,,,Other,55540.0
2019,,,,,,,Other,96305.0
2020,,,,,,,Other,51778.0
2021,,,,,,,Other,36315.0
2022,,,,,,,Other,13261.0
2023,,,,,,,Other,5566.0
2024,,,,,,,Other,4350.0
2015,,,,,,,Criminal law and criminal procedure,
2016,,,,,,,Criminal law and criminal procedure,
2017,,,,,,,Criminal law and criminal procedure,
2018,,,,,,,Criminal law and criminal procedure,
2019,,,,,,,Criminal law and criminal procedure,17708.0
2020,,,,,,,Criminal law and criminal procedure,19608.0
2021,,,,,,,Criminal law and criminal procedure,23039.0
2022,,,,,,,Criminal law and criminal procedure,15590.0
2023,,,,,,,Criminal law and criminal procedure,19101.0
2024,,,,,,,Criminal law and criminal procedure,19470.0
2015,,,,,,,Pension law,
2016,,,,,,,Pension law,
2017,,,,,,,Pension law,
2018,,,,,,,Pension law,
2019,,,,,,,Pension law,27043.0
2020,,,,,,,Pension law,24566.0
2021,,,,,,,Pension law,32649.0
2022,,,,,,,Pension law,29413.0
2023,,,,,,,Pension law,33126.0
2024,,,,,,,Pension law,26903.0
2015,,,,,,,Tax law,
2016,,,,,,,Tax law,
2017,,,,,,,Tax law,
2018,,,,,,,Tax law,
2019,,,,,,,Tax law,4613.0
2020,,,,,,,Tax law,5337.0
2021,,,,,,,Tax law,6426.0
2022,,,,,,,Tax law,4204.0
2023,,,,,,,Tax law,4444.0
2024,,,,,,,Tax law,4745.0
2015,,,,,,,Electoral law,
2016,,,,,,,Electoral law,
2017,,,,,,,Electoral law,
2018,,,,,,,Electoral law,
2019,,,,,,,Electoral law,
2020,,,,,,,Electoral law,
2021,,,,,,,Electoral law,
2022,,,,,,,Electoral law,5.0
2023,,,,,,,Electoral law,13.0
2024,,,,,,,Electoral law,16.0
2015,,,,,,,Commercial law,
2016,,,,,,,Commercial law,
2017,,,,,,,Commercial law,
2018,,,,,,,Commercial law,
2019,,,,,,,Commercial law,
2020,,,,,,,Commercial law,
2021,,,,,,,Commercial law,
2022,,,,,,,Commercial law,208.0
2023,,,,,,,Commercial law,487.0
2024,,,,,,,Commercial law,454.0
2015,,,,,,,Issues related to armed aggression,
2016,,,,,,,Issues related to armed aggression,
2017,,,,,,,Issues related to armed aggression,
2018,,,,,,,Issues related to armed aggression,
2019,,,,,,,Issues related to armed aggression,
2020,,,,,,,Issues related to armed aggression,
2021,,,,,,,Issues related to armed aggression,
2022,,,,,,,Issues related to armed aggression,5379.0
2023,,,,,,,Issues related to armed aggression,3209.0
2024,,,,,,,Issues related to armed aggression,2408.0
