Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Value
2016,Виробництво оптичних приладів і фотографічного устатковання,,,
2016,Виробництво магнітних і оптичних носіїв даних,,,
2016,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2016,Виробництво електророзподільчої та контрольної апаратури,,,
2016,Виробництво батарей і акумуляторів,,,
2016,Виробництво волоконно-оптичних кабелів,,,
2016,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2016,Виробництво електромонтажних пристроїв,,,
2016,Виробництво електричного освітлювального устатковання,,,
2016,Виробництво електричних побутових приладів,,,
2016,Виробництво неелектричних побутових приладів,,,
2016,Виробництво іншого електричного устатковання,,,
2016,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2016,Виробництво гідравлічного та пневматичного устатковання,,,
2016,Виробництво інших помп і компресорів,,,
2016,Виробництво інших кранів і клапанів,,,
2016,"Виробництво підшипників, зубчастих передач, елементів механічних передач і приводів",,,
2016,"Виробництво духових шаф, печей і пічних пальників",,,
2016,Виробництво підіймального та вантажно-розвантажувального устатковання,,,
2016,"Виробництво офісних машин і устатковання, крім комп'ютерів і периферійного устатковання",,,
2016,Виробництво ручних електромеханічних і пневматичних інструментів,,,
2016,Виробництво промислового холодильного та вентиляційного устатковання,,,
2016,"Виробництво інших машин і устатковання загального призначення, н.в.і.у.",,,
2016,Виробництво машин і устатковання для сільського та лісового господарства,,,
2016,Виробництво металообробних машин,,,
2016,Виробництво інших верстатів,,,
2016,Виробництво машин і устатковання для металургії,,,
2016,Виробництво машин і устатковання для добувної промисловості та будівництва,,,
2016,"Виробництво машин і устатковання для виготовлення харчових продуктів і напоїв, перероблення тютюну",,,
2016,"Виробництво машин і устатковання для виготовлення текстильних, швейних, хутряних і шкіряних виробів",,,
2016,Виробництво машин і устатковання для виготовлення паперу та картону,,,
2016,Виробництво машин і устатковання для виготовлення пластмас і гуми,,,
2016,"Виробництво інших машин і устатковання спеціального призначення, н.в.і.у.",,,
2016,Виробництво автотранспортних засобів,,,
2016,"Виробництво кузовів для автотранспортних засобів, причепів і напівпричепів",,,
2016,Виробництво електричного й електронного устатковання для автотранспортних засобів,,,
2016,"Виробництво інших вузлів, деталей і приладдя для автотранспортних засобів",,,
2016,Будування суден і плавучих конструкцій,,,
2016,Будування прогулянкових і спортивних човнів,,,
2016,Виробництво залізничних локомотивів і рухомого складу,,,
2016,"Виробництво повітряних і космічних літальних апаратів, супутнього устатковання",,,
2016,Виробництво військових транспортних засобів,,,
2016,Виробництво мотоциклів,,,
2016,"Виробництво велосипедів, дитячих та інвалідних колясок",,,
2016,"Виробництво інших транспортних засобів і обладнання, н.в.і.у.",,,
2016,Виробництво меблів для офісів і підприємств торгівлі,,,
2016,Виробництво кухонних меблів,,,
2016,Виробництво матраців,,,
2016,Виробництво інших меблів,,,
2016,Карбування монет,,,
2016,Виробництво ювелірних і подібних виробів,,,
2016,Виробництво біжутерії та подібних виробів,,,
2016,Виробництво музичних інструментів,,,
2016,Виробництво спортивних товарів,,,
2016,Виробництво ігор та іграшок,,,
2016,Виробництво медичних і стоматологічних інструментів і матеріалів,,,
2016,Виробництво мітел і щіток,,,
2016,"Виробництво іншої продукції, н.в.і.у.",,,
2016,Ремонт і технічне обслуговування готових металевих виробів,,,
2016,Ремонт і технічне обслуговування машин і устатковання промислового призначення,,,
2016,Ремонт і технічне обслуговування електронного й оптичного устатковання,,,
2016,Ремонт і технічне обслуговування електричного устатковання,,,
2016,Ремонт і технічне обслуговування суден і човнів,,,
2016,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів,,,
2016,Ремонт і технічне обслуговування інших транспортних засобів,,,
2016,Ремонт і технічне обслуговування інших машин і устатковання,,,
2016,Установлення та монтаж машин і устатковання,,,
2016,Виробництво електроенергії,,,
2016,Передача електроенергії,,,
2016,Розподілення електроенергії,,,
2016,Торгівля електроенергією,,,
2016,Виробництво газу,,,
2016,Розподілення газоподібного палива через місцеві (локальні) трубопроводи,,,
2016,Торгівля газом через місцеві (локальні) трубопроводи,,,
2016,"Постачання пари, гарячої води та кондиційованого повітря",,,
2016,Забір очищення та постачання води,,,
2016,"Каналізація, відведення й очищення стічних вод",,,
2016,Збирання безпечних відходів,,,
2016,Збирання небезпечних відходів,,,
2016,Оброблення та видалення безпечних відходів,,,
2016,Оброблення та видалення небезпечних відходів,,,
2016,Демонтаж (розбирання) машин і устатковання,,,
2016,Відновлення відсортованих відходів,,,
2016,Інша діяльність щодо поводження з відходами,,,
2016,Організація будівництва будівель,,,
2016,Будівництво житлових і нежитлових будівель,,,
2016,Будівництво доріг і автострад,,,
2016,Будівництво залізниць і метрополітену,,,
2016,Будівництво мостів і тунелів,,,
2016,Будівництво трубопроводів,,,
2016,Будівництво споруд електропостачання та телекомунікацій,,,
2016,Будівництво водних споруд,,,
2016,"Будівництво інших споруд, н.в.і.у.",,,
2016,Знесення,,,
2016,Підготовчі роботи на будівельному майданчику,,,
2016,Розвідувальне буріння,,,
2016,Електромонтажні роботи,,,
2016,"Монтаж водопровідних мереж, систем опалення та кондиціонування",,,
2016,Інші будівельно-монтажні роботи,,,
2016,Штукатурні роботи,,,
2016,Установлення столярних виробів,,,
2016,Покриття підлоги й облицювання стін,,,
2016,Малярні роботи та скління,,,
2016,Інші роботи із завершення будівництва,,,
2016,Покрівельні роботи,,,
2016,"Інші спеціалізовані будівельні роботи, н.в.і.у.",,,
2016,Торгівля автомобілями та легковими автотранспортними засобами,,,
2016,Торгівля іншими автотранспортними засобами,,,
2016,Технічне обслуговування та ремонт автотранспортних засобів,,,
2016,Оптова торгівля деталями та приладдям для автотранспортних засобів,,,
2016,Роздрібна торгівля деталями та приладдям для автотранспортних засобів,,,
2016,"Торгівля мотоциклами, деталями та приладдям до них, технічне обслуговування і ремонт мотоциклів",,,
2016,"Діяльність посередників у торгівлі сільськогосподарською сировиною, живими тваринами, текстильною сировиною та напівфабрикатами",,,
2016,"Діяльність посередників у торгівлі паливом, рудами, металами та промисловими хімічними речовинами",,,
2016,"Діяльність посередників у торгівлі деревиною, будівельними матеріалами та санітарно-технічними виробами",,,
2016,"Діяльність посередників у торгівлі машинами, промисловим устаткованням, суднами та літаками",,,
2016,"Діяльність посередників у торгівлі меблями, господарськими товарами, залізними та іншими металевими виробами",,,
2016,"Діяльність посередників у торгівлі текстильними виробами, одягом, хутром, взуттям і шкіряними виробами",,,
2016,"Діяльність посередників у торгівлі продуктами харчування, напоями та тютюновими виробами",,,
2016,"Діяльність посередників, що спеціалізуються в торгівлі іншими товарами",,,
2016,Діяльність посередників у торгівлі товарами широкого асортименту,,,
2016,"Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин",,,
2016,Оптова торгівля квітами та рослинами,,,
2016,Оптова торгівля живими тваринами,,,
2016,"Оптова торгівля шкірсировиною, шкурами та шкірою",,,
2016,Оптова торгівля фруктами й овочами,,,
2016,Оптова торгівля м'ясом і м'ясними продуктами,,,
2016,"Оптова торгівля молочними продуктами, яйцями, харчовими оліями та жирами",,,
2016,Оптова торгівля напоями,,,
2016,Оптова торгівля тютюновими виробами,,,
2016,"Оптова торгівля цукром, шоколадом і кондитерськими виробами",,,
2016,"Оптова торгівля кавою, чаєм, какао та прянощами",,,
2016,"Оптова торгівля іншими продуктами харчування, у тому числі рибою, ракоподібними і молюсками",,,
2016,"Неспеціалізована оптова торгівля продуктами харчування, напоями та тютюновими виробами",,,
2016,Оптова торгівля текстильними товарами,,,
2016,Оптова торгівля одягом і взуттям,,,
2016,"Оптова торгівля побутовими електротоварами й електронною апаратурою побутового призначення для приймання, записування, відтворювання звуку й зображення",,,
2016,"Оптова торгівля фарфором, скляним посудом і засобами для чищення",,,
2016,Оптова торгівля парфумними та косметичними товарами,,,
2016,Оптова торгівля фармацевтичними товарами,,,
2016,"Оптова торгівля меблями, килимами й освітлювальним приладдям",,,
2016,Оптова торгівля годинниками та ювелірними виробами,,,
2016,Оптова торгівля іншими товарами господарського призначення,,,
2016,"Оптова торгівля комп'ютерами, периферійним устаткованням і програмним забезпеченням",,,
2016,"Оптова торгівля електронним і телекомунікаційним устаткованням, деталями до нього",,,
2016,Оптова торгівля сільськогосподарськими машинами й устаткованням,,,
2016,Оптова торгівля верстатами,,,
2016,Оптова торгівля машинами й устаткованням для добувної промисловості та будівництва,,,
2016,"Оптова торгівля машинами й устаткованням для текстильного, швейного та трикотажного виробництва",,,
2016,Оптова торгівля офісними меблями,,,
2016,Оптова торгівля іншими офісними машинами й устаткованням,,,
2016,Оптова торгівля іншими машинами й устаткованням,,,
2016,"Оптова торгівля твердим, рідким, газоподібним паливом і подібними продуктами",,,
2016,Оптова торгівля металами та металевими рудами,,,
2016,"Оптова торгівля деревиною, будівельними матеріалами та санітарно-технічним обладнанням",,,
2016,"Оптова торгівля залізними виробами, водопровідним і опалювальним устаткованням і приладдям до нього",,,
2016,Оптова торгівля хімічними продуктами,,,
2016,Оптова торгівля іншими проміжними продуктами,,,
2016,Оптова торгівля відходами та брухтом,,,
2016,Неспеціалізована оптова торгівля,,,
2016,"Роздрібна торгівля в неспеціалізованих магазинах переважно продуктами харчування, напоями та тютюновими виробами",,,
2016,Інші види роздрібної торгівлі в неспеціалізованих магазинах,,,
2016,Роздрібна торгівля фруктами й овочами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля м'ясом і м'ясними продуктами в спеціалізованих магазинах,,,
2016,"Роздрібна торгівля рибою, ракоподібними та молюсками в спеціалізованих магазинах",,,
2016,"Роздрібна торгівля хлібобулочними виробами, борошняними та цукровими кондитерськими виробами в спеціалізованих магазинах",,,
2016,Роздрібна торгівля напоями в спеціалізованих магазинах,,,
2016,Роздрібна торгівля тютюновими виробами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля іншими продуктами харчування в спеціалізованих магазинах,,,
2016,Роздрібна торгівля пальним,,,
2016,"Роздрібна торгівля комп'ютерами, периферійним устаткованням і програмним забезпеченням у спеціалізованих магазинах",,,
2016,Роздрібна торгівля телекомунікаційним устаткованням у спеціалізованих магазинах,,,
2016,"Роздрібна торгівля в спеціалізованих магазинах електронною апаратурою побутового призначення для приймання, записування, відтворювання звуку й зображення",,,
2016,Роздрібна торгівля текстильними товарами в спеціалізованих магазинах,,,
2016,"Роздрібна торгівля залізними виробами, будівельними матеріалами та санітарно-технічними виробами в спеціалізованих магазинах",,,
2016,"Роздрібна торгівля килимами, килимовими виробами, покриттям для стін і підлоги в спеціалізованих магазинах",,,
2016,Роздрібна торгівля побутовими електротоварами в спеціалізованих магазинах,,,
2016,"Роздрібна торгівля меблями, освітлювальним приладдям та іншими товарами для дому в спеціалізованих магазинах",,,
2016,Роздрібна торгівля книгами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля газетами та канцелярськими товарами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля аудіо- та відеозаписами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля спортивним інвентарем у спеціалізованих магазинах,,,
2016,Роздрібна торгівля іграми та іграшками в спеціалізованих магазинах,,,
2016,Роздрібна торгівля одягом у спеціалізованих магазинах,,,
2016,Роздрібна торгівля взуттям і шкіряними виробами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля медичними й ортопедичними товарами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля косметичними товарами та туалетними приналежностями в спеціалізованих магазинах,,,
2016,"Роздрібна торгівля квітами, рослинами, насінням, добривами, домашніми тваринами та кормами для них у спеціалізованих магазинах",,,
2016,Роздрібна торгівля годинниками та ювелірними виробами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля іншими невживаними товарами в спеціалізованих магазинах,,,
2016,Роздрібна торгівля уживаними товарами в магазинах,,,
2016,"Роздрібна торгівля з лотків і на ринках харчовими продуктами, напоями та тютюновими виробами",,,
2016,"Роздрібна торгівля з лотків і на ринках текстильними виробами, одягом і взуттям",,,
2016,Роздрібна торгівля з лотків і на ринках іншими товарами,,,
2016,"Роздрібна торгівля, що здійснюється фірмами поштового замовлення або через мережу Інтернет",,,
2016,Інші види роздрібної торгівлі поза магазинами,,,
2016,Пасажирський залізничний транспорт міжміського сполучення,,,
2016,Вантажний залізничний транспорт,,,
2016,Пасажирський наземний транспорт міського та приміського сполучення,,,
2016,Надання послуг таксі,,,
2016,"Інший пасажирський наземний транспорт, н.в.і.у.",,,
2016,Вантажний автомобільний транспорт,,,
2016,Надання послуг перевезення речей (переїзду),,,
2016,Трубопровідний транспорт,,,
2016,Пасажирський морський транспорт,,,
2016,Вантажний морський транспорт,,,
2016,Пасажирський річковий транспорт,,,
2016,Вантажний річковий транспорт,,,
2016,Пасажирський авіаційний транспорт,,,
2016,Вантажний авіаційний транспорт,,,
2016,Складське господарство,,,
2016,Допоміжне обслуговування наземного транспорту,,,
2016,Допоміжне обслуговування водного транспорту,,,
2016,Допоміжне обслуговування авіаційного транспорту,,,
2016,Транспортне оброблення вантажів,,,
2016,Інша допоміжна діяльність у сфері транспорту,,,
2016,Діяльність національної пошти,,,
2016,Інша поштова та кур'єрська діяльність,,,
2016,Діяльність готелів і подібних засобів тимчасового розміщування,,,
2016,Діяльність засобів розміщування на період відпустки та іншого тимчасового проживання,,,
