Year,Область,Стать,Місцевість проживання,Value
2018,Івано-Франківська,,,56.9
2019,Івано-Франківська,,,58.1
2020,Івано-Франківська,,,59.1
2021,Івано-Франківська,,,59.9
2022,Івано-Франківська,,,58.2
2023,Івано-Франківська,,,
2015,Київська,,,86.6
2016,Київська,,,87.0
2017,Київська,,,87.1
2018,Київська,,,83.9
2019,Київська,,,82.9
2020,Київська,,,82.0
2021,Київська,,,83.4
2022,Київська,,,77.5
2023,Київська,,,
2015,Кіровоградська,,,74.6
2016,Кіровоградська,,,74.3
2017,Кіровоградська,,,73.9
2018,Кіровоградська,,,75.9
2019,Кіровоградська,,,73.1
2020,Кіровоградська,,,73.1
2021,Кіровоградська,,,71.8
2022,Кіровоградська,,,67.5
2023,Кіровоградська,,,
2015,Львівська,,,67.7
2016,Львівська,,,67.4
2017,Львівська,,,64.9
2018,Львівська,,,66.0
2019,Львівська,,,65.0
2020,Львівська,,,67.0
2021,Львівська,,,66.3
2022,Львівська,,,64.2
2023,Львівська,,,
2015,Миколаївська,,,81.5
2016,Миколаївська,,,79.7
2017,Миколаївська,,,77.1
2018,Миколаївська,,,79.4
2019,Миколаївська,,,81.2
2020,Миколаївська,,,84.1
2021,Миколаївська,,,81.7
2022,Миколаївська,,,80.0
2023,Миколаївська,,,
2015,Одеська,,,63.0
2016,Одеська,,,62.5
2017,Одеська,,,64.3
2018,Одеська,,,63.9
2019,Одеська,,,64.8
2020,Одеська,,,65.6
2021,Одеська,,,66.5
2022,Одеська,,,62.4
2023,Одеська,,,
2015,Полтавська,,,79.8
2016,Полтавська,,,78.8
2017,Полтавська,,,78.1
2018,Полтавська,,,78.3
2019,Полтавська,,,76.8
2020,Полтавська,,,79.4
2021,Полтавська,,,78.1
2022,Полтавська,,,73.8
2023,Полтавська,,,
2015,Рівненська,,,71.4
2016,Рівненська,,,70.9
2017,Рівненська,,,72.5
2018,Рівненська,,,70.4
2019,Рівненська,,,74.3
2020,Рівненська,,,73.2
2021,Рівненська,,,74.1
2022,Рівненська,,,68.0
2023,Рівненська,,,
2015,Сумська,,,84.9
2016,Сумська,,,83.3
2017,Сумська,,,82.4
2018,Сумська,,,81.9
2019,Сумська,,,81.1
2020,Сумська,,,83.3
2021,Сумська,,,85.1
2022,Сумська,,,78.8
2023,Сумська,,,
2015,Тернопільська,,,74.2
2016,Тернопільська,,,71.7
2017,Тернопільська,,,72.0
2018,Тернопільська,,,69.9
2019,Тернопільська,,,71.8
2020,Тернопільська,,,70.9
2021,Тернопільська,,,73.3
2022,Тернопільська,,,69.1
2023,Тернопільська,,,
2015,Харківська,,,81.1
2016,Харківська,,,81.1
2017,Харківська,,,79.0
2018,Харківська,,,78.2
2019,Харківська,,,76.3
2020,Харківська,,,80.7
2021,Харківська,,,81.2
2022,Харківська,,,70.9
2023,Харківська,,,
2015,Херсонська,,,72.7
2016,Херсонська,,,71.8
2017,Херсонська,,,71.9
2018,Херсонська,,,70.2
2019,Херсонська,,,72.1
2020,Херсонська,,,69.8
2021,Херсонська,,,71.8
2022,Херсонська,,,34.7
2023,Херсонська,,,
2015,Хмельницька,,,93.0
2016,Хмельницька,,,86.3
2017,Хмельницька,,,85.5
2018,Хмельницька,,,86.4
2019,Хмельницька,,,86.0
2020,Хмельницька,,,86.2
2021,Хмельницька,,,86.7
2022,Хмельницька,,,79.6
2023,Хмельницька,,,
2015,Черкаська,,,82.0
2016,Черкаська,,,81.7
2017,Черкаська,,,81.6
2018,Черкаська,,,79.7
2019,Черкаська,,,76.3
2020,Черкаська,,,74.6
2021,Черкаська,,,78.9
2022,Черкаська,,,73.1
2023,Черкаська,,,
2015,Чернівецька,,,76.6
2016,Чернівецька,,,72.8
2017,Чернівецька,,,75.0
2018,Чернівецька,,,72.7
2019,Чернівецька,,,71.8
2020,Чернівецька,,,71.5
2021,Чернівецька,,,71.8
2022,Чернівецька,,,66.1
2023,Чернівецька,,,
2015,Чернігівська,,,80.9
2016,Чернігівська,,,74.6
2017,Чернігівська,,,79.2
2018,Чернігівська,,,75.3
2019,Чернігівська,,,74.4
2020,Чернігівська,,,78.8
2021,Чернігівська,,,75.8
2022,Чернігівська,,,68.8
2023,Чернігівська,,,
2015,місто Київ,,,86.5
2016,місто Київ,,,89.1
2017,місто Київ,,,85.1
2018,місто Київ,,,84.4
2019,місто Київ,,,81.1
2020,місто Київ,,,77.2
2021,місто Київ,,,71.8
2022,місто Київ,,,69.8
2023,місто Київ,,,
2018,,жінки,,66.0
2019,,жінки,,69.3
2020,,жінки,,66.3
2021,,жінки,,71.9
2022,,жінки,,65.3
2023,,жінки,,
2018,,чоловіки,,73.9
2019,,чоловіки,,69.0
2020,,чоловіки,,67.1
2021,,чоловіки,,71.9
2022,,чоловіки,,65.1
2023,,чоловіки,,
2015,,,міська,77.4
2016,,,міська,76.8
2017,,,міська,76.4
2018,,,міська,76.3
2019,,,міська,78.8
2020,,,міська,85.7
2021,,,міська,83.3
2022,,,міська,75.2
2023,,,міська,
2015,,,сільська,57.4
2016,,,сільська,56.0
2017,,,сільська,56.1
2018,,,сільська,54.9
2019,,,сільська,54.4
2020,,,сільська,54.3
2021,,,сільська,54.3
2022,,,сільська,47.1
2023,,,сільська,
