Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Кількість найманих працівників,Value
2016,Вирощування цукрової тростини,,,,
2017,Вирощування цукрової тростини,,,,
2018,Вирощування цукрової тростини,,,,
2019,Вирощування цукрової тростини,,,,
2020,Вирощування цукрової тростини,,,,
2021,Вирощування цукрової тростини,,,,
2022,Вирощування цукрової тростини,,,,
2023,Вирощування цукрової тростини,,,,
2024,Вирощування цукрової тростини,,,,
2015,Вирощування тютюну,,,,
2016,Вирощування тютюну,,,,
2017,Вирощування тютюну,,,,
2018,Вирощування тютюну,,,,
2019,Вирощування тютюну,,,,
2020,Вирощування тютюну,,,,
2021,Вирощування тютюну,,,,
2022,Вирощування тютюну,,,,
2023,Вирощування тютюну,,,,
2024,Вирощування тютюну,,,,
2015,Вирощування прядивних культур,,,,
2016,Вирощування прядивних культур,,,,
2017,Вирощування прядивних культур,,,,
2018,Вирощування прядивних культур,,,,
2019,Вирощування прядивних культур,,,,
2020,Вирощування прядивних культур,,,,
2021,Вирощування прядивних культур,,,,23.8
2022,Вирощування прядивних культур,,,,25.0
2023,Вирощування прядивних культур,,,,38.9
2024,Вирощування прядивних культур,,,,21.1
2015,Вирощування інших однорічних і дворічних культур,,,,
2016,Вирощування інших однорічних і дворічних культур,,,,
2017,Вирощування інших однорічних і дворічних культур,,,,
2018,Вирощування інших однорічних і дворічних культур,,,,
2019,Вирощування інших однорічних і дворічних культур,,,,
2020,Вирощування інших однорічних і дворічних культур,,,,
2021,Вирощування інших однорічних і дворічних культур,,,,26.5
2022,Вирощування інших однорічних і дворічних культур,,,,29.9
2023,Вирощування інших однорічних і дворічних культур,,,,27.0
2024,Вирощування інших однорічних і дворічних культур,,,,28.2
2015,Вирощування винограду,,,,
2016,Вирощування винограду,,,,
2017,Вирощування винограду,,,,
2018,Вирощування винограду,,,,
2019,Вирощування винограду,,,,
2020,Вирощування винограду,,,,
2021,Вирощування винограду,,,,19.7
2022,Вирощування винограду,,,,18.9
2023,Вирощування винограду,,,,21.6
2024,Вирощування винограду,,,,25.2
2015,Вирощування зерняткових і кісточкових фруктів,,,,
2016,Вирощування зерняткових і кісточкових фруктів,,,,
2017,Вирощування зерняткових і кісточкових фруктів,,,,
2018,Вирощування зерняткових і кісточкових фруктів,,,,
2019,Вирощування зерняткових і кісточкових фруктів,,,,
2020,Вирощування зерняткових і кісточкових фруктів,,,,
2021,Вирощування зерняткових і кісточкових фруктів,,,,20.8
2022,Вирощування зерняткових і кісточкових фруктів,,,,21.0
2023,Вирощування зерняткових і кісточкових фруктів,,,,20.3
2024,Вирощування зерняткових і кісточкових фруктів,,,,23.0
2015,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,
2016,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,
2017,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,
2018,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,
2019,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,
2020,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,
2021,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,18.1
2022,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,19.7
2023,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,22.6
2024,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,,24.3
2015,Вирощування культур для виробництва напоїв,,,,
2016,Вирощування культур для виробництва напоїв,,,,
2017,Вирощування культур для виробництва напоїв,,,,
2018,Вирощування культур для виробництва напоїв,,,,
2019,Вирощування культур для виробництва напоїв,,,,
2020,Вирощування культур для виробництва напоїв,,,,
2021,Вирощування культур для виробництва напоїв,,,,
2022,Вирощування культур для виробництва напоїв,,,,
2023,Вирощування культур для виробництва напоїв,,,,
2024,Вирощування культур для виробництва напоїв,,,,
2015,"Вирощування пряних, ароматичних і лікарських культур",,,,
2016,"Вирощування пряних, ароматичних і лікарських культур",,,,
2017,"Вирощування пряних, ароматичних і лікарських культур",,,,
2018,"Вирощування пряних, ароматичних і лікарських культур",,,,
2019,"Вирощування пряних, ароматичних і лікарських культур",,,,
2020,"Вирощування пряних, ароматичних і лікарських культур",,,,
2021,"Вирощування пряних, ароматичних і лікарських культур",,,,18.9
2022,"Вирощування пряних, ароматичних і лікарських культур",,,,17.3
2023,"Вирощування пряних, ароматичних і лікарських культур",,,,22.0
2024,"Вирощування пряних, ароматичних і лікарських культур",,,,22.2
2015,Вирощування інших багаторічних культур,,,,
2016,Вирощування інших багаторічних культур,,,,
2017,Вирощування інших багаторічних культур,,,,
2018,Вирощування інших багаторічних культур,,,,
2019,Вирощування інших багаторічних культур,,,,
2020,Вирощування інших багаторічних культур,,,,
2021,Вирощування інших багаторічних культур,,,,22.1
2022,Вирощування інших багаторічних культур,,,,18.5
2023,Вирощування інших багаторічних культур,,,,20.4
2024,Вирощування інших багаторічних культур,,,,25.5
2015,Відтворення рослин,,,,
2016,Відтворення рослин,,,,
2017,Відтворення рослин,,,,
2018,Відтворення рослин,,,,
2019,Відтворення рослин,,,,
2020,Відтворення рослин,,,,
2021,Відтворення рослин,,,,26.5
2022,Відтворення рослин,,,,29.6
2023,Відтворення рослин,,,,22.4
2024,Відтворення рослин,,,,25.7
2015,Розведення великої рогатої худоби молочних порід,,,,
2016,Розведення великої рогатої худоби молочних порід,,,,
2017,Розведення великої рогатої худоби молочних порід,,,,
2018,Розведення великої рогатої худоби молочних порід,,,,
2019,Розведення великої рогатої худоби молочних порід,,,,
2020,Розведення великої рогатої худоби молочних порід,,,,
2021,Розведення великої рогатої худоби молочних порід,,,,19.4
2022,Розведення великої рогатої худоби молочних порід,,,,18.6
2023,Розведення великої рогатої худоби молочних порід,,,,19.1
2024,Розведення великої рогатої худоби молочних порід,,,,21.4
2015,Розведення іншої великої рогатої худоби та буйволів,,,,
2016,Розведення іншої великої рогатої худоби та буйволів,,,,
2017,Розведення іншої великої рогатої худоби та буйволів,,,,
2018,Розведення іншої великої рогатої худоби та буйволів,,,,
2019,Розведення іншої великої рогатої худоби та буйволів,,,,
2020,Розведення іншої великої рогатої худоби та буйволів,,,,
2021,Розведення іншої великої рогатої худоби та буйволів,,,,22.0
2022,Розведення іншої великої рогатої худоби та буйволів,,,,22.1
2023,Розведення іншої великої рогатої худоби та буйволів,,,,19.2
2024,Розведення іншої великої рогатої худоби та буйволів,,,,19.8
2015,Розведення коней та інших тварин родини конячих,,,,
2016,Розведення коней та інших тварин родини конячих,,,,
2017,Розведення коней та інших тварин родини конячих,,,,
2018,Розведення коней та інших тварин родини конячих,,,,
2019,Розведення коней та інших тварин родини конячих,,,,
2020,Розведення коней та інших тварин родини конячих,,,,
2021,Розведення коней та інших тварин родини конячих,,,,27.0
2022,Розведення коней та інших тварин родини конячих,,,,35.9
2023,Розведення коней та інших тварин родини конячих,,,,36.8
2024,Розведення коней та інших тварин родини конячих,,,,36.8
2015,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2016,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2017,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2018,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2019,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2020,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2021,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2022,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2023,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2024,Розведення верблюдів та інших тварин родини верблюдячих,,,,
2015,Розведення овець і кіз,,,,
2016,Розведення овець і кіз,,,,
2017,Розведення овець і кіз,,,,
2018,Розведення овець і кіз,,,,
2019,Розведення овець і кіз,,,,
2020,Розведення овець і кіз,,,,
2021,Розведення овець і кіз,,,,17.5
2022,Розведення овець і кіз,,,,18.1
2023,Розведення овець і кіз,,,,19.1
2024,Розведення овець і кіз,,,,17.9
2015,Розведення свиней,,,,
2016,Розведення свиней,,,,
2017,Розведення свиней,,,,
2018,Розведення свиней,,,,
2019,Розведення свиней,,,,
2020,Розведення свиней,,,,
2021,Розведення свиней,,,,22.0
2022,Розведення свиней,,,,21.6
2023,Розведення свиней,,,,20.1
2024,Розведення свиней,,,,20.4
2015,Розведення свійської птиці,,,,
2016,Розведення свійської птиці,,,,
2017,Розведення свійської птиці,,,,
2018,Розведення свійської птиці,,,,
2019,Розведення свійської птиці,,,,
2020,Розведення свійської птиці,,,,
2021,Розведення свійської птиці,,,,23.3
2022,Розведення свійської птиці,,,,22.8
2023,Розведення свійської птиці,,,,21.9
2024,Розведення свійської птиці,,,,24.0
2015,Розведення інших тварин,,,,
2016,Розведення інших тварин,,,,
2017,Розведення інших тварин,,,,
2018,Розведення інших тварин,,,,
2019,Розведення інших тварин,,,,
2020,Розведення інших тварин,,,,
2021,Розведення інших тварин,,,,22.6
2022,Розведення інших тварин,,,,19.7
2023,Розведення інших тварин,,,,23.7
2024,Розведення інших тварин,,,,23.6
2015,Змішане сільське господарство,,,,
2016,Змішане сільське господарство,,,,
2017,Змішане сільське господарство,,,,
2018,Змішане сільське господарство,,,,
2019,Змішане сільське господарство,,,,
2020,Змішане сільське господарство,,,,
2021,Змішане сільське господарство,,,,18.7
2022,Змішане сільське господарство,,,,18.2
2023,Змішане сільське господарство,,,,18.6
2024,Змішане сільське господарство,,,,19.2
2015,Допоміжна діяльність у рослинництві,,,,
2016,Допоміжна діяльність у рослинництві,,,,
2017,Допоміжна діяльність у рослинництві,,,,
2018,Допоміжна діяльність у рослинництві,,,,
2019,Допоміжна діяльність у рослинництві,,,,
2020,Допоміжна діяльність у рослинництві,,,,
2021,Допоміжна діяльність у рослинництві,,,,19.6
2022,Допоміжна діяльність у рослинництві,,,,19.7
2023,Допоміжна діяльність у рослинництві,,,,19.5
2024,Допоміжна діяльність у рослинництві,,,,19.9
2015,Допоміжна діяльність у тваринництві,,,,
2016,Допоміжна діяльність у тваринництві,,,,
2017,Допоміжна діяльність у тваринництві,,,,
2018,Допоміжна діяльність у тваринництві,,,,
2019,Допоміжна діяльність у тваринництві,,,,
2020,Допоміжна діяльність у тваринництві,,,,
2021,Допоміжна діяльність у тваринництві,,,,23.7
2022,Допоміжна діяльність у тваринництві,,,,25.7
2023,Допоміжна діяльність у тваринництві,,,,26.6
2024,Допоміжна діяльність у тваринництві,,,,27.4
2015,Післяурожайна діяльність,,,,
2016,Післяурожайна діяльність,,,,
2017,Післяурожайна діяльність,,,,
2018,Післяурожайна діяльність,,,,
2019,Післяурожайна діяльність,,,,
2020,Післяурожайна діяльність,,,,
2021,Післяурожайна діяльність,,,,20.0
2022,Післяурожайна діяльність,,,,22.5
2023,Післяурожайна діяльність,,,,21.1
2024,Післяурожайна діяльність,,,,22.5
2015,Оброблення насіння для відтворення,,,,
2016,Оброблення насіння для відтворення,,,,
2017,Оброблення насіння для відтворення,,,,
2018,Оброблення насіння для відтворення,,,,
2019,Оброблення насіння для відтворення,,,,
2020,Оброблення насіння для відтворення,,,,
2021,Оброблення насіння для відтворення,,,,16.7
2022,Оброблення насіння для відтворення,,,,14.5
2023,Оброблення насіння для відтворення,,,,19.3
2024,Оброблення насіння для відтворення,,,,20.3
2015,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,
2016,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,
2017,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,
2018,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,
2019,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,
2020,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,
2021,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,5.5
2022,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,5.1
2023,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,5.3
2024,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,,6.1
2015,Лісівництво та інша діяльність у лісовому господарстві,,,,
2016,Лісівництво та інша діяльність у лісовому господарстві,,,,
2017,Лісівництво та інша діяльність у лісовому господарстві,,,,
2018,Лісівництво та інша діяльність у лісовому господарстві,,,,
2019,Лісівництво та інша діяльність у лісовому господарстві,,,,
2020,Лісівництво та інша діяльність у лісовому господарстві,,,,
2021,Лісівництво та інша діяльність у лісовому господарстві,,,,8.3
2022,Лісівництво та інша діяльність у лісовому господарстві,,,,4.6
2023,Лісівництво та інша діяльність у лісовому господарстві,,,,5.6
2024,Лісівництво та інша діяльність у лісовому господарстві,,,,8.6
2015,Лісозаготівлі,,,,
2016,Лісозаготівлі,,,,
2017,Лісозаготівлі,,,,
2018,Лісозаготівлі,,,,
2019,Лісозаготівлі,,,,
2020,Лісозаготівлі,,,,
2021,Лісозаготівлі,,,,8.4
2022,Лісозаготівлі,,,,7.7
2023,Лісозаготівлі,,,,12.6
2024,Лісозаготівлі,,,,14.3
2015,Збирання дикорослих недеревних продуктів,,,,
2016,Збирання дикорослих недеревних продуктів,,,,
2017,Збирання дикорослих недеревних продуктів,,,,
2018,Збирання дикорослих недеревних продуктів,,,,
2019,Збирання дикорослих недеревних продуктів,,,,
2020,Збирання дикорослих недеревних продуктів,,,,
2021,Збирання дикорослих недеревних продуктів,,,,25.0
2022,Збирання дикорослих недеревних продуктів,,,,30.0
2023,Збирання дикорослих недеревних продуктів,,,,31.2
2024,Збирання дикорослих недеревних продуктів,,,,28.6
2015,Надання допоміжних послуг у лісовому господарстві,,,,
2016,Надання допоміжних послуг у лісовому господарстві,,,,
2017,Надання допоміжних послуг у лісовому господарстві,,,,
2018,Надання допоміжних послуг у лісовому господарстві,,,,
2019,Надання допоміжних послуг у лісовому господарстві,,,,
2020,Надання допоміжних послуг у лісовому господарстві,,,,
2021,Надання допоміжних послуг у лісовому господарстві,,,,12.1
2022,Надання допоміжних послуг у лісовому господарстві,,,,14.3
2023,Надання допоміжних послуг у лісовому господарстві,,,,14.8
2024,Надання допоміжних послуг у лісовому господарстві,,,,14.6
2015,Морське рибальство,,,,
2016,Морське рибальство,,,,
2017,Морське рибальство,,,,
2018,Морське рибальство,,,,
2019,Морське рибальство,,,,
2020,Морське рибальство,,,,
2021,Морське рибальство,,,,12.4
2022,Морське рибальство,,,,16.7
2023,Морське рибальство,,,,10.5
2024,Морське рибальство,,,,19.5
2015,Прісноводне рибальство,,,,
2016,Прісноводне рибальство,,,,
2017,Прісноводне рибальство,,,,
2018,Прісноводне рибальство,,,,
2019,Прісноводне рибальство,,,,
2020,Прісноводне рибальство,,,,
2021,Прісноводне рибальство,,,,17.8
2022,Прісноводне рибальство,,,,18.2
2023,Прісноводне рибальство,,,,19.2
2024,Прісноводне рибальство,,,,23.4
2015,Морське рибництво (аквакультура),,,,
2016,Морське рибництво (аквакультура),,,,
2017,Морське рибництво (аквакультура),,,,
2018,Морське рибництво (аквакультура),,,,
2019,Морське рибництво (аквакультура),,,,
2020,Морське рибництво (аквакультура),,,,
2021,Морське рибництво (аквакультура),,,,36.4
2022,Морське рибництво (аквакультура),,,,35.0
2023,Морське рибництво (аквакультура),,,,
2024,Морське рибництво (аквакультура),,,,33.3
2015,Прісноводне рибництво (аквакультура),,,,
2016,Прісноводне рибництво (аквакультура),,,,
2017,Прісноводне рибництво (аквакультура),,,,
2018,Прісноводне рибництво (аквакультура),,,,
2019,Прісноводне рибництво (аквакультура),,,,
2020,Прісноводне рибництво (аквакультура),,,,
2021,Прісноводне рибництво (аквакультура),,,,19.3
2022,Прісноводне рибництво (аквакультура),,,,19.5
2023,Прісноводне рибництво (аквакультура),,,,18.9
2024,Прісноводне рибництво (аквакультура),,,,19.7
2015,Добування кам'яного вугілля,,,,
2016,Добування кам'яного вугілля,,,,
2017,Добування кам'яного вугілля,,,,
2018,Добування кам'яного вугілля,,,,
2019,Добування кам'яного вугілля,,,,
2020,Добування кам'яного вугілля,,,,
2021,Добування кам'яного вугілля,,,,13.7
2022,Добування кам'яного вугілля,,,,13.0
2023,Добування кам'яного вугілля,,,,7.0
2024,Добування кам'яного вугілля,,,,7.1
2015,Добування бурого вугілля,,,,
2016,Добування бурого вугілля,,,,
2017,Добування бурого вугілля,,,,
2018,Добування бурого вугілля,,,,
2019,Добування бурого вугілля,,,,
2020,Добування бурого вугілля,,,,
2021,Добування бурого вугілля,,,,20.0
2022,Добування бурого вугілля,,,,
2023,Добування бурого вугілля,,,,
2024,Добування бурого вугілля,,,,
2015,Добування сирої нафти,,,,
2016,Добування сирої нафти,,,,
2017,Добування сирої нафти,,,,
2018,Добування сирої нафти,,,,
2019,Добування сирої нафти,,,,
2020,Добування сирої нафти,,,,
2021,Добування сирої нафти,,,,24.2
2022,Добування сирої нафти,,,,20.8
2023,Добування сирої нафти,,,,22.4
2024,Добування сирої нафти,,,,25.5
2015,Добування природного газу,,,,
2016,Добування природного газу,,,,
2017,Добування природного газу,,,,
2018,Добування природного газу,,,,
2019,Добування природного газу,,,,
2020,Добування природного газу,,,,
2021,Добування природного газу,,,,20.0
2022,Добування природного газу,,,,15.5
2023,Добування природного газу,,,,15.6
2024,Добування природного газу,,,,15.4
2015,Добування залізних руд,,,,
2016,Добування залізних руд,,,,
2017,Добування залізних руд,,,,
2018,Добування залізних руд,,,,
2019,Добування залізних руд,,,,
2020,Добування залізних руд,,,,
2021,Добування залізних руд,,,,20.8
2022,Добування залізних руд,,,,22.7
2023,Добування залізних руд,,,,18.2
2024,Добування залізних руд,,,,20.0
2015,Добування уранових і торієвих руд,,,,
2016,Добування уранових і торієвих руд,,,,
2017,Добування уранових і торієвих руд,,,,
2018,Добування уранових і торієвих руд,,,,
2019,Добування уранових і торієвих руд,,,,
2020,Добування уранових і торієвих руд,,,,
2021,Добування уранових і торієвих руд,,,,
2022,Добування уранових і торієвих руд,,,,
2023,Добування уранових і торієвих руд,,,,
2024,Добування уранових і торієвих руд,,,,
2015,Добування руд інших кольорових металів,,,,
2016,Добування руд інших кольорових металів,,,,
2017,Добування руд інших кольорових металів,,,,
2018,Добування руд інших кольорових металів,,,,
2019,Добування руд інших кольорових металів,,,,
2020,Добування руд інших кольорових металів,,,,
2021,Добування руд інших кольорових металів,,,,19.6
2022,Добування руд інших кольорових металів,,,,18.4
2023,Добування руд інших кольорових металів,,,,12.8
2024,Добування руд інших кольорових металів,,,,9.3
2015,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,
2016,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,
2017,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,
2018,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,
2019,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,
2020,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,
2021,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,15.7
2022,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,15.3
2023,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,14.9
2024,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,,16.7
2015,"Добування піску, гравію, глин і каоліну",,,,
2016,"Добування піску, гравію, глин і каоліну",,,,
2017,"Добування піску, гравію, глин і каоліну",,,,
2018,"Добування піску, гравію, глин і каоліну",,,,
2019,"Добування піску, гравію, глин і каоліну",,,,
2020,"Добування піску, гравію, глин і каоліну",,,,
2021,"Добування піску, гравію, глин і каоліну",,,,11.6
2022,"Добування піску, гравію, глин і каоліну",,,,10.8
2023,"Добування піску, гравію, глин і каоліну",,,,11.9
2024,"Добування піску, гравію, глин і каоліну",,,,14.3
2015,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,
2016,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,
2017,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,
2018,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,
2019,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,
2020,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,
2021,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,11.8
2022,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,15.0
2023,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,16.7
2024,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,,12.1
2015,Добування торфу,,,,
2016,Добування торфу,,,,
2017,Добування торфу,,,,
2018,Добування торфу,,,,
2019,Добування торфу,,,,
2020,Добування торфу,,,,
2021,Добування торфу,,,,15.9
2022,Добування торфу,,,,12.5
2023,Добування торфу,,,,20.0
2024,Добування торфу,,,,15.2
2015,Добування солі,,,,
2016,Добування солі,,,,
2017,Добування солі,,,,
2018,Добування солі,,,,
2019,Добування солі,,,,
2020,Добування солі,,,,
2021,Добування солі,,,,16.7
2022,Добування солі,,,,10.0
2023,Добування солі,,,,
2024,Добування солі,,,,12.5
2015,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,
2016,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,
2017,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,
2018,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,
2019,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,
2020,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,
2021,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,8.7
2022,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,10.9
2023,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,10.9
2024,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,,16.4
2015,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,
2016,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,
2017,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,
2018,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,
2019,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,
2020,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,
2021,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,17.0
2022,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,20.2
2023,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,15.8
2024,Надання допоміжних послуг у сфері добування нафти та природного газу,,,,16.0
2015,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,
2016,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,
2017,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,
2018,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,
2019,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,
2020,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,
2021,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,16.42
2022,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,16.9
2023,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,12.5
2024,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,,10.7
2015,Виробництво м'яса,,,,
2016,Виробництво м'яса,,,,
2017,Виробництво м'яса,,,,
2018,Виробництво м'яса,,,,
2019,Виробництво м'яса,,,,
2020,Виробництво м'яса,,,,
2021,Виробництво м'яса,,,,16.6
2022,Виробництво м'яса,,,,17.6
2023,Виробництво м'яса,,,,16.4
2024,Виробництво м'яса,,,,19.5
2015,Виробництво м'яса свійської птиці,,,,
2016,Виробництво м'яса свійської птиці,,,,
2017,Виробництво м'яса свійської птиці,,,,
2018,Виробництво м'яса свійської птиці,,,,
2019,Виробництво м'яса свійської птиці,,,,
2020,Виробництво м'яса свійської птиці,,,,
