Year,Область,За ознакою інвалідності,Value
2015,Кіровоградська,,
2016,Кіровоградська,,
2017,Кіровоградська,,
2018,Кіровоградська,,
2019,Кіровоградська,,
2020,Кіровоградська,,
2021,Кіровоградська,,
2022,Кіровоградська,,
2023,Кіровоградська,,2320.0
2024,Кіровоградська,,1878.0
2015,Луганська,,
2016,Луганська,,
2017,Луганська,,
2018,Луганська,,
2019,Луганська,,
2020,Луганська,,
2021,Луганська,,
2022,Луганська,,
2023,Луганська,,
2024,Луганська,,
2015,Львівська,,
2016,Львівська,,
2017,Львівська,,
2018,Львівська,,
2019,Львівська,,
2020,Львівська,,
2021,Львівська,,
2022,Львівська,,
2023,Львівська,,4706.0
2024,Львівська,,5446.0
2015,Миколаївська,,
2016,Миколаївська,,
2017,Миколаївська,,
2018,Миколаївська,,
2019,Миколаївська,,
2020,Миколаївська,,
2021,Миколаївська,,
2022,Миколаївська,,
2023,Миколаївська,,395.0
2024,Миколаївська,,392.0
2015,Одеська,,
2016,Одеська,,
2017,Одеська,,
2018,Одеська,,
2019,Одеська,,
2020,Одеська,,
2021,Одеська,,
2022,Одеська,,
2023,Одеська,,307.0
2024,Одеська,,354.0
2015,Полтавська,,
2016,Полтавська,,
2017,Полтавська,,
2018,Полтавська,,
2019,Полтавська,,
2020,Полтавська,,
2021,Полтавська,,
2022,Полтавська,,
2023,Полтавська,,3519.0
2024,Полтавська,,3480.0
2015,Рівненська,,
2016,Рівненська,,
2017,Рівненська,,
2018,Рівненська,,
2019,Рівненська,,
2020,Рівненська,,
2021,Рівненська,,
2022,Рівненська,,
2023,Рівненська,,1930.0
2024,Рівненська,,2095.0
2015,Сумська,,
2016,Сумська,,
2017,Сумська,,
2018,Сумська,,
2019,Сумська,,
2020,Сумська,,
2021,Сумська,,
2022,Сумська,,
2023,Сумська,,122.0
2024,Сумська,,220.0
2015,Тернопільська,,
2016,Тернопільська,,
2017,Тернопільська,,
2018,Тернопільська,,
2019,Тернопільська,,
2020,Тернопільська,,
2021,Тернопільська,,
2022,Тернопільська,,
2023,Тернопільська,,1230.0
2024,Тернопільська,,1450.0
2015,Харківська,,
2016,Харківська,,
2017,Харківська,,
2018,Харківська,,
2019,Харківська,,
2020,Харківська,,
2021,Харківська,,
2022,Харківська,,
2023,Харківська,,6207.0
2024,Харківська,,8456.0
2015,Херсонська,,
2016,Херсонська,,
2017,Херсонська,,
2018,Херсонська,,
2019,Херсонська,,
2020,Херсонська,,
2021,Херсонська,,
2022,Херсонська,,
2023,Херсонська,,105.0
2024,Херсонська,,79.0
2015,Хмельницька,,
2016,Хмельницька,,
2017,Хмельницька,,
2018,Хмельницька,,
2019,Хмельницька,,
2020,Хмельницька,,
2021,Хмельницька,,
2022,Хмельницька,,
2023,Хмельницька,,1882.0
2024,Хмельницька,,1902.0
2015,Черкаська,,
2016,Черкаська,,
2017,Черкаська,,
2018,Черкаська,,
2019,Черкаська,,
2020,Черкаська,,
2021,Черкаська,,
2022,Черкаська,,
2023,Черкаська,,1313.0
2024,Черкаська,,1734.0
2015,Чернівецька,,
2016,Чернівецька,,
2017,Чернівецька,,
2018,Чернівецька,,
2019,Чернівецька,,
2020,Чернівецька,,
2021,Чернівецька,,
2022,Чернівецька,,
2023,Чернівецька,,2771.0
2024,Чернівецька,,2723.0
2015,Чернігівська,,
2016,Чернігівська,,
2017,Чернігівська,,
2018,Чернігівська,,
2019,Чернігівська,,
2020,Чернігівська,,
2021,Чернігівська,,
2022,Чернігівська,,
2023,Чернігівська,,842.0
2024,Чернігівська,,842.0
2015,м. Київ,,
2016,м. Київ,,
2017,м. Київ,,
2018,м. Київ,,
2019,м. Київ,,
2020,м. Київ,,
2021,м. Київ,,
2022,м. Київ,,
2023,м. Київ,,
2024,м. Київ,,
2015,м. Севастополь,,
2016,м. Севастополь,,
2017,м. Севастополь,,
2018,м. Севастополь,,
2019,м. Севастополь,,
2020,м. Севастополь,,
2021,м. Севастополь,,
2022,м. Севастополь,,
2023,м. Севастополь,,
2024,м. Севастополь,,
2015,,За ознакою інвалідності,
2016,,За ознакою інвалідності,
2017,,За ознакою інвалідності,
2018,,За ознакою інвалідності,
2019,,За ознакою інвалідності,
2020,,За ознакою інвалідності,
2021,,За ознакою інвалідності,
2022,,За ознакою інвалідності,
2023,,За ознакою інвалідності,2253.0
2024,,За ознакою інвалідності,2835.0
