Year,Вік,Стать,Місцевість проживання,by frequency of use,за метою користування,Область,Value
2015,,,,,,,
2016,,,,,,,
2017,,,,,,,
2018,,,,,,,
2019,,,,,,,
2020,,,,,,,81.0
2021,,,,,,,85.1
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
2015,,,,,,Автономна Республіка Крим,
2016,,,,,,Автономна Республіка Крим,
2017,,,,,,Автономна Республіка Крим,
2018,,,,,,Автономна Республіка Крим,
2019,,,,,,Автономна Республіка Крим,
2020,,,,,,Автономна Республіка Крим,
2021,,,,,,Автономна Республіка Крим,
2022,,,,,,Автономна Республіка Крим,
2023,,,,,,Автономна Республіка Крим,
2024,,,,,,Автономна Республіка Крим,
2015,,,,,,Вінницька,
2016,,,,,,Вінницька,
2017,,,,,,Вінницька,
2018,,,,,,Вінницька,
2019,,,,,,Вінницька,
2020,,,,,,Вінницька,77.1
2021,,,,,,Вінницька,79.9
2022,,,,,,Вінницька,
2023,,,,,,Вінницька,
2024,,,,,,Вінницька,
2015,,,,,,Волинська,
2016,,,,,,Волинська,
2017,,,,,,Волинська,
2018,,,,,,Волинська,
2019,,,,,,Волинська,
2020,,,,,,Волинська,77.6
2021,,,,,,Волинська,80.9
2022,,,,,,Волинська,
2023,,,,,,Волинська,
2024,,,,,,Волинська,
2015,,,,,,Дніпропетровська,
2016,,,,,,Дніпропетровська,
2017,,,,,,Дніпропетровська,
2018,,,,,,Дніпропетровська,
2019,,,,,,Дніпропетровська,
2020,,,,,,Дніпропетровська,85.5
2021,,,,,,Дніпропетровська,92.0
2022,,,,,,Дніпропетровська,
2023,,,,,,Дніпропетровська,
2024,,,,,,Дніпропетровська,
2015,,,,,,Донецька,
2016,,,,,,Донецька,
2017,,,,,,Донецька,
2018,,,,,,Донецька,
2019,,,,,,Донецька,
2020,,,,,,Донецька,78.4
2021,,,,,,Донецька,89.5
2022,,,,,,Донецька,
2023,,,,,,Донецька,
2024,,,,,,Донецька,
2015,,,,,,Житомирська,
2016,,,,,,Житомирська,
2017,,,,,,Житомирська,
2018,,,,,,Житомирська,
2019,,,,,,Житомирська,
2020,,,,,,Житомирська,74.6
2021,,,,,,Житомирська,74.2
2022,,,,,,Житомирська,
2023,,,,,,Житомирська,
2024,,,,,,Житомирська,
2015,,,,,,Закарпатська,
2016,,,,,,Закарпатська,
2017,,,,,,Закарпатська,
2018,,,,,,Закарпатська,
2019,,,,,,Закарпатська,
2020,,,,,,Закарпатська,81.4
2021,,,,,,Закарпатська,92.3
2022,,,,,,Закарпатська,
2023,,,,,,Закарпатська,
2024,,,,,,Закарпатська,
2015,,,,,,Запорізька,
2016,,,,,,Запорізька,
2017,,,,,,Запорізька,
2018,,,,,,Запорізька,
2019,,,,,,Запорізька,
2020,,,,,,Запорізька,82.7
2021,,,,,,Запорізька,82.9
2022,,,,,,Запорізька,
2023,,,,,,Запорізька,
2024,,,,,,Запорізька,
2015,,,,,,Івано-Франківська,
2016,,,,,,Івано-Франківська,
2017,,,,,,Івано-Франківська,
2018,,,,,,Івано-Франківська,
2019,,,,,,Івано-Франківська,
2020,,,,,,Івано-Франківська,82.4
2021,,,,,,Івано-Франківська,89.9
2022,,,,,,Івано-Франківська,
2023,,,,,,Івано-Франківська,
2024,,,,,,Івано-Франківська,
2015,,,,,,Київська,
2016,,,,,,Київська,
2017,,,,,,Київська,
2018,,,,,,Київська,
2019,,,,,,Київська,
2020,,,,,,Київська,78.8
2021,,,,,,Київська,85.5
2022,,,,,,Київська,
2023,,,,,,Київська,
2024,,,,,,Київська,
2015,,,,,,Кіровоградська,
2016,,,,,,Кіровоградська,
2017,,,,,,Кіровоградська,
2018,,,,,,Кіровоградська,
2019,,,,,,Кіровоградська,
2020,,,,,,Кіровоградська,75.4
2021,,,,,,Кіровоградська,80.0
2022,,,,,,Кіровоградська,
2023,,,,,,Кіровоградська,
2024,,,,,,Кіровоградська,
2015,,,,,,Луганська,
