Year,Область,Категорія,Value
2017,Полтавська,,0.184
2017,Рівненська,,0.215
2017,Сумська,,0.187
2017,Тернопільська,,0.257
2017,Харківська,,0.188
2017,Херсонська,,0.215
2017,Хмельницька,,0.188
2017,Черкаська,,0.229
2017,Чернівецька,,0.207
2017,Чернігівська,,0.213
2017,м. Київ,,0.275
2017,м. Севастополь,,
2018,,,0.238
2018,,міська,0.244
2018,,сільська,0.218
2018,Автономна Республіка Крим,,
2018,Вінницька,,0.229
2018,Волинська,,0.218
2018,Дніпропетровська,,0.214
2018,Донецька,,0.243
2018,Житомирська,,0.23
2018,Закарпатська,,0.258
2018,Запорізька,,0.207
2018,Івано-Франківська,,0.171
2018,Київська,,0.238
2018,Кіровоградська,,0.218
2018,Луганська,,0.232
2018,Львівська,,0.207
2018,Миколаївська,,0.221
2018,Одеська,,0.224
2018,Полтавська,,0.232
2018,Рівненська,,0.201
2018,Сумська,,0.213
2018,Тернопільська,,0.182
2018,Харківська,,0.217
2018,Херсонська,,0.221
2018,Хмельницька,,0.19
2018,Черкаська,,0.213
2018,Чернівецька,,0.183
2018,Чернігівська,,0.251
2018,м. Київ,,0.266
2018,м. Севастополь,,
2019,,,0.249
2019,,міська,0.253
2019,,сільська,0.223
2019,Автономна Республіка Крим,,
2019,Вінницька,,0.198
2019,Волинська,,0.228
2019,Дніпропетровська,,0.239
2019,Донецька,,0.221
2019,Житомирська,,0.243
2019,Закарпатська,,0.236
2019,Запорізька,,0.217
2019,Івано-Франківська,,0.231
2019,Київська,,0.223
2019,Кіровоградська,,0.246
2019,Луганська,,0.217
2019,Львівська,,0.216
2019,Миколаївська,,0.226
2019,Одеська,,0.251
2019,Полтавська,,0.213
2019,Рівненська,,0.219
2019,Сумська,,0.203
2019,Тернопільська,,0.21
2019,Харківська,,0.203
2019,Херсонська,,0.248
2019,Хмельницька,,0.255
2019,Черкаська,,0.231
2019,Чернівецька,,0.228
2019,Чернігівська,,0.23
2019,м. Київ,,0.268
2019,м. Севастополь,,
2020,,,0.247
2020,,міська,0.254
2020,,сільська,0.219
2020,Автономна Республіка Крим,,
2020,Вінницька,,0.175
2020,Волинська,,0.216
2020,Дніпропетровська,,0.233
2020,Донецька,,0.25
2020,Житомирська,,0.21
2020,Закарпатська,,0.191
2020,Запорізька,,0.208
2020,Івано-Франківська,,0.179
2020,Київська,,0.228
2020,Кіровоградська,,0.228
2020,Луганська,,0.209
2020,Львівська,,0.218
2020,Миколаївська,,0.194
2020,Одеська,,0.256
2020,Полтавська,,0.212
2020,Рівненська,,0.216
2020,Сумська,,0.199
2020,Тернопільська,,0.176
2020,Харківська,,0.208
2020,Херсонська,,0.206
2020,Хмельницька,,0.229
2020,Черкаська,,0.206
2020,Чернівецька,,0.223
2020,Чернігівська,,0.196
2020,м. Київ,,0.317
2020,м. Севастополь,,
2021,,,0.244
2021,,міська,0.244
2021,,сільська,0.228
2021,Автономна Республіка Крим,,
2021,Вінницька,,0.188
2021,Волинська,,0.182
2021,Дніпропетровська,,0.22
2021,Донецька,,0.253
2021,Житомирська,,0.202
2021,Закарпатська,,0.218
2021,Запорізька,,0.214
2021,Івано-Франківська,,0.276
2021,Київська,,0.224
2021,Кіровоградська,,0.179
2021,Луганська,,0.224
2021,Львівська,,0.203
2021,Миколаївська,,0.24
2021,Одеська,,0.236
2021,Полтавська,,0.205
2021,Рівненська,,0.208
2021,Сумська,,0.201
2021,Тернопільська,,0.237
2021,Харківська,,0.207
2021,Херсонська,,0.209
2021,Хмельницька,,0.237
2021,Черкаська,,0.222
2021,Чернівецька,,0.201
2021,Чернігівська,,0.215
2021,м. Київ,,0.302
2021,м. Севастополь,,
2022,,,
2022,,міська,
2022,,сільська,
2022,Автономна Республіка Крим,,
2022,Вінницька,,
2022,Волинська,,
2022,Дніпропетровська,,
2022,Донецька,,
2022,Житомирська,,
2022,Закарпатська,,
2022,Запорізька,,
2022,Івано-Франківська,,
2022,Київська,,
2022,Кіровоградська,,
2022,Луганська,,
2022,Львівська,,
2022,Миколаївська,,
2022,Одеська,,
2022,Полтавська,,
2022,Рівненська,,
2022,Сумська,,
2022,Тернопільська,,
2022,Харківська,,
2022,Херсонська,,
2022,Хмельницька,,
2022,Черкаська,,
2022,Чернівецька,,
2022,Чернігівська,,
2022,м. Київ,,
2022,м. Севастополь,,
2023,,,
2023,,міська,
2023,,сільська,
2023,Автономна Республіка Крим,,
2023,Вінницька,,
2023,Волинська,,
2023,Дніпропетровська,,
2023,Донецька,,
2023,Житомирська,,
2023,Закарпатська,,
2023,Запорізька,,
2023,Івано-Франківська,,
2023,Київська,,
2023,Кіровоградська,,
2023,Луганська,,
2023,Львівська,,
2023,Миколаївська,,
2023,Одеська,,
2023,Полтавська,,
2023,Рівненська,,
2023,Сумська,,
2023,Тернопільська,,
2023,Харківська,,
2023,Херсонська,,
2023,Хмельницька,,
2023,Черкаська,,
2023,Чернівецька,,
2023,Чернігівська,,
2023,м. Київ,,
2023,м. Севастополь,,
2024,,,
2024,,міська,
2024,,сільська,
2024,Автономна Республіка Крим,,
2024,Вінницька,,
2024,Волинська,,
2024,Дніпропетровська,,
2024,Донецька,,
2024,Житомирська,,
2024,Закарпатська,,
2024,Запорізька,,
2024,Івано-Франківська,,
2024,Київська,,
2024,Кіровоградська,,
2024,Луганська,,
2024,Львівська,,
2024,Миколаївська,,
2024,Одеська,,
2024,Полтавська,,
2024,Рівненська,,
2024,Сумська,,
2024,Тернопільська,,
2024,Харківська,,
2024,Херсонська,,
2024,Хмельницька,,
2024,Черкаська,,
2024,Чернівецька,,
2024,Чернігівська,,
2024,м. Київ,,
2024,м. Севастополь,,
