Year,Види економічної діяльності,Річкові басейни,Область,Value
2015,,,Кіровоградська,4.166
2016,,,Кіровоградська,1.429
2017,,,Кіровоградська,1.328
2018,,,Кіровоградська,3.319
2019,,,Кіровоградська,3.024
2020,,,Кіровоградська,3.624
2021,,,Кіровоградська,16.045
2022,,,Кіровоградська,17.298
2023,,,Кіровоградська,16.289
2024,,,Кіровоградська,16.944
2015,,,Луганська,72.21
2016,,,Луганська,19.14
2017,,,Луганська,18.46
2018,,,Луганська,17.94
2019,,,Луганська,15.64
2020,,,Луганська,33.797
2021,,,Луганська,21.229
2022,,,Луганська,
2023,,,Луганська,
2024,,,Луганська,
2015,,,Львівська,45.08
2016,,,Львівська,46.16
2017,,,Львівська,70.81
2018,,,Львівська,42.01
2019,,,Львівська,45.43
2020,,,Львівська,123.15
2021,,,Львівська,119.826
2022,,,Львівська,113.858
2023,,,Львівська,118.51
2024,,,Львівська,112.256
2015,,,Миколаївська,20.98
2016,,,Миколаївська,22.16
2017,,,Миколаївська,22.36
2018,,,Миколаївська,21.22
2019,,,Миколаївська,19.66
2020,,,Миколаївська,20.69
2021,,,Миколаївська,20.241
2022,,,Миколаївська,13.286
2023,,,Миколаївська,14.643
2024,,,Миколаївська,16.732
2015,,,Одеська,43.69
2016,,,Одеська,28.53
2017,,,Одеська,32.65
2018,,,Одеська,14.91
2019,,,Одеська,36.21
2020,,,Одеська,24.558
2021,,,Одеська,33.084
2022,,,Одеська,4.74
2023,,,Одеська,13.548
2024,,,Одеська,10.262
2015,,,Полтавська,2.931
2016,,,Полтавська,2.847
2017,,,Полтавська,1.568
2018,,,Полтавська,2.174
2019,,,Полтавська,1.974
2020,,,Полтавська,2.02
2021,,,Полтавська,24.806
2022,,,Полтавська,23.321
2023,,,Полтавська,15.643
2024,,,Полтавська,6.811
2015,,,Рівненська,5.67
2016,,,Рівненська,4.626
2017,,,Рівненська,4.498
2018,,,Рівненська,4.449
2019,,,Рівненська,4.631
2020,,,Рівненська,14.983
2021,,,Рівненська,8.25
2022,,,Рівненська,4.127
2023,,,Рівненська,7.576
2024,,,Рівненська,2.925
2015,,,Сумська,21.98
2016,,,Сумська,23.73
2017,,,Сумська,23.03
2018,,,Сумська,23.11
2019,,,Сумська,21.23
2020,,,Сумська,19.889
2021,,,Сумська,18.51
2022,,,Сумська,14.838
2023,,,Сумська,13.904
2024,,,Сумська,13.974
2015,,,Тернопільська,2.327
2016,,,Тернопільська,2.454
2017,,,Тернопільська,2.603
2018,,,Тернопільська,2.554
2019,,,Тернопільська,2.371
2020,,,Тернопільська,2.067
2021,,,Тернопільська,2.173
2022,,,Тернопільська,2.074
2023,,,Тернопільська,1.667
2024,,,Тернопільська,1.651
2015,,,Харківська,10.41
2016,,,Харківська,9.77
2017,,,Харківська,9.81
2018,,,Харківська,14.07
2019,,,Харківська,14.73
2020,,,Харківська,12.547
2021,,,Харківська,5.367
2022,,,Харківська,3.322
2023,,,Харківська,3.852
2024,,,Харківська,3.875
2015,,,Херсонська,0.153
2016,,,Херсонська,0.989
2017,,,Херсонська,0.912
2018,,,Херсонська,2.106
2019,,,Херсонська,0.639
2020,,,Херсонська,2.525
2021,,,Херсонська,8.838
2022,,,Херсонська,
2023,,,Херсонська,
2024,,,Херсонська,
2015,,,Хмельницька,0.648
2016,,,Хмельницька,0.427
2017,,,Хмельницька,0.606
2018,,,Хмельницька,1.001
2019,,,Хмельницька,1.046
2020,,,Хмельницька,1.077
2021,,,Хмельницька,1.229
2022,,,Хмельницька,0.394
2023,,,Хмельницька,0.586
2024,,,Хмельницька,0.462
2015,,,Черкаська,5.958
2016,,,Черкаська,7.318
2017,,,Черкаська,4.486
2018,,,Черкаська,7.171
2019,,,Черкаська,2.854
2020,,,Черкаська,3.203
2021,,,Черкаська,4.134
2022,,,Черкаська,3.668
2023,,,Черкаська,3.566
2024,,,Черкаська,3.483
2015,,,Чернівецька,2.268
2016,,,Чернівецька,1.932
2017,,,Чернівецька,1.871
2018,,,Чернівецька,1.89
2019,,,Чернівецька,1.366
2020,,,Чернівецька,1.697
2021,,,Чернівецька,1.376
2022,,,Чернівецька,1.061
2023,,,Чернівецька,1.551
2024,,,Чернівецька,1.716
2015,,,Чернігівська,4.968
2016,,,Чернігівська,6.272
2017,,,Чернігівська,13.94
2018,,,Чернігівська,15.57
2019,,,Чернігівська,14.1
2020,,,Чернігівська,10.777
2021,,,Чернігівська,14.506
2022,,,Чернігівська,0.742
2023,,,Чернігівська,0.648
2024,,,Чернігівська,1.161
2015,,,місто Київ,20.96
2016,,,місто Київ,19.73
2017,,,місто Київ,284.3
2018,,,місто Київ,283.3
2019,,,місто Київ,287.4
2020,,,місто Київ,16.488
2021,,,місто Київ,16.259
2022,,,місто Київ,15.228
2023,,,місто Київ,12.932
2024,,,місто Київ,12.361
2015,,,Autonomous Republic of Crimea,
2016,,,Autonomous Republic of Crimea,
2017,,,Autonomous Republic of Crimea,
2018,,,Autonomous Republic of Crimea,
2019,,,Autonomous Republic of Crimea,
2020,,,Autonomous Republic of Crimea,
2021,,,Autonomous Republic of Crimea,
2022,,,Autonomous Republic of Crimea,
2023,,,Autonomous Republic of Crimea,
2024,,,Autonomous Republic of Crimea,
2015,,,City of Sevastopol,
2016,,,City of Sevastopol,
2017,,,City of Sevastopol,
2018,,,City of Sevastopol,
2019,,,City of Sevastopol,
2020,,,City of Sevastopol,
2021,,,City of Sevastopol,
2022,,,City of Sevastopol,
2023,,,City of Sevastopol,
2024,,,City of Sevastopol,
2015,,,Україна,875.1
2016,,,Україна,698.3
2017,,,Україна,997.3
2018,,,Україна,952.0
2019,,,Україна,737.2
2020,,,Україна,518.351
2021,,,Україна,543.093
2022,,,Україна,374.027
2023,,,Україна,375.647
2024,,,Україна,328.621
2015,,район басейну річок Приазов’я,,236.4
2016,,район басейну річок Приазов’я,,168.1
2017,,район басейну річок Приазов’я,,190.5
2018,,район басейну річок Приазов’я,,175.5
2019,,район басейну річок Приазов’я,,34.2
2020,,район басейну річок Приазов’я,,17.899
2021,,район басейну річок Приазов’я,,29.894
2022,,район басейну річок Приазов’я,,
2023,,район басейну річок Приазов’я,,
2024,,район басейну річок Приазов’я,,
2015,,район басейну річок Причорномор’я,,25.88
2016,,район басейну річок Причорномор’я,,11.01
2017,,район басейну річок Причорномор’я,,12.07
2018,,район басейну річок Причорномор’я,,12.25
2019,,район басейну річок Причорномор’я,,1.939
2020,,район басейну річок Причорномор’я,,3.408
2021,,район басейну річок Причорномор’я,,3.311
2022,,район басейну річок Причорномор’я,,1.42
2023,,район басейну річок Причорномор’я,,1.505
2024,,район басейну річок Причорномор’я,,1.748
2015,,район басейну річок Криму,,
2016,,район басейну річок Криму,,
2017,,район басейну річок Криму,,
2018,,район басейну річок Криму,,
2019,,район басейну річок Криму,,
2020,,район басейну річок Криму,,
2021,,район басейну річок Криму,,
2022,,район басейну річок Криму,,
2023,,район басейну річок Криму,,
2024,,район басейну річок Криму,,
2015,,район басейну річки Дунай,,19.35
2016,,район басейну річки Дунай,,20.57
2017,,район басейну річки Дунай,,24.64
2018,,район басейну річки Дунай,,7.111
2019,,район басейну річки Дунай,,36.53
2020,,район басейну річки Дунай,,25.829
2021,,район басейну річки Дунай,,33.597
2022,,район басейну річки Дунай,,6.437
2023,,район басейну річки Дунай,,17.854
2024,,район басейну річки Дунай,,12.136
2015,,район басейну річки Дністер,,11.17
2016,,район басейну річки Дністер,,11.87
2017,,район басейну річки Дністер,,11.74
2018,,район басейну річки Дністер,,11.66
2019,,район басейну річки Дністер,,10.31
2020,,район басейну річки Дністер,,9.528
2021,,район басейну річки Дністер,,10.8
2022,,район басейну річки Дністер,,8.011
2023,,район басейну річки Дністер,,9.434
2024,,район басейну річки Дністер,,8.419
2015,,район басейну річки Дніпро,,425.8
2016,,район басейну річки Дніпро,,377.8
2017,,район басейну річки Дніпро,,627.6
2018,,район басейну річки Дніпро,,636.3
2019,,район басейну річки Дніпро,,546.5
2020,,район басейну річки Дніпро,,227.896
2021,,район басейну річки Дніпро,,256.592
2022,,район басейну річки Дніпро,,210.212
2023,,район басейну річки Дніпро,,192.537
2024,,район басейну річки Дніпро,,169.643
2015,,район басейну річки Дон,,91.23
2016,,район басейну річки Дон,,42.64
2017,,район басейну річки Дон,,41.55
2018,,район басейну річки Дон,,46.99
2019,,район басейну річки Дон,,46.31
2020,,район басейну річки Дон,,90.946
2021,,район басейну річки Дон,,69.206
2022,,район басейну річки Дон,,20.585
2023,,район басейну річки Дон,,22.07
2024,,район басейну річки Дон,,8.038
2015,,район басейну річки Південний Буг,,25.83
2016,,район басейну річки Південний Буг,,26.19
2017,,район басейну річки Південний Буг,,24.73
2018,,район басейну річки Південний Буг,,26.03
2019,,район басейну річки Південний Буг,,21.59
2020,,район басейну річки Південний Буг,,24.759
2021,,район басейну річки Південний Буг,,25.468
2022,,район басейну річки Південний Буг,,18.077
2023,,район басейну річки Південний Буг,,19.324
2024,,район басейну річки Південний Буг,,21.518
2015,,район басейну річки Вісла,,39.51
2016,,район басейну річки Вісла,,40.11
2017,,район басейну річки Вісла,,64.52
2018,,район басейну річки Вісла,,36.12
2019,,район басейну річки Вісла,,39.85
2020,,район басейну річки Вісла,,118.086
2021,,район басейну річки Вісла,,114.225
2022,,район басейну річки Вісла,,109.285
2023,,район басейну річки Вісла,,112.923
2024,,район басейну річки Вісла,,107.12
2015,accommodation_and_food_service,,,
2016,accommodation_and_food_service,,,
2017,accommodation_and_food_service,,,
2018,accommodation_and_food_service,,,
2019,accommodation_and_food_service,,,
2020,accommodation_and_food_service,,,0.023
2021,accommodation_and_food_service,,,0.074
2022,accommodation_and_food_service,,,0.046
2023,accommodation_and_food_service,,,0.044
2024,accommodation_and_food_service,,,0.072
2015,administrative_and_support_service,,,
2016,administrative_and_support_service,,,
2017,administrative_and_support_service,,,
2018,administrative_and_support_service,,,
2019,administrative_and_support_service,,,
2020,administrative_and_support_service,,,0.719
2021,administrative_and_support_service,,,1.346
2022,administrative_and_support_service,,,0.512
2023,administrative_and_support_service,,,1.861
2024,administrative_and_support_service,,,0.446
2015,agriculture_forestry_and_fishing,,,
2016,agriculture_forestry_and_fishing,,,
2017,agriculture_forestry_and_fishing,,,
2018,agriculture_forestry_and_fishing,,,
2019,agriculture_forestry_and_fishing,,,
2020,agriculture_forestry_and_fishing,,,24.581
2021,agriculture_forestry_and_fishing,,,35.331
2022,agriculture_forestry_and_fishing,,,14.242
2023,agriculture_forestry_and_fishing,,,19.374
2024,agriculture_forestry_and_fishing,,,19.501
2015,arts_sports_entertainment_recreation,,,
2016,arts_sports_entertainment_recreation,,,
2017,arts_sports_entertainment_recreation,,,
2018,arts_sports_entertainment_recreation,,,
2019,arts_sports_entertainment_recreation,,,
2020,arts_sports_entertainment_recreation,,,0.013
2021,arts_sports_entertainment_recreation,,,0.016
2022,arts_sports_entertainment_recreation,,,0.021
2023,arts_sports_entertainment_recreation,,,0.093
2024,arts_sports_entertainment_recreation,,,0.09
2015,construction,,,
2016,construction,,,
2017,construction,,,
2018,construction,,,
2019,construction,,,
2020,construction,,,2.406
2021,construction,,,2.484
2022,construction,,,0.568
2023,construction,,,0.006
2024,construction,,,0.04
2015,education,,,
2016,education,,,
2017,education,,,
2018,education,,,
2019,education,,,
2020,education,,,0.254
2021,education,,,0.254
2022,education,,,0.271
2023,education,,,0.308
2024,education,,,0.261
2015,electricity_gas_steam_air_conditioning_supply,,,
2016,electricity_gas_steam_air_conditioning_supply,,,
2017,electricity_gas_steam_air_conditioning_supply,,,
2018,electricity_gas_steam_air_conditioning_supply,,,
2019,electricity_gas_steam_air_conditioning_supply,,,
2020,electricity_gas_steam_air_conditioning_supply,,,4.292
2021,electricity_gas_steam_air_conditioning_supply,,,3.023
2022,electricity_gas_steam_air_conditioning_supply,,,0.215
2023,electricity_gas_steam_air_conditioning_supply,,,3.029
2024,electricity_gas_steam_air_conditioning_supply,,,1.2
2015,financial_and_insurance,,,
2016,financial_and_insurance,,,
2017,financial_and_insurance,,,
2018,financial_and_insurance,,,
2019,financial_and_insurance,,,
2020,financial_and_insurance,,,
2021,financial_and_insurance,,,
2022,financial_and_insurance,,,
2023,financial_and_insurance,,,
2024,financial_and_insurance,,,
2015,household_activities,,,
2016,household_activities,,,
2017,household_activities,,,
2018,household_activities,,,
2019,household_activities,,,
2020,household_activities,,,
2021,household_activities,,,
2022,household_activities,,,
2023,household_activities,,,
2024,household_activities,,,
2015,human_health_and_social_work,,,
2016,human_health_and_social_work,,,
2017,human_health_and_social_work,,,
2018,human_health_and_social_work,,,
2019,human_health_and_social_work,,,
2020,human_health_and_social_work,,,0.457
2021,human_health_and_social_work,,,0.465
2022,human_health_and_social_work,,,0.319
2023,human_health_and_social_work,,,0.352
2024,human_health_and_social_work,,,0.435
2015,information_and_telecommunications,,,
2016,information_and_telecommunications,,,
2017,information_and_telecommunications,,,
2018,information_and_telecommunications,,,
2019,information_and_telecommunications,,,
2020,information_and_telecommunications,,,
2021,information_and_telecommunications,,,
2022,information_and_telecommunications,,,
2023,information_and_telecommunications,,,0.004
2024,information_and_telecommunications,,,0.004
2015,manufacturing,,,
2016,manufacturing,,,
2017,manufacturing,,,
2018,manufacturing,,,
2019,manufacturing,,,
2020,manufacturing,,,25.49
2021,manufacturing,,,16.478
2022,manufacturing,,,9.363
2023,manufacturing,,,10.576
2024,manufacturing,,,7.769
2015,mining_and_quarrying,,,
2016,mining_and_quarrying,,,
2017,mining_and_quarrying,,,
2018,mining_and_quarrying,,,
2019,mining_and_quarrying,,,
2020,mining_and_quarrying,,,77.591
2021,mining_and_quarrying,,,100.205
2022,mining_and_quarrying,,,77.409
2023,mining_and_quarrying,,,50.179
2024,mining_and_quarrying,,,32.478
2015,other_service,,,
2016,other_service,,,
2017,other_service,,,
2018,other_service,,,
2019,other_service,,,
2020,other_service,,,
2021,other_service,,,0.006
2022,other_service,,,
2023,other_service,,,
2024,other_service,,,
2015,professional_scientific_technical,,,
2016,professional_scientific_technical,,,
2017,professional_scientific_technical,,,
2018,professional_scientific_technical,,,
2019,professional_scientific_technical,,,
2020,professional_scientific_technical,,,0.008
2021,professional_scientific_technical,,,0.007
2022,professional_scientific_technical,,,0.023
2023,professional_scientific_technical,,,0.241
2024,professional_scientific_technical,,,0.091
2015,public_administration_and_defense_compulsory_social_insurance,,,
2016,public_administration_and_defense_compulsory_social_insurance,,,
2017,public_administration_and_defense_compulsory_social_insurance,,,
2018,public_administration_and_defense_compulsory_social_insurance,,,
2019,public_administration_and_defense_compulsory_social_insurance,,,
2020,public_administration_and_defense_compulsory_social_insurance,,,1.114
2021,public_administration_and_defense_compulsory_social_insurance,,,0.691
2022,public_administration_and_defense_compulsory_social_insurance,,,0.62
2023,public_administration_and_defense_compulsory_social_insurance,,,0.65
2024,public_administration_and_defense_compulsory_social_insurance,,,0.597
2015,real_estate,,,
2016,real_estate,,,
2017,real_estate,,,
2018,real_estate,,,
2019,real_estate,,,
2020,real_estate,,,0.227
2021,real_estate,,,0.147
2022,real_estate,,,0.135
2023,real_estate,,,0.149
2024,real_estate,,,0.124
2015,transportation_and_storage_post_and_courier_services,,,
2016,transportation_and_storage_post_and_courier_services,,,
2017,transportation_and_storage_post_and_courier_services,,,
2018,transportation_and_storage_post_and_courier_services,,,
2019,transportation_and_storage_post_and_courier_services,,,
2020,transportation_and_storage_post_and_courier_services,,,0.541
2021,transportation_and_storage_post_and_courier_services,,,1.443
2022,transportation_and_storage_post_and_courier_services,,,0.466
2023,transportation_and_storage_post_and_courier_services,,,1.092
2024,transportation_and_storage_post_and_courier_services,,,1.282
2015,water_supply_sewerage_waste_management_remediation,,,
2016,water_supply_sewerage_waste_management_remediation,,,
2017,water_supply_sewerage_waste_management_remediation,,,
2018,water_supply_sewerage_waste_management_remediation,,,
2019,water_supply_sewerage_waste_management_remediation,,,
2020,water_supply_sewerage_waste_management_remediation,,,380.58
2021,water_supply_sewerage_waste_management_remediation,,,381.066
2022,water_supply_sewerage_waste_management_remediation,,,269.743
2023,water_supply_sewerage_waste_management_remediation,,,287.62
2024,water_supply_sewerage_waste_management_remediation,,,264.191
2015,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2016,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2017,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2018,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2019,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2020,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.056
2021,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.057
2022,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.074
2023,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.07
2024,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.041
