Year,Область,Безпечність,Value
2017,Запорізька,,2963.0
2018,Запорізька,,3088.0
2019,Запорізька,,3185.0
2020,Запорізька,,3298.0
2021,Запорізька,,3152.0
2022,Запорізька,,
2023,Запорізька,,
2024,Запорізька,,
2015,Івано-Франківська,,1537.0
2016,Івано-Франківська,,1401.0
2017,Івано-Франківська,,1414.0
2018,Івано-Франківська,,1432.0
2019,Івано-Франківська,,2183.0
2020,Івано-Франківська,,1268.0
2021,Івано-Франківська,,1308.0
2022,Івано-Франківська,,
2023,Івано-Франківська,,
2024,Івано-Франківська,,
2015,Київська,,959.0
2016,Київська,,901.0
2017,Київська,,726.0
2018,Київська,,792.0
2019,Київська,,797.0
2020,Київська,,1201.0
2021,Київська,,626.0
2022,Київська,,
2023,Київська,,
2024,Київська,,
2015,Кіровоградська,,34134.0
2016,Кіровоградська,,35492.0
2017,Кіровоградська,,39150.0
2018,Кіровоградська,,39859.0
2019,Кіровоградська,,39827.0
2020,Кіровоградська,,538.0
2021,Кіровоградська,,47964.0
2022,Кіровоградська,,
2023,Кіровоградська,,
2024,Кіровоградська,,
2015,Луганська,,1152.0
2016,Луганська,,1116.0
2017,Луганська,,295.0
2018,Луганська,,258.0
2019,Луганська,,207.0
2020,Луганська,,122.0
2021,Луганська,,239.0
2022,Луганська,,
2023,Луганська,,
2024,Луганська,,
2015,Львівська,,1165.0
2016,Львівська,,1095.0
2017,Львівська,,981.0
2018,Львівська,,847.0
2019,Львівська,,813.0
2020,Львівська,,1246.0
2021,Львівська,,734.0
2022,Львівська,,
2023,Львівська,,
2024,Львівська,,
2015,Миколаївська,,1986.0
2016,Миколаївська,,2050.0
2017,Миколаївська,,2032.0
2018,Миколаївська,,2121.0
2019,Миколаївська,,2068.0
2020,Миколаївська,,2246.0
2021,Миколаївська,,2272.0
2022,Миколаївська,,
2023,Миколаївська,,
2024,Миколаївська,,
2015,Одеська,,252.0
2016,Одеська,,271.0
2017,Одеська,,310.0
2018,Одеська,,306.0
2019,Одеська,,269.0
2020,Одеська,,192.0
2021,Одеська,,178.0
2022,Одеська,,
2023,Одеська,,
2024,Одеська,,
2015,Полтавська,,3069.0
2016,Полтавська,,3783.0
2017,Полтавська,,24728.0
2018,Полтавська,,14089.0
2019,Полтавська,,69916.0
2020,Полтавська,,71090.0
2021,Полтавська,,89505.0
2022,Полтавська,,
2023,Полтавська,,
2024,Полтавська,,
2015,Рівненська,,726.0
2016,Рівненська,,614.0
2017,Рівненська,,394.0
2018,Рівненська,,418.0
2019,Рівненська,,450.0
2020,Рівненська,,770.0
2021,Рівненська,,652.0
2022,Рівненська,,
2023,Рівненська,,
2024,Рівненська,,
2015,Сумська,,751.0
2016,Сумська,,607.0
2017,Сумська,,528.0
2018,Сумська,,783.0
2019,Сумська,,804.0
2020,Сумська,,687.0
2021,Сумська,,898.0
2022,Сумська,,
2023,Сумська,,
2024,Сумська,,
2015,Тернопільська,,758.0
2016,Тернопільська,,812.0
2017,Тернопільська,,1805.0
2018,Тернопільська,,1575.0
2019,Тернопільська,,1019.0
2020,Тернопільська,,270.0
2021,Тернопільська,,523.0
2022,Тернопільська,,
2023,Тернопільська,,
2024,Тернопільська,,
2015,Харківська,,628.0
2016,Харківська,,721.0
2017,Харківська,,669.0
2018,Харківська,,607.0
2019,Харківська,,657.0
2020,Харківська,,562.0
2021,Харківська,,648.0
2022,Харківська,,
2023,Харківська,,
2024,Харківська,,
2015,Херсонська,,392.0
2016,Херсонська,,367.0
2017,Херсонська,,380.0
2018,Херсонська,,377.0
2019,Херсонська,,364.0
2020,Херсонська,,89.0
2021,Херсонська,,138.0
2022,Херсонська,,
2023,Херсонська,,
2024,Херсонська,,
2015,Хмельницька,,740.0
2016,Хмельницька,,1008.0
2017,Хмельницька,,725.0
2018,Хмельницька,,709.0
2019,Хмельницька,,715.0
2020,Хмельницька,,401.0
2021,Хмельницька,,677.0
2022,Хмельницька,,
2023,Хмельницька,,
2024,Хмельницька,,
2015,Черкаська,,945.0
2016,Черкаська,,986.0
2017,Черкаська,,1057.0
2018,Черкаська,,1224.0
2019,Черкаська,,1050.0
2020,Черкаська,,949.0
2021,Черкаська,,1183.0
2022,Черкаська,,
2023,Черкаська,,
2024,Черкаська,,
2015,Чернівецька,,438.0
2016,Чернівецька,,427.0
2017,Чернівецька,,407.0
2018,Чернівецька,,340.0
2019,Чернівецька,,353.0
2020,Чернівецька,,232.0
2021,Чернівецька,,204.0
2022,Чернівецька,,
2023,Чернівецька,,
2024,Чернівецька,,
2015,Чернігівська,,826.0
2016,Чернігівська,,693.0
2017,Чернігівська,,714.0
2018,Чернігівська,,708.0
2019,Чернігівська,,697.0
2020,Чернігівська,,506.0
2021,Чернігівська,,609.0
2022,Чернігівська,,
2023,Чернігівська,,
2024,Чернігівська,,
2015,м. Київ,,556.0
2016,м. Київ,,572.0
2017,м. Київ,,324.0
2018,м. Київ,,331.0
2019,м. Київ,,338.0
2020,м. Київ,,1064.0
2021,м. Київ,,491.0
2022,м. Київ,,
2023,м. Київ,,
2024,м. Київ,,
2015,м. Севастополь,,
2016,м. Севастополь,,
2017,м. Севастополь,,
2018,м. Севастополь,,
2019,м. Севастополь,,
2020,м. Севастополь,,
2021,м. Севастополь,,
2022,м. Севастополь,,
2023,м. Севастополь,,
2024,м. Севастополь,,
