Year,Область,Вікові групи,Стать,Тип місцевості проживання,Освіта,Value
2019,Київська,,,,,59.3
2019,Кіровоградська,,,,,55.6
2019,Луганська,,,,,58.8
2019,Львівська,,,,,57.8
2019,Миколаївська,,,,,59.1
2019,Одеська,,,,,58.3
2019,Полтавська,,,,,56.6
2019,Рівненська,,,,,58.4
2019,Сумська,,,,,59.8
2019,Тернопільська,,,,,53.8
2019,Харківська,,,,,62.1
2019,Херсонська,,,,,58.9
2019,Хмельницька,,,,,57.0
2019,Черкаська,,,,,59.3
2019,Чернівецька,,,,,59.0
2019,Чернігівська,,,,,58.9
2019,м. Київ,,,,,63.1
2019,м. Севастополь,,,,,
2020,,,,,,56.2
2020,,15–24 роки,,,,25.8
2020,,25–29 років,,,,72.1
2020,,30–34 роки,,,,74.5
2020,,35–39 років,,,,75.3
2020,,40–49 років,,,,76.7
2020,,50–59 років,,,,67.9
2020,,60–70 років,,,,13.2
2020,,,жінки,,,51.2
2020,,,чоловіки,,,61.8
2020,,,,міська,,57.2
2020,,,,сільська,,54.1
2020,,,,,повна вища,71.3
2020,,,,,базова вища,56.8
2020,,,,,неповна вища,60.0
2020,,,,,професійно-технічна,61.4
2020,,,,,повна загальна середня,42.7
2020,,,,,"базова, початкова загальна середня або не мають освіти",15.6
2020,Україна,,,,,56.2
2020,Автономна Республіка Крим,,,,,
2020,Вінницька,,,,,56.2
2020,Волинська,,,,,48.9
2020,Дніпропетровська,,,,,58.0
2020,Донецька,,,,,49.2
2020,Житомирська,,,,,55.3
2020,Закарпатська,,,,,53.7
2020,Запорізька,,,,,56.0
2020,Івано-Франківська,,,,,54.1
2020,Київська,,,,,57.8
2020,Кіровоградська,,,,,53.1
2020,Луганська,,,,,56.4
2020,Львівська,,,,,56.0
2020,Миколаївська,,,,,57.3
2020,Одеська,,,,,56.8
2020,Полтавська,,,,,54.8
2020,Рівненська,,,,,56.1
2020,Сумська,,,,,56.8
2020,Тернопільська,,,,,51.6
2020,Харківська,,,,,59.9
2020,Херсонська,,,,,56.8
2020,Хмельницька,,,,,54.8
2020,Черкаська,,,,,57.0
2020,Чернівецька,,,,,56.5
2020,Чернігівська,,,,,56.4
2020,м. Київ,,,,,61.7
2020,м. Севастополь,,,,,
2021,,,,,,55.7
2021,,15–24 роки,,,,24.8
2021,,25–29 років,,,,70.4
2021,,30–34 роки,,,,74.0
2021,,35–39 років,,,,75.0
2021,,40–49 років,,,,76.8
2021,,50–59 років,,,,68.3
2021,,60–70 років,,,,12.8
2021,,,жінки,,,50.4
2021,,,чоловіки,,,61.5
2021,,,,міська,,56.7
2021,,,,сільська,,53.6
2021,,,,,повна вища,70.6
2021,,,,,базова вища,59.0
2021,,,,,неповна вища,59.4
2021,,,,,професійно-технічна,61.2
2021,,,,,повна загальна середня,41.3
2021,,,,,"базова, початкова загальна середня або не мають освіти",14.8
2021,Україна,,,,,55.7
2021,Автономна Республіка Крим,,,,,
2021,Вінницька,,,,,55.6
2021,Волинська,,,,,48.5
2021,Дніпропетровська,,,,,57.9
2021,Донецька,,,,,48.9
2021,Житомирська,,,,,54.8
2021,Закарпатська,,,,,52.8
2021,Запорізька,,,,,55.8
2021,Івано-Франківська,,,,,53.8
2021,Київська,,,,,56.8
2021,Кіровоградська,,,,,52.6
2021,Луганська,,,,,55.7
2021,Львівська,,,,,55.8
2021,Миколаївська,,,,,56.4
2021,Одеська,,,,,56.5
2021,Полтавська,,,,,54.0
2021,Рівненська,,,,,55.0
2021,Сумська,,,,,55.8
2021,Тернопільська,,,,,50.8
2021,Харківська,,,,,59.3
2021,Херсонська,,,,,56.3
2021,Хмельницька,,,,,54.0
2021,Черкаська,,,,,56.0
2021,Чернівецька,,,,,55.6
2021,Чернігівська,,,,,55.5
2021,м. Київ,,,,,61.6
2021,м. Севастополь,,,,,
2022,,,,,,
2022,,15–24 роки,,,,
2022,,25–29 років,,,,
2022,,30–34 роки,,,,
2022,,35–39 років,,,,
2022,,40–49 років,,,,
2022,,50–59 років,,,,
2022,,60–70 років,,,,
2022,,,жінки,,,
2022,,,чоловіки,,,
2022,,,,міська,,
2022,,,,сільська,,
2022,,,,,повна вища,
2022,,,,,базова вища,
2022,,,,,неповна вища,
2022,,,,,професійно-технічна,
2022,,,,,повна загальна середня,
2022,,,,,"базова, початкова загальна середня або не мають освіти",
2022,Україна,,,,,
2022,Автономна Республіка Крим,,,,,
2022,Вінницька,,,,,
2022,Волинська,,,,,
2022,Дніпропетровська,,,,,
2022,Донецька,,,,,
2022,Житомирська,,,,,
2022,Закарпатська,,,,,
2022,Запорізька,,,,,
2022,Івано-Франківська,,,,,
2022,Київська,,,,,
2022,Кіровоградська,,,,,
2022,Луганська,,,,,
2022,Львівська,,,,,
2022,Миколаївська,,,,,
2022,Одеська,,,,,
2022,Полтавська,,,,,
2022,Рівненська,,,,,
2022,Сумська,,,,,
2022,Тернопільська,,,,,
2022,Харківська,,,,,
2022,Херсонська,,,,,
2022,Хмельницька,,,,,
2022,Черкаська,,,,,
2022,Чернівецька,,,,,
2022,Чернігівська,,,,,
2022,м. Київ,,,,,
2022,м. Севастополь,,,,,
2023,,,,,,
2023,,15–24 роки,,,,
2023,,25–29 років,,,,
2023,,30–34 роки,,,,
2023,,35–39 років,,,,
2023,,40–49 років,,,,
2023,,50–59 років,,,,
2023,,60–70 років,,,,
2023,,,жінки,,,
2023,,,чоловіки,,,
2023,,,,міська,,
2023,,,,сільська,,
2023,,,,,повна вища,
2023,,,,,базова вища,
2023,,,,,неповна вища,
2023,,,,,професійно-технічна,
2023,,,,,повна загальна середня,
2023,,,,,"базова, початкова загальна середня або не мають освіти",
2023,Україна,,,,,
2023,Автономна Республіка Крим,,,,,
2023,Вінницька,,,,,
2023,Волинська,,,,,
2023,Дніпропетровська,,,,,
2023,Донецька,,,,,
2023,Житомирська,,,,,
2023,Закарпатська,,,,,
2023,Запорізька,,,,,
2023,Івано-Франківська,,,,,
2023,Київська,,,,,
2023,Кіровоградська,,,,,
2023,Луганська,,,,,
2023,Львівська,,,,,
2023,Миколаївська,,,,,
2023,Одеська,,,,,
2023,Полтавська,,,,,
2023,Рівненська,,,,,
2023,Сумська,,,,,
2023,Тернопільська,,,,,
2023,Харківська,,,,,
2023,Херсонська,,,,,
2023,Хмельницька,,,,,
2023,Черкаська,,,,,
2023,Чернівецька,,,,,
2023,Чернігівська,,,,,
2023,м. Київ,,,,,
2023,м. Севастополь,,,,,
2024,,,,,,
2024,,15–24 роки,,,,
2024,,25–29 років,,,,
2024,,30–34 роки,,,,
2024,,35–39 років,,,,
2024,,40–49 років,,,,
2024,,50–59 років,,,,
2024,,60–70 років,,,,
2024,,,жінки,,,
2024,,,чоловіки,,,
2024,,,,міська,,
2024,,,,сільська,,
2024,,,,,повна вища,
2024,,,,,базова вища,
2024,,,,,неповна вища,
2024,,,,,професійно-технічна,
2024,,,,,повна загальна середня,
2024,,,,,"базова, початкова загальна середня або не мають освіти",
2024,Україна,,,,,
2024,Автономна Республіка Крим,,,,,
2024,Вінницька,,,,,
2024,Волинська,,,,,
2024,Дніпропетровська,,,,,
2024,Донецька,,,,,
2024,Житомирська,,,,,
2024,Закарпатська,,,,,
2024,Запорізька,,,,,
2024,Івано-Франківська,,,,,
2024,Київська,,,,,
2024,Кіровоградська,,,,,
2024,Луганська,,,,,
2024,Львівська,,,,,
2024,Миколаївська,,,,,
2024,Одеська,,,,,
2024,Полтавська,,,,,
2024,Рівненська,,,,,
2024,Сумська,,,,,
2024,Тернопільська,,,,,
2024,Харківська,,,,,
2024,Херсонська,,,,,
2024,Хмельницька,,,,,
2024,Черкаська,,,,,
2024,Чернівецька,,,,,
2024,Чернігівська,,,,,
2024,м. Київ,,,,,
2024,м. Севастополь,,,,,
