Year,Region,Age,Gender,group_16,23_educ,group_20,group_21,group_22,Value
2018,13_reg_Dnipropetrovsk,,,,,,,,
2019,13_reg_Dnipropetrovsk,,,,,,,,
2020,13_reg_Dnipropetrovsk,,,,,,,,
2021,13_reg_Dnipropetrovsk,,,,,,,,5.5
2022,13_reg_Dnipropetrovsk,,,,,,,,
2023,13_reg_Dnipropetrovsk,,,,,,,,6.3
2024,13_reg_Dnipropetrovsk,,,,,,,,6.2
2015,14_reg_Donetsk,,,,,,,,
2016,14_reg_Donetsk,,,,,,,,
2017,14_reg_Donetsk,,,,,,,,
2018,14_reg_Donetsk,,,,,,,,
2019,14_reg_Donetsk,,,,,,,,
2020,14_reg_Donetsk,,,,,,,,
2021,14_reg_Donetsk,,,,,,,,6.1
2022,14_reg_Donetsk,,,,,,,,
2023,14_reg_Donetsk,,,,,,,,
2024,14_reg_Donetsk,,,,,,,,
2015,15_reg_Zhytomyr,,,,,,,,
2016,15_reg_Zhytomyr,,,,,,,,
2017,15_reg_Zhytomyr,,,,,,,,
2018,15_reg_Zhytomyr,,,,,,,,
2019,15_reg_Zhytomyr,,,,,,,,
2020,15_reg_Zhytomyr,,,,,,,,
2021,15_reg_Zhytomyr,,,,,,,,6.2
2022,15_reg_Zhytomyr,,,,,,,,
2023,15_reg_Zhytomyr,,,,,,,,5.7
2024,15_reg_Zhytomyr,,,,,,,,5.3
2015,16_reg_Zakarpattya,,,,,,,,
2016,16_reg_Zakarpattya,,,,,,,,
2017,16_reg_Zakarpattya,,,,,,,,
2018,16_reg_Zakarpattya,,,,,,,,
2019,16_reg_Zakarpattya,,,,,,,,
2020,16_reg_Zakarpattya,,,,,,,,
2021,16_reg_Zakarpattya,,,,,,,,3.5
2022,16_reg_Zakarpattya,,,,,,,,
2023,16_reg_Zakarpattya,,,,,,,,4.6
2024,16_reg_Zakarpattya,,,,,,,,4.2
2015,17_reg_Zaporizhzhya,,,,,,,,
2016,17_reg_Zaporizhzhya,,,,,,,,
2017,17_reg_Zaporizhzhya,,,,,,,,
2018,17_reg_Zaporizhzhya,,,,,,,,
2019,17_reg_Zaporizhzhya,,,,,,,,
2020,17_reg_Zaporizhzhya,,,,,,,,
2021,17_reg_Zaporizhzhya,,,,,,,,4.8
2022,17_reg_Zaporizhzhya,,,,,,,,
2023,17_reg_Zaporizhzhya,,,,,,,,5.7
2024,17_reg_Zaporizhzhya,,,,,,,,5.7
2015,18_reg_Ivano-Frankivsk,,,,,,,,
2016,18_reg_Ivano-Frankivsk,,,,,,,,
2017,18_reg_Ivano-Frankivsk,,,,,,,,
2018,18_reg_Ivano-Frankivsk,,,,,,,,
2019,18_reg_Ivano-Frankivsk,,,,,,,,
2020,18_reg_Ivano-Frankivsk,,,,,,,,
2021,18_reg_Ivano-Frankivsk,,,,,,,,5.4
2022,18_reg_Ivano-Frankivsk,,,,,,,,
2023,18_reg_Ivano-Frankivsk,,,,,,,,3.8
2024,18_reg_Ivano-Frankivsk,,,,,,,,3.1
2015,19_reg_Kyiv,,,,,,,,
2016,19_reg_Kyiv,,,,,,,,
2017,19_reg_Kyiv,,,,,,,,
2018,19_reg_Kyiv,,,,,,,,
2019,19_reg_Kyiv,,,,,,,,
2020,19_reg_Kyiv,,,,,,,,
2021,19_reg_Kyiv,,,,,,,,5.4
2022,19_reg_Kyiv,,,,,,,,
2023,19_reg_Kyiv,,,,,,,,5.1
2024,19_reg_Kyiv,,,,,,,,5.1
2015,20_reg_Kirovohrad,,,,,,,,
2016,20_reg_Kirovohrad,,,,,,,,
2017,20_reg_Kirovohrad,,,,,,,,
2018,20_reg_Kirovohrad,,,,,,,,
2019,20_reg_Kirovohrad,,,,,,,,
2020,20_reg_Kirovohrad,,,,,,,,
2021,20_reg_Kirovohrad,,,,,,,,6.6
2022,20_reg_Kirovohrad,,,,,,,,
2023,20_reg_Kirovohrad,,,,,,,,7.0
2024,20_reg_Kirovohrad,,,,,,,,6.2
2015,21_reg_Luhansk,,,,,,,,
2016,21_reg_Luhansk,,,,,,,,
2017,21_reg_Luhansk,,,,,,,,
2018,21_reg_Luhansk,,,,,,,,
2019,21_reg_Luhansk,,,,,,,,
2020,21_reg_Luhansk,,,,,,,,
2021,21_reg_Luhansk,,,,,,,,6.5
2022,21_reg_Luhansk,,,,,,,,
2023,21_reg_Luhansk,,,,,,,,
2024,21_reg_Luhansk,,,,,,,,
2015,22_reg_Lviv,,,,,,,,
2016,22_reg_Lviv,,,,,,,,
2017,22_reg_Lviv,,,,,,,,
2018,22_reg_Lviv,,,,,,,,
2019,22_reg_Lviv,,,,,,,,
2020,22_reg_Lviv,,,,,,,,
2021,22_reg_Lviv,,,,,,,,4.5
2022,22_reg_Lviv,,,,,,,,
2023,22_reg_Lviv,,,,,,,,5.6
2024,22_reg_Lviv,,,,,,,,5.7
2015,23_reg_Mykolayiv,,,,,,,,
2016,23_reg_Mykolayiv,,,,,,,,
2017,23_reg_Mykolayiv,,,,,,,,
2018,23_reg_Mykolayiv,,,,,,,,
2019,23_reg_Mykolayiv,,,,,,,,
2020,23_reg_Mykolayiv,,,,,,,,
2021,23_reg_Mykolayiv,,,,,,,,6.2
2022,23_reg_Mykolayiv,,,,,,,,
2023,23_reg_Mykolayiv,,,,,,,,8.1
2024,23_reg_Mykolayiv,,,,,,,,7.0
2015,24_reg_Odesa,,,,,,,,
2016,24_reg_Odesa,,,,,,,,
2017,24_reg_Odesa,,,,,,,,
2018,24_reg_Odesa,,,,,,,,
2019,24_reg_Odesa,,,,,,,,
2020,24_reg_Odesa,,,,,,,,
2021,24_reg_Odesa,,,,,,,,5.6
2022,24_reg_Odesa,,,,,,,,
2023,24_reg_Odesa,,,,,,,,6.6
2024,24_reg_Odesa,,,,,,,,5.3
2015,25_reg_Poltava,,,,,,,,
2016,25_reg_Poltava,,,,,,,,
2017,25_reg_Poltava,,,,,,,,
2018,25_reg_Poltava,,,,,,,,
2019,25_reg_Poltava,,,,,,,,
2020,25_reg_Poltava,,,,,,,,
2021,25_reg_Poltava,,,,,,,,5.7
2022,25_reg_Poltava,,,,,,,,
2023,25_reg_Poltava,,,,,,,,5.5
2024,25_reg_Poltava,,,,,,,,5.3
2015,26_reg_Rivne,,,,,,,,
2016,26_reg_Rivne,,,,,,,,
2017,26_reg_Rivne,,,,,,,,
2018,26_reg_Rivne,,,,,,,,
2019,26_reg_Rivne,,,,,,,,
2020,26_reg_Rivne,,,,,,,,
2021,26_reg_Rivne,,,,,,,,6.1
2022,26_reg_Rivne,,,,,,,,
2023,26_reg_Rivne,,,,,,,,5.5
2024,26_reg_Rivne,,,,,,,,5.5
2015,27_reg_Sumy,,,,,,,,
2016,27_reg_Sumy,,,,,,,,
2017,27_reg_Sumy,,,,,,,,
2018,27_reg_Sumy,,,,,,,,
2019,27_reg_Sumy,,,,,,,,
2020,27_reg_Sumy,,,,,,,,
2021,27_reg_Sumy,,,,,,,,4.7
2022,27_reg_Sumy,,,,,,,,
2023,27_reg_Sumy,,,,,,,,5.5
2024,27_reg_Sumy,,,,,,,,5.2
2015,28_reg_Ternopil,,,,,,,,
2016,28_reg_Ternopil,,,,,,,,
2017,28_reg_Ternopil,,,,,,,,
2018,28_reg_Ternopil,,,,,,,,
2019,28_reg_Ternopil,,,,,,,,
2020,28_reg_Ternopil,,,,,,,,
2021,28_reg_Ternopil,,,,,,,,6.8
2022,28_reg_Ternopil,,,,,,,,
2023,28_reg_Ternopil,,,,,,,,5.6
2024,28_reg_Ternopil,,,,,,,,4.5
2015,29_reg_Kharkiv,,,,,,,,
2016,29_reg_Kharkiv,,,,,,,,
2017,29_reg_Kharkiv,,,,,,,,
2018,29_reg_Kharkiv,,,,,,,,
2019,29_reg_Kharkiv,,,,,,,,
2020,29_reg_Kharkiv,,,,,,,,
2021,29_reg_Kharkiv,,,,,,,,5.4
2022,29_reg_Kharkiv,,,,,,,,
2023,29_reg_Kharkiv,,,,,,,,6.5
2024,29_reg_Kharkiv,,,,,,,,5.9
2015,30_reg_Kherson,,,,,,,,
2016,30_reg_Kherson,,,,,,,,
2017,30_reg_Kherson,,,,,,,,
2018,30_reg_Kherson,,,,,,,,
2019,30_reg_Kherson,,,,,,,,
2020,30_reg_Kherson,,,,,,,,
2021,30_reg_Kherson,,,,,,,,5.9
2022,30_reg_Kherson,,,,,,,,
2023,30_reg_Kherson,,,,,,,,7.4
2024,30_reg_Kherson,,,,,,,,7.0
2015,31_reg_Khmelnytskiy,,,,,,,,
2016,31_reg_Khmelnytskiy,,,,,,,,
2017,31_reg_Khmelnytskiy,,,,,,,,
2018,31_reg_Khmelnytskiy,,,,,,,,
2019,31_reg_Khmelnytskiy,,,,,,,,
2020,31_reg_Khmelnytskiy,,,,,,,,
2021,31_reg_Khmelnytskiy,,,,,,,,5.0
2022,31_reg_Khmelnytskiy,,,,,,,,
2023,31_reg_Khmelnytskiy,,,,,,,,4.9
2024,31_reg_Khmelnytskiy,,,,,,,,5.0
2015,32_reg_Cherkasy,,,,,,,,
2016,32_reg_Cherkasy,,,,,,,,
2017,32_reg_Cherkasy,,,,,,,,
2018,32_reg_Cherkasy,,,,,,,,
2019,32_reg_Cherkasy,,,,,,,,
2020,32_reg_Cherkasy,,,,,,,,
2021,32_reg_Cherkasy,,,,,,,,6.1
2022,32_reg_Cherkasy,,,,,,,,
2023,32_reg_Cherkasy,,,,,,,,6.4
2024,32_reg_Cherkasy,,,,,,,,6.0
2015,33_reg_Chernivtsi,,,,,,,,
2016,33_reg_Chernivtsi,,,,,,,,
2017,33_reg_Chernivtsi,,,,,,,,
2018,33_reg_Chernivtsi,,,,,,,,
2019,33_reg_Chernivtsi,,,,,,,,
2020,33_reg_Chernivtsi,,,,,,,,
2021,33_reg_Chernivtsi,,,,,,,,6.0
2022,33_reg_Chernivtsi,,,,,,,,
2023,33_reg_Chernivtsi,,,,,,,,5.6
2024,33_reg_Chernivtsi,,,,,,,,5.2
2015,34_reg_Chernihiv,,,,,,,,
2016,34_reg_Chernihiv,,,,,,,,
2017,34_reg_Chernihiv,,,,,,,,
2018,34_reg_Chernihiv,,,,,,,,
2019,34_reg_Chernihiv,,,,,,,,
2020,34_reg_Chernihiv,,,,,,,,
2021,34_reg_Chernihiv,,,,,,,,4.6
2022,34_reg_Chernihiv,,,,,,,,
2023,34_reg_Chernihiv,,,,,,,,6.1
2024,34_reg_Chernihiv,,,,,,,,6.3
2015,35_reg_Kyiv_city,,,,,,,,
2016,35_reg_Kyiv_city,,,,,,,,
2017,35_reg_Kyiv_city,,,,,,,,
2018,35_reg_Kyiv_city,,,,,,,,
2019,35_reg_Kyiv_city,,,,,,,,
2020,35_reg_Kyiv_city,,,,,,,,
2021,35_reg_Kyiv_city,,,,,,,,6.5
2022,35_reg_Kyiv_city,,,,,,,,
2023,35_reg_Kyiv_city,,,,,,,,6.1
2024,35_reg_Kyiv_city,,,,,,,,5.4
2015,city_Sevastopol,,,,,,,,
2016,city_Sevastopol,,,,,,,,
2017,city_Sevastopol,,,,,,,,
2018,city_Sevastopol,,,,,,,,
2019,city_Sevastopol,,,,,,,,
2020,city_Sevastopol,,,,,,,,
2021,city_Sevastopol,,,,,,,,
2022,city_Sevastopol,,,,,,,,
2023,city_Sevastopol,,,,,,,,
2024,city_Sevastopol,,,,,,,,
2015,,group_label_203,,,,,,,
2016,,group_label_203,,,,,,,
2017,,group_label_203,,,,,,,
2018,,group_label_203,,,,,,,
2019,,group_label_203,,,,,,,
2020,,group_label_203,,,,,,,
2021,,group_label_203,,,,,,,5.9
2022,,group_label_203,,,,,,,
2023,,group_label_203,,,,,,,6.0
2024,,group_label_203,,,,,,,5.6
2015,,group_label_204,,,,,,,
2016,,group_label_204,,,,,,,
2017,,group_label_204,,,,,,,
2018,,group_label_204,,,,,,,
2019,,group_label_204,,,,,,,
2020,,group_label_204,,,,,,,
2021,,group_label_204,,,,,,,5.6
2022,,group_label_204,,,,,,,
2023,,group_label_204,,,,,,,5.9
2024,,group_label_204,,,,,,,5.6
2015,,group_label_205,,,,,,,
2016,,group_label_205,,,,,,,
2017,,group_label_205,,,,,,,
2018,,group_label_205,,,,,,,
2019,,group_label_205,,,,,,,
2020,,group_label_205,,,,,,,
2021,,group_label_205,,,,,,,5.2
2022,,group_label_205,,,,,,,
2023,,group_label_205,,,,,,,5.4
2024,,group_label_205,,,,,,,5.1
2015,,group_label_206,,,,,,,
2016,,group_label_206,,,,,,,
2017,,group_label_206,,,,,,,
2018,,group_label_206,,,,,,,
2019,,group_label_206,,,,,,,
2020,,group_label_206,,,,,,,
2021,,group_label_206,,,,,,,5.9
2022,,group_label_206,,,,,,,
2023,,group_label_206,,,,,,,6.1
2024,,group_label_206,,,,,,,5.7
2015,,group_label_207,,,,,,,
2016,,group_label_207,,,,,,,
2017,,group_label_207,,,,,,,
2018,,group_label_207,,,,,,,
2019,,group_label_207,,,,,,,
2020,,group_label_207,,,,,,,
2021,,group_label_207,,,,,,,5.6
2022,,group_label_207,,,,,,,
2023,,group_label_207,,,,,,,5.7
2024,,group_label_207,,,,,,,5.5
2015,,group_label_208,,,,,,,
2016,,group_label_208,,,,,,,
2017,,group_label_208,,,,,,,
2018,,group_label_208,,,,,,,
2019,,group_label_208,,,,,,,
2020,,group_label_208,,,,,,,
2021,,group_label_208,,,,,,,5.3
2022,,group_label_208,,,,,,,
2023,,group_label_208,,,,,,,5.2
2024,,group_label_208,,,,,,,5.0
2015,,,2_females,,,,,,
2016,,,2_females,,,,,,
2017,,,2_females,,,,,,
2018,,,2_females,,,,,,
2019,,,2_females,,,,,,
2020,,,2_females,,,,,,
2021,,,2_females,,,,,,5.6
2022,,,2_females,,,,,,
2023,,,2_females,,,,,,5.6
2024,,,2_females,,,,,,5.4
2015,,,males,,,,,,
2016,,,males,,,,,,
2017,,,males,,,,,,
2018,,,males,,,,,,
2019,,,males,,,,,,
2020,,,males,,,,,,
2021,,,males,,,,,,5.6
2022,,,males,,,,,,
2023,,,males,,,,,,5.8
2024,,,males,,,,,,5.5
2015,,,,group_label_209,,,,,
2016,,,,group_label_209,,,,,
2017,,,,group_label_209,,,,,
2018,,,,group_label_209,,,,,
2019,,,,group_label_209,,,,,
2020,,,,group_label_209,,,,,
2021,,,,group_label_209,,,,,5.7
2022,,,,group_label_209,,,,,
2023,,,,group_label_209,,,,,6.3
2024,,,,group_label_209,,,,,5.8
2015,,,,group_label_210,,,,,
2016,,,,group_label_210,,,,,
2017,,,,group_label_210,,,,,
2018,,,,group_label_210,,,,,
2019,,,,group_label_210,,,,,
2020,,,,group_label_210,,,,,
2021,,,,group_label_210,,,,,5.8
2022,,,,group_label_210,,,,,
2023,,,,group_label_210,,,,,6.0
2024,,,,group_label_210,,,,,5.8
2015,,,,group_label_211,,,,,
2016,,,,group_label_211,,,,,
2017,,,,group_label_211,,,,,
2018,,,,group_label_211,,,,,
2019,,,,group_label_211,,,,,
2020,,,,group_label_211,,,,,
2021,,,,group_label_211,,,,,5.7
2022,,,,group_label_211,,,,,
2023,,,,group_label_211,,,,,5.6
2024,,,,group_label_211,,,,,5.3
2015,,,,group_label_212,,,,,
2016,,,,group_label_212,,,,,
2017,,,,group_label_212,,,,,
2018,,,,group_label_212,,,,,
2019,,,,group_label_212,,,,,
2020,,,,group_label_212,,,,,
2021,,,,group_label_212,,,,,5.3
2022,,,,group_label_212,,,,,
2023,,,,group_label_212,,,,,5.3
2024,,,,group_label_212,,,,,5.0
2015,,,,,A551,,,,
2016,,,,,A551,,,,
2017,,,,,A551,,,,
2018,,,,,A551,,,,
2019,,,,,A551,,,,
2020,,,,,A551,,,,
2021,,,,,A551,,,,4.8
2022,,,,,A551,,,,
2023,,,,,A551,,,,5.5
2024,,,,,A551,,,,5.4
2015,,,,,group_label_214,,,,
2016,,,,,group_label_214,,,,
2017,,,,,group_label_214,,,,
2018,,,,,group_label_214,,,,
2019,,,,,group_label_214,,,,
2020,,,,,group_label_214,,,,
2021,,,,,group_label_214,,,,5.5
2022,,,,,group_label_214,,,,
2023,,,,,group_label_214,,,,5.3
2024,,,,,group_label_214,,,,5.3
2015,,,,,group_label_215,,,,
2016,,,,,group_label_215,,,,
2017,,,,,group_label_215,,,,
2018,,,,,group_label_215,,,,
2019,,,,,group_label_215,,,,
2020,,,,,group_label_215,,,,
2021,,,,,group_label_215,,,,5.4
2022,,,,,group_label_215,,,,
2023,,,,,group_label_215,,,,5.6
2024,,,,,group_label_215,,,,5.2
2015,,,,,tertiary_education,,,,
2016,,,,,tertiary_education,,,,
2017,,,,,tertiary_education,,,,
2018,,,,,tertiary_education,,,,
2019,,,,,tertiary_education,,,,
2020,,,,,tertiary_education,,,,
2021,,,,,tertiary_education,,,,5.9
2022,,,,,tertiary_education,,,,
2023,,,,,tertiary_education,,,,6.1
2024,,,,,tertiary_education,,,,5.8
2015,,,,,,group_label_217,,,
2016,,,,,,group_label_217,,,
2017,,,,,,group_label_217,,,
2018,,,,,,group_label_217,,,
2019,,,,,,group_label_217,,,
2020,,,,,,group_label_217,,,
2021,,,,,,group_label_217,,,5.8
2022,,,,,,group_label_217,,,
2023,,,,,,group_label_217,,,5.9
2024,,,,,,group_label_217,,,5.6
2015,,,,,,group_label_218,,,
2016,,,,,,group_label_218,,,
2017,,,,,,group_label_218,,,
2018,,,,,,group_label_218,,,
2019,,,,,,group_label_218,,,
2020,,,,,,group_label_218,,,
2021,,,,,,group_label_218,,,5.5
2022,,,,,,group_label_218,,,
2023,,,,,,group_label_218,,,6.0
2024,,,,,,group_label_218,,,5.4
2015,,,,,,group_label_219,,,
2016,,,,,,group_label_219,,,
2017,,,,,,group_label_219,,,
2018,,,,,,group_label_219,,,
2019,,,,,,group_label_219,,,
2020,,,,,,group_label_219,,,
2021,,,,,,group_label_219,,,5.2
2022,,,,,,group_label_219,,,
2023,,,,,,group_label_219,,,5.3
2024,,,,,,group_label_219,,,5.0
2015,,,,,,group_label_220,,,
2016,,,,,,group_label_220,,,
2017,,,,,,group_label_220,,,
2018,,,,,,group_label_220,,,
2019,,,,,,group_label_220,,,
2020,,,,,,group_label_220,,,
2021,,,,,,group_label_220,,,6.4
2022,,,,,,group_label_220,,,
2023,,,,,,group_label_220,,,6.1
2024,,,,,,group_label_220,,,5.5
2015,,,,,,group_label_221,,,
2016,,,,,,group_label_221,,,
2017,,,,,,group_label_221,,,
2018,,,,,,group_label_221,,,
2019,,,,,,group_label_221,,,
2020,,,,,,group_label_221,,,
2021,,,,,,group_label_221,,,5.4
2022,,,,,,group_label_221,,,
2023,,,,,,group_label_221,,,5.9
2024,,,,,,group_label_221,,,5.5
2015,,,,,,,group_label_222,,
2016,,,,,,,group_label_222,,
2017,,,,,,,group_label_222,,
2018,,,,,,,group_label_222,,
2019,,,,,,,group_label_222,,
2020,,,,,,,group_label_222,,
2021,,,,,,,group_label_222,,5.2
2022,,,,,,,group_label_222,,
2023,,,,,,,group_label_222,,5.3
2024,,,,,,,group_label_222,,5.1
2015,,,,,,,group_label_223,,
2016,,,,,,,group_label_223,,
2017,,,,,,,group_label_223,,
2018,,,,,,,group_label_223,,
2019,,,,,,,group_label_223,,
2020,,,,,,,group_label_223,,
2021,,,,,,,group_label_223,,5.2
2022,,,,,,,group_label_223,,
2023,,,,,,,group_label_223,,5.7
2024,,,,,,,group_label_223,,5.3
2015,,,,,,,group_label_224,,
2016,,,,,,,group_label_224,,
2017,,,,,,,group_label_224,,
2018,,,,,,,group_label_224,,
2019,,,,,,,group_label_224,,
2020,,,,,,,group_label_224,,
2021,,,,,,,group_label_224,,5.8
2022,,,,,,,group_label_224,,
2023,,,,,,,group_label_224,,5.7
2024,,,,,,,group_label_224,,5.5
2015,,,,,,,group_label_225,,
2016,,,,,,,group_label_225,,
2017,,,,,,,group_label_225,,
2018,,,,,,,group_label_225,,
2019,,,,,,,group_label_225,,
2020,,,,,,,group_label_225,,
2021,,,,,,,group_label_225,,5.9
2022,,,,,,,group_label_225,,
2023,,,,,,,group_label_225,,6.0
2024,,,,,,,group_label_225,,5.6
2015,,,,,,,,group_label_226,
2016,,,,,,,,group_label_226,
2017,,,,,,,,group_label_226,
2018,,,,,,,,group_label_226,
2019,,,,,,,,group_label_226,
2020,,,,,,,,group_label_226,
2021,,,,,,,,group_label_226,
2022,,,,,,,,group_label_226,
2023,,,,,,,,group_label_226,6.4
2024,,,,,,,,group_label_226,6.3
2015,,,,,,,,group_label_227,
2016,,,,,,,,group_label_227,
2017,,,,,,,,group_label_227,
2018,,,,,,,,group_label_227,
2019,,,,,,,,group_label_227,
2020,,,,,,,,group_label_227,
2021,,,,,,,,group_label_227,
2022,,,,,,,,group_label_227,
2023,,,,,,,,group_label_227,6.3
2024,,,,,,,,group_label_227,6.0
2015,,,,,,,,group_label_228,
2016,,,,,,,,group_label_228,
2017,,,,,,,,group_label_228,
2018,,,,,,,,group_label_228,
2019,,,,,,,,group_label_228,
2020,,,,,,,,group_label_228,
2021,,,,,,,,group_label_228,
2022,,,,,,,,group_label_228,
2023,,,,,,,,group_label_228,5.6
2024,,,,,,,,group_label_228,5.3
