Year,Стать,Місцевість проживання,Область,Value
2020,,,Запорізька,35.8
2020,,,Івано-Франківська,9.5
2020,,,Київська,18.2
2020,,,Кіровоградська,21.3
2020,,,Луганська,17.2
2020,,,Львівська,18.7
2020,,,Миколаївська,19.2
2020,,,Одеська,25.0
2020,,,Полтавська,15.7
2020,,,Рівненська,6.3
2020,,,Сумська,10.7
2020,,,Тернопільська,23.5
2020,,,Харківська,36.1
2020,,,Херсонська,12.1
2020,,,Хмельницька,22.7
2020,,,Черкаська,27.1
2020,,,Чернівецька,14.1
2020,,,Чернігівська,13.5
2020,,,м. Київ,41.0
2020,,,м. Севастополь,
2021,,,,24.4
2021,жінки,,,24.4
2021,чоловіки,,,24.5
2021,,міська,,29.0
2021,,сільська,,15.5
2021,,,Автономна Республіка Крим,
2021,,,Вінницька,26.6
2021,,,Волинська,6.1
2021,,,Дніпропетровська,22.7
2021,,,Донецька,27.4
2021,,,Житомирська,3.1
2021,,,Закарпатська,
2021,,,Запорізька,39.2
2021,,,Івано-Франківська,13.2
2021,,,Київська,44.0
2021,,,Кіровоградська,20.0
2021,,,Луганська,15.3
2021,,,Львівська,26.4
2021,,,Миколаївська,11.9
2021,,,Одеська,29.8
2021,,,Полтавська,34.2
2021,,,Рівненська,3.9
2021,,,Сумська,25.1
2021,,,Тернопільська,9.5
2021,,,Харківська,39.6
2021,,,Херсонська,8.3
2021,,,Хмельницька,24.7
2021,,,Черкаська,27.4
2021,,,Чернівецька,41.2
2021,,,Чернігівська,14.1
2021,,,м. Київ,52.2
2021,,,м. Севастополь,
2022,,,,
2022,жінки,,,
2022,чоловіки,,,
2022,,міська,,
2022,,сільська,,
2022,,,Автономна Республіка Крим,
2022,,,Вінницька,
2022,,,Волинська,
2022,,,Дніпропетровська,
2022,,,Донецька,
2022,,,Житомирська,
2022,,,Закарпатська,
2022,,,Запорізька,
2022,,,Івано-Франківська,
2022,,,Київська,
2022,,,Кіровоградська,
2022,,,Луганська,
2022,,,Львівська,
2022,,,Миколаївська,
2022,,,Одеська,
2022,,,Полтавська,
2022,,,Рівненська,
2022,,,Сумська,
2022,,,Тернопільська,
2022,,,Харківська,
2022,,,Херсонська,
2022,,,Хмельницька,
2022,,,Черкаська,
2022,,,Чернівецька,
2022,,,Чернігівська,
2022,,,м. Київ,
2022,,,м. Севастополь,
2023,,,,
2023,жінки,,,
2023,чоловіки,,,
2023,,міська,,
2023,,сільська,,
2023,,,Автономна Республіка Крим,
2023,,,Вінницька,
2023,,,Волинська,
2023,,,Дніпропетровська,
2023,,,Донецька,
2023,,,Житомирська,
2023,,,Закарпатська,
2023,,,Запорізька,
2023,,,Івано-Франківська,
2023,,,Київська,
2023,,,Кіровоградська,
2023,,,Луганська,
2023,,,Львівська,
2023,,,Миколаївська,
2023,,,Одеська,
2023,,,Полтавська,
2023,,,Рівненська,
2023,,,Сумська,
2023,,,Тернопільська,
2023,,,Харківська,
2023,,,Херсонська,
2023,,,Хмельницька,
2023,,,Черкаська,
2023,,,Чернівецька,
2023,,,Чернігівська,
2023,,,м. Київ,
2023,,,м. Севастополь,
2024,,,,
2024,жінки,,,
2024,чоловіки,,,
2024,,міська,,
2024,,сільська,,
2024,,,Автономна Республіка Крим,
2024,,,Вінницька,
2024,,,Волинська,
2024,,,Дніпропетровська,
2024,,,Донецька,
2024,,,Житомирська,
2024,,,Закарпатська,
2024,,,Запорізька,
2024,,,Івано-Франківська,
2024,,,Київська,
2024,,,Кіровоградська,
2024,,,Луганська,
2024,,,Львівська,
2024,,,Миколаївська,
2024,,,Одеська,
2024,,,Полтавська,
2024,,,Рівненська,
2024,,,Сумська,
2024,,,Тернопільська,
2024,,,Харківська,
2024,,,Херсонська,
2024,,,Хмельницька,
2024,,,Черкаська,
2024,,,Чернівецька,
2024,,,Чернігівська,
2024,,,м. Київ,
2024,,,м. Севастополь,
