Year,Region,Sex,Type of residence,Value
2019,Cherkasy,,,76.3
2020,Cherkasy,,,74.6
2021,Cherkasy,,,78.9
2022,Cherkasy,,,73.1
2023,Cherkasy,,,
2015,Chernivtsi,,,76.6
2016,Chernivtsi,,,72.8
2017,Chernivtsi,,,75.0
2018,Chernivtsi,,,72.7
2019,Chernivtsi,,,71.8
2020,Chernivtsi,,,71.5
2021,Chernivtsi,,,71.8
2022,Chernivtsi,,,66.1
2023,Chernivtsi,,,
2015,Chernihiv,,,80.9
2016,Chernihiv,,,74.6
2017,Chernihiv,,,79.2
2018,Chernihiv,,,75.3
2019,Chernihiv,,,74.4
2020,Chernihiv,,,78.8
2021,Chernihiv,,,75.8
2022,Chernihiv,,,68.8
2023,Chernihiv,,,
2015,the city of Kyiv,,,86.5
2016,the city of Kyiv,,,89.1
2017,the city of Kyiv,,,85.1
2018,the city of Kyiv,,,84.4
2019,the city of Kyiv,,,81.1
2020,the city of Kyiv,,,77.2
2021,the city of Kyiv,,,71.8
2022,the city of Kyiv,,,69.8
2023,the city of Kyiv,,,
2018,,women,,66.0
2019,,women,,69.3
2020,,women,,66.3
2021,,women,,71.9
2022,,women,,65.3
2023,,women,,
2018,,men,,73.9
2019,,men,,69.0
2020,,men,,67.1
2021,,men,,71.9
2022,,men,,65.1
2023,,men,,
2015,,,urban,77.4
2016,,,urban,76.8
2017,,,urban,76.4
2018,,,urban,76.3
2019,,,urban,78.8
2020,,,urban,85.7
2021,,,urban,83.3
2022,,,urban,75.2
2023,,,urban,
2015,,,rural,57.4
2016,,,rural,56.0
2017,,,rural,56.1
2018,,,rural,54.9
2019,,,rural,54.4
2020,,,rural,54.3
2021,,,rural,54.3
2022,,,rural,47.1
2023,,,rural,
