Year,Region,Age,Sex,Type of residence,group_17,Value
2024,,,,,dg_05,
2024,,,,,dg_06,
2024,,,,,dg_07,
2024,,,,,dg_08,
2024,,,,,dg_09,
2024,,,,,dg_10,
2024,,,,,,
2024,autonomous_Republic_of_Crimea,,,,,
2024,11_reg_Vinnytsya,,,,,
2024,12_reg_Volyn,,,,,
2024,13_reg_Dnipropetrovsk,,,,,
2024,14_reg_Donetsk,,,,,
2024,15_reg_Zhytomyr,,,,,
2024,16_reg_Zakarpattya,,,,,
2024,17_reg_Zaporizhzhya,,,,,
2024,18_reg_Ivano-Frankivsk,,,,,
2024,19_reg_Kyiv,,,,,
2024,20_reg_Kirovohrad,,,,,
2024,21_reg_Luhansk,,,,,
2024,22_reg_Lviv,,,,,
2024,23_reg_Mykolayiv,,,,,
2024,24_reg_Odesa,,,,,
2024,25_reg_Poltava,,,,,
2024,26_reg_Rivne,,,,,
2024,27_reg_Sumy,,,,,
2024,28_reg_Ternopil,,,,,
2024,29_reg_Kharkiv,,,,,
2024,30_reg_Kherson,,,,,
2024,31_reg_Khmelnytskiy,,,,,
2024,32_reg_Cherkasy,,,,,
2024,33_reg_Chernivtsi,,,,,
2024,34_reg_Chernihiv,,,,,
2024,Kyiv_city,,,,,
2024,city_Sevastopol,,,,,
