Year,Sex,Age,Region,Value
2018,,,15_reg_Zhytomyr,7
2019,,,15_reg_Zhytomyr,7
2020,,,15_reg_Zhytomyr,4
2021,,,15_reg_Zhytomyr,10
2022,,,15_reg_Zhytomyr,4
2023,,,15_reg_Zhytomyr,5
2024,,,15_reg_Zhytomyr,17
2017,,,16_reg_Zakarpattya,21
2018,,,16_reg_Zakarpattya,16
2019,,,16_reg_Zakarpattya,11
2020,,,16_reg_Zakarpattya,7
2021,,,16_reg_Zakarpattya,2
2022,,,16_reg_Zakarpattya,4
2023,,,16_reg_Zakarpattya,1
2024,,,16_reg_Zakarpattya,7
2017,,,17_reg_Zaporizhzhya,34
2018,,,17_reg_Zaporizhzhya,37
2019,,,17_reg_Zaporizhzhya,47
2020,,,17_reg_Zaporizhzhya,0
2021,,,17_reg_Zaporizhzhya,22
2022,,,17_reg_Zaporizhzhya,
2023,,,17_reg_Zaporizhzhya,
2024,,,17_reg_Zaporizhzhya,59
2017,,,18_reg_Ivano-Frankivsk,0
2018,,,18_reg_Ivano-Frankivsk,0
2019,,,18_reg_Ivano-Frankivsk,0
2020,,,18_reg_Ivano-Frankivsk,1
2021,,,18_reg_Ivano-Frankivsk,0
2022,,,18_reg_Ivano-Frankivsk,6
2023,,,18_reg_Ivano-Frankivsk,16
2024,,,18_reg_Ivano-Frankivsk,19
2017,,,19_reg_Kyiv,25
2018,,,19_reg_Kyiv,21
2019,,,19_reg_Kyiv,7
2020,,,19_reg_Kyiv,2
2021,,,19_reg_Kyiv,7
2022,,,19_reg_Kyiv,7
2023,,,19_reg_Kyiv,18
2024,,,19_reg_Kyiv,11
2017,,,20_reg_Kirovohrad,7
2018,,,20_reg_Kirovohrad,11
2019,,,20_reg_Kirovohrad,3
2020,,,20_reg_Kirovohrad,5
2021,,,20_reg_Kirovohrad,1
2022,,,20_reg_Kirovohrad,4
2023,,,20_reg_Kirovohrad,9
2024,,,20_reg_Kirovohrad,25
2017,,,21_reg_Luhansk,6
2018,,,21_reg_Luhansk,3
2019,,,21_reg_Luhansk,9
2020,,,21_reg_Luhansk,10
2021,,,21_reg_Luhansk,7
2022,,,21_reg_Luhansk,
2023,,,21_reg_Luhansk,
2024,,,21_reg_Luhansk,
2017,,,22_reg_Lviv,22
2018,,,22_reg_Lviv,21
2019,,,22_reg_Lviv,23
2020,,,22_reg_Lviv,12
2021,,,22_reg_Lviv,13
2022,,,22_reg_Lviv,25
2023,,,22_reg_Lviv,42
2024,,,22_reg_Lviv,58
2017,,,23_reg_Mykolayiv,48
2018,,,23_reg_Mykolayiv,23
2019,,,23_reg_Mykolayiv,51
2020,,,23_reg_Mykolayiv,8
2021,,,23_reg_Mykolayiv,9
2022,,,23_reg_Mykolayiv,33
2023,,,23_reg_Mykolayiv,8
2024,,,23_reg_Mykolayiv,19
2017,,,24_reg_Odesa,16
2018,,,24_reg_Odesa,9
2019,,,24_reg_Odesa,10
2020,,,24_reg_Odesa,10
2021,,,24_reg_Odesa,15
2022,,,24_reg_Odesa,8
2023,,,24_reg_Odesa,12
2024,,,24_reg_Odesa,20
2017,,,25_reg_Poltava,0
2018,,,25_reg_Poltava,0
2019,,,25_reg_Poltava,0
2020,,,25_reg_Poltava,10
2021,,,25_reg_Poltava,14
2022,,,25_reg_Poltava,12
2023,,,25_reg_Poltava,12
2024,,,25_reg_Poltava,14
2017,,,26_reg_Rivne,87
2018,,,26_reg_Rivne,52
2019,,,26_reg_Rivne,62
2020,,,26_reg_Rivne,49
2021,,,26_reg_Rivne,11
2022,,,26_reg_Rivne,48
2023,,,26_reg_Rivne,46
2024,,,26_reg_Rivne,45
2017,,,27_reg_Sumy,0
2018,,,27_reg_Sumy,0
2019,,,27_reg_Sumy,0
2020,,,27_reg_Sumy,0
2021,,,27_reg_Sumy,0
2022,,,27_reg_Sumy,11
2023,,,27_reg_Sumy,25
2024,,,27_reg_Sumy,50
2017,,,28_reg_Ternopil,3
2018,,,28_reg_Ternopil,1
2019,,,28_reg_Ternopil,15
2020,,,28_reg_Ternopil,5
2021,,,28_reg_Ternopil,10
2022,,,28_reg_Ternopil,30
2023,,,28_reg_Ternopil,222
2024,,,28_reg_Ternopil,24
2017,,,29_reg_Kharkiv,34
2018,,,29_reg_Kharkiv,45
2019,,,29_reg_Kharkiv,67
2020,,,29_reg_Kharkiv,38
2021,,,29_reg_Kharkiv,41
2022,,,29_reg_Kharkiv,53
2023,,,29_reg_Kharkiv,58
2024,,,29_reg_Kharkiv,66
2017,,,30_reg_Kherson,5
2018,,,30_reg_Kherson,4
2019,,,30_reg_Kherson,0
2020,,,30_reg_Kherson,0
2021,,,30_reg_Kherson,18
2022,,,30_reg_Kherson,
2023,,,30_reg_Kherson,
2024,,,30_reg_Kherson,
2017,,,31_reg_Khmelnytskiy,33
2018,,,31_reg_Khmelnytskiy,22
2019,,,31_reg_Khmelnytskiy,8
2020,,,31_reg_Khmelnytskiy,7
2021,,,31_reg_Khmelnytskiy,8
2022,,,31_reg_Khmelnytskiy,5
2023,,,31_reg_Khmelnytskiy,225
2024,,,31_reg_Khmelnytskiy,6
2017,,,32_reg_Cherkasy,12
2018,,,32_reg_Cherkasy,7
2019,,,32_reg_Cherkasy,3
2020,,,32_reg_Cherkasy,5
2021,,,32_reg_Cherkasy,6
2022,,,32_reg_Cherkasy,15
2023,,,32_reg_Cherkasy,8
2024,,,32_reg_Cherkasy,16
2017,,,33_reg_Chernivtsi,23
2018,,,33_reg_Chernivtsi,21
2019,,,33_reg_Chernivtsi,17
2020,,,33_reg_Chernivtsi,10
2021,,,33_reg_Chernivtsi,9
2022,,,33_reg_Chernivtsi,3
2023,,,33_reg_Chernivtsi,7
2024,,,33_reg_Chernivtsi,15
2017,,,34_reg_Chernihiv,22
2018,,,34_reg_Chernihiv,29
2019,,,34_reg_Chernihiv,28
2020,,,34_reg_Chernihiv,13
2021,,,34_reg_Chernihiv,8
2022,,,34_reg_Chernihiv,8
2023,,,34_reg_Chernihiv,24
2024,,,34_reg_Chernihiv,48
2017,,,35_reg_Kyiv_city,25
2017,,,autonomous_Republic_of_Crimea,
2017,,,city_Sevastopol,
2018,,,35_reg_Kyiv_city,21
2018,,,autonomous_Republic_of_Crimea,
2018,,,city_Sevastopol,
2019,,,35_reg_Kyiv_city,7
2019,,,autonomous_Republic_of_Crimea,
2019,,,city_Sevastopol,
2020,,,35_reg_Kyiv_city,2
2020,,,autonomous_Republic_of_Crimea,
2020,,,city_Sevastopol,
2021,,,35_reg_Kyiv_city,7
2021,,,autonomous_Republic_of_Crimea,
2021,,,city_Sevastopol,
2022,,,35_reg_Kyiv_city,7
2022,,,autonomous_Republic_of_Crimea,
2022,,,city_Sevastopol,
2023,,,35_reg_Kyiv_city,18
2023,,,autonomous_Republic_of_Crimea,
2023,,,city_Sevastopol,
2024,,,35_reg_Kyiv_city,11
2024,,,autonomous_Republic_of_Crimea,
2024,,,city_Sevastopol,
