Year,group_label_230,Age,Sex,Type of residence,group_label_322,group_24,group_25,group_label_323,Value
2016,,,,,,,,11_reg_Vinnytsya,20836
2016,,,,,,,,12_reg_Volyn,8859
2016,,,,,,,,13_reg_Dnipropetrovsk,28506
2016,,,,,,,,14_reg_Donetsk,5703
2016,,,,,,,,15_reg_Zhytomyr,10343
2016,,,,,,,,16_reg_Zakarpattya,4847
2016,,,,,,,,17_reg_Zaporizhzhya,14941
2016,,,,,,,,18_reg_Ivano-Frankivsk,9858
2016,,,,,,,,19_reg_Kyiv,8040
2016,,,,,,,,20_reg_Kirovohrad,12539
2016,,,,,,,,21_reg_Luhansk,3497
2016,,,,,,,,22_reg_Lviv,15887
2016,,,,,,,,23_reg_Mykolayiv,9661
2016,,,,,,,,24_reg_Odesa,18664
2016,,,,,,,,25_reg_Poltava,11465
2016,,,,,,,,26_reg_Rivne,10194
2016,,,,,,,,27_reg_Sumy,12580
2016,,,,,,,,28_reg_Ternopil,9833
2016,,,,,,,,29_reg_Kharkiv,9275
2016,,,,,,,,30_reg_Kherson,7240
2016,,,,,,,,31_reg_Khmelnytskiy,11274
2016,,,,,,,,32_reg_Cherkasy,8859
2016,,,,,,,,33_reg_Chernivtsi,5565
2016,,,,,,,,34_reg_Chernihiv,8233
2016,,,,,,,,Kyiv_city,8340
2016,,,,,,,,city_Sevastopol,

2017,,,,,,,,,393228
2017,group_label_230,,,,,,,,
2017,,age_18_1,,,,,,,1803
2017,,age_18_35,,,,,,,88404
2017,,age_36_60,,,,,,,196311
2017,,age_61,,,,,,,106710
2017,,,males_1,,,,,,158462
2017,,,females_1,,,,,,234766
2017,,,,urban,,,,,
2017,,,,rural,,,,,
2017,,,,,group_label_322,,,,567340
2017,,,,,,group_label_235,,,501786
2017,,,,,,group_label_236,,,69457
2017,,,,,,,group_label_237,,78751
2017,,,,,,,group_label_238,,62946
2017,,,,,,,group_label_239,,72398
2017,,,,,,,group_label_240,,4298
2017,,,,,,,group_label_241,,29338
2017,,,,,,,group_label_242,,25415
2017,,,,,,,group_label_243,,47308
2017,,,,,,,group_label_244,,34715
2017,,,,,,,group_label_245,,33562
2017,,,,,,,group_label_246,,104315
2017,,,,,,,group_label_247,,19861
2017,,,,,,,group_label_248,,6163
2017,,,,,,,group_label_249,,48615
2017,,,,,,,group_label_250,,
2017,,,,,,,group_label_251,,
2017,,,,,,,group_label_252,,
2017,,,,,,,group_label_253,,
2017,,,,,,,group_label_254,,
2017,,,,,,,group_label_255,,
2017,,,,,,,,autonomous_Republic_of_Crimea,
2017,,,,,,,,11_reg_Vinnytsya,46086
2017,,,,,,,,12_reg_Volyn,17635
2017,,,,,,,,13_reg_Dnipropetrovsk,50773
2017,,,,,,,,14_reg_Donetsk,18599
2017,,,,,,,,15_reg_Zhytomyr,23119
2017,,,,,,,,16_reg_Zakarpattya,11230
2017,,,,,,,,17_reg_Zaporizhzhya,27930
2017,,,,,,,,18_reg_Ivano-Frankivsk,17836
2017,,,,,,,,19_reg_Kyiv,23547
2017,,,,,,,,20_reg_Kirovohrad,25146
2017,,,,,,,,21_reg_Luhansk,11100
2017,,,,,,,,22_reg_Lviv,30570
2017,,,,,,,,23_reg_Mykolayiv,23511
2017,,,,,,,,24_reg_Odesa,27723
2017,,,,,,,,25_reg_Poltava,28980
2017,,,,,,,,26_reg_Rivne,16783
2017,,,,,,,,27_reg_Sumy,23526
2017,,,,,,,,28_reg_Ternopil,19410
2017,,,,,,,,29_reg_Kharkiv,22247
2017,,,,,,,,30_reg_Kherson,21013
2017,,,,,,,,31_reg_Khmelnytskiy,23410
2017,,,,,,,,32_reg_Cherkasy,17949
2017,,,,,,,,33_reg_Chernivtsi,9072
2017,,,,,,,,34_reg_Chernihiv,16409
2017,,,,,,,,Kyiv_city,13736
2017,,,,,,,,city_Sevastopol,

2018,,,,,,,,,400478
2018,group_label_230,,,,,,,,
2018,,age_18_1,,,,,,,2051
2018,,age_18_35,,,,,,,86792
2018,,age_36_60,,,,,,,193433
2018,,age_61,,,,,,,118202
2018,,,males_1,,,,,,151787
2018,,,females_1,,,,,,248691
2018,,,,urban,,,,,
2018,,,,rural,,,,,
2018,,,,,group_label_322,,,,623842
2018,,,,,,group_label_235,,,553301
2018,,,,,,group_label_236,,,72800
2018,,,,,,,group_label_237,,73854
2018,,,,,,,group_label_238,,60437
2018,,,,,,,group_label_239,,104400
2018,,,,,,,group_label_240,,4059
2018,,,,,,,group_label_241,,25847
2018,,,,,,,group_label_242,,27771
2018,,,,,,,group_label_243,,36996
2018,,,,,,,group_label_244,,31099
2018,,,,,,,group_label_245,,50940
2018,,,,,,,group_label_246,,120281
2018,,,,,,,group_label_247,,27422
2018,,,,,,,group_label_248,,5864
2018,,,,,,,group_label_249,,55540
2018,,,,,,,group_label_250,,
2018,,,,,,,group_label_251,,
2018,,,,,,,group_label_252,,
2018,,,,,,,group_label_253,,
2018,,,,,,,group_label_254,,
2018,,,,,,,group_label_255,,
2018,,,,,,,,autonomous_Republic_of_Crimea,
2018,,,,,,,,11_reg_Vinnytsya,42832
2018,,,,,,,,12_reg_Volyn,16375
2018,,,,,,,,13_reg_Dnipropetrovsk,54653
2018,,,,,,,,14_reg_Donetsk,27060
2018,,,,,,,,15_reg_Zhytomyr,23062
2018,,,,,,,,16_reg_Zakarpattya,13549
2018,,,,,,,,17_reg_Zaporizhzhya,36784
2018,,,,,,,,18_reg_Ivano-Frankivsk,18607
2018,,,,,,,,19_reg_Kyiv,30849
2018,,,,,,,,20_reg_Kirovohrad,22179
2018,,,,,,,,21_reg_Luhansk,13076
2018,,,,,,,,22_reg_Lviv,29252
2018,,,,,,,,23_reg_Mykolayiv,24354
2018,,,,,,,,24_reg_Odesa,22542
2018,,,,,,,,25_reg_Poltava,34488
2018,,,,,,,,26_reg_Rivne,19637
2018,,,,,,,,27_reg_Sumy,30806
2018,,,,,,,,28_reg_Ternopil,21801
2018,,,,,,,,29_reg_Kharkiv,31720
2018,,,,,,,,30_reg_Kherson,22532
2018,,,,,,,,31_reg_Khmelnytskiy,25215
2018,,,,,,,,32_reg_Cherkasy,20996
2018,,,,,,,,33_reg_Chernivtsi,8802
2018,,,,,,,,34_reg_Chernihiv,14357
2018,,,,,,,,Kyiv_city,18314
2018,,,,,,,,city_Sevastopol,

2019,,,,,,,,,404030
2019,group_label_230,,,,,,,,
2019,,age_18_1,,,,,,,1976
2019,,age_18_35,,,,,,,70756
2019,,age_36_60,,,,,,,185227
2019,,age_61,,,,,,,146071
2019,,,males_1,,,,,,152578
2019,,,females_1,,,,,,251452
2019,,,,urban,,,,,
2019,,,,rural,,,,,
2019,,,,,group_label_322,,,,623977
2019,,,,,,group_label_235,,,558160
2019,,,,,,group_label_236,,,65817
2019,,,,,,,group_label_237,,11746
2019,,,,,,,group_label_238,,58186
2019,,,,,,,group_label_239,,106065
2019,,,,,,,group_label_240,,
2019,,,,,,,group_label_241,,25310
2019,,,,,,,group_label_242,,35938
2019,,,,,,,group_label_243,,39436
2019,,,,,,,group_label_244,,
2019,,,,,,,group_label_245,,64778
2019,,,,,,,group_label_246,,122853
2019,,,,,,,group_label_247,,9642
2019,,,,,,,group_label_248,,4354
2019,,,,,,,group_label_249,,96305
2019,,,,,,,group_label_250,,17708
2019,,,,,,,group_label_251,,27043
2019,,,,,,,group_label_252,,4613
2019,,,,,,,group_label_253,,
2019,,,,,,,group_label_254,,
2019,,,,,,,group_label_255,,
2019,,,,,,,,autonomous_Republic_of_Crimea,
2019,,,,,,,,11_reg_Vinnytsya,36888
2019,,,,,,,,12_reg_Volyn,17322
2019,,,,,,,,13_reg_Dnipropetrovsk,52595
2019,,,,,,,,14_reg_Donetsk,31623
2019,,,,,,,,15_reg_Zhytomyr,20142
2019,,,,,,,,16_reg_Zakarpattya,11231
2019,,,,,,,,17_reg_Zaporizhzhya,47164
2019,,,,,,,,18_reg_Ivano-Frankivsk,17491
2019,,,,,,,,19_reg_Kyiv,37824
2019,,,,,,,,20_reg_Kirovohrad,18063
2019,,,,,,,,21_reg_Luhansk,10329
2019,,,,,,,,22_reg_Lviv,27937
2019,,,,,,,,23_reg_Mykolayiv,18515
2019,,,,,,,,24_reg_Odesa,22230
2019,,,,,,,,25_reg_Poltava,33411
2019,,,,,,,,26_reg_Rivne,19121
2019,,,,,,,,27_reg_Sumy,33409
2019,,,,,,,,28_reg_Ternopil,21503
2019,,,,,,,,29_reg_Kharkiv,31263
2019,,,,,,,,30_reg_Kherson,22129
2019,,,,,,,,31_reg_Khmelnytskiy,23400
2019,,,,,,,,32_reg_Cherkasy,19704
2019,,,,,,,,33_reg_Chernivtsi,9295
2019,,,,,,,,34_reg_Chernihiv,26213
2019,,,,,,,,Kyiv_city,15175
2019,,,,,,,,city_Sevastopol,

2020,,,,,,,,,354018
2020,group_label_230,,,,,,,,
2020,,age_18_1,,,,,,,1893
2020,,age_18_35,,,,,,,71945
2020,,age_36_60,,,,,,,172036
2020,,age_61,,,,,,,108144
2020,,,males_1,,,,,,137011
2020,,,females_1,,,,,,217007
2020,,,,urban,,,,,
2020,,,,rural,,,,,
2020,,,,,group_label_322,,,,568931
2020,,,,,,group_label_235,,,510118
2020,,,,,,group_label_236,,,58813
2020,,,,,,,group_label_237,,31528
2020,,,,,,,group_label_238,,47393
2020,,,,,,,group_label_239,,85575
2020,,,,,,,group_label_240,,
2020,,,,,,,group_label_241,,26762
2020,,,,,,,group_label_242,,45275
2020,,,,,,,group_label_243,,51284
2020,,,,,,,group_label_244,,
2020,,,,,,,group_label_245,,47231
2020,,,,,,,group_label_246,,107386
2020,,,,,,,group_label_247,,24652
2020,,,,,,,group_label_248,,556
2020,,,,,,,group_label_249,,51778
2020,,,,,,,group_label_250,,19608
2020,,,,,,,group_label_251,,24566
2020,,,,,,,group_label_252,,5337
2020,,,,,,,group_label_253,,
2020,,,,,,,group_label_254,,
2020,,,,,,,group_label_255,,
2020,,,,,,,,autonomous_Republic_of_Crimea,
2020,,,,,,,,11_reg_Vinnytsya,21950
2020,,,,,,,,12_reg_Volyn,15319
2020,,,,,,,,13_reg_Dnipropetrovsk,44215
2020,,,,,,,,14_reg_Donetsk,33768
2020,,,,,,,,15_reg_Zhytomyr,21802
2020,,,,,,,,16_reg_Zakarpattya,9396
2020,,,,,,,,17_reg_Zaporizhzhya,42345
2020,,,,,,,,18_reg_Ivano-Frankivsk,11633
2020,,,,,,,,19_reg_Kyiv,36650
2020,,,,,,,,20_reg_Kirovohrad,18005
2020,,,,,,,,21_reg_Luhansk,11242
2020,,,,,,,,22_reg_Lviv,30235
2020,,,,,,,,23_reg_Mykolayiv,18329
2020,,,,,,,,24_reg_Odesa,24575
2020,,,,,,,,25_reg_Poltava,30935
2020,,,,,,,,26_reg_Rivne,17593
2020,,,,,,,,27_reg_Sumy,30514
2020,,,,,,,,28_reg_Ternopil,18096
2020,,,,,,,,29_reg_Kharkiv,36544
2020,,,,,,,,30_reg_Kherson,18543
2020,,,,,,,,31_reg_Khmelnytskiy,20164
2020,,,,,,,,32_reg_Cherkasy,17278
2020,,,,,,,,33_reg_Chernivtsi,8396
2020,,,,,,,,34_reg_Chernihiv,21014
2020,,,,,,,,Kyiv_city,10390
2020,,,,,,,,city_Sevastopol,

2021,,,,,,,,,433810
2021,group_label_230,,,,,,,,
2021,,age_18_1,,,,,,,2972
2021,,age_18_35,,,,,,,93881
2021,,age_36_60,,,,,,,220951
2021,,age_61,,,,,,,116006
2021,,,males_1,,,,,,179040
2021,,,females_1,,,,,,254770
2021,,,,urban,,,,,
2021,,,,rural,,,,,
2021,,,,,group_label_322,,,,713202
2021,,,,,,group_label_235,,,627281
2021,,,,,,group_label_236,,,85921
2021,,,,,,,group_label_237,,49226
2021,,,,,,,group_label_238,,60530
2021,,,,,,,group_label_239,,98459
2021,,,,,,,group_label_240,,
2021,,,,,,,group_label_241,,32023
2021,,,,,,,group_label_242,,82730
2021,,,,,,,group_label_243,,51625
2021,,,,,,,group_label_244,,
2021,,,,,,,group_label_245,,65339
2021,,,,,,,group_label_246,,141747
2021,,,,,,,group_label_247,,32918
2021,,,,,,,group_label_248,,176
2021,,,,,,,group_label_249,,36315
2021,,,,,,,group_label_250,,23039
2021,,,,,,,group_label_251,,32649
2021,,,,,,,group_label_252,,6426
2021,,,,,,,group_label_253,,
2021,,,,,,,group_label_254,,
2021,,,,,,,group_label_255,,
2021,,,,,,,,autonomous_Republic_of_Crimea,
2021,,,,,,,,11_reg_Vinnytsya,35167
2021,,,,,,,,12_reg_Volyn,20039
2021,,,,,,,,13_reg_Dnipropetrovsk,54352
2021,,,,,,,,14_reg_Donetsk,35478
2021,,,,,,,,15_reg_Zhytomyr,31318
2021,,,,,,,,16_reg_Zakarpattya,14638
2021,,,,,,,,17_reg_Zaporizhzhya,47366
2021,,,,,,,,18_reg_Ivano-Frankivsk,19949
2021,,,,,,,,19_reg_Kyiv,42744
2021,,,,,,,,20_reg_Kirovohrad,18977
2021,,,,,,,,21_reg_Luhansk,13120
2021,,,,,,,,22_reg_Lviv,38138
2021,,,,,,,,23_reg_Mykolayiv,20155
2021,,,,,,,,24_reg_Odesa,28272
2021,,,,,,,,25_reg_Poltava,37619
2021,,,,,,,,26_reg_Rivne,22052
2021,,,,,,,,27_reg_Sumy,35493
2021,,,,,,,,28_reg_Ternopil,25895
2021,,,,,,,,29_reg_Kharkiv,41621
2021,,,,,,,,30_reg_Kherson,27880
2021,,,,,,,,31_reg_Khmelnytskiy,27208
2021,,,,,,,,32_reg_Cherkasy,20222
2021,,,,,,,,33_reg_Chernivtsi,13566
2021,,,,,,,,34_reg_Chernihiv,27715
2021,,,,,,,,Kyiv_city,14218
2021,,,,,,,,city_Sevastopol,

2022,,,,,,,,,501004
2022,group_label_230,,,,,,,,121832
2022,,age_18_1,,,,,,,4601
2022,,age_18_35,,,,,,,85801
2022,,age_36_60,,,,,,,192322
2022,,age_61,,,,,,,96448
2022,,,males_1,,,,,,153006
2022,,,females_1,,,,,,226166
2022,,,,urban,,,,,
2022,,,,rural,,,,,
2022,,,,,group_label_322,,,,556548
2022,,,,,,group_label_235,,,506914
2022,,,,,,group_label_236,,,49634
2022,,,,,,,group_label_237,,65984
2022,,,,,,,group_label_238,,38011
2022,,,,,,,group_label_239,,76382
2022,,,,,,,group_label_240,,
2022,,,,,,,group_label_241,,38670
2022,,,,,,,group_label_242,,90502
2022,,,,,,,group_label_243,,24851
2022,,,,,,,group_label_244,,
2022,,,,,,,group_label_245,,34713
2022,,,,,,,group_label_246,,91710
2022,,,,,,,group_label_247,,27305
2022,,,,,,,group_label_248,,360
2022,,,,,,,group_label_249,,13261
2022,,,,,,,group_label_250,,15590
2022,,,,,,,group_label_251,,29413
2022,,,,,,,group_label_252,,4204
2022,,,,,,,group_label_253,,5
2022,,,,,,,group_label_254,,208
2022,,,,,,,group_label_255,,5379
2022,,,,,,,,autonomous_Republic_of_Crimea,
2022,,,,,,,,11_reg_Vinnytsya,38250
2022,,,,,,,,12_reg_Volyn,14709
2022,,,,,,,,13_reg_Dnipropetrovsk,41359
2022,,,,,,,,14_reg_Donetsk,13304
2022,,,,,,,,15_reg_Zhytomyr,29269
2022,,,,,,,,16_reg_Zakarpattya,15248
2022,,,,,,,,17_reg_Zaporizhzhya,18822
2022,,,,,,,,18_reg_Ivano-Frankivsk,25556
2022,,,,,,,,19_reg_Kyiv,29784
2022,,,,,,,,20_reg_Kirovohrad,13946
2022,,,,,,,,21_reg_Luhansk,2080
2022,,,,,,,,22_reg_Lviv,43626
2022,,,,,,,,23_reg_Mykolayiv,11273
2022,,,,,,,,24_reg_Odesa,23538
2022,,,,,,,,25_reg_Poltava,42934
2022,,,,,,,,26_reg_Rivne,23864
2022,,,,,,,,27_reg_Sumy,25019
2022,,,,,,,,28_reg_Ternopil,22279
2022,,,,,,,,29_reg_Kharkiv,23384
2022,,,,,,,,30_reg_Kherson,4959
2022,,,,,,,,31_reg_Khmelnytskiy,26244
2022,,,,,,,,32_reg_Cherkasy,20381
2022,,,,,,,,33_reg_Chernivtsi,14886
2022,,,,,,,,34_reg_Chernihiv,21845
2022,,,,,,,,Kyiv_city,9989
2022,,,,,,,,city_Sevastopol,

2023,,,,,,,,,490220
2023,group_label_230,,,,,,,,121108
2023,,age_18_1,,,,,,,4830
2023,,age_18_35,,,,,,,75787
2023,,age_36_60,,,,,,,185630
2023,,age_61,,,,,,,102865
2023,,,males_1,,,,,,143272
2023,,,females_1,,,,,,225840
2023,,,,urban,,,,,
2023,,,,rural,,,,,
2023,,,,,group_label_322,,,,563654
2023,,,,,,group_label_235,,,508127
2023,,,,,,group_label_236,,,55527
2023,,,,,,,group_label_237,,42421
2023,,,,,,,group_label_238,,40223
2023,,,,,,,group_label_239,,81123
2023,,,,,,,group_label_240,,
2023,,,,,,,group_label_241,,44272
2023,,,,,,,group_label_242,,98783
2023,,,,,,,group_label_243,,22914
2023,,,,,,,group_label_244,,
2023,,,,,,,group_label_245,,29930
2023,,,,,,,group_label_246,,101400
2023,,,,,,,group_label_247,,36308
2023,,,,,,,group_label_248,,334
2023,,,,,,,group_label_249,,5566
2023,,,,,,,group_label_250,,19101
2023,,,,,,,group_label_251,,33126
2023,,,,,,,group_label_252,,4444
2023,,,,,,,group_label_253,,13
2023,,,,,,,group_label_254,,487
2023,,,,,,,group_label_255,,3209
2023,,,,,,,,autonomous_Republic_of_Crimea,
2023,,,,,,,,11_reg_Vinnytsya,35088
2023,,,,,,,,12_reg_Volyn,18670
2023,,,,,,,,13_reg_Dnipropetrovsk,40687
2023,,,,,,,,14_reg_Donetsk,183
2023,,,,,,,,15_reg_Zhytomyr,29832
2023,,,,,,,,16_reg_Zakarpattya,15990
2023,,,,,,,,17_reg_Zaporizhzhya,14296
2023,,,,,,,,18_reg_Ivano-Frankivsk,28422
2023,,,,,,,,19_reg_Kyiv,34381
2023,,,,,,,,20_reg_Kirovohrad,14429
2023,,,,,,,,21_reg_Luhansk,
2023,,,,,,,,22_reg_Lviv,34016
2023,,,,,,,,23_reg_Mykolayiv,15049
2023,,,,,,,,24_reg_Odesa,26872
2023,,,,,,,,25_reg_Poltava,41622
2023,,,,,,,,26_reg_Rivne,17904
2023,,,,,,,,27_reg_Sumy,32863
2023,,,,,,,,28_reg_Ternopil,24619
2023,,,,,,,,29_reg_Kharkiv,26660
2023,,,,,,,,30_reg_Kherson,1797
2023,,,,,,,,31_reg_Khmelnytskiy,25110
2023,,,,,,,,32_reg_Cherkasy,21314
2023,,,,,,,,33_reg_Chernivtsi,16622
2023,,,,,,,,34_reg_Chernihiv,28509
2023,,,,,,,,Kyiv_city,18719
2023,,,,,,,,city_Sevastopol,

2024,,,,,,,,,456868
2024,group_label_230,,,,,,,,102969
2024,,age_18_1,,,,,,,5253
2024,,age_18_35,,,,,,,83558
2024,,age_36_60,,,,,,,167067
2024,,age_61,,,,,,,98021
2024,,,males_1,,,,,,140508
2024,,,females_1,,,,,,213391
2024,,,,urban,,,,,
2024,,,,rural,,,,,
2024,,,,,group_label_322,,,,524070
2024,,,,,,group_label_235,,,465744
2024,,,,,,group_label_236,,,58326
2024,,,,,,,group_label_237,,34387
2024,,,,,,,group_label_238,,33985
2024,,,,,,,group_label_239,,68639
2024,,,,,,,group_label_240,,
2024,,,,,,,group_label_241,,65449
2024,,,,,,,group_label_242,,89363
2024,,,,,,,group_label_243,,15528
2024,,,,,,,group_label_244,,
2024,,,,,,,group_label_245,,23324
2024,,,,,,,group_label_246,,101868
2024,,,,,,,group_label_247,,32793
2024,,,,,,,group_label_248,,388
2024,,,,,,,group_label_249,,4350
2024,,,,,,,group_label_250,,19470
2024,,,,,,,group_label_251,,26903
2024,,,,,,,group_label_252,,4745
2024,,,,,,,group_label_253,,16
2024,,,,,,,group_label_254,,454
2024,,,,,,,group_label_255,,2408
2024,,,,,,,,autonomous_Republic_of_Crimea,
2024,,,,,,,,11_reg_Vinnytsya,32605
2024,,,,,,,,12_reg_Volyn,14192
2024,,,,,,,,13_reg_Dnipropetrovsk,31580
2024,,,,,,,,14_reg_Donetsk,3503
2024,,,,,,,,15_reg_Zhytomyr,25061
2024,,,,,,,,16_reg_Zakarpattya,15311
2024,,,,,,,,17_reg_Zaporizhzhya,10879
2024,,,,,,,,18_reg_Ivano-Frankivsk,28492
2024,,,,,,,,19_reg_Kyiv,30103
2024,,,,,,,,20_reg_Kirovohrad,14091
2024,,,,,,,,21_reg_Luhansk,
2024,,,,,,,,22_reg_Lviv,33457
2024,,,,,,,,23_reg_Mykolayiv,13837
2024,,,,,,,,24_reg_Odesa,23861
2024,,,,,,,,25_reg_Poltava,33114
2024,,,,,,,,26_reg_Rivne,19644
2024,,,,,,,,27_reg_Sumy,27548
2024,,,,,,,,28_reg_Ternopil,26252
2024,,,,,,,,29_reg_Kharkiv,28040
2024,,,,,,,,30_reg_Kherson,4074
2024,,,,,,,,31_reg_Khmelnytskiy,22285
2024,,,,,,,,32_reg_Cherkasy,18561
2024,,,,,,,,33_reg_Chernivtsi,16955
2024,,,,,,,,34_reg_Chernihiv,26858
2024,,,,,,,,Kyiv_city,23767
2024,,,,,,,,city_Sevastopol,
