Year,Region,Category,Value
2018,20_reg_Kirovohrad,,4.9
2019,20_reg_Kirovohrad,,4.5
2020,20_reg_Kirovohrad,,15.7
2021,20_reg_Kirovohrad,,0.2
2022,20_reg_Kirovohrad,,0.3
2023,20_reg_Kirovohrad,,0.3
2024,20_reg_Kirovohrad,,0.3
2015,21_reg_Luhansk,,10.4
2016,21_reg_Luhansk,,22.9
2017,21_reg_Luhansk,,14.0
2018,21_reg_Luhansk,,8.2
2019,21_reg_Luhansk,,9.5
2020,21_reg_Luhansk,,15.2
2021,21_reg_Luhansk,,7.4
2022,21_reg_Luhansk,,0.0
2023,21_reg_Luhansk,,0.0
2024,21_reg_Luhansk,,0.0
2015,22_reg_Lviv,,11.0
2016,22_reg_Lviv,,17.4
2017,22_reg_Lviv,,24.3
2018,22_reg_Lviv,,16.6
2019,22_reg_Lviv,,16.0
2020,22_reg_Lviv,,12.9
2021,22_reg_Lviv,,16.9
2022,22_reg_Lviv,,22.1
2023,22_reg_Lviv,,25.2
2024,22_reg_Lviv,,17.0
2015,23_reg_Mykolayiv,,3.3
2016,23_reg_Mykolayiv,,3.4
2017,23_reg_Mykolayiv,,2.6
2018,23_reg_Mykolayiv,,2.5
2019,23_reg_Mykolayiv,,2.6
2020,23_reg_Mykolayiv,,3.5
2021,23_reg_Mykolayiv,,3.6
2022,23_reg_Mykolayiv,,9.7
2023,23_reg_Mykolayiv,,22.0
2024,23_reg_Mykolayiv,,24.1
2015,24_reg_Odesa,,1.7
2016,24_reg_Odesa,,1.6
2017,24_reg_Odesa,,1.4
2018,24_reg_Odesa,,1.3
2019,24_reg_Odesa,,0.4
2020,24_reg_Odesa,,0.4
2021,24_reg_Odesa,,2.2
2022,24_reg_Odesa,,3.8
2023,24_reg_Odesa,,1.6
2024,24_reg_Odesa,,29.9
2015,25_reg_Poltava,,69.1
2016,25_reg_Poltava,,66.7
2017,25_reg_Poltava,,7.9
2018,25_reg_Poltava,,14.0
2019,25_reg_Poltava,,3.1
2020,25_reg_Poltava,,2.1
2021,25_reg_Poltava,,1.6
2022,25_reg_Poltava,,3.3
2023,25_reg_Poltava,,5.2
2024,25_reg_Poltava,,1.6
2015,26_reg_Rivne,,11.1
2016,26_reg_Rivne,,9.1
2017,26_reg_Rivne,,5.2
2018,26_reg_Rivne,,4.8
2019,26_reg_Rivne,,7.6
2020,26_reg_Rivne,,1.7
2021,26_reg_Rivne,,0.8
2022,26_reg_Rivne,,2.7
2023,26_reg_Rivne,,3.5
2024,26_reg_Rivne,,2.4
2015,27_reg_Sumy,,22.4
2016,27_reg_Sumy,,28.8
2017,27_reg_Sumy,,39.4
2018,27_reg_Sumy,,23.2
2019,27_reg_Sumy,,18.2
2020,27_reg_Sumy,,19.1
2021,27_reg_Sumy,,19.1
2022,27_reg_Sumy,,13.3
2023,27_reg_Sumy,,6.6
2024,27_reg_Sumy,,2.8
2015,28_reg_Ternopil,,17.4
2016,28_reg_Ternopil,,9.6
2017,28_reg_Ternopil,,5.2
2018,28_reg_Ternopil,,14.6
2019,28_reg_Ternopil,,26.1
2020,28_reg_Ternopil,,24.1
2021,28_reg_Ternopil,,14.2
2022,28_reg_Ternopil,,22.6
2023,28_reg_Ternopil,,4.6
2024,28_reg_Ternopil,,12.4
2015,29_reg_Kharkiv,,16.6
2016,29_reg_Kharkiv,,21.6
2017,29_reg_Kharkiv,,6.7
2018,29_reg_Kharkiv,,17.5
2019,29_reg_Kharkiv,,11.1
2020,29_reg_Kharkiv,,16.6
2021,29_reg_Kharkiv,,2.5
2022,29_reg_Kharkiv,,3.4
2023,29_reg_Kharkiv,,0.7
2024,29_reg_Kharkiv,,30.4
2015,30_reg_Kherson,,15.8
2016,30_reg_Kherson,,6.0
2017,30_reg_Kherson,,7.8
2018,30_reg_Kherson,,8.5
2019,30_reg_Kherson,,7.5
2020,30_reg_Kherson,,26.4
2021,30_reg_Kherson,,19.9
2022,30_reg_Kherson,,7.9
2023,30_reg_Kherson,,0.2
2024,30_reg_Kherson,,0.0
2015,31_reg_Khmelnytskiy,,36.0
2016,31_reg_Khmelnytskiy,,34.6
2017,31_reg_Khmelnytskiy,,42.8
2018,31_reg_Khmelnytskiy,,55.6
2019,31_reg_Khmelnytskiy,,44.5
2020,31_reg_Khmelnytskiy,,81.7
2021,31_reg_Khmelnytskiy,,43.2
2022,31_reg_Khmelnytskiy,,18.3
2023,31_reg_Khmelnytskiy,,16.7
2024,31_reg_Khmelnytskiy,,8.0
2015,32_reg_Cherkasy,,61.0
2016,32_reg_Cherkasy,,57.2
2017,32_reg_Cherkasy,,59.2
2018,32_reg_Cherkasy,,53.0
2019,32_reg_Cherkasy,,55.4
2020,32_reg_Cherkasy,,56.4
2021,32_reg_Cherkasy,,60.4
2022,32_reg_Cherkasy,,55.6
2023,32_reg_Cherkasy,,58.8
2024,32_reg_Cherkasy,,52.4
2015,33_reg_Chernivtsi,,17.3
2016,33_reg_Chernivtsi,,31.2
2017,33_reg_Chernivtsi,,30.3
2018,33_reg_Chernivtsi,,29.6
2019,33_reg_Chernivtsi,,36.7
2020,33_reg_Chernivtsi,,39.5
2021,33_reg_Chernivtsi,,5.3
2022,33_reg_Chernivtsi,,5.9
2023,33_reg_Chernivtsi,,6.6
2024,33_reg_Chernivtsi,,10.2
2015,34_reg_Chernihiv,,15.4
2016,34_reg_Chernihiv,,14.5
2017,34_reg_Chernihiv,,17.8
2018,34_reg_Chernihiv,,15.3
2019,34_reg_Chernihiv,,9.9
2020,34_reg_Chernihiv,,14.7
2021,34_reg_Chernihiv,,10.2
2022,34_reg_Chernihiv,,16.2
2023,34_reg_Chernihiv,,18.0
2024,34_reg_Chernihiv,,25.3
2015,35_reg_Kyiv_city,,15.9
2016,35_reg_Kyiv_city,,0.1
2017,35_reg_Kyiv_city,,1.0
2018,35_reg_Kyiv_city,,0.2
2019,35_reg_Kyiv_city,,0.1
2020,35_reg_Kyiv_city,,4.1
2021,35_reg_Kyiv_city,,8.9
2022,35_reg_Kyiv_city,,49.1
2023,35_reg_Kyiv_city,,2.0
2024,35_reg_Kyiv_city,,4.3
2015,city_Sevastopol,,
2016,city_Sevastopol,,
2017,city_Sevastopol,,
2018,city_Sevastopol,,
2019,city_Sevastopol,,
2020,city_Sevastopol,,
2021,city_Sevastopol,,
2022,city_Sevastopol,,
2023,city_Sevastopol,,
2024,city_Sevastopol,,
