Year,Region,Category,Value
2020,12_reg_Volyn,,0.216
2021,12_reg_Volyn,,0.182
2022,12_reg_Volyn,,
2023,12_reg_Volyn,,
2024,12_reg_Volyn,,
2015,13_reg_Dnipropetrovsk,,0.226
2016,13_reg_Dnipropetrovsk,,0.238
2017,13_reg_Dnipropetrovsk,,0.226
2018,13_reg_Dnipropetrovsk,,0.214
2019,13_reg_Dnipropetrovsk,,0.239
2020,13_reg_Dnipropetrovsk,,0.233
2021,13_reg_Dnipropetrovsk,,0.220
2022,13_reg_Dnipropetrovsk,,
2023,13_reg_Dnipropetrovsk,,
2024,13_reg_Dnipropetrovsk,,
2015,14_reg_Donetsk,,0.233
2016,14_reg_Donetsk,,0.205
2017,14_reg_Donetsk,,0.249
2018,14_reg_Donetsk,,0.243
2019,14_reg_Donetsk,,0.221
2020,14_reg_Donetsk,,0.250
2021,14_reg_Donetsk,,0.253
2022,14_reg_Donetsk,,
2023,14_reg_Donetsk,,
2024,14_reg_Donetsk,,
2015,15_reg_Zhytomyr,,0.236
2016,15_reg_Zhytomyr,,0.207
2017,15_reg_Zhytomyr,,0.228
2018,15_reg_Zhytomyr,,0.230
2019,15_reg_Zhytomyr,,0.243
2020,15_reg_Zhytomyr,,0.210
2021,15_reg_Zhytomyr,,0.202
2022,15_reg_Zhytomyr,,
2023,15_reg_Zhytomyr,,
2024,15_reg_Zhytomyr,,
2015,16_reg_Zakarpattya,,0.257
2016,16_reg_Zakarpattya,,0.194
2017,16_reg_Zakarpattya,,0.179
2018,16_reg_Zakarpattya,,0.258
2019,16_reg_Zakarpattya,,0.236
2020,16_reg_Zakarpattya,,0.191
2021,16_reg_Zakarpattya,,0.218
2022,16_reg_Zakarpattya,,
2023,16_reg_Zakarpattya,,
2024,16_reg_Zakarpattya,,
2015,17_reg_Zaporizhzhya,,0.206
2016,17_reg_Zaporizhzhya,,0.199
2017,17_reg_Zaporizhzhya,,0.231
2018,17_reg_Zaporizhzhya,,0.207
2019,17_reg_Zaporizhzhya,,0.217
2020,17_reg_Zaporizhzhya,,0.208
2021,17_reg_Zaporizhzhya,,0.214
2022,17_reg_Zaporizhzhya,,
2023,17_reg_Zaporizhzhya,,
2024,17_reg_Zaporizhzhya,,
2015,18_reg_Ivano-Frankivsk,,0.153
2016,18_reg_Ivano-Frankivsk,,0.148
2017,18_reg_Ivano-Frankivsk,,0.197
2018,18_reg_Ivano-Frankivsk,,0.171
2019,18_reg_Ivano-Frankivsk,,0.231
2020,18_reg_Ivano-Frankivsk,,0.179
2021,18_reg_Ivano-Frankivsk,,0.276
2022,18_reg_Ivano-Frankivsk,,
2023,18_reg_Ivano-Frankivsk,,
2024,18_reg_Ivano-Frankivsk,,
2015,19_reg_Kyiv,,0.173
2016,19_reg_Kyiv,,0.201
2017,19_reg_Kyiv,,0.205
2018,19_reg_Kyiv,,0.238
2019,19_reg_Kyiv,,0.223
2020,19_reg_Kyiv,,0.228
2021,19_reg_Kyiv,,0.224
2022,19_reg_Kyiv,,
2023,19_reg_Kyiv,,
2024,19_reg_Kyiv,,
2015,20_reg_Kirovohrad,,0.226
2016,20_reg_Kirovohrad,,0.251
2017,20_reg_Kirovohrad,,0.229
2018,20_reg_Kirovohrad,,0.218
2019,20_reg_Kirovohrad,,0.246
2020,20_reg_Kirovohrad,,0.228
2021,20_reg_Kirovohrad,,0.179
2022,20_reg_Kirovohrad,,
2023,20_reg_Kirovohrad,,
2024,20_reg_Kirovohrad,,
2015,21_reg_Luhansk,,0.237
2016,21_reg_Luhansk,,0.210
2017,21_reg_Luhansk,,0.205
2018,21_reg_Luhansk,,0.232
2019,21_reg_Luhansk,,0.217
2020,21_reg_Luhansk,,0.209
2021,21_reg_Luhansk,,0.224
2022,21_reg_Luhansk,,
2023,21_reg_Luhansk,,
2024,21_reg_Luhansk,,
2015,22_reg_Lviv,,0.208
2016,22_reg_Lviv,,0.199
2017,22_reg_Lviv,,0.208
2018,22_reg_Lviv,,0.207
2019,22_reg_Lviv,,0.216
2020,22_reg_Lviv,,0.218
2021,22_reg_Lviv,,0.203
2022,22_reg_Lviv,,
2023,22_reg_Lviv,,
2024,22_reg_Lviv,,
2015,23_reg_Mykolayiv,,0.222
2016,23_reg_Mykolayiv,,0.168
2017,23_reg_Mykolayiv,,0.210
2018,23_reg_Mykolayiv,,0.221
2019,23_reg_Mykolayiv,,0.226
2020,23_reg_Mykolayiv,,0.194
2021,23_reg_Mykolayiv,,0.240
2022,23_reg_Mykolayiv,,
2023,23_reg_Mykolayiv,,
2024,23_reg_Mykolayiv,,
2015,24_reg_Odesa,,0.249
2016,24_reg_Odesa,,0.218
2017,24_reg_Odesa,,0.242
2018,24_reg_Odesa,,0.224
2019,24_reg_Odesa,,0.251
2020,24_reg_Odesa,,0.256
2021,24_reg_Odesa,,0.236
2022,24_reg_Odesa,,
2023,24_reg_Odesa,,
2024,24_reg_Odesa,,
2015,25_reg_Poltava,,0.221
2016,25_reg_Poltava,,0.210
2017,25_reg_Poltava,,0.184
2018,25_reg_Poltava,,0.232
2019,25_reg_Poltava,,0.213
2020,25_reg_Poltava,,0.212
2021,25_reg_Poltava,,0.205
2022,25_reg_Poltava,,
2023,25_reg_Poltava,,
2024,25_reg_Poltava,,
2015,26_reg_Rivne,,0.195
2016,26_reg_Rivne,,0.189
2017,26_reg_Rivne,,0.215
2018,26_reg_Rivne,,0.201
2019,26_reg_Rivne,,0.219
2020,26_reg_Rivne,,0.216
2021,26_reg_Rivne,,0.208
2022,26_reg_Rivne,,
2023,26_reg_Rivne,,
2024,26_reg_Rivne,,
2015,27_reg_Sumy,,0.197
2016,27_reg_Sumy,,0.195
2017,27_reg_Sumy,,0.187
2018,27_reg_Sumy,,0.213
2019,27_reg_Sumy,,0.203
2020,27_reg_Sumy,,0.199
2021,27_reg_Sumy,,0.201
2022,27_reg_Sumy,,
2023,27_reg_Sumy,,
2024,27_reg_Sumy,,
2015,28_reg_Ternopil,,0.187
2016,28_reg_Ternopil,,0.208
2017,28_reg_Ternopil,,0.257
2018,28_reg_Ternopil,,0.182
2019,28_reg_Ternopil,,0.210
2020,28_reg_Ternopil,,0.176
2021,28_reg_Ternopil,,0.237
2022,28_reg_Ternopil,,
2023,28_reg_Ternopil,,
2024,28_reg_Ternopil,,
2015,29_reg_Kharkiv,,0.211
2016,29_reg_Kharkiv,,0.182
2017,29_reg_Kharkiv,,0.188
2018,29_reg_Kharkiv,,0.217
2019,29_reg_Kharkiv,,0.203
2020,29_reg_Kharkiv,,0.208
2021,29_reg_Kharkiv,,0.207
2022,29_reg_Kharkiv,,
2023,29_reg_Kharkiv,,
2024,29_reg_Kharkiv,,
2015,30_reg_Kherson,,0.190
2016,30_reg_Kherson,,0.233
2017,30_reg_Kherson,,0.215
2018,30_reg_Kherson,,0.221
2019,30_reg_Kherson,,0.248
2020,30_reg_Kherson,,0.206
2021,30_reg_Kherson,,0.209
2022,30_reg_Kherson,,
2023,30_reg_Kherson,,
2024,30_reg_Kherson,,
2015,31_reg_Khmelnytskiy,,0.206
2016,31_reg_Khmelnytskiy,,0.212
2017,31_reg_Khmelnytskiy,,0.188
2018,31_reg_Khmelnytskiy,,0.190
2019,31_reg_Khmelnytskiy,,0.255
2020,31_reg_Khmelnytskiy,,0.229
2021,31_reg_Khmelnytskiy,,0.237
2022,31_reg_Khmelnytskiy,,
2023,31_reg_Khmelnytskiy,,
2024,31_reg_Khmelnytskiy,,
2015,32_reg_Cherkasy,,0.204
2016,32_reg_Cherkasy,,0.189
2017,32_reg_Cherkasy,,0.229
2018,32_reg_Cherkasy,,0.213
2019,32_reg_Cherkasy,,0.231
2020,32_reg_Cherkasy,,0.206
2021,32_reg_Cherkasy,,0.222
2022,32_reg_Cherkasy,,
2023,32_reg_Cherkasy,,
2024,32_reg_Cherkasy,,
2015,33_reg_Chernivtsi,,0.209
2016,33_reg_Chernivtsi,,0.190
2017,33_reg_Chernivtsi,,0.207
2018,33_reg_Chernivtsi,,0.183
2019,33_reg_Chernivtsi,,0.228
2020,33_reg_Chernivtsi,,0.223
2021,33_reg_Chernivtsi,,0.201
2022,33_reg_Chernivtsi,,
2023,33_reg_Chernivtsi,,
2024,33_reg_Chernivtsi,,
2015,34_reg_Chernihiv,,0.183
2016,34_reg_Chernihiv,,0.193
2017,34_reg_Chernihiv,,0.213
2018,34_reg_Chernihiv,,0.251
2019,34_reg_Chernihiv,,0.230
2020,34_reg_Chernihiv,,0.196
2021,34_reg_Chernihiv,,0.215
2022,34_reg_Chernihiv,,
2023,34_reg_Chernihiv,,
2024,34_reg_Chernihiv,,
2015,35_reg_Kyiv_city,,0.260
2016,35_reg_Kyiv_city,,0.291
2017,35_reg_Kyiv_city,,0.275
2018,35_reg_Kyiv_city,,0.266
2019,35_reg_Kyiv_city,,0.268
2020,35_reg_Kyiv_city,,0.317
2021,35_reg_Kyiv_city,,0.302
2022,35_reg_Kyiv_city,,
2023,35_reg_Kyiv_city,,
2024,35_reg_Kyiv_city,,
