Year,Sea of Azov,Black Sea,Dnipro–Buh estuarine system,Lower Dniester with lakes and the Dniester Estuary (Liman),Tuzly Lagoons group,Budak (Shabolat) Lagoon,Berezan Estuary (Liman),Tyligul Estuary (Liman),Value
2022,,,,group_label_142,,,,,
2023,,,,group_label_142,,,,,
2024,,,,group_label_142,,,,,47.73
2015,,,,group_label_143,,,,,
2016,,,,group_label_143,,,,,
2017,,,,group_label_143,,,,,
2018,,,,group_label_143,,,,,
2019,,,,group_label_143,,,,,
2020,,,,group_label_143,,,,,
2021,,,,group_label_143,,,,,
2022,,,,group_label_143,,,,,
2023,,,,group_label_143,,,,,
2024,,,,group_label_143,,,,,16.48
2015,,,,Bream,,,,,
2016,,,,Bream,,,,,
2017,,,,Bream,,,,,
2018,,,,Bream,,,,,
2019,,,,Bream,,,,,
2020,,,,Bream,,,,,
2021,,,,Bream,,,,,
2022,,,,Bream,,,,,
2023,,,,Bream,,,,,
2024,,,,Bream,,,,,68.37
2015,,,,group_label_145,,,,,
2016,,,,group_label_145,,,,,
2017,,,,group_label_145,,,,,
2018,,,,group_label_145,,,,,
2019,,,,group_label_145,,,,,
2020,,,,group_label_145,,,,,
2021,,,,group_label_145,,,,,
2022,,,,group_label_145,,,,,
2023,,,,group_label_145,,,,,
2024,,,,group_label_145,,,,,29.07
2015,,,,Black Sea herring,,,,,
2016,,,,Black Sea herring,,,,,
2017,,,,Black Sea herring,,,,,
2018,,,,Black Sea herring,,,,,
2019,,,,Black Sea herring,,,,,
2020,,,,Black Sea herring,,,,,
2021,,,,Black Sea herring,,,,,
2022,,,,Black Sea herring,,,,,
2023,,,,Black Sea herring,,,,,
2024,,,,Black Sea herring,,,,,4.06
2015,,,,group_label_147,,,,,
2016,,,,group_label_147,,,,,
2017,,,,group_label_147,,,,,
2018,,,,group_label_147,,,,,
2019,,,,group_label_147,,,,,
2020,,,,group_label_147,,,,,
2021,,,,group_label_147,,,,,
2022,,,,group_label_147,,,,,
2023,,,,group_label_147,,,,,
2024,,,,group_label_147,,,,,46.28
2015,,,,Crayfish,,,,,
2016,,,,Crayfish,,,,,
2017,,,,Crayfish,,,,,28.85
2018,,,,Crayfish,,,,,31.95
2019,,,,Crayfish,,,,,31.55
2020,,,,Crayfish,,,,,
2021,,,,Crayfish,,,,,37.25
2022,,,,Crayfish,,,,,31.58
2023,,,,Crayfish,,,,,21.4
2024,,,,Crayfish,,,,,
2015,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2016,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2017,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2018,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2019,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2020,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2021,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2022,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2023,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,
2024,,,,"Herbivorous fish (silver carp, bighead carp, their hybrid)",,,,,60.58
2015,,,,group_label_152,,,,,
2016,,,,group_label_152,,,,,
2017,,,,group_label_152,,,,,
2018,,,,group_label_152,,,,,
2019,,,,group_label_152,,,,,
2020,,,,group_label_152,,,,,
2021,,,,group_label_152,,,,,
2022,,,,group_label_152,,,,,
2023,,,,group_label_152,,,,,
2024,,,,group_label_152,,,,,71.27
2015,,,,group_label_153,,,,,
2016,,,,group_label_153,,,,,
2017,,,,group_label_153,,,,,
2018,,,,group_label_153,,,,,
2019,,,,group_label_153,,,,,
2020,,,,group_label_153,,,,,
2021,,,,group_label_153,,,,,
2022,,,,group_label_153,,,,,
2023,,,,group_label_153,,,,,
2024,,,,group_label_153,,,,,39.85
2015,,,,Zander (pike-perch),,,,,
2016,,,,Zander (pike-perch),,,,,
2017,,,,Zander (pike-perch),,,,,
2018,,,,Zander (pike-perch),,,,,
2019,,,,Zander (pike-perch),,,,,
2020,,,,Zander (pike-perch),,,,,
2021,,,,Zander (pike-perch),,,,,
2022,,,,Zander (pike-perch),,,,,
2023,,,,Zander (pike-perch),,,,,
2024,,,,Zander (pike-perch),,,,,52.16
2015,,,,group_label_154,,,,,
2016,,,,group_label_154,,,,,
2017,,,,group_label_154,,,,,
2018,,,,group_label_154,,,,,
2019,,,,group_label_154,,,,,
2020,,,,group_label_154,,,,,
2021,,,,group_label_154,,,,,
2022,,,,group_label_154,,,,,
2023,,,,group_label_154,,,,,
2024,,,,group_label_154,,,,,60.05
2015,,,,group_label_156,,,,,
2016,,,,group_label_156,,,,,
2017,,,,group_label_156,,,,,
2018,,,,group_label_156,,,,,
2019,,,,group_label_156,,,,,
2020,,,,group_label_156,,,,,
2021,,,,group_label_156,,,,,
2022,,,,group_label_156,,,,,
2023,,,,group_label_156,,,,,
2024,,,,group_label_156,,,,,16.04
2015,,,,,European flounder (glossa),,,,
2016,,,,,European flounder (glossa),,,,
2017,,,,,European flounder (glossa),,,,
2018,,,,,European flounder (glossa),,,,
2019,,,,,European flounder (glossa),,,,
2020,,,,,European flounder (glossa),,,,
2021,,,,,European flounder (glossa),,,,
2022,,,,,European flounder (glossa),,,,
2023,,,,,European flounder (glossa),,,,
2024,,,,,European flounder (glossa),,,,
2015,,,,,,European flounder (glossa),,,
2016,,,,,,European flounder (glossa),,,
2017,,,,,,European flounder (glossa),,,
2018,,,,,,European flounder (glossa),,,
2019,,,,,,European flounder (glossa),,,
2020,,,,,,European flounder (glossa),,,
2021,,,,,,European flounder (glossa),,,
2022,,,,,,European flounder (glossa),,,
2023,,,,,,European flounder (glossa),,,
2024,,,,,,European flounder (glossa),,,
2015,,,,,,,Sand smelt (Atherina),,
2016,,,,,,,Sand smelt (Atherina),,
2017,,,,,,,Sand smelt (Atherina),,
2018,,,,,,,Sand smelt (Atherina),,
2019,,,,,,,Sand smelt (Atherina),,
2020,,,,,,,Sand smelt (Atherina),,
2021,,,,,,,Sand smelt (Atherina),,
2022,,,,,,,Sand smelt (Atherina),,
2023,,,,,,,Sand smelt (Atherina),,
2024,,,,,,,Sand smelt (Atherina),,15.69
2015,,,,,,,group_label_138,,
2016,,,,,,,group_label_138,,
2017,,,,,,,group_label_138,,
2018,,,,,,,group_label_138,,
2019,,,,,,,group_label_138,,
2020,,,,,,,group_label_138,,
2021,,,,,,,group_label_138,,
2022,,,,,,,group_label_138,,
2023,,,,,,,group_label_138,,
2024,,,,,,,group_label_138,,12.67
2015,,,,,,,European flounder (glossa),,
2016,,,,,,,European flounder (glossa),,
2017,,,,,,,European flounder (glossa),,
2018,,,,,,,European flounder (glossa),,
2019,,,,,,,European flounder (glossa),,
2020,,,,,,,European flounder (glossa),,
2021,,,,,,,European flounder (glossa),,
2022,,,,,,,European flounder (glossa),,
2023,,,,,,,European flounder (glossa),,
2024,,,,,,,European flounder (glossa),,2.11
2015,,,,,,,Black Sea garfish,,
2016,,,,,,,Black Sea garfish,,
2017,,,,,,,Black Sea garfish,,
2018,,,,,,,Black Sea garfish,,
2019,,,,,,,Black Sea garfish,,
2020,,,,,,,Black Sea garfish,,
2021,,,,,,,Black Sea garfish,,
2022,,,,,,,Black Sea garfish,,
2023,,,,,,,Black Sea garfish,,
2024,,,,,,,Black Sea garfish,,6.87
2015,,,,,,,Shrimp,,
2016,,,,,,,Shrimp,,
2017,,,,,,,Shrimp,,
2018,,,,,,,Shrimp,,
2019,,,,,,,Shrimp,,
2020,,,,,,,Shrimp,,
2021,,,,,,,Shrimp,,
2022,,,,,,,Shrimp,,
2023,,,,,,,Shrimp,,
2024,,,,,,,Shrimp,,1.18
2015,,,,,,,Flathead grey mullet (loban),,
2016,,,,,,,Flathead grey mullet (loban),,
2017,,,,,,,Flathead grey mullet (loban),,
2018,,,,,,,Flathead grey mullet (loban),,
2019,,,,,,,Flathead grey mullet (loban),,
2020,,,,,,,Flathead grey mullet (loban),,
2021,,,,,,,Flathead grey mullet (loban),,
2022,,,,,,,Flathead grey mullet (loban),,
2023,,,,,,,Flathead grey mullet (loban),,
2024,,,,,,,Flathead grey mullet (loban),,1.99
2015,,,,,,,So-iuy mullet (pilengas),,
2016,,,,,,,So-iuy mullet (pilengas),,
2017,,,,,,,So-iuy mullet (pilengas),,
2018,,,,,,,So-iuy mullet (pilengas),,
2019,,,,,,,So-iuy mullet (pilengas),,
2020,,,,,,,So-iuy mullet (pilengas),,
2021,,,,,,,So-iuy mullet (pilengas),,
2022,,,,,,,So-iuy mullet (pilengas),,
2023,,,,,,,So-iuy mullet (pilengas),,
2024,,,,,,,So-iuy mullet (pilengas),,1.52
2015,,,,,,,Golden grey mullet (singil),,
2016,,,,,,,Golden grey mullet (singil),,
2017,,,,,,,Golden grey mullet (singil),,
2018,,,,,,,Golden grey mullet (singil),,
2019,,,,,,,Golden grey mullet (singil),,
2020,,,,,,,Golden grey mullet (singil),,
2021,,,,,,,Golden grey mullet (singil),,
2022,,,,,,,Golden grey mullet (singil),,
2023,,,,,,,Golden grey mullet (singil),,
2024,,,,,,,Golden grey mullet (singil),,5.75
2015,,,,,,,Zander (pike-perch),,
2016,,,,,,,Zander (pike-perch),,
2017,,,,,,,Zander (pike-perch),,
2018,,,,,,,Zander (pike-perch),,
2019,,,,,,,Zander (pike-perch),,
2020,,,,,,,Zander (pike-perch),,
2021,,,,,,,Zander (pike-perch),,
2022,,,,,,,Zander (pike-perch),,
2023,,,,,,,Zander (pike-perch),,
2024,,,,,,,Zander (pike-perch),,0.69
2015,,,,,,,,Sand smelt (Atherina),
2016,,,,,,,,Sand smelt (Atherina),
2017,,,,,,,,Sand smelt (Atherina),
2018,,,,,,,,Sand smelt (Atherina),
2019,,,,,,,,Sand smelt (Atherina),
2020,,,,,,,,Sand smelt (Atherina),
2021,,,,,,,,Sand smelt (Atherina),
2022,,,,,,,,Sand smelt (Atherina),
2023,,,,,,,,Sand smelt (Atherina),
2024,,,,,,,,Sand smelt (Atherina),15.54
2015,,,,,,,,group_label_138,
2016,,,,,,,,group_label_138,
2017,,,,,,,,group_label_138,
2018,,,,,,,,group_label_138,
2019,,,,,,,,group_label_138,
2020,,,,,,,,group_label_138,
2021,,,,,,,,group_label_138,
2022,,,,,,,,group_label_138,
2023,,,,,,,,group_label_138,
2024,,,,,,,,group_label_138,18.97
2015,,,,,,,,European flounder (glossa),
2016,,,,,,,,European flounder (glossa),
2017,,,,,,,,European flounder (glossa),
2018,,,,,,,,European flounder (glossa),
2019,,,,,,,,European flounder (glossa),
2020,,,,,,,,European flounder (glossa),
2021,,,,,,,,European flounder (glossa),
2022,,,,,,,,European flounder (glossa),
2023,,,,,,,,European flounder (glossa),
2024,,,,,,,,European flounder (glossa),20.21
2015,,,,,,,,Black Sea garfish,
2016,,,,,,,,Black Sea garfish,
2017,,,,,,,,Black Sea garfish,
2018,,,,,,,,Black Sea garfish,
2019,,,,,,,,Black Sea garfish,
2020,,,,,,,,Black Sea garfish,
2021,,,,,,,,Black Sea garfish,
2022,,,,,,,,Black Sea garfish,
2023,,,,,,,,Black Sea garfish,
2024,,,,,,,,Black Sea garfish,9.84
2015,,,,,,,,Shrimp,
2016,,,,,,,,Shrimp,
2017,,,,,,,,Shrimp,
2018,,,,,,,,Shrimp,
2019,,,,,,,,Shrimp,
2020,,,,,,,,Shrimp,
2021,,,,,,,,Shrimp,
2022,,,,,,,,Shrimp,
2023,,,,,,,,Shrimp,
2024,,,,,,,,Shrimp,1.26
2015,,,,,,,,Flathead grey mullet (loban),
2016,,,,,,,,Flathead grey mullet (loban),
2017,,,,,,,,Flathead grey mullet (loban),
2018,,,,,,,,Flathead grey mullet (loban),
2019,,,,,,,,Flathead grey mullet (loban),
2020,,,,,,,,Flathead grey mullet (loban),
2021,,,,,,,,Flathead grey mullet (loban),
2022,,,,,,,,Flathead grey mullet (loban),
2023,,,,,,,,Flathead grey mullet (loban),
2024,,,,,,,,Flathead grey mullet (loban),0.44
2015,,,,,,,,So-iuy mullet (pilengas),
2016,,,,,,,,So-iuy mullet (pilengas),
2017,,,,,,,,So-iuy mullet (pilengas),
2018,,,,,,,,So-iuy mullet (pilengas),
2019,,,,,,,,So-iuy mullet (pilengas),
2020,,,,,,,,So-iuy mullet (pilengas),
2021,,,,,,,,So-iuy mullet (pilengas),
2022,,,,,,,,So-iuy mullet (pilengas),
2023,,,,,,,,So-iuy mullet (pilengas),
2024,,,,,,,,So-iuy mullet (pilengas),3.64
2015,,,,,,,,Golden grey mullet (singil),
2016,,,,,,,,Golden grey mullet (singil),
2017,,,,,,,,Golden grey mullet (singil),
2018,,,,,,,,Golden grey mullet (singil),
2019,,,,,,,,Golden grey mullet (singil),
2020,,,,,,,,Golden grey mullet (singil),
2021,,,,,,,,Golden grey mullet (singil),
2022,,,,,,,,Golden grey mullet (singil),
2023,,,,,,,,Golden grey mullet (singil),
2024,,,,,,,,Golden grey mullet (singil),5.41
