Year,Infectious diseases,Age,Region,Value
2015,ill_3_m_m_r,age_vac_2_1_year,17_reg_Zaporizhzhya,72.8
2015,ill_8_mumps,age_vac_2_1_year,17_reg_Zaporizhzhya,72.8
2015,ill_9_rubella,age_vac_4_6_years,17_reg_Zaporizhzhya,50.7
2015,ill_3_m_m_r,age_vac_4_6_years,17_reg_Zaporizhzhya,50.7
2015,ill_8_mumps,age_vac_4_6_years,17_reg_Zaporizhzhya,50.7
2015,ill_2_hep,age_vac_1_under_1_year,17_reg_Zaporizhzhya,31.3
2015,ill_1_tub,age_vac_1_under_1_year,18_reg_Ivano-Frankivsk,29.5
2015,ill_6_polio,age_vac_1_under_1_year,18_reg_Ivano-Frankivsk,43.1
2015,ill_6_polio,age_vac_3_18_months,18_reg_Ivano-Frankivsk,56.2
2015,ill_6_polio,age_vac_4_6_years,18_reg_Ivano-Frankivsk,47.4
2015,ill_6_polio,age_vac_5_14_years,18_reg_Ivano-Frankivsk,47.7
2015,ill_4_diph,age_vac_1_under_1_year,18_reg_Ivano-Frankivsk,19.7
2015,ill_5_pert,age_vac_1_under_1_year,18_reg_Ivano-Frankivsk,19.7
2015,ill_10_tetanus,age_vac_1_under_1_year,18_reg_Ivano-Frankivsk,19.7
2015,ill_4_diph,age_vac_3_18_months,18_reg_Ivano-Frankivsk,24.1
2015,ill_5_pert,age_vac_3_18_months,18_reg_Ivano-Frankivsk,24.1
2015,ill_10_tetanus,age_vac_3_18_months,18_reg_Ivano-Frankivsk,24.1
2015,ill_4_diph,age_vac_4_6_years,18_reg_Ivano-Frankivsk,0.0
2015,ill_10_tetanus,age_vac_4_6_years,18_reg_Ivano-Frankivsk,0.0
2015,ill_4_diph,age_vac_7_adult,18_reg_Ivano-Frankivsk,0.0
2015,ill_10_tetanus,age_vac_7_adult,18_reg_Ivano-Frankivsk,0.0
2015,ill_9_rubella,age_vac_2_1_year,18_reg_Ivano-Frankivsk,64.0
2015,ill_3_m_m_r,age_vac_2_1_year,18_reg_Ivano-Frankivsk,64.0
2015,ill_8_mumps,age_vac_2_1_year,18_reg_Ivano-Frankivsk,64.0
2015,ill_9_rubella,age_vac_4_6_years,18_reg_Ivano-Frankivsk,47.8
2015,ill_3_m_m_r,age_vac_4_6_years,18_reg_Ivano-Frankivsk,47.8
2015,ill_8_mumps,age_vac_4_6_years,18_reg_Ivano-Frankivsk,47.8
2015,ill_2_hep,age_vac_1_under_1_year,18_reg_Ivano-Frankivsk,38.5
2015,ill_1_tub,age_vac_1_under_1_year,20_reg_Kirovohrad,51.9
2015,ill_6_polio,age_vac_1_under_1_year,20_reg_Kirovohrad,66.9
2015,ill_6_polio,age_vac_3_18_months,20_reg_Kirovohrad,94.1
2015,ill_6_polio,age_vac_4_6_years,20_reg_Kirovohrad,75.8
2015,ill_6_polio,age_vac_5_14_years,20_reg_Kirovohrad,65.6
2015,ill_4_diph,age_vac_1_under_1_year,20_reg_Kirovohrad,39.4
2015,ill_5_pert,age_vac_1_under_1_year,20_reg_Kirovohrad,39.4
2015,ill_10_tetanus,age_vac_1_under_1_year,20_reg_Kirovohrad,39.4
2015,ill_4_diph,age_vac_3_18_months,20_reg_Kirovohrad,28.3
2015,ill_5_pert,age_vac_3_18_months,20_reg_Kirovohrad,28.3
2015,ill_10_tetanus,age_vac_3_18_months,20_reg_Kirovohrad,28.3
2015,ill_4_diph,age_vac_4_6_years,20_reg_Kirovohrad,0.0
2015,ill_10_tetanus,age_vac_4_6_years,20_reg_Kirovohrad,0.0
2015,ill_4_diph,age_vac_7_adult,20_reg_Kirovohrad,0.0
2015,ill_10_tetanus,age_vac_7_adult,20_reg_Kirovohrad,0.0
2015,ill_9_rubella,age_vac_2_1_year,20_reg_Kirovohrad,39.6
2015,ill_3_m_m_r,age_vac_2_1_year,20_reg_Kirovohrad,39.6
2015,ill_8_mumps,age_vac_2_1_year,20_reg_Kirovohrad,39.6
2015,ill_9_rubella,age_vac_4_6_years,20_reg_Kirovohrad,27.4
2015,ill_3_m_m_r,age_vac_4_6_years,20_reg_Kirovohrad,27.4
2015,ill_8_mumps,age_vac_4_6_years,20_reg_Kirovohrad,27.4
2015,ill_2_hep,age_vac_1_under_1_year,20_reg_Kirovohrad,22.2
2015,ill_1_tub,age_vac_1_under_1_year,21_reg_Luhansk,78.4
2015,ill_6_polio,age_vac_1_under_1_year,21_reg_Luhansk,50.2
2015,ill_6_polio,age_vac_3_18_months,21_reg_Luhansk,70.6
2015,ill_6_polio,age_vac_4_6_years,21_reg_Luhansk,52.4
2015,ill_6_polio,age_vac_5_14_years,21_reg_Luhansk,68.9
2015,ill_4_diph,age_vac_1_under_1_year,21_reg_Luhansk,51.5
2015,ill_5_pert,age_vac_1_under_1_year,21_reg_Luhansk,51.5
2015,ill_10_tetanus,age_vac_1_under_1_year,21_reg_Luhansk,51.5
2015,ill_4_diph,age_vac_3_18_months,21_reg_Luhansk,57.0
2015,ill_5_pert,age_vac_3_18_months,21_reg_Luhansk,57.0
2015,ill_10_tetanus,age_vac_3_18_months,21_reg_Luhansk,57.0
2015,ill_4_diph,age_vac_4_6_years,21_reg_Luhansk,11.8
2015,ill_10_tetanus,age_vac_4_6_years,21_reg_Luhansk,11.8
2015,ill_4_diph,age_vac_7_adult,21_reg_Luhansk,0.2
2015,ill_10_tetanus,age_vac_7_adult,21_reg_Luhansk,0.2
2015,ill_9_rubella,age_vac_2_1_year,21_reg_Luhansk,96.6
2015,ill_3_m_m_r,age_vac_2_1_year,21_reg_Luhansk,96.6
2015,ill_8_mumps,age_vac_2_1_year,21_reg_Luhansk,96.6
2015,ill_9_rubella,age_vac_4_6_years,21_reg_Luhansk,67.8
2015,ill_3_m_m_r,age_vac_4_6_years,21_reg_Luhansk,67.8
2015,ill_8_mumps,age_vac_4_6_years,21_reg_Luhansk,67.8
2015,ill_2_hep,age_vac_1_under_1_year,21_reg_Luhansk,45.5
2015,ill_1_tub,age_vac_1_under_1_year,22_reg_Lviv,15.2
2015,ill_6_polio,age_vac_1_under_1_year,22_reg_Lviv,59.0
2015,ill_6_polio,age_vac_3_18_months,22_reg_Lviv,80.5
2015,ill_6_polio,age_vac_4_6_years,22_reg_Lviv,42.6
2015,ill_6_polio,age_vac_5_14_years,22_reg_Lviv,56.8
2015,ill_4_diph,age_vac_1_under_1_year,22_reg_Lviv,24.0
2015,ill_5_pert,age_vac_1_under_1_year,22_reg_Lviv,24.0
2015,ill_10_tetanus,age_vac_1_under_1_year,22_reg_Lviv,24.0
2015,ill_4_diph,age_vac_3_18_months,22_reg_Lviv,28.9
2015,ill_5_pert,age_vac_3_18_months,22_reg_Lviv,28.9
2015,ill_10_tetanus,age_vac_3_18_months,22_reg_Lviv,28.9
2015,ill_4_diph,age_vac_4_6_years,22_reg_Lviv,0.0
2015,ill_10_tetanus,age_vac_4_6_years,22_reg_Lviv,0.0
2015,ill_4_diph,age_vac_7_adult,22_reg_Lviv,0.0
2015,ill_10_tetanus,age_vac_7_adult,22_reg_Lviv,0.0
2015,ill_9_rubella,age_vac_2_1_year,22_reg_Lviv,73.0
2015,ill_3_m_m_r,age_vac_2_1_year,22_reg_Lviv,73.0
2015,ill_8_mumps,age_vac_2_1_year,22_reg_Lviv,73.0
2015,ill_9_rubella,age_vac_4_6_years,22_reg_Lviv,77.6
2015,ill_3_m_m_r,age_vac_4_6_years,22_reg_Lviv,77.6
2015,ill_8_mumps,age_vac_4_6_years,22_reg_Lviv,77.6
2015,ill_2_hep,age_vac_1_under_1_year,22_reg_Lviv,26.9
