Year,Область,Вік,Стать,Статус субʼєкта звернення,"Тип органу, що утворив ЦНАП",Value
2016,Полтавська,,,,,
2016,Рівненська,,,,,
2016,Сумська,,,,,
2016,Тернопільська,,,,,
2016,Харківська,,,,,
2016,Херсонська,,,,,
2016,Хмельницька,,,,,
2016,Черкаська,,,,,
2016,Чернівецька,,,,,
2016,Чернігівська,,,,,
2016,м. Київ,,,,,
2016,м. Севастополь,,,,,
2017,,14-18 років,,,,
2017,,19-25 років,,,,
2017,,26-35 років,,,,
2017,,36-45 років,,,,
2017,,46-60 років,,,,
2017,,більше 60 років,,,,
2017,,,жінки,,,
2017,,,Чоловіча,,,
2017,,,,фізична особа,,
2017,,,,фізична особа-підприємець,,
2017,,,,юридична особа,,
2017,,,,,міська рада,
2017,,,,,селищна рада,
2017,,,,,сільська рада,
2017,Україна,,,,,
2017,Автономна Республіка Крим,,,,,
2017,Вінницька,,,,,
2017,Волинська,,,,,
2017,Дніпропетровська,,,,,
2017,Донецька,,,,,
2017,Житомирська,,,,,
2017,Закарпатська,,,,,
2017,Запорізька,,,,,
2017,Івано-Франківська,,,,,
2017,Київська,,,,,
2017,Кіровоградська,,,,,
2017,Луганська,,,,,
2017,Львівська,,,,,
2017,Миколаївська,,,,,
2017,Одеська,,,,,
2017,Полтавська,,,,,
2017,Рівненська,,,,,
2017,Сумська,,,,,
2017,Тернопільська,,,,,
2017,Харківська,,,,,
2017,Херсонська,,,,,
2017,Хмельницька,,,,,
2017,Черкаська,,,,,
2017,Чернівецька,,,,,
2017,Чернігівська,,,,,
2017,м. Київ,,,,,
2017,м. Севастополь,,,,,
2018,,14-18 років,,,,
2018,,19-25 років,,,,
2018,,26-35 років,,,,
2018,,36-45 років,,,,
2018,,46-60 років,,,,
2018,,більше 60 років,,,,
2018,,,жінки,,,
2018,,,Чоловіча,,,
2018,,,,фізична особа,,
2018,,,,фізична особа-підприємець,,
2018,,,,юридична особа,,
2018,,,,,міська рада,
2018,,,,,селищна рада,
2018,,,,,сільська рада,
2018,Україна,,,,,
2018,Автономна Республіка Крим,,,,,
2018,Вінницька,,,,,
2018,Волинська,,,,,
2018,Дніпропетровська,,,,,
2018,Донецька,,,,,
2018,Житомирська,,,,,
2018,Закарпатська,,,,,
2018,Запорізька,,,,,
2018,Івано-Франківська,,,,,
2018,Київська,,,,,
2018,Кіровоградська,,,,,
2018,Луганська,,,,,
2018,Львівська,,,,,
2018,Миколаївська,,,,,
2018,Одеська,,,,,
2018,Полтавська,,,,,
2018,Рівненська,,,,,
2018,Сумська,,,,,
2018,Тернопільська,,,,,
2018,Харківська,,,,,
2018,Херсонська,,,,,
2018,Хмельницька,,,,,
2018,Черкаська,,,,,
2018,Чернівецька,,,,,
2018,Чернігівська,,,,,
2018,м. Київ,,,,,
2018,м. Севастополь,,,,,
2019,,14-18 років,,,,
2019,,19-25 років,,,,
2019,,26-35 років,,,,
2019,,36-45 років,,,,
2019,,46-60 років,,,,
2019,,більше 60 років,,,,
2019,,,жінки,,,
2019,,,Чоловіча,,,
2019,,,,фізична особа,,
2019,,,,фізична особа-підприємець,,
2019,,,,юридична особа,,
2019,,,,,міська рада,
2019,,,,,селищна рада,
2019,,,,,сільська рада,
2019,Україна,,,,,
2019,Автономна Республіка Крим,,,,,
2019,Вінницька,,,,,
2019,Волинська,,,,,
2019,Дніпропетровська,,,,,
2019,Донецька,,,,,
2019,Житомирська,,,,,
2019,Закарпатська,,,,,
2019,Запорізька,,,,,
2019,Івано-Франківська,,,,,
2019,Київська,,,,,
2019,Кіровоградська,,,,,
2019,Луганська,,,,,
2019,Львівська,,,,,
2019,Миколаївська,,,,,
2019,Одеська,,,,,
2019,Полтавська,,,,,
2019,Рівненська,,,,,
2019,Сумська,,,,,
2019,Тернопільська,,,,,
2019,Харківська,,,,,
2019,Херсонська,,,,,
2019,Хмельницька,,,,,
2019,Черкаська,,,,,
2019,Чернівецька,,,,,
2019,Чернігівська,,,,,
2019,м. Київ,,,,,
2019,м. Севастополь,,,,,
2020,,14-18 років,,,,
2020,,19-25 років,,,,
2020,,26-35 років,,,,
2020,,36-45 років,,,,
2020,,46-60 років,,,,
2020,,більше 60 років,,,,
2020,,,жінки,,,
2020,,,Чоловіча,,,
2020,,,,фізична особа,,
2020,,,,фізична особа-підприємець,,
2020,,,,юридична особа,,
2020,,,,,міська рада,
2020,,,,,селищна рада,
2020,,,,,сільська рада,
2020,Україна,,,,,
2020,Автономна Республіка Крим,,,,,
2020,Вінницька,,,,,
2020,Волинська,,,,,
2020,Дніпропетровська,,,,,
2020,Донецька,,,,,
2020,Житомирська,,,,,
2020,Закарпатська,,,,,
2020,Запорізька,,,,,
2020,Івано-Франківська,,,,,
2020,Київська,,,,,
2020,Кіровоградська,,,,,
2020,Луганська,,,,,
2020,Львівська,,,,,
2020,Миколаївська,,,,,
2020,Одеська,,,,,
2020,Полтавська,,,,,
2020,Рівненська,,,,,
2020,Сумська,,,,,
2020,Тернопільська,,,,,
2020,Харківська,,,,,
2020,Херсонська,,,,,
2020,Хмельницька,,,,,
2020,Черкаська,,,,,
2020,Чернівецька,,,,,
2020,Чернігівська,,,,,
2020,м. Київ,,,,,
2020,м. Севастополь,,,,,
2021,,14-18 років,,,,95.9
2021,,19-25 років,,,,92.3
2021,,26-35 років,,,,94.2
2021,,36-45 років,,,,94.1
2021,,46-60 років,,,,94.9
2021,,більше 60 років,,,,93.8
2021,,,жінки,,,94.2
2021,,,Чоловіча,,,93.8
2021,,,,фізична особа,,94.2
2021,,,,фізична особа-підприємець,,91.5
2021,,,,юридична особа,,95.4
2021,,,,,міська рада,
2021,,,,,селищна рада,
2021,,,,,сільська рада,
2021,Україна,,,,,93.2
2021,Автономна Республіка Крим,,,,,
2021,Вінницька,,,,,94.5
2021,Волинська,,,,,94.6
2021,Дніпропетровська,,,,,93.6
2021,Донецька,,,,,95.8
2021,Житомирська,,,,,92.8
2021,Закарпатська,,,,,95.1
2021,Запорізька,,,,,93.4
2021,Івано-Франківська,,,,,95.3
2021,Київська,,,,,92.1
2021,Кіровоградська,,,,,89.5
2021,Луганська,,,,,91.4
2021,Львівська,,,,,94.3
2021,Миколаївська,,,,,96.7
2021,Одеська,,,,,92.2
2021,Полтавська,,,,,94.8
2021,Рівненська,,,,,90.8
2021,Сумська,,,,,94.5
2021,Тернопільська,,,,,97.0
2021,Харківська,,,,,90.9
2021,Херсонська,,,,,95.1
2021,Хмельницька,,,,,92.3
2021,Черкаська,,,,,92.9
2021,Чернівецька,,,,,94.5
2021,Чернігівська,,,,,96.1
2021,м. Київ,,,,,85.3
2021,м. Севастополь,,,,,
2022,,14-18 років,,,,89.0
2022,,19-25 років,,,,82.6
2022,,26-35 років,,,,86.1
2022,,36-45 років,,,,88.4
2022,,46-60 років,,,,92.8
2022,,більше 60 років,,,,93.5
2022,,,жінки,,,87.1
2022,,,Чоловіча,,,88.9
2022,,,,фізична особа,,88.1
2022,,,,фізична особа-підприємець,,82.0
2022,,,,юридична особа,,92.0
2022,,,,,міська рада,86.2
2022,,,,,селищна рада,79.8
2022,,,,,сільська рада,91.0
2022,Україна,,,,,87.7
2022,Автономна Республіка Крим,,,,,
2022,Вінницька,,,,,76.1
2022,Волинська,,,,,90.6
2022,Дніпропетровська,,,,,85.9
2022,Донецька,,,,,
2022,Житомирська,,,,,64.8
2022,Закарпатська,,,,,72.3
2022,Запорізька,,,,,
2022,Івано-Франківська,,,,,96.3
2022,Київська,,,,,76.2
2022,Кіровоградська,,,,,78.5
2022,Луганська,,,,,
2022,Львівська,,,,,84.2
2022,Миколаївська,,,,,89.7
2022,Одеська,,,,,88.2
2022,Полтавська,,,,,82.2
2022,Рівненська,,,,,80.0
2022,Сумська,,,,,89.1
2022,Тернопільська,,,,,88.0
2022,Харківська,,,,,88.0
2022,Херсонська,,,,,
2022,Хмельницька,,,,,71.0
2022,Черкаська,,,,,91.9
2022,Чернівецька,,,,,73.2
2022,Чернігівська,,,,,97.8
2022,м. Київ,,,,,65.1
2022,м. Севастополь,,,,,
2023,,14-18 років,,,,89.0
2023,,19-25 років,,,,82.6
2023,,26-35 років,,,,86.1
2023,,36-45 років,,,,88.4
2023,,46-60 років,,,,92.8
2023,,більше 60 років,,,,93.5
2023,,,жінки,,,96.5
2023,,,Чоловіча,,,95.9
2023,,,,фізична особа,,96.4
2023,,,,фізична особа-підприємець,,94.2
2023,,,,юридична особа,,96.4
2023,,,,,міська рада,95.8
2023,,,,,селищна рада,95.9
2023,,,,,сільська рада,97.5
2023,Україна,,,,,96.1
2023,Автономна Республіка Крим,,,,,
2023,Вінницька,,,,,96.8
2023,Волинська,,,,,94.5
2023,Дніпропетровська,,,,,90.7
2023,Донецька,,,,,
2023,Житомирська,,,,,92.3
2023,Закарпатська,,,,,92.4
2023,Запорізька,,,,,94.6
2023,Івано-Франківська,,,,,99.2
2023,Київська,,,,,92.4
2023,Кіровоградська,,,,,89.3
2023,Луганська,,,,,
2023,Львівська,,,,,97.6
2023,Миколаївська,,,,,91.5
2023,Одеська,,,,,96.0
2023,Полтавська,,,,,90.0
2023,Рівненська,,,,,96.9
2023,Сумська,,,,,97.1
2023,Тернопільська,,,,,95.7
2023,Харківська,,,,,85.5
2023,Херсонська,,,,,
2023,Хмельницька,,,,,93.9
2023,Черкаська,,,,,98.8
2023,Чернівецька,,,,,84.4
2023,Чернігівська,,,,,98.1
2023,м. Київ,,,,,77.2
2023,м. Севастополь,,,,,
2024,,14-18 років,,,,94.9
2024,,19-25 років,,,,92.9
2024,,26-35 років,,,,93.7
2024,,36-45 років,,,,95.4
2024,,46-60 років,,,,96.7
2024,,більше 60 років,,,,96.5
2024,,,жінки,,,95.3
2024,,,Чоловіча,,,94.5
2024,,,,фізична особа,,94.8
2024,,,,фізична особа-підприємець,,96.1
2024,,,,юридична особа,,96.2
2024,,,,,міська рада,94.6
2024,,,,,селищна рада,95.0
2024,,,,,сільська рада,96.2
2024,Україна,,,,,94.8
2024,Автономна Республіка Крим,,,,,
2024,Вінницька,,,,,93.9
2024,Волинська,,,,,94.8
2024,Дніпропетровська,,,,,88.7
2024,Донецька,,,,,
2024,Житомирська,,,,,88.1
2024,Закарпатська,,,,,93.0
2024,Запорізька,,,,,87.9
2024,Івано-Франківська,,,,,97.8
2024,Київська,,,,,88.6
2024,Кіровоградська,,,,,88.5
2024,Луганська,,,,,
2024,Львівська,,,,,97.3
2024,Миколаївська,,,,,87.5
2024,Одеська,,,,,96.7
2024,Полтавська,,,,,90.4
2024,Рівненська,,,,,93.8
2024,Сумська,,,,,97.0
2024,Тернопільська,,,,,95.0
2024,Харківська,,,,,89.2
2024,Херсонська,,,,,
2024,Хмельницька,,,,,88.8
2024,Черкаська,,,,,97.8
2024,Чернівецька,,,,,86.5
2024,Чернігівська,,,,,99.2
2024,м. Київ,,,,,61.5
2024,м. Севастополь,,,,,
