Year,Region,group_18,Value
2023,18_reg_Ivano-Frankivsk,,
2024,18_reg_Ivano-Frankivsk,,9.0
2015,19_reg_Kyiv,,
2016,19_reg_Kyiv,,
2017,19_reg_Kyiv,,
2018,19_reg_Kyiv,,
2019,19_reg_Kyiv,,
2020,19_reg_Kyiv,,
2021,19_reg_Kyiv,,
2022,19_reg_Kyiv,,
2023,19_reg_Kyiv,,
2024,19_reg_Kyiv,,9.0
2015,20_reg_Kirovohrad,,
2016,20_reg_Kirovohrad,,
2017,20_reg_Kirovohrad,,
2018,20_reg_Kirovohrad,,
2019,20_reg_Kirovohrad,,
2020,20_reg_Kirovohrad,,
2021,20_reg_Kirovohrad,,
2022,20_reg_Kirovohrad,,
2023,20_reg_Kirovohrad,,
2024,20_reg_Kirovohrad,,145.0
2015,21_reg_Luhansk,,
2016,21_reg_Luhansk,,
2017,21_reg_Luhansk,,
2018,21_reg_Luhansk,,
2019,21_reg_Luhansk,,
2020,21_reg_Luhansk,,
2021,21_reg_Luhansk,,
2022,21_reg_Luhansk,,
2023,21_reg_Luhansk,,
2024,21_reg_Luhansk,,
2015,22_reg_Lviv,,
2016,22_reg_Lviv,,
2017,22_reg_Lviv,,
2018,22_reg_Lviv,,
2019,22_reg_Lviv,,
2020,22_reg_Lviv,,
2021,22_reg_Lviv,,
2022,22_reg_Lviv,,
2023,22_reg_Lviv,,
2024,22_reg_Lviv,,1.0
2015,23_reg_Mykolayiv,,
2016,23_reg_Mykolayiv,,
2017,23_reg_Mykolayiv,,
2018,23_reg_Mykolayiv,,
2019,23_reg_Mykolayiv,,
2020,23_reg_Mykolayiv,,
2021,23_reg_Mykolayiv,,
2022,23_reg_Mykolayiv,,
2023,23_reg_Mykolayiv,,
2024,23_reg_Mykolayiv,,27.0
2015,24_reg_Odesa,,
2016,24_reg_Odesa,,
2017,24_reg_Odesa,,
2018,24_reg_Odesa,,
2019,24_reg_Odesa,,
2020,24_reg_Odesa,,
2021,24_reg_Odesa,,
2022,24_reg_Odesa,,
2023,24_reg_Odesa,,
2024,24_reg_Odesa,,23.0
2015,25_reg_Poltava,,
2016,25_reg_Poltava,,
2017,25_reg_Poltava,,
2018,25_reg_Poltava,,
2019,25_reg_Poltava,,
2020,25_reg_Poltava,,
2021,25_reg_Poltava,,
2022,25_reg_Poltava,,
2023,25_reg_Poltava,,
2024,25_reg_Poltava,,123.0
2015,26_reg_Rivne,,
2016,26_reg_Rivne,,
2017,26_reg_Rivne,,
2018,26_reg_Rivne,,
2019,26_reg_Rivne,,
2020,26_reg_Rivne,,
2021,26_reg_Rivne,,
2022,26_reg_Rivne,,
2023,26_reg_Rivne,,
2024,26_reg_Rivne,,8.0
2015,27_reg_Sumy,,
2016,27_reg_Sumy,,
2017,27_reg_Sumy,,
2018,27_reg_Sumy,,
2019,27_reg_Sumy,,
2020,27_reg_Sumy,,
2021,27_reg_Sumy,,
2022,27_reg_Sumy,,
2023,27_reg_Sumy,,
2024,27_reg_Sumy,,56.0
2015,28_reg_Ternopil,,
2016,28_reg_Ternopil,,
2017,28_reg_Ternopil,,
2018,28_reg_Ternopil,,
2019,28_reg_Ternopil,,
2020,28_reg_Ternopil,,
2021,28_reg_Ternopil,,
2022,28_reg_Ternopil,,
2023,28_reg_Ternopil,,
2024,28_reg_Ternopil,,24.0
2015,29_reg_Kharkiv,,
2016,29_reg_Kharkiv,,
2017,29_reg_Kharkiv,,
2018,29_reg_Kharkiv,,
2019,29_reg_Kharkiv,,
2020,29_reg_Kharkiv,,
2021,29_reg_Kharkiv,,
2022,29_reg_Kharkiv,,
2023,29_reg_Kharkiv,,
2024,29_reg_Kharkiv,,36.0
2015,30_reg_Kherson,,
2016,30_reg_Kherson,,
2017,30_reg_Kherson,,
2018,30_reg_Kherson,,
2019,30_reg_Kherson,,
2020,30_reg_Kherson,,
2021,30_reg_Kherson,,
2022,30_reg_Kherson,,
2023,30_reg_Kherson,,
2024,30_reg_Kherson,,
2015,31_reg_Khmelnytskiy,,
2016,31_reg_Khmelnytskiy,,
2017,31_reg_Khmelnytskiy,,
2018,31_reg_Khmelnytskiy,,
2019,31_reg_Khmelnytskiy,,
2020,31_reg_Khmelnytskiy,,
2021,31_reg_Khmelnytskiy,,
2022,31_reg_Khmelnytskiy,,
2023,31_reg_Khmelnytskiy,,
2024,31_reg_Khmelnytskiy,,47.0
2015,32_reg_Cherkasy,,
2016,32_reg_Cherkasy,,
2017,32_reg_Cherkasy,,
2018,32_reg_Cherkasy,,
2019,32_reg_Cherkasy,,
2020,32_reg_Cherkasy,,
2021,32_reg_Cherkasy,,
2022,32_reg_Cherkasy,,
2023,32_reg_Cherkasy,,
2024,32_reg_Cherkasy,,21.0
2015,33_reg_Chernivtsi,,
2016,33_reg_Chernivtsi,,
2017,33_reg_Chernivtsi,,
2018,33_reg_Chernivtsi,,
2019,33_reg_Chernivtsi,,
2020,33_reg_Chernivtsi,,
2021,33_reg_Chernivtsi,,
2022,33_reg_Chernivtsi,,
2023,33_reg_Chernivtsi,,
2024,33_reg_Chernivtsi,,44.0
2015,34_reg_Chernihiv,,
2016,34_reg_Chernihiv,,
2017,34_reg_Chernihiv,,
2018,34_reg_Chernihiv,,
2019,34_reg_Chernihiv,,
2020,34_reg_Chernihiv,,
2021,34_reg_Chernihiv,,
2022,34_reg_Chernihiv,,
2023,34_reg_Chernihiv,,
2024,34_reg_Chernihiv,,96.0
2015,35_reg_Kyiv_city,,
2016,35_reg_Kyiv_city,,
2017,35_reg_Kyiv_city,,
2018,35_reg_Kyiv_city,,
2019,35_reg_Kyiv_city,,
2020,35_reg_Kyiv_city,,
2021,35_reg_Kyiv_city,,
2022,35_reg_Kyiv_city,,
2023,35_reg_Kyiv_city,,
2024,35_reg_Kyiv_city,,155.0
2015,city_Sevastopol,,
2016,city_Sevastopol,,
2017,city_Sevastopol,,
2018,city_Sevastopol,,
2019,city_Sevastopol,,
2020,city_Sevastopol,,
2021,city_Sevastopol,,
2022,city_Sevastopol,,
2023,city_Sevastopol,,
2024,city_Sevastopol,,
2015,,group_label_201,2559.0
2016,,group_label_201,2243.0
2017,,group_label_201,1759.0
2018,,group_label_201,1779.0
2019,,group_label_201,1536.0
2020,,group_label_201,1666.0
2021,,group_label_201,1616.0
2022,,group_label_201,957.0
2023,,group_label_201,1892.0
2024,,group_label_201,2013.0
2015,,group_label_202,2220.0
2016,,group_label_202,1940.0
2017,,group_label_202,1444.0
2018,,group_label_202,1448.0
2019,,group_label_202,1743.0
2020,,group_label_202,1441.0
2021,,group_label_202,1163.0
2022,,group_label_202,506.0
2023,,group_label_202,900.0
2024,,group_label_202,1000.0
