Year,Стать,Вік,Місцевість проживання,Область,Value
2018,,15 років,,,65.64
2018,,16 років,,,53.07
2018,,17 років,,,15.77
2018,,,міська,,80.31
2018,,,сільська,,68.96
2018,,,,Автономна Республіка Крим,
2018,,,,Вінницька,82.13
2018,,,,Волинська,84.43
2018,,,,Дніпропетровська,84.0
2018,,,,Донецька,35.76
2018,,,,Житомирська,82.88
2018,,,,Закарпатська,83.79
2018,,,,Запорізька,83.25
2018,,,,Івано-Франківська,81.7
2018,,,,Київська,93.51
2018,,,,Кіровоградська,82.42
2018,,,,Луганська,24.03
2018,,,,Львівська,84.56
2018,,,,Миколаївська,81.81
2018,,,,Одеська,84.87
2018,,,,Полтавська,84.52
2018,,,,Рівненська,84.86
2018,,,,Сумська,82.3
2018,,,,Тернопільська,80.72
2018,,,,Харківська,84.26
2018,,,,Херсонська,82.67
2018,,,,Хмельницька,83.56
2018,,,,Черкаська,83.95
2018,,,,Чернівецька,83.14
2018,,,,Чернігівська,85.54
2018,,,,м. Київ,85.49
2018,,,,м. Севастополь,
2019,,,,,77.88
2019,дівчатка,,,,78.2
2019,хлопчики,,,,75.95
2019,,6 років,,,62.44
2019,,7 років,,,88.57
2019,,8 років,,,90.38
2019,,9 років,,,90.26
2019,,10 років,,,89.42
2019,,11 років,,,90.55
2019,,12 років,,,90.25
2019,,13 років,,,89.34
2019,,14 років,,,88.97
2019,,15 років,,,67.45
2019,,16 років,,,53.72
2019,,17 років,,,15.64
2019,,,міська,,80.96
2019,,,сільська,,69.14
2019,,,,Автономна Республіка Крим,
2019,,,,Вінницька,83.29
2019,,,,Волинська,85.66
2019,,,,Дніпропетровська,83.8
2019,,,,Донецька,36.25
2019,,,,Житомирська,83.78
2019,,,,Закарпатська,84.18
2019,,,,Запорізька,83.64
2019,,,,Івано-Франківська,82.56
2019,,,,Київська,94.3
2019,,,,Кіровоградська,83.2
2019,,,,Луганська,24.09
2019,,,,Львівська,85.25
2019,,,,Миколаївська,82.33
2019,,,,Одеська,85.15
2019,,,,Полтавська,84.85
2019,,,,Рівненська,85.94
2019,,,,Сумська,83.11
2019,,,,Тернопільська,81.25
2019,,,,Харківська,84.32
2019,,,,Херсонська,83.23
2019,,,,Хмельницька,84.34
2019,,,,Черкаська,84.69
2019,,,,Чернівецька,84.42
2019,,,,Чернігівська,86.44
2019,,,,м. Київ,84.84
2019,,,,м. Севастополь,
2020,,,,,78.0
2020,дівчатка,,,,78.37
2020,хлопчики,,,,76.09
2020,,6 років,,,63.68
2020,,7 років,,,88.9
2020,,8 років,,,89.29
2020,,9 років,,,90.1
2020,,10 років,,,89.77
2020,,11 років,,,89.15
2020,,12 років,,,90.21
2020,,13 років,,,89.94
2020,,14 років,,,88.55
2020,,15 років,,,67.17
2020,,16 років,,,56.16
2020,,17 років,,,16.44
2020,,,міська,,81.38
2020,,,сільська,,68.68
2020,,,,Автономна Республіка Крим,
2020,,,,Вінницька,83.77
2020,,,,Волинська,85.77
2020,,,,Дніпропетровська,83.44
2020,,,,Донецька,36.49
2020,,,,Житомирська,83.88
2020,,,,Закарпатська,83.73
2020,,,,Запорізька,83.56
2020,,,,Івано-Франківська,83.03
2020,,,,Київська,94.55
2020,,,,Кіровоградська,82.95
2020,,,,Луганська,23.95
2020,,,,Львівська,85.54
2020,,,,Миколаївська,82.28
2020,,,,Одеська,84.93
2020,,,,Полтавська,84.79
2020,,,,Рівненська,86.32
2020,,,,Сумська,83.4
2020,,,,Тернопільська,81.36
2020,,,,Харківська,84.72
2020,,,,Херсонська,83.36
2020,,,,Хмельницька,84.81
2020,,,,Черкаська,84.77
2020,,,,Чернівецька,84.56
2020,,,,Чернігівська,86.8
2020,,,,м. Київ,84.92
2020,,,,м. Севастополь,
2021,,,,,78.02
2021,дівчатка,,,,78.36
2021,хлопчики,,,,76.2
2021,,6 років,,,64.88
2021,,7 років,,,88.35
2021,,8 років,,,89.94
2021,,9 років,,,89.46
2021,,10 років,,,89.95
2021,,11 років,,,89.44
2021,,12 років,,,89.17
2021,,13 років,,,90.05
2021,,14 років,,,89.16
2021,,15 років,,,68.07
2021,,16 років,,,56.28
2021,,17 років,,,15.83
2021,,,міська,,81.75
2021,,,сільська,,68.06
2021,,,,Автономна Республіка Крим,
2021,,,,Вінницька,83.78
2021,,,,Волинська,85.95
2021,,,,Дніпропетровська,82.84
2021,,,,Донецька,36.77
2021,,,,Житомирська,83.42
2021,,,,Закарпатська,83.38
2021,,,,Запорізька,82.93
2021,,,,Івано-Франківська,82.84
2021,,,,Київська,94.11
2021,,,,Кіровоградська,82.72
2021,,,,Луганська,24.67
2021,,,,Львівська,85.39
2021,,,,Миколаївська,81.51
2021,,,,Одеська,84.68
2021,,,,Полтавська,84.39
2021,,,,Рівненська,86.36
2021,,,,Сумська,83.3
2021,,,,Тернопільська,81.15
2021,,,,Харківська,84.59
2021,,,,Херсонська,82.78
2021,,,,Хмельницька,84.44
2021,,,,Черкаська,84.55
2021,,,,Чернівецька,84.36
2021,,,,Чернігівська,86.38
2021,,,,м. Київ,85.63
2021,,,,м. Севастополь,
2022,,,,,78.22
2022,дівчатка,,,,78.54
2022,хлопчики,,,,76.43
2022,,6 років,,,67.32
2022,,7 років,,,90.36
2022,,8 років,,,89.33
2022,,9 років,,,89.86
2022,,10 років,,,89.14
2022,,11 років,,,89.72
2022,,12 років,,,89.3
2022,,13 років,,,88.57
2022,,14 років,,,89.37
2022,,15 років,,,67.69
2022,,16 років,,,56.82
2022,,17 років,,,16.61
2022,,,міська,,82.69
2022,,,сільська,,66.8
2022,,,,Автономна Республіка Крим,
2022,,,,Вінницька,83.19
2022,,,,Волинська,86.02
2022,,,,Дніпропетровська,82.18
2022,,,,Донецька,37.87
2022,,,,Житомирська,82.78
2022,,,,Закарпатська,82.85
2022,,,,Запорізька,81.82
2022,,,,Івано-Франківська,82.44
2022,,,,Київська,93.85
2022,,,,Кіровоградська,82.16
2022,,,,Луганська,25.95
2022,,,,Львівська,85.09
2022,,,,Миколаївська,81.39
2022,,,,Одеська,84.76
2022,,,,Полтавська,83.98
2022,,,,Рівненська,86.09
2022,,,,Сумська,82.79
2022,,,,Тернопільська,80.48
2022,,,,Харківська,84.39
2022,,,,Херсонська,82.33
2022,,,,Хмельницька,83.92
2022,,,,Черкаська,83.99
2022,,,,Чернівецька,83.81
2022,,,,Чернігівська,86.0
2022,,,,м. Київ,86.43
2022,,,,м. Севастополь,
2023,,,,,
2023,дівчатка,,,,
2023,хлопчики,,,,
2023,,6 років,,,
2023,,7 років,,,
2023,,8 років,,,
2023,,9 років,,,
2023,,10 років,,,
2023,,11 років,,,
2023,,12 років,,,
2023,,13 років,,,
2023,,14 років,,,
2023,,15 років,,,
2023,,16 років,,,
2023,,17 років,,,
2023,,,міська,,
2023,,,сільська,,
2023,,,,Автономна Республіка Крим,
2023,,,,Вінницька,
2023,,,,Волинська,
2023,,,,Дніпропетровська,
2023,,,,Донецька,
2023,,,,Житомирська,
2023,,,,Закарпатська,
2023,,,,Запорізька,
2023,,,,Івано-Франківська,
2023,,,,Київська,
2023,,,,Кіровоградська,
2023,,,,Луганська,
2023,,,,Львівська,
2023,,,,Миколаївська,
2023,,,,Одеська,
2023,,,,Полтавська,
2023,,,,Рівненська,
2023,,,,Сумська,
2023,,,,Тернопільська,
2023,,,,Харківська,
2023,,,,Херсонська,
2023,,,,Хмельницька,
2023,,,,Черкаська,
2023,,,,Чернівецька,
2023,,,,Чернігівська,
2023,,,,м. Київ,
2023,,,,м. Севастополь,
2024,,,,,
2024,дівчатка,,,,
2024,хлопчики,,,,
2024,,6 років,,,
2024,,7 років,,,
2024,,8 років,,,
2024,,9 років,,,
2024,,10 років,,,
2024,,11 років,,,
2024,,12 років,,,
2024,,13 років,,,
2024,,14 років,,,
2024,,15 років,,,
2024,,16 років,,,
2024,,17 років,,,
2024,,,міська,,
2024,,,сільська,,
2024,,,,Автономна Республіка Крим,
2024,,,,Вінницька,
2024,,,,Волинська,
2024,,,,Дніпропетровська,
2024,,,,Донецька,
2024,,,,Житомирська,
2024,,,,Закарпатська,
2024,,,,Запорізька,
2024,,,,Івано-Франківська,
2024,,,,Київська,
2024,,,,Кіровоградська,
2024,,,,Луганська,
2024,,,,Львівська,
2024,,,,Миколаївська,
2024,,,,Одеська,
2024,,,,Полтавська,
2024,,,,Рівненська,
2024,,,,Сумська,
2024,,,,Тернопільська,
2024,,,,Харківська,
2024,,,,Херсонська,
2024,,,,Хмельницька,
2024,,,,Черкаська,
2024,,,,Чернівецька,
2024,,,,Чернігівська,
2024,,,,м. Київ,
2024,,,,м. Севастополь,
