Year,Область,Вік,Стать,Тип місцевості проживання,Освіта,Працевлаштованість,Рівень доходу,Ознака переміщення,Value
2016,Закарпатська,,,,,,,,
2017,Закарпатська,,,,,,,,
2018,Закарпатська,,,,,,,,
2019,Закарпатська,,,,,,,,
2020,Закарпатська,,,,,,,,
2021,Закарпатська,,,,,,,,4.9
2022,Закарпатська,,,,,,,,
2023,Закарпатська,,,,,,,,5.5
2024,Закарпатська,,,,,,,,4.4
2015,Запорізька,,,,,,,,
2016,Запорізька,,,,,,,,
2017,Запорізька,,,,,,,,
2018,Запорізька,,,,,,,,
2019,Запорізька,,,,,,,,
2020,Запорізька,,,,,,,,
2021,Запорізька,,,,,,,,4.8
2022,Запорізька,,,,,,,,
2023,Запорізька,,,,,,,,4.4
2024,Запорізька,,,,,,,,4.4
2015,Івано-Франківська,,,,,,,,
2016,Івано-Франківська,,,,,,,,
2017,Івано-Франківська,,,,,,,,
2018,Івано-Франківська,,,,,,,,
2019,Івано-Франківська,,,,,,,,
2020,Івано-Франківська,,,,,,,,
2021,Івано-Франківська,,,,,,,,5.5
2022,Івано-Франківська,,,,,,,,
2023,Івано-Франківська,,,,,,,,5.6
2024,Івано-Франківська,,,,,,,,5.6
2015,Київська,,,,,,,,
2016,Київська,,,,,,,,
2017,Київська,,,,,,,,
2018,Київська,,,,,,,,
2019,Київська,,,,,,,,
2020,Київська,,,,,,,,
2021,Київська,,,,,,,,4.9
2022,Київська,,,,,,,,
2023,Київська,,,,,,,,5.4
2024,Київська,,,,,,,,5.4
2015,Кіровоградська,,,,,,,,
2016,Кіровоградська,,,,,,,,
2017,Кіровоградська,,,,,,,,
2018,Кіровоградська,,,,,,,,
2019,Кіровоградська,,,,,,,,
2020,Кіровоградська,,,,,,,,
2021,Кіровоградська,,,,,,,,5.2
2022,Кіровоградська,,,,,,,,
2023,Кіровоградська,,,,,,,,6.0
2024,Кіровоградська,,,,,,,,5.1
2015,Луганська,,,,,,,,
2016,Луганська,,,,,,,,
2017,Луганська,,,,,,,,
2018,Луганська,,,,,,,,
2019,Луганська,,,,,,,,
2020,Луганська,,,,,,,,
2021,Луганська,,,,,,,,5.4
2022,Луганська,,,,,,,,
2023,Луганська,,,,,,,,
2024,Луганська,,,,,,,,
2015,Львівська,,,,,,,,
2016,Львівська,,,,,,,,
2017,Львівська,,,,,,,,
2018,Львівська,,,,,,,,
2019,Львівська,,,,,,,,
2020,Львівська,,,,,,,,
2021,Львівська,,,,,,,,5.1
2022,Львівська,,,,,,,,
2023,Львівська,,,,,,,,6.2
2024,Львівська,,,,,,,,5.6
2015,Миколаївська,,,,,,,,
2016,Миколаївська,,,,,,,,
2017,Миколаївська,,,,,,,,
2018,Миколаївська,,,,,,,,
2019,Миколаївська,,,,,,,,
2020,Миколаївська,,,,,,,,
2021,Миколаївська,,,,,,,,5.0
2022,Миколаївська,,,,,,,,
2023,Миколаївська,,,,,,,,5.1
2024,Миколаївська,,,,,,,,5.0
2015,Одеська,,,,,,,,
2016,Одеська,,,,,,,,
2017,Одеська,,,,,,,,
2018,Одеська,,,,,,,,
2019,Одеська,,,,,,,,
2020,Одеська,,,,,,,,
2021,Одеська,,,,,,,,4.8
2022,Одеська,,,,,,,,
2023,Одеська,,,,,,,,5.4
2024,Одеська,,,,,,,,4.8
2015,Полтавська,,,,,,,,
2016,Полтавська,,,,,,,,
2017,Полтавська,,,,,,,,
2018,Полтавська,,,,,,,,
2019,Полтавська,,,,,,,,
2020,Полтавська,,,,,,,,
2021,Полтавська,,,,,,,,4.7
2022,Полтавська,,,,,,,,
2023,Полтавська,,,,,,,,5.6
2024,Полтавська,,,,,,,,5.4
2015,Рівненська,,,,,,,,
2016,Рівненська,,,,,,,,
2017,Рівненська,,,,,,,,
2018,Рівненська,,,,,,,,
2019,Рівненська,,,,,,,,
2020,Рівненська,,,,,,,,
2021,Рівненська,,,,,,,,6.5
2022,Рівненська,,,,,,,,
2023,Рівненська,,,,,,,,4.9
2024,Рівненська,,,,,,,,5.8
2015,Сумська,,,,,,,,
2016,Сумська,,,,,,,,
2017,Сумська,,,,,,,,
2018,Сумська,,,,,,,,
2019,Сумська,,,,,,,,
2020,Сумська,,,,,,,,
2021,Сумська,,,,,,,,4.8
2022,Сумська,,,,,,,,
2023,Сумська,,,,,,,,5.0
2024,Сумська,,,,,,,,4.7
2015,Тернопільська,,,,,,,,
2016,Тернопільська,,,,,,,,
2017,Тернопільська,,,,,,,,
2018,Тернопільська,,,,,,,,
2019,Тернопільська,,,,,,,,
2020,Тернопільська,,,,,,,,
2021,Тернопільська,,,,,,,,5.0
2022,Тернопільська,,,,,,,,
2023,Тернопільська,,,,,,,,5.4
2024,Тернопільська,,,,,,,,4.8
2015,Харківська,,,,,,,,
2016,Харківська,,,,,,,,
2017,Харківська,,,,,,,,
2018,Харківська,,,,,,,,
2019,Харківська,,,,,,,,
2020,Харківська,,,,,,,,
2021,Харківська,,,,,,,,4.4
2022,Харківська,,,,,,,,
2023,Харківська,,,,,,,,5.9
2024,Харківська,,,,,,,,5.2
2015,Херсонська,,,,,,,,
2016,Херсонська,,,,,,,,
2017,Херсонська,,,,,,,,
2018,Херсонська,,,,,,,,
2019,Херсонська,,,,,,,,
2020,Херсонська,,,,,,,,
2021,Херсонська,,,,,,,,5.6
2022,Херсонська,,,,,,,,
2023,Херсонська,,,,,,,,5.2
2024,Херсонська,,,,,,,,5.3
2015,Хмельницька,,,,,,,,
2016,Хмельницька,,,,,,,,
2017,Хмельницька,,,,,,,,
2018,Хмельницька,,,,,,,,
2019,Хмельницька,,,,,,,,
2020,Хмельницька,,,,,,,,
2021,Хмельницька,,,,,,,,5.6
2022,Хмельницька,,,,,,,,
2023,Хмельницька,,,,,,,,5.0
2024,Хмельницька,,,,,,,,5.0
2015,Черкаська,,,,,,,,
2016,Черкаська,,,,,,,,
2017,Черкаська,,,,,,,,
2018,Черкаська,,,,,,,,
2019,Черкаська,,,,,,,,
2020,Черкаська,,,,,,,,
2021,Черкаська,,,,,,,,5.3
2022,Черкаська,,,,,,,,
2023,Черкаська,,,,,,,,5.5
2024,Черкаська,,,,,,,,5.5
2015,Чернівецька,,,,,,,,
2016,Чернівецька,,,,,,,,
2017,Чернівецька,,,,,,,,
2018,Чернівецька,,,,,,,,
2019,Чернівецька,,,,,,,,
2020,Чернівецька,,,,,,,,
2021,Чернівецька,,,,,,,,5.4
2022,Чернівецька,,,,,,,,
2023,Чернівецька,,,,,,,,5.7
2024,Чернівецька,,,,,,,,5.1
2015,Чернігівська,,,,,,,,
2016,Чернігівська,,,,,,,,
2017,Чернігівська,,,,,,,,
2018,Чернігівська,,,,,,,,
2019,Чернігівська,,,,,,,,
2020,Чернігівська,,,,,,,,
2021,Чернігівська,,,,,,,,5.1
2022,Чернігівська,,,,,,,,
2023,Чернігівська,,,,,,,,5.7
2024,Чернігівська,,,,,,,,4.9
2015,місто Київ,,,,,,,,
2016,місто Київ,,,,,,,,
2017,місто Київ,,,,,,,,
2018,місто Київ,,,,,,,,
2019,місто Київ,,,,,,,,
2020,місто Київ,,,,,,,,
2021,місто Київ,,,,,,,,4.4
2022,місто Київ,,,,,,,,
2023,місто Київ,,,,,,,,5.1
2024,місто Київ,,,,,,,,4.5
2015,м. Севастополь,,,,,,,,
2016,м. Севастополь,,,,,,,,
2017,м. Севастополь,,,,,,,,
2018,м. Севастополь,,,,,,,,
2019,м. Севастополь,,,,,,,,
2020,м. Севастополь,,,,,,,,
2021,м. Севастополь,,,,,,,,
2022,м. Севастополь,,,,,,,,
2023,м. Севастополь,,,,,,,,
2024,м. Севастополь,,,,,,,,
2015,,чоловіки 18–35 років,,,,,,,
2016,,чоловіки 18–35 років,,,,,,,
2017,,чоловіки 18–35 років,,,,,,,
2018,,чоловіки 18–35 років,,,,,,,
2019,,чоловіки 18–35 років,,,,,,,
2020,,чоловіки 18–35 років,,,,,,,
2021,,чоловіки 18–35 років,,,,,,,4.8
2022,,чоловіки 18–35 років,,,,,,,
2023,,чоловіки 18–35 років,,,,,,,5.4
2024,,чоловіки 18–35 років,,,,,,,5.0
2015,,чоловіки 36–59 років,,,,,,,
2016,,чоловіки 36–59 років,,,,,,,
2017,,чоловіки 36–59 років,,,,,,,
2018,,чоловіки 36–59 років,,,,,,,
2019,,чоловіки 36–59 років,,,,,,,
2020,,чоловіки 36–59 років,,,,,,,
2021,,чоловіки 36–59 років,,,,,,,4.9
2022,,чоловіки 36–59 років,,,,,,,
2023,,чоловіки 36–59 років,,,,,,,5.4
2024,,чоловіки 36–59 років,,,,,,,5.2
2015,,чоловіки 60 років і старші,,,,,,,
2016,,чоловіки 60 років і старші,,,,,,,
2017,,чоловіки 60 років і старші,,,,,,,
2018,,чоловіки 60 років і старші,,,,,,,
2019,,чоловіки 60 років і старші,,,,,,,
2020,,чоловіки 60 років і старші,,,,,,,
2021,,чоловіки 60 років і старші,,,,,,,5.3
2022,,чоловіки 60 років і старші,,,,,,,
2023,,чоловіки 60 років і старші,,,,,,,5.5
2024,,чоловіки 60 років і старші,,,,,,,5.0
2015,,жінки 18–35 років,,,,,,,
2016,,жінки 18–35 років,,,,,,,
2017,,жінки 18–35 років,,,,,,,
2018,,жінки 18–35 років,,,,,,,
2019,,жінки 18–35 років,,,,,,,
2020,,жінки 18–35 років,,,,,,,
2021,,жінки 18–35 років,,,,,,,4.9
2022,,жінки 18–35 років,,,,,,,
2023,,жінки 18–35 років,,,,,,,5.2
2024,,жінки 18–35 років,,,,,,,5.0
2015,,жінки 36–59 років,,,,,,,
2016,,жінки 36–59 років,,,,,,,
2017,,жінки 36–59 років,,,,,,,
2018,,жінки 36–59 років,,,,,,,
2019,,жінки 36–59 років,,,,,,,
2020,,жінки 36–59 років,,,,,,,
2021,,жінки 36–59 років,,,,,,,5.2
2022,,жінки 36–59 років,,,,,,,
2023,,жінки 36–59 років,,,,,,,5.6
2024,,жінки 36–59 років,,,,,,,5.2
2015,,жінки 60 років і старші,,,,,,,
2016,,жінки 60 років і старші,,,,,,,
2017,,жінки 60 років і старші,,,,,,,
2018,,жінки 60 років і старші,,,,,,,
2019,,жінки 60 років і старші,,,,,,,
2020,,жінки 60 років і старші,,,,,,,
2021,,жінки 60 років і старші,,,,,,,5.3
2022,,жінки 60 років і старші,,,,,,,
2023,,жінки 60 років і старші,,,,,,,5.8
2024,,жінки 60 років і старші,,,,,,,5.4
2015,,,жінки,,,,,,
2016,,,жінки,,,,,,
2017,,,жінки,,,,,,
2018,,,жінки,,,,,,
2019,,,жінки,,,,,,
2020,,,жінки,,,,,,
2021,,,жінки,,,,,,5.2
2022,,,жінки,,,,,,
2023,,,жінки,,,,,,5.6
2024,,,жінки,,,,,,5.2
2015,,,чоловіки,,,,,,
2016,,,чоловіки,,,,,,
2017,,,чоловіки,,,,,,
2018,,,чоловіки,,,,,,
2019,,,чоловіки,,,,,,
2020,,,чоловіки,,,,,,
2021,,,чоловіки,,,,,,5.0
2022,,,чоловіки,,,,,,
2023,,,чоловіки,,,,,,5.4
2024,,,чоловіки,,,,,,5.1
2015,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2016,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2017,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2018,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2019,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2020,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2021,,,,великі міста (проживає 500 000 осіб і більше),,,,,4.4
2022,,,,великі міста (проживає 500 000 осіб і більше),,,,,
2023,,,,великі міста (проживає 500 000 осіб і більше),,,,,5.5
2024,,,,великі міста (проживає 500 000 осіб і більше),,,,,4.8
2015,,,,міста (проживає 50 000–500 000 осіб),,,,,
2016,,,,міста (проживає 50 000–500 000 осіб),,,,,
2017,,,,міста (проживає 50 000–500 000 осіб),,,,,
2018,,,,міста (проживає 50 000–500 000 осіб),,,,,
2019,,,,міста (проживає 50 000–500 000 осіб),,,,,
2020,,,,міста (проживає 50 000–500 000 осіб),,,,,
2021,,,,міста (проживає 50 000–500 000 осіб),,,,,4.7
2022,,,,міста (проживає 50 000–500 000 осіб),,,,,
2023,,,,міста (проживає 50 000–500 000 осіб),,,,,5.1
2024,,,,міста (проживає 50 000–500 000 осіб),,,,,4.9
2015,,,,малі міста (проживає менше 50 000 осіб),,,,,
2016,,,,малі міста (проживає менше 50 000 осіб),,,,,
2017,,,,малі міста (проживає менше 50 000 осіб),,,,,
2018,,,,малі міста (проживає менше 50 000 осіб),,,,,
2019,,,,малі міста (проживає менше 50 000 осіб),,,,,
2020,,,,малі міста (проживає менше 50 000 осіб),,,,,
2021,,,,малі міста (проживає менше 50 000 осіб),,,,,5.3
2022,,,,малі міста (проживає менше 50 000 осіб),,,,,
2023,,,,малі міста (проживає менше 50 000 осіб),,,,,5.4
2024,,,,малі міста (проживає менше 50 000 осіб),,,,,5.1
2015,,,,сільська місцевість,,,,,
2016,,,,сільська місцевість,,,,,
2017,,,,сільська місцевість,,,,,
2018,,,,сільська місцевість,,,,,
2019,,,,сільська місцевість,,,,,
2020,,,,сільська місцевість,,,,,
2021,,,,сільська місцевість,,,,,5.8
2022,,,,сільська місцевість,,,,,
2023,,,,сільська місцевість,,,,,5.8
2024,,,,сільська місцевість,,,,,5.5
2015,,,,,початкова освіта,,,,
2016,,,,,початкова освіта,,,,
2017,,,,,початкова освіта,,,,
2018,,,,,початкова освіта,,,,
2019,,,,,початкова освіта,,,,
2020,,,,,початкова освіта,,,,
2021,,,,,початкова освіта,,,,5.3
2022,,,,,початкова освіта,,,,
2023,,,,,початкова освіта,,,,5.1
2024,,,,,початкова освіта,,,,5.3
2015,,,,,середня освіта,,,,
2016,,,,,середня освіта,,,,
2017,,,,,середня освіта,,,,
2018,,,,,середня освіта,,,,
2019,,,,,середня освіта,,,,
2020,,,,,середня освіта,,,,
2021,,,,,середня освіта,,,,5.2
2022,,,,,середня освіта,,,,
2023,,,,,середня освіта,,,,5.4
2024,,,,,середня освіта,,,,5.1
2015,,,,,середня професійна освіта,,,,
2016,,,,,середня професійна освіта,,,,
2017,,,,,середня професійна освіта,,,,
2018,,,,,середня професійна освіта,,,,
2019,,,,,середня професійна освіта,,,,
2020,,,,,середня професійна освіта,,,,
2021,,,,,середня професійна освіта,,,,5.0
2022,,,,,середня професійна освіта,,,,
2023,,,,,середня професійна освіта,,,,5.6
2024,,,,,середня професійна освіта,,,,5.2
2015,,,,,вища освіта,,,,
2016,,,,,вища освіта,,,,
2017,,,,,вища освіта,,,,
2018,,,,,вища освіта,,,,
2019,,,,,вища освіта,,,,
2020,,,,,вища освіта,,,,
2021,,,,,вища освіта,,,,5.1
2022,,,,,вища освіта,,,,
2023,,,,,вища освіта,,,,5.5
2024,,,,,вища освіта,,,,5.1
2015,,,,,,повна/не повна зайнятість,,,
2016,,,,,,повна/не повна зайнятість,,,
2017,,,,,,повна/не повна зайнятість,,,
2018,,,,,,повна/не повна зайнятість,,,
2019,,,,,,повна/не повна зайнятість,,,
2020,,,,,,повна/не повна зайнятість,,,
2021,,,,,,повна/не повна зайнятість,,,5.0
2022,,,,,,повна/не повна зайнятість,,,
2023,,,,,,повна/не повна зайнятість,,,5.5
2024,,,,,,повна/не повна зайнятість,,,5.1
2015,,,,,,ведення домашнього господарства або декретна відпустка,,,
2016,,,,,,ведення домашнього господарства або декретна відпустка,,,
2017,,,,,,ведення домашнього господарства або декретна відпустка,,,
2018,,,,,,ведення домашнього господарства або декретна відпустка,,,
2019,,,,,,ведення домашнього господарства або декретна відпустка,,,
2020,,,,,,ведення домашнього господарства або декретна відпустка,,,
2021,,,,,,ведення домашнього господарства або декретна відпустка,,,5.2
2022,,,,,,ведення домашнього господарства або декретна відпустка,,,
2023,,,,,,ведення домашнього господарства або декретна відпустка,,,5.5
2024,,,,,,ведення домашнього господарства або декретна відпустка,,,5.1
2015,,,,,,пенсіонери,,,
2016,,,,,,пенсіонери,,,
2017,,,,,,пенсіонери,,,
2018,,,,,,пенсіонери,,,
2019,,,,,,пенсіонери,,,
2020,,,,,,пенсіонери,,,
2021,,,,,,пенсіонери,,,5.3
2022,,,,,,пенсіонери,,,
2023,,,,,,пенсіонери,,,5.6
2024,,,,,,пенсіонери,,,5.3
2015,,,,,,студенти,,,
2016,,,,,,студенти,,,
2017,,,,,,студенти,,,
2018,,,,,,студенти,,,
2019,,,,,,студенти,,,
2020,,,,,,студенти,,,
2021,,,,,,студенти,,,4.8
2022,,,,,,студенти,,,
2023,,,,,,студенти,,,5.3
2024,,,,,,студенти,,,5.0
2015,,,,,,безробітні,,,
2016,,,,,,безробітні,,,
2017,,,,,,безробітні,,,
2018,,,,,,безробітні,,,
2019,,,,,,безробітні,,,
2020,,,,,,безробітні,,,
2021,,,,,,безробітні,,,5.0
2022,,,,,,безробітні,,,
2023,,,,,,безробітні,,,5.5
2024,,,,,,безробітні,,,5.1
2015,,,,,,,не вистачає коштів на їжу,,
2016,,,,,,,не вистачає коштів на їжу,,
2017,,,,,,,не вистачає коштів на їжу,,
2018,,,,,,,не вистачає коштів на їжу,,
2019,,,,,,,не вистачає коштів на їжу,,
2020,,,,,,,не вистачає коштів на їжу,,
2021,,,,,,,не вистачає коштів на їжу,,5.1
2022,,,,,,,не вистачає коштів на їжу,,
2023,,,,,,,не вистачає коштів на їжу,,5.0
2024,,,,,,,не вистачає коштів на їжу,,5.0
2015,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2016,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2017,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2018,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2019,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2020,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2021,,,,,,,"достатньо для їжі, але не вистачає для одягу",,5.0
2022,,,,,,,"достатньо для їжі, але не вистачає для одягу",,
2023,,,,,,,"достатньо для їжі, але не вистачає для одягу",,5.4
2024,,,,,,,"достатньо для їжі, але не вистачає для одягу",,5.1
2015,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2016,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2017,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2018,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2019,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2020,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2021,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,5.1
2022,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,
2023,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,5.6
2024,,,,,,,"достатньо для одягу, але не вистачає для дорогих товарів",,5.2
2015,,,,,,,достатньо коштів для дорогих товарів,,
2016,,,,,,,достатньо коштів для дорогих товарів,,
2017,,,,,,,достатньо коштів для дорогих товарів,,
2018,,,,,,,достатньо коштів для дорогих товарів,,
2019,,,,,,,достатньо коштів для дорогих товарів,,
2020,,,,,,,достатньо коштів для дорогих товарів,,
2021,,,,,,,достатньо коштів для дорогих товарів,,5.3
2022,,,,,,,достатньо коштів для дорогих товарів,,
2023,,,,,,,достатньо коштів для дорогих товарів,,5.6
2024,,,,,,,достатньо коштів для дорогих товарів,,5.1
2015,,,,,,,,внутрішньо переміщені особи (ВПО),
2016,,,,,,,,внутрішньо переміщені особи (ВПО),
2017,,,,,,,,внутрішньо переміщені особи (ВПО),
2018,,,,,,,,внутрішньо переміщені особи (ВПО),
2019,,,,,,,,внутрішньо переміщені особи (ВПО),
2020,,,,,,,,внутрішньо переміщені особи (ВПО),
2021,,,,,,,,внутрішньо переміщені особи (ВПО),
2022,,,,,,,,внутрішньо переміщені особи (ВПО),
2023,,,,,,,,внутрішньо переміщені особи (ВПО),5.6
2024,,,,,,,,внутрішньо переміщені особи (ВПО),5.0
2015,,,,,,,,"особи, що повернулись",
2016,,,,,,,,"особи, що повернулись",
2017,,,,,,,,"особи, що повернулись",
2018,,,,,,,,"особи, що повернулись",
2019,,,,,,,,"особи, що повернулись",
2020,,,,,,,,"особи, що повернулись",
2021,,,,,,,,"особи, що повернулись",
2022,,,,,,,,"особи, що повернулись",
2023,,,,,,,,"особи, що повернулись",5.4
2024,,,,,,,,"особи, що повернулись",5.1
2015,,,,,,,,"особи, що не виїзджали",
2016,,,,,,,,"особи, що не виїзджали",
2017,,,,,,,,"особи, що не виїзджали",
2018,,,,,,,,"особи, що не виїзджали",
2019,,,,,,,,"особи, що не виїзджали",
2020,,,,,,,,"особи, що не виїзджали",
2021,,,,,,,,"особи, що не виїзджали",
2022,,,,,,,,"особи, що не виїзджали",
2023,,,,,,,,"особи, що не виїзджали",5.5
2024,,,,,,,,"особи, що не виїзджали",5.2
