Year,Region,Age,Gender,group_14,group_15,Value
2016,,group_label_169,,,,
2017,,group_label_169,,,,
2018,,group_label_169,,,,
2019,,group_label_169,,,,
2020,,group_label_169,,,,
2021,,group_label_169,,,,92.3
2022,,group_label_169,,,,82.6
2023,,group_label_169,,,,82.6
2024,,group_label_169,,,,92.9
2015,,group_label_170,,,,
2016,,group_label_170,,,,
2017,,group_label_170,,,,
2018,,group_label_170,,,,
2019,,group_label_170,,,,
2020,,group_label_170,,,,
2021,,group_label_170,,,,94.2
2022,,group_label_170,,,,86.1
2023,,group_label_170,,,,86.1
2024,,group_label_170,,,,93.7
2015,,group_label_171,,,,
2016,,group_label_171,,,,
2017,,group_label_171,,,,
2018,,group_label_171,,,,
2019,,group_label_171,,,,
2020,,group_label_171,,,,
2021,,group_label_171,,,,94.1
2022,,group_label_171,,,,88.4
2023,,group_label_171,,,,88.4
2024,,group_label_171,,,,95.4
2015,,group_label_172,,,,
2016,,group_label_172,,,,
2017,,group_label_172,,,,
2018,,group_label_172,,,,
2019,,group_label_172,,,,
2020,,group_label_172,,,,
2021,,group_label_172,,,,94.9
2022,,group_label_172,,,,92.8
2023,,group_label_172,,,,92.8
2024,,group_label_172,,,,96.7
2015,,group_label_173,,,,
2016,,group_label_173,,,,
2017,,group_label_173,,,,
2018,,group_label_173,,,,
2019,,group_label_173,,,,
2020,,group_label_173,,,,
2021,,group_label_173,,,,93.8
2022,,group_label_173,,,,93.5
2023,,group_label_173,,,,93.5
2024,,group_label_173,,,,96.5
2015,,,2_females,,,
2016,,,2_females,,,
2017,,,2_females,,,
2018,,,2_females,,,
2019,,,2_females,,,
2020,,,2_females,,,
2021,,,2_females,,,94.2
2022,,,2_females,,,87.1
2023,,,2_females,,,96.5
2024,,,2_females,,,95.3
2015,,,males,,,
2016,,,males,,,
2017,,,males,,,
2018,,,males,,,
2019,,,males,,,
2020,,,males,,,
2021,,,males,,,93.8
2022,,,males,,,88.9
2023,,,males,,,95.9
2024,,,males,,,94.5
2015,,,,group_label_176,,
2016,,,,group_label_176,,
2017,,,,group_label_176,,
2018,,,,group_label_176,,
2019,,,,group_label_176,,
2020,,,,group_label_176,,
2021,,,,group_label_176,,94.2
2022,,,,group_label_176,,88.1
2023,,,,group_label_176,,96.4
2024,,,,group_label_176,,94.8
2015,,,,group_label_177,,
2016,,,,group_label_177,,
2017,,,,group_label_177,,
2018,,,,group_label_177,,
2019,,,,group_label_177,,
2020,,,,group_label_177,,
2021,,,,group_label_177,,91.5
2022,,,,group_label_177,,82.0
2023,,,,group_label_177,,94.2
2024,,,,group_label_177,,96.1
2015,,,,group_label_178,,
2016,,,,group_label_178,,
2017,,,,group_label_178,,
2018,,,,group_label_178,,
2019,,,,group_label_178,,
2020,,,,group_label_178,,
2021,,,,group_label_178,,95.4
2022,,,,group_label_178,,92.0
2023,,,,group_label_178,,96.4
2024,,,,group_label_178,,96.2
2015,,,,,group_label_179,
2016,,,,,group_label_179,
2017,,,,,group_label_179,
2018,,,,,group_label_179,
2019,,,,,group_label_179,
2020,,,,,group_label_179,
2021,,,,,group_label_179,
2022,,,,,group_label_179,86.2
2023,,,,,group_label_179,95.8
2024,,,,,group_label_179,94.6
2015,,,,,group_label_180,
2016,,,,,group_label_180,
2017,,,,,group_label_180,
2018,,,,,group_label_180,
2019,,,,,group_label_180,
2020,,,,,group_label_180,
2021,,,,,group_label_180,
2022,,,,,group_label_180,79.8
2023,,,,,group_label_180,95.9
2024,,,,,group_label_180,95.0
2015,,,,,group_label_181,
2016,,,,,group_label_181,
2017,,,,,group_label_181,
2018,,,,,group_label_181,
2019,,,,,group_label_181,
2020,,,,,group_label_181,
2021,,,,,group_label_181,
2022,,,,,group_label_181,91.0
2023,,,,,group_label_181,97.5
2024,,,,,group_label_181,96.2
