Year,Region,group_28,group_13,group_16,group_31,Value
2018,22_reg_Lviv,,,,,6.9
2019,22_reg_Lviv,,,,,6.5
2020,22_reg_Lviv,,,,,7.6
2021,22_reg_Lviv,,,,,7.7
2022,22_reg_Lviv,,,,,
2023,22_reg_Lviv,,,,,
2024,22_reg_Lviv,,,,,
2015,23_reg_Mykolayiv,,,,,8.9
2016,23_reg_Mykolayiv,,,,,9.7
2017,23_reg_Mykolayiv,,,,,10.3
2018,23_reg_Mykolayiv,,,,,9.6
2019,23_reg_Mykolayiv,,,,,9.3
2020,23_reg_Mykolayiv,,,,,10.7
2021,23_reg_Mykolayiv,,,,,11.3
2022,23_reg_Mykolayiv,,,,,
2023,23_reg_Mykolayiv,,,,,
2024,23_reg_Mykolayiv,,,,,
2015,24_reg_Odesa,,,,,6.5
2016,24_reg_Odesa,,,,,6.8
2017,24_reg_Odesa,,,,,7.3
2018,24_reg_Odesa,,,,,6.4
2019,24_reg_Odesa,,,,,5.9
2020,24_reg_Odesa,,,,,7.1
2021,24_reg_Odesa,,,,,7.3
2022,24_reg_Odesa,,,,,
2023,24_reg_Odesa,,,,,
2024,24_reg_Odesa,,,,,
2015,25_reg_Poltava,,,,,12.1
2016,25_reg_Poltava,,,,,12.6
2017,25_reg_Poltava,,,,,12.0
2018,25_reg_Poltava,,,,,11.2
2019,25_reg_Poltava,,,,,10.6
2020,25_reg_Poltava,,,,,12.0
2021,25_reg_Poltava,,,,,12.4
2022,25_reg_Poltava,,,,,
2023,25_reg_Poltava,,,,,
2024,25_reg_Poltava,,,,,
2015,26_reg_Rivne,,,,,9.9
2016,26_reg_Rivne,,,,,10.6
2017,26_reg_Rivne,,,,,11.6
2018,26_reg_Rivne,,,,,9.7
2019,26_reg_Rivne,,,,,8.3
2020,26_reg_Rivne,,,,,9.3
2021,26_reg_Rivne,,,,,9.6
2022,26_reg_Rivne,,,,,
2023,26_reg_Rivne,,,,,
2024,26_reg_Rivne,,,,,
2015,27_reg_Sumy,,,,,10.1
2016,27_reg_Sumy,,,,,9.3
2017,27_reg_Sumy,,,,,9.1
2018,27_reg_Sumy,,,,,8.7
2019,27_reg_Sumy,,,,,7.7
2020,27_reg_Sumy,,,,,9.4
2021,27_reg_Sumy,,,,,10.1
2022,27_reg_Sumy,,,,,
2023,27_reg_Sumy,,,,,
2024,27_reg_Sumy,,,,,
2015,28_reg_Ternopil,,,,,11.8
2016,28_reg_Ternopil,,,,,11.5
2017,28_reg_Ternopil,,,,,11.9
2018,28_reg_Ternopil,,,,,10.4
2019,28_reg_Ternopil,,,,,10.0
2020,28_reg_Ternopil,,,,,11.5
2021,28_reg_Ternopil,,,,,11.9
2022,28_reg_Ternopil,,,,,
2023,28_reg_Ternopil,,,,,
2024,28_reg_Ternopil,,,,,
2015,29_reg_Kharkiv,,,,,7.1
2016,29_reg_Kharkiv,,,,,6.4
2017,29_reg_Kharkiv,,,,,6.1
2018,29_reg_Kharkiv,,,,,5.3
2019,29_reg_Kharkiv,,,,,5.0
2020,29_reg_Kharkiv,,,,,6.2
2021,29_reg_Kharkiv,,,,,6.7
2022,29_reg_Kharkiv,,,,,
2023,29_reg_Kharkiv,,,,,
2024,29_reg_Kharkiv,,,,,
2015,30_reg_Kherson,,,,,10.2
2016,30_reg_Kherson,,,,,11.2
2017,30_reg_Kherson,,,,,11.1
2018,30_reg_Kherson,,,,,10.3
2019,30_reg_Kherson,,,,,9.6
2020,30_reg_Kherson,,,,,11.3
2021,30_reg_Kherson,,,,,11.8
2022,30_reg_Kherson,,,,,
2023,30_reg_Kherson,,,,,
2024,30_reg_Kherson,,,,,
2015,31_reg_Khmelnytskiy,,,,,10.2
2016,31_reg_Khmelnytskiy,,,,,9.4
2017,31_reg_Khmelnytskiy,,,,,8.9
2018,31_reg_Khmelnytskiy,,,,,8.4
2019,31_reg_Khmelnytskiy,,,,,8.0
2020,31_reg_Khmelnytskiy,,,,,9.9
2021,31_reg_Khmelnytskiy,,,,,10.3
2022,31_reg_Khmelnytskiy,,,,,
2023,31_reg_Khmelnytskiy,,,,,
2024,31_reg_Khmelnytskiy,,,,,
2015,32_reg_Cherkasy,,,,,9.8
2016,32_reg_Cherkasy,,,,,10.4
2017,32_reg_Cherkasy,,,,,10.2
2018,32_reg_Cherkasy,,,,,9.6
2019,32_reg_Cherkasy,,,,,8.3
2020,32_reg_Cherkasy,,,,,9.5
2021,32_reg_Cherkasy,,,,,10.1
2022,32_reg_Cherkasy,,,,,
2023,32_reg_Cherkasy,,,,,
2024,32_reg_Cherkasy,,,,,
2015,33_reg_Chernivtsi,,,,,9.3
2016,33_reg_Chernivtsi,,,,,8.7
2017,33_reg_Chernivtsi,,,,,8.4
2018,33_reg_Chernivtsi,,,,,7.9
2019,33_reg_Chernivtsi,,,,,6.9
2020,33_reg_Chernivtsi,,,,,8.9
2021,33_reg_Chernivtsi,,,,,9.3
2022,33_reg_Chernivtsi,,,,,
2023,33_reg_Chernivtsi,,,,,
2024,33_reg_Chernivtsi,,,,,
2015,34_reg_Chernihiv,,,,,10.7
2016,34_reg_Chernihiv,,,,,11.3
2017,34_reg_Chernihiv,,,,,11.2
2018,34_reg_Chernihiv,,,,,10.6
2019,34_reg_Chernihiv,,,,,10.2
2020,34_reg_Chernihiv,,,,,11.9
2021,34_reg_Chernihiv,,,,,12.4
2022,34_reg_Chernihiv,,,,,
2023,34_reg_Chernihiv,,,,,
2024,34_reg_Chernihiv,,,,,
2015,35_reg_Kyiv_city,,,,,7.0
2016,35_reg_Kyiv_city,,,,,6.7
2017,35_reg_Kyiv_city,,,,,6.9
2018,35_reg_Kyiv_city,,,,,6.2
2019,35_reg_Kyiv_city,,,,,5.8
2020,35_reg_Kyiv_city,,,,,6.8
2021,35_reg_Kyiv_city,,,,,7.1
2022,35_reg_Kyiv_city,,,,,
2023,35_reg_Kyiv_city,,,,,
2024,35_reg_Kyiv_city,,,,,
2015,city_Sevastopol,,,,,
2016,city_Sevastopol,,,,,
2017,city_Sevastopol,,,,,
2018,city_Sevastopol,,,,,
2019,city_Sevastopol,,,,,
2020,city_Sevastopol,,,,,
2021,city_Sevastopol,,,,,
2022,city_Sevastopol,,,,,
2023,city_Sevastopol,,,,,
2024,city_Sevastopol,,,,,
2015,,group_label_272,,,,22.4
2016,,group_label_272,,,,23.0
2017,,group_label_272,,,,18.9
2018,,group_label_272,,,,17.9
2019,,group_label_272,,,,15.4
2020,,group_label_272,,,,19.3
2021,,group_label_272,,,,19.1
2022,,group_label_272,,,,
2023,,group_label_272,,,,
2024,,group_label_272,,,,
2015,,group_label_273,,,,11.2
2016,,group_label_273,,,,11.7
2017,,group_label_273,,,,11.3
2018,,group_label_273,,,,9.8
2019,,group_label_273,,,,8.4
2020,,group_label_273,,,,8.7
2021,,group_label_273,,,,9.4
2022,,group_label_273,,,,
2023,,group_label_273,,,,
2024,,group_label_273,,,,
2015,,group_label_274,,,,9.7
2016,,group_label_274,,,,8.9
2017,,group_label_274,,,,9.8
2018,,group_label_274,,,,8.9
2019,,group_label_274,,,,7.3
2020,,group_label_274,,,,8.2
2021,,group_label_274,,,,8.4
2022,,group_label_274,,,,
2023,,group_label_274,,,,
2024,,group_label_274,,,,
2015,,group_label_275,,,,7.2
2016,,group_label_275,,,,8.0
2017,,group_label_275,,,,8.4
2018,,group_label_275,,,,9.5
2019,,group_label_275,,,,7.5
2020,,group_label_275,,,,10.3
2021,,group_label_275,,,,10.7
2022,,group_label_275,,,,
2023,,group_label_275,,,,
2024,,group_label_275,,,,
2015,,group_label_276,,,,7.6
2016,,group_label_276,,,,7.7
2017,,group_label_276,,,,8.7
2018,,group_label_276,,,,7.7
2019,,group_label_276,,,,8.4
2020,,group_label_276,,,,9.5
2021,,group_label_276,,,,9.8
2022,,group_label_276,,,,
2023,,group_label_276,,,,
2024,,group_label_276,,,,
2015,,group_label_277,,,,6.3
2016,,group_label_277,,,,7.3
2017,,group_label_277,,,,8.1
2018,,group_label_277,,,,7.4
2019,,group_label_277,,,,8.0
2020,,group_label_277,,,,9.0
2021,,group_label_277,,,,9.5
2022,,group_label_277,,,,
2023,,group_label_277,,,,
2024,,group_label_277,,,,
2015,,group_label_278,,,,0.1
2016,,group_label_278,,,,0.1
2017,,group_label_278,,,,0.1
2018,,group_label_278,,,,0.2
2019,,group_label_278,,,,0.1
2020,,group_label_278,,,,0.1
2021,,group_label_278,,,,0.3
2022,,group_label_278,,,,
2023,,group_label_278,,,,
2024,,group_label_278,,,,
2015,,,group_label_174,,,8.1
2016,,,group_label_174,,,7.7
2017,,,group_label_174,,,7.7
2018,,,group_label_174,,,7.4
2019,,,group_label_174,,,7.9
2020,,,group_label_174,,,9.1
2021,,,group_label_174,,,10.2
2022,,,group_label_174,,,
2023,,,group_label_174,,,
2024,,,group_label_174,,,
2015,,,group_label_175,,,10.1
2016,,,group_label_175,,,10.8
2017,,,group_label_175,,,11.1
2018,,,group_label_175,,,10.0
2019,,,group_label_175,,,8.5
2020,,,group_label_175,,,9.9
2021,,,group_label_175,,,9.6
2022,,,group_label_175,,,
2023,,,group_label_175,,,
2024,,,group_label_175,,,
2015,,,,group_label_189,,9.0
2016,,,,group_label_189,,9.2
2017,,,,group_label_189,,9.3
2018,,,,group_label_189,,8.6
2019,,,,group_label_189,,8.0
2020,,,,group_label_189,,9.1
2021,,,,group_label_189,,9.5
2022,,,,group_label_189,,
2023,,,,group_label_189,,
2024,,,,group_label_189,,
2015,,,,group_label_190,,9.4
2016,,,,group_label_190,,9.7
2017,,,,group_label_190,,9.9
2018,,,,group_label_190,,9.2
2019,,,,group_label_190,,8.7
2020,,,,group_label_190,,10.4
2021,,,,group_label_190,,10.7
2022,,,,group_label_190,,
2023,,,,group_label_190,,
2024,,,,group_label_190,,
2015,,,,,group_label_311,7.8
2016,,,,,group_label_311,8.0
2017,,,,,group_label_311,7.8
2018,,,,,group_label_311,7.8
2019,,,,,group_label_311,6.3
2020,,,,,group_label_311,7.3
2021,,,,,group_label_311,8.4
2022,,,,,group_label_311,
2023,,,,,group_label_311,
2024,,,,,group_label_311,
2015,,,,,group_label_312,15.6
2016,,,,,group_label_312,15.3
2017,,,,,group_label_312,13.7
2018,,,,,group_label_312,15.0
2019,,,,,group_label_312,10.1
2020,,,,,group_label_312,10.2
2021,,,,,group_label_312,13.4
2022,,,,,group_label_312,
2023,,,,,group_label_312,
2024,,,,,group_label_312,
2015,,,,,group_label_313,8.5
2016,,,,,group_label_313,8.0
2017,,,,,group_label_313,9.0
2018,,,,,group_label_313,7.0
2019,,,,,group_label_313,8.0
2020,,,,,group_label_313,9.0
2021,,,,,group_label_313,9.6
2022,,,,,group_label_313,
2023,,,,,group_label_313,
2024,,,,,group_label_313,
2015,,,,,group_label_314,10.4
2016,,,,,group_label_314,10.6
2017,,,,,group_label_314,11.1
2018,,,,,group_label_314,9.9
2019,,,,,group_label_314,9.2
2020,,,,,group_label_314,10.8
2021,,,,,group_label_314,10.2
2022,,,,,group_label_314,
2023,,,,,group_label_314,
2024,,,,,group_label_314,
2015,,,,,group_label_315,9.6
2016,,,,,group_label_315,10.9
2017,,,,,group_label_315,10.2
2018,,,,,group_label_315,10.0
2019,,,,,group_label_315,9.6
2020,,,,,group_label_315,11.5
2021,,,,,group_label_315,11.5
2022,,,,,group_label_315,
2023,,,,,group_label_315,
2024,,,,,group_label_315,
2015,,,,,group_label_319,12.1
2016,,,,,group_label_319,8.4
2017,,,,,group_label_319,11.9
2018,,,,,group_label_319,13.0
2019,,,,,group_label_319,13.9
2020,,,,,group_label_319,15.9
2021,,,,,group_label_319,15.0
2022,,,,,group_label_319,
2023,,,,,group_label_319,
2024,,,,,group_label_319,
