Year,Стать,Вік,Область,Value
2017,,,Чернігівська,22.0
2017,,,м. Київ,10.0
2017,,,м. Севастополь,
2018,,,,15.0
2018,жінки,,,
2018,чоловіки,,,
2018,,дорослі,,
2018,,діти,,
2018,,,Автономна Республіка Крим,
2018,,,Вінницька,6.0
2018,,,Волинська,9.0
2018,,,Дніпропетровська,8.0
2018,,,Донецька,40.0
2018,,,Житомирська,7.0
2018,,,Закарпатська,16.0
2018,,,Запорізька,37.0
2018,,,Івано-Франківська,0.0
2018,,,Київська,21.0
2018,,,Кіровоградська,11.0
2018,,,Луганська,3.0
2018,,,Львівська,21.0
2018,,,Миколаївська,23.0
2018,,,Одеська,9.0
2018,,,Полтавська,0.0
2018,,,Рівненська,52.0
2018,,,Сумська,0.0
2018,,,Тернопільська,1.0
2018,,,Харківська,45.0
2018,,,Херсонська,4.0
2018,,,Хмельницька,22.0
2018,,,Черкаська,7.0
2018,,,Чернівецька,21.0
2018,,,Чернігівська,29.0
2018,,,м. Київ,9.0
2018,,,м. Севастополь,
2019,,,,18.0
2019,жінки,,,
2019,чоловіки,,,
2019,,дорослі,,
2019,,діти,,
2019,,,Автономна Республіка Крим,
2019,,,Вінницька,13.0
2019,,,Волинська,10.0
2019,,,Дніпропетровська,16.0
2019,,,Донецька,76.0
2019,,,Житомирська,7.0
2019,,,Закарпатська,11.0
2019,,,Запорізька,47.0
2019,,,Івано-Франківська,0.0
2019,,,Київська,7.0
2019,,,Кіровоградська,3.0
2019,,,Луганська,9.0
2019,,,Львівська,23.0
2019,,,Миколаївська,51.0
2019,,,Одеська,10.0
2019,,,Полтавська,0.0
2019,,,Рівненська,62.0
2019,,,Сумська,0.0
2019,,,Тернопільська,15.0
2019,,,Харківська,67.0
2019,,,Херсонська,0.0
2019,,,Хмельницька,8.0
2019,,,Черкаська,3.0
2019,,,Чернівецька,17.0
2019,,,Чернігівська,28.0
2019,,,м. Київ,9.0
2019,,,м. Севастополь,
2020,,,,11.0
2020,жінки,,,
2020,чоловіки,,,
2020,,дорослі,,
2020,,діти,,
2020,,,Автономна Республіка Крим,
2020,,,Вінницька,11.0
2020,,,Волинська,4.0
2020,,,Дніпропетровська,0.0
2020,,,Донецька,66.0
2020,,,Житомирська,4.0
2020,,,Закарпатська,7.0
2020,,,Запорізька,0.0
2020,,,Івано-Франківська,1.0
2020,,,Київська,2.0
2020,,,Кіровоградська,5.0
2020,,,Луганська,10.0
2020,,,Львівська,12.0
2020,,,Миколаївська,8.0
2020,,,Одеська,10.0
2020,,,Полтавська,10.0
2020,,,Рівненська,49.0
2020,,,Сумська,0.0
2020,,,Тернопільська,5.0
2020,,,Харківська,38.0
2020,,,Херсонська,0.0
2020,,,Хмельницька,7.0
2020,,,Черкаська,5.0
2020,,,Чернівецька,10.0
2020,,,Чернігівська,13.0
2020,,,м. Київ,12.0
2020,,,м. Севастополь,
2021,,,,14.0
2021,жінки,,,
2021,чоловіки,,,
2021,,дорослі,,
2021,,діти,,
2021,,,Автономна Республіка Крим,
2021,,,Вінницька,8.0
2021,,,Волинська,3.0
2021,,,Дніпропетровська,27.0
2021,,,Донецька,51.0
2021,,,Житомирська,10.0
2021,,,Закарпатська,2.0
2021,,,Запорізька,22.0
2021,,,Івано-Франківська,0.0
2021,,,Київська,7.0
2021,,,Кіровоградська,1.0
2021,,,Луганська,7.0
2021,,,Львівська,13.0
2021,,,Миколаївська,9.0
2021,,,Одеська,15.0
2021,,,Полтавська,14.0
2021,,,Рівненська,11.0
2021,,,Сумська,0.0
2021,,,Тернопільська,10.0
2021,,,Харківська,41.0
2021,,,Херсонська,18.0
2021,,,Хмельницька,8.0
2021,,,Черкаська,6.0
2021,,,Чернівецька,9.0
2021,,,Чернігівська,8.0
2021,,,м. Київ,22.0
2021,,,м. Севастополь,
2022,,,,14.0
2022,жінки,,,
2022,чоловіки,,,
2022,,дорослі,,
2022,,діти,,
2022,,,Автономна Республіка Крим,
2022,,,Вінницька,23.0
2022,,,Волинська,22.0
2022,,,Дніпропетровська,13.0
2022,,,Донецька,101.0
2022,,,Житомирська,4.0
2022,,,Закарпатська,4.0
2022,,,Запорізька,
2022,,,Івано-Франківська,6.0
2022,,,Київська,7.0
2022,,,Кіровоградська,4.0
2022,,,Луганська,
2022,,,Львівська,25.0
2022,,,Миколаївська,33.0
2022,,,Одеська,8.0
2022,,,Полтавська,12.0
2022,,,Рівненська,48.0
2022,,,Сумська,11.0
2022,,,Тернопільська,30.0
2022,,,Харківська,53.0
2022,,,Херсонська,
2022,,,Хмельницька,5.0
2022,,,Черкаська,15.0
2022,,,Чернівецька,3.0
2022,,,Чернігівська,8.0
2022,,,м. Київ,19.0
2022,,,м. Севастополь,
2023,,,,32.0
2023,жінки,,,
2023,чоловіки,,,
2023,,дорослі,,
2023,,діти,,
2023,,,Автономна Республіка Крим,
2023,,,Вінницька,32.0
2023,,,Волинська,32.0
2023,,,Дніпропетровська,9.0
2023,,,Донецька,23.0
2023,,,Житомирська,5.0
2023,,,Закарпатська,1.0
2023,,,Запорізька,
2023,,,Івано-Франківська,16.0
2023,,,Київська,18.0
2023,,,Кіровоградська,9.0
2023,,,Луганська,
2023,,,Львівська,42.0
2023,,,Миколаївська,8.0
2023,,,Одеська,12.0
2023,,,Полтавська,12.0
2023,,,Рівненська,46.0
2023,,,Сумська,25.0
2023,,,Тернопільська,222.0
2023,,,Харківська,58.0
2023,,,Херсонська,
2023,,,Хмельницька,225.0
2023,,,Черкаська,8.0
2023,,,Чернівецька,7.0
2023,,,Чернігівська,24.0
2023,,,м. Київ,42.0
2023,,,м. Севастополь,
2024,,,,33.0
2024,жінки,,,
2024,чоловіки,,,
2024,,дорослі,,
2024,,діти,,
2024,,,Автономна Республіка Крим,
2024,,,Вінницька,41.0
2024,,,Волинська,25.0
2024,,,Дніпропетровська,34.0
2024,,,Донецька,100.0
2024,,,Житомирська,17.0
2024,,,Закарпатська,7.0
2024,,,Запорізька,59.0
2024,,,Івано-Франківська,19.0
2024,,,Київська,11.0
2024,,,Кіровоградська,25.0
2024,,,Луганська,
2024,,,Львівська,58.0
2024,,,Миколаївська,19.0
2024,,,Одеська,20.0
2024,,,Полтавська,14.0
2024,,,Рівненська,45.0
2024,,,Сумська,50.0
2024,,,Тернопільська,24.0
2024,,,Харківська,66.0
2024,,,Херсонська,
2024,,,Хмельницька,6.0
2024,,,Черкаська,16.0
2024,,,Чернівецька,15.0
2024,,,Чернігівська,48.0
2024,,,м. Київ,61.0
2024,,,м. Севастополь,
