Year,group_13,group_16,Region,Value
2019,,,15_reg_Zhytomyr,
2019,,,16_reg_Zakarpattya,
2019,,,17_reg_Zaporizhzhya,24.3
2019,,,18_reg_Ivano-Frankivsk,7.2
2019,,,19_reg_Kyiv,16.5
2019,,,20_reg_Kirovohrad,12.1
2019,,,21_reg_Luhansk,17.2
2019,,,22_reg_Lviv,8.3
2019,,,23_reg_Mykolayiv,8.6
2019,,,24_reg_Odesa,10.9
2019,,,25_reg_Poltava,11.8
2019,,,26_reg_Rivne,4.8
2019,,,27_reg_Sumy,12.1
2019,,,28_reg_Ternopil,5.0
2019,,,29_reg_Kharkiv,19.5
2019,,,30_reg_Kherson,4.7
2019,,,31_reg_Khmelnytskiy,17.0
2019,,,32_reg_Cherkasy,6.0
2019,,,33_reg_Chernivtsi,17.4
2019,,,34_reg_Chernihiv,5.5
2019,,,Kyiv_city,24.6
2019,,,city_Sevastopol,
2020,,,,20.6
2020,group_label_174,,,21.0
2020,group_label_175,,,20.3
2020,,group_label_189,,23.5
2020,,group_label_190,,15.0
2020,,,autonomous_Republic_of_Crimea,
2020,,,11_reg_Vinnytsya,27.7
2020,,,12_reg_Volyn,15.8
2020,,,13_reg_Dnipropetrovsk,20.4
2020,,,14_reg_Donetsk,20.9
2020,,,15_reg_Zhytomyr,6.5
2020,,,16_reg_Zakarpattya,
2020,,,17_reg_Zaporizhzhya,35.8
2020,,,18_reg_Ivano-Frankivsk,9.5
2020,,,19_reg_Kyiv,18.2
2020,,,20_reg_Kirovohrad,21.3
2020,,,21_reg_Luhansk,17.2
2020,,,22_reg_Lviv,18.7
2020,,,23_reg_Mykolayiv,19.2
2020,,,24_reg_Odesa,25.0
2020,,,25_reg_Poltava,15.7
2020,,,26_reg_Rivne,6.3
2020,,,27_reg_Sumy,10.7
2020,,,28_reg_Ternopil,23.5
2020,,,29_reg_Kharkiv,36.1
2020,,,30_reg_Kherson,12.1
2020,,,31_reg_Khmelnytskiy,22.7
2020,,,32_reg_Cherkasy,27.1
2020,,,33_reg_Chernivtsi,14.1
2020,,,34_reg_Chernihiv,13.5
2020,,,Kyiv_city,41.0
2020,,,city_Sevastopol,
2021,,,,24.4
2021,group_label_174,,,24.4
2021,group_label_175,,,24.5
2021,,group_label_189,,29.0
2021,,group_label_190,,15.5
2021,,,autonomous_Republic_of_Crimea,
2021,,,11_reg_Vinnytsya,26.6
2021,,,12_reg_Volyn,6.1
2021,,,13_reg_Dnipropetrovsk,22.7
2021,,,14_reg_Donetsk,27.4
2021,,,15_reg_Zhytomyr,3.1
2021,,,16_reg_Zakarpattya,
2021,,,17_reg_Zaporizhzhya,39.2
2021,,,18_reg_Ivano-Frankivsk,13.2
2021,,,19_reg_Kyiv,44.0
2021,,,20_reg_Kirovohrad,20.0
2021,,,21_reg_Luhansk,15.3
2021,,,22_reg_Lviv,26.4
2021,,,23_reg_Mykolayiv,11.9
2021,,,24_reg_Odesa,29.8
2021,,,25_reg_Poltava,34.2
2021,,,26_reg_Rivne,3.9
2021,,,27_reg_Sumy,25.1
2021,,,28_reg_Ternopil,9.5
2021,,,29_reg_Kharkiv,39.6
2021,,,30_reg_Kherson,8.3
2021,,,31_reg_Khmelnytskiy,24.7
2021,,,32_reg_Cherkasy,27.4
2021,,,33_reg_Chernivtsi,41.2
2021,,,34_reg_Chernihiv,14.1
2021,,,Kyiv_city,52.2
2021,,,city_Sevastopol,
2022,,,,
2022,group_label_174,,,
2022,group_label_175,,,
2022,,group_label_189,,
2022,,group_label_190,,
2022,,,autonomous_Republic_of_Crimea,
2022,,,11_reg_Vinnytsya,
2022,,,12_reg_Volyn,
2022,,,13_reg_Dnipropetrovsk,
2022,,,14_reg_Donetsk,
2022,,,15_reg_Zhytomyr,
2022,,,16_reg_Zakarpattya,
2022,,,17_reg_Zaporizhzhya,
2022,,,18_reg_Ivano-Frankivsk,
2022,,,19_reg_Kyiv,
2022,,,20_reg_Kirovohrad,
2022,,,21_reg_Luhansk,
2022,,,22_reg_Lviv,
2022,,,23_reg_Mykolayiv,
2022,,,24_reg_Odesa,
2022,,,25_reg_Poltava,
2022,,,26_reg_Rivne,
2022,,,27_reg_Sumy,
2022,,,28_reg_Ternopil,
2022,,,29_reg_Kharkiv,
2022,,,30_reg_Kherson,
2022,,,31_reg_Khmelnytskiy,
2022,,,32_reg_Cherkasy,
2022,,,33_reg_Chernivtsi,
2022,,,34_reg_Chernihiv,
2022,,,Kyiv_city,
2022,,,city_Sevastopol,
2023,,,,
2023,group_label_174,,,
2023,group_label_175,,,
2023,,group_label_189,,
2023,,group_label_190,,
2023,,,autonomous_Republic_of_Crimea,
2023,,,11_reg_Vinnytsya,
2023,,,12_reg_Volyn,
2023,,,13_reg_Dnipropetrovsk,
2023,,,14_reg_Donetsk,
2023,,,15_reg_Zhytomyr,
2023,,,16_reg_Zakarpattya,
2023,,,17_reg_Zaporizhzhya,
2023,,,18_reg_Ivano-Frankivsk,
2023,,,19_reg_Kyiv,
2023,,,20_reg_Kirovohrad,
2023,,,21_reg_Luhansk,
2023,,,22_reg_Lviv,
2023,,,23_reg_Mykolayiv,
2023,,,24_reg_Odesa,
2023,,,25_reg_Poltava,
2023,,,26_reg_Rivne,
2023,,,27_reg_Sumy,
2023,,,28_reg_Ternopil,
2023,,,29_reg_Kharkiv,
2023,,,30_reg_Kherson,
2023,,,31_reg_Khmelnytskiy,
2023,,,32_reg_Cherkasy,
2023,,,33_reg_Chernivtsi,
2023,,,34_reg_Chernihiv,
2023,,,Kyiv_city,
2023,,,city_Sevastopol,
2024,,,,
2024,group_label_174,,,
2024,group_label_175,,,
2024,,group_label_189,,
2024,,group_label_190,,
2024,,,autonomous_Republic_of_Crimea,
2024,,,11_reg_Vinnytsya,
2024,,,12_reg_Volyn,
2024,,,13_reg_Dnipropetrovsk,
2024,,,14_reg_Donetsk,
2024,,,15_reg_Zhytomyr,
2024,,,16_reg_Zakarpattya,
2024,,,17_reg_Zaporizhzhya,
2024,,,18_reg_Ivano-Frankivsk,
2024,,,19_reg_Kyiv,
2024,,,20_reg_Kirovohrad,
2024,,,21_reg_Luhansk,
2024,,,22_reg_Lviv,
2024,,,23_reg_Mykolayiv,
2024,,,24_reg_Odesa,
2024,,,25_reg_Poltava,
2024,,,26_reg_Rivne,
2024,,,27_reg_Sumy,
2024,,,28_reg_Ternopil,
2024,,,29_reg_Kharkiv,
2024,,,30_reg_Kherson,
2024,,,31_reg_Khmelnytskiy,
2024,,,32_reg_Cherkasy,
2024,,,33_reg_Chernivtsi,
2024,,,34_reg_Chernihiv,
2024,,,Kyiv_city,
2024,,,city_Sevastopol,
