Year,Стать,Вік,Область,Value
2019,,,Кіровоградська,3.0
2019,,,Луганська,9.0
2019,,,Львівська,23.0
2019,,,Миколаївська,51.0
2019,,,Одеська,10.0
2019,,,Полтавська,0.0
2019,,,Рівненська,62.0
2019,,,Сумська,0.0
2019,,,Тернопільська,15.0
2019,,,Харківська,67.0
2019,,,Херсонська,0.0
2019,,,Хмельницька,8.0
2019,,,Черкаська,3.0
2019,,,Чернівецька,17.0
2019,,,Чернігівська,28.0
2019,,,м. Київ,7.0
2019,,,м. Севастополь,
2020,,,,11.0
2020,дорослі,,,
2020,діти,,,
2020,,Жіноча,,
2020,,Чоловіча,,
2020,,,Автономна Республіка Крим,
2020,,,Вінницька,11.0
2020,,,Волинська,4.0
2020,,,Дніпропетровська,0.0
2020,,,Донецька,66.0
2020,,,Житомирська,4.0
2020,,,Закарпатська,7.0
2020,,,Запорізька,0.0
2020,,,Івано-Франківська,1.0
2020,,,Київська,2.0
2020,,,Кіровоградська,5.0
2020,,,Луганська,10.0
2020,,,Львівська,12.0
2020,,,Миколаївська,8.0
2020,,,Одеська,10.0
2020,,,Полтавська,10.0
2020,,,Рівненська,49.0
2020,,,Сумська,0.0
2020,,,Тернопільська,5.0
2020,,,Харківська,38.0
2020,,,Херсонська,0.0
2020,,,Хмельницька,7.0
2020,,,Черкаська,5.0
2020,,,Чернівецька,10.0
2020,,,Чернігівська,13.0
2020,,,м. Київ,2.0
2020,,,м. Севастополь,
2021,,,,14.0
2021,дорослі,,,
2021,діти,,,
2021,,Жіноча,,
2021,,Чоловіча,,
2021,,,Автономна Республіка Крим,
2021,,,Вінницька,8.0
2021,,,Волинська,3.0
2021,,,Дніпропетровська,27.0
2021,,,Донецька,51.0
2021,,,Житомирська,10.0
2021,,,Закарпатська,2.0
2021,,,Запорізька,22.0
2021,,,Івано-Франківська,0.0
2021,,,Київська,7.0
2021,,,Кіровоградська,1.0
2021,,,Луганська,7.0
2021,,,Львівська,13.0
2021,,,Миколаївська,9.0
2021,,,Одеська,15.0
2021,,,Полтавська,14.0
2021,,,Рівненська,11.0
2021,,,Сумська,0.0
2021,,,Тернопільська,10.0
2021,,,Харківська,41.0
2021,,,Херсонська,18.0
2021,,,Хмельницька,8.0
2021,,,Черкаська,6.0
2021,,,Чернівецька,9.0
2021,,,Чернігівська,8.0
2021,,,м. Київ,7.0
2021,,,м. Севастополь,
2022,,,,14.0
2022,дорослі,,,
2022,діти,,,
2022,,Жіноча,,
2022,,Чоловіча,,
2022,,,Автономна Республіка Крим,
2022,,,Вінницька,23.0
2022,,,Волинська,22.0
2022,,,Дніпропетровська,13.0
2022,,,Донецька,101.0
2022,,,Житомирська,4.0
2022,,,Закарпатська,4.0
2022,,,Запорізька,
2022,,,Івано-Франківська,6.0
2022,,,Київська,7.0
2022,,,Кіровоградська,4.0
2022,,,Луганська,
2022,,,Львівська,25.0
2022,,,Миколаївська,33.0
2022,,,Одеська,8.0
2022,,,Полтавська,12.0
2022,,,Рівненська,48.0
2022,,,Сумська,11.0
2022,,,Тернопільська,30.0
2022,,,Харківська,53.0
2022,,,Херсонська,
2022,,,Хмельницька,5.0
2022,,,Черкаська,15.0
2022,,,Чернівецька,3.0
2022,,,Чернігівська,8.0
2022,,,м. Київ,7.0
2022,,,м. Севастополь,
2023,,,,32.0
2023,дорослі,,,
2023,діти,,,
2023,,Жіноча,,
2023,,Чоловіча,,
2023,,,Автономна Республіка Крим,
2023,,,Вінницька,32.0
2023,,,Волинська,32.0
2023,,,Дніпропетровська,9.0
2023,,,Донецька,23.0
2023,,,Житомирська,5.0
2023,,,Закарпатська,1.0
2023,,,Запорізька,
2023,,,Івано-Франківська,16.0
2023,,,Київська,18.0
2023,,,Кіровоградська,9.0
2023,,,Луганська,
2023,,,Львівська,42.0
2023,,,Миколаївська,8.0
2023,,,Одеська,12.0
2023,,,Полтавська,12.0
2023,,,Рівненська,46.0
2023,,,Сумська,25.0
2023,,,Тернопільська,222.0
2023,,,Харківська,58.0
2023,,,Херсонська,
2023,,,Хмельницька,225.0
2023,,,Черкаська,8.0
2023,,,Чернівецька,7.0
2023,,,Чернігівська,24.0
2023,,,м. Київ,18.0
2023,,,м. Севастополь,
2024,,,,33.0
2024,дорослі,,,
2024,діти,,,
2024,,Жіноча,,
2024,,Чоловіча,,
2024,,,Автономна Республіка Крим,
2024,,,Вінницька,41.0
2024,,,Волинська,25.0
2024,,,Дніпропетровська,34.0
2024,,,Донецька,100.0
2024,,,Житомирська,17.0
2024,,,Закарпатська,7.0
2024,,,Запорізька,59.0
2024,,,Івано-Франківська,19.0
2024,,,Київська,11.0
2024,,,Кіровоградська,25.0
2024,,,Луганська,
2024,,,Львівська,58.0
2024,,,Миколаївська,19.0
2024,,,Одеська,20.0
2024,,,Полтавська,14.0
2024,,,Рівненська,45.0
2024,,,Сумська,50.0
2024,,,Тернопільська,24.0
2024,,,Харківська,66.0
2024,,,Херсонська,
2024,,,Хмельницька,6.0
2024,,,Черкаська,16.0
2024,,,Чернівецька,15.0
2024,,,Чернігівська,48.0
2024,,,м. Київ,11.0
2024,,,м. Севастополь,
