Year,Infectious diseases,Age,Region,Value
2017,Poliomyelitis,under 1 year,,51.9
2018,Poliomyelitis,under 1 year,,71.1
2019,Poliomyelitis,under 1 year,,78.4
2020,Poliomyelitis,under 1 year,,83.0
2021,Poliomyelitis,under 1 year,,80.1
2022,Poliomyelitis,under 1 year,,68.9
2023,Poliomyelitis,under 1 year,,84.9
2024,Poliomyelitis,under 1 year,,87.8
2015,Poliomyelitis,18 months,,86.1
2016,Poliomyelitis,18 months,,66.9
2017,Poliomyelitis,18 months,,71.4
2018,Poliomyelitis,18 months,,67.8
2019,Poliomyelitis,18 months,,78.7
2020,Poliomyelitis,18 months,,83.0
2021,Poliomyelitis,18 months,,80.5
2022,Poliomyelitis,18 months,,66.7
2023,Poliomyelitis,18 months,,85.5
2024,Poliomyelitis,18 months,,87.3
2015,Poliomyelitis,6 years,,49.3
2016,Poliomyelitis,6 years,,86.1
2017,Poliomyelitis,6 years,,88.2
2018,Poliomyelitis,6 years,,81.3
2019,Poliomyelitis,6 years,,80.3
2020,Poliomyelitis,6 years,,81.7
2021,Poliomyelitis,6 years,,78.4
2022,Poliomyelitis,6 years,,63.4
2023,Poliomyelitis,6 years,,82.3
2024,Poliomyelitis,6 years,,83.6
2015,Poliomyelitis,14 years,,51.0
2016,Poliomyelitis,14 years,,80.5
2017,Poliomyelitis,14 years,,88.1
2018,Poliomyelitis,14 years,,80.2
2019,Poliomyelitis,14 years,,80.9
2020,Poliomyelitis,14 years,,81.8
2021,Poliomyelitis,14 years,,76.1
2022,Poliomyelitis,14 years,,58.9
2023,Poliomyelitis,14 years,,78.9
2024,Poliomyelitis,14 years,,80.8
2015,Poliomyelitis,1 year,,39.2
2016,Poliomyelitis,1 year,,52.1
2017,Poliomyelitis,1 year,,44.5
2018,Poliomyelitis,1 year,,57.7
2019,Poliomyelitis,1 year,,80.0
2020,Poliomyelitis,1 year,,83.6
2021,Poliomyelitis,1 year,,87.0
2022,Poliomyelitis,1 year,,69.8
2023,Poliomyelitis,1 year,,78.2
2024,Poliomyelitis,1 year,,92.7
2015,Tuberculosis,under 1 year,Vinnytsya,27.1
2015,Poliomyelitis,under 1 year,Vinnytsya,73.6
2015,Poliomyelitis,18 months,Vinnytsya,92.8
2015,Poliomyelitis,6 years,Vinnytsya,39.6
2015,Poliomyelitis,14 years,Vinnytsya,39.4
2015,"Diphtheria, tetanus",under 1 year,Vinnytsya,14.6
2015,Pertussis,under 1 year,Vinnytsya,14.6
2015,Tetanus,under 1 year,Vinnytsya,14.6
2015,"Diphtheria, tetanus",18 months,Vinnytsya,27.4
2015,Pertussis,18 months,Vinnytsya,27.4
2015,Tetanus,18 months,Vinnytsya,27.4
2015,"Diphtheria, tetanus",6 years,Vinnytsya,0.0
2015,Tetanus,6 years,Vinnytsya,0.0
2015,"Diphtheria, tetanus",adults,Vinnytsya,0.0
2015,Tetanus,adults,Vinnytsya,0.0
2015,Rubella,1 year,Vinnytsya,56.9
2015,"Measles, mumps, rubella",1 year,Vinnytsya,56.9
2015,Mumps,1 year,Vinnytsya,56.9
2015,Rubella,6 years,Vinnytsya,65.6
2015,"Measles, mumps, rubella",6 years,Vinnytsya,65.6
2015,Mumps,6 years,Vinnytsya,65.6
2015,Hepatitis B,under 1 year,Vinnytsya,29.9
2015,Tuberculosis,under 1 year,Volyn,16.4
2015,Poliomyelitis,under 1 year,Volyn,53.6
2015,Poliomyelitis,18 months,Volyn,91.6
2015,Poliomyelitis,6 years,Volyn,37.8
2015,Poliomyelitis,14 years,Volyn,38.0
2015,"Diphtheria, tetanus",under 1 year,Volyn,16.6
2015,Pertussis,under 1 year,Volyn,16.6
2015,Tetanus,under 1 year,Volyn,16.6
2015,"Diphtheria, tetanus",18 months,Volyn,28.4
2015,Pertussis,18 months,Volyn,28.4
2015,Tetanus,18 months,Volyn,28.4
2015,"Diphtheria, tetanus",6 years,Volyn,0.0
2015,Tetanus,6 years,Volyn,0.0
2015,"Diphtheria, tetanus",adults,Volyn,0.0
2015,Tetanus,adults,Volyn,0.0
2015,Rubella,1 year,Volyn,56.3
2015,"Measles, mumps, rubella",1 year,Volyn,56.3
2015,Mumps,1 year,Volyn,56.3
2015,Rubella,6 years,Volyn,72.1
2015,"Measles, mumps, rubella",6 years,Volyn,72.1
2015,Mumps,6 years,Volyn,72.1
2015,Hepatitis B,under 1 year,Volyn,14.4
2015,Tuberculosis,under 1 year,Dnipropetrovsk,28.6
2015,Poliomyelitis,under 1 year,Dnipropetrovsk,81.8
2015,Poliomyelitis,18 months,Dnipropetrovsk,99.7
2015,Poliomyelitis,6 years,Dnipropetrovsk,48.0
2015,Poliomyelitis,14 years,Dnipropetrovsk,38.7
2015,"Diphtheria, tetanus",under 1 year,Dnipropetrovsk,18.9
2015,Pertussis,under 1 year,Dnipropetrovsk,18.9
2015,Tetanus,under 1 year,Dnipropetrovsk,18.9
2015,"Diphtheria, tetanus",18 months,Dnipropetrovsk,31.0
2015,Pertussis,18 months,Dnipropetrovsk,31.0
2015,Tetanus,18 months,Dnipropetrovsk,31.0
2015,"Diphtheria, tetanus",6 years,Dnipropetrovsk,11.4
2015,Tetanus,6 years,Dnipropetrovsk,11.4
2015,"Diphtheria, tetanus",adults,Dnipropetrovsk,0.2
2015,Tetanus,adults,Dnipropetrovsk,0.2
2015,Rubella,1 year,Dnipropetrovsk,79.7
2015,"Measles, mumps, rubella",1 year,Dnipropetrovsk,79.7
2015,Mumps,1 year,Dnipropetrovsk,79.7
2015,Rubella,6 years,Dnipropetrovsk,73.5
2015,"Measles, mumps, rubella",6 years,Dnipropetrovsk,73.5
2015,Mumps,6 years,Dnipropetrovsk,73.5
2015,Hepatitis B,under 1 year,Dnipropetrovsk,41.1
2015,Tuberculosis,under 1 year,Donetsk,51.5
2015,Poliomyelitis,under 1 year,Donetsk,82.0
2015,Poliomyelitis,18 months,Donetsk,100.0
2015,Poliomyelitis,6 years,Donetsk,74.5
2015,Poliomyelitis,14 years,Donetsk,67.0
2015,"Diphtheria, tetanus",under 1 year,Donetsk,26.1
2015,Pertussis,under 1 year,Donetsk,26.1
2015,Tetanus,under 1 year,Donetsk,26.1
2015,"Diphtheria, tetanus",18 months,Donetsk,26.4
2015,Pertussis,18 months,Donetsk,26.4
2015,Tetanus,18 months,Donetsk,26.4
2015,"Diphtheria, tetanus",6 years,Donetsk,10.9
2015,Tetanus,6 years,Donetsk,10.9
2015,"Diphtheria, tetanus",adults,Donetsk,0.1
2015,Tetanus,adults,Donetsk,0.1
2015,Rubella,1 year,Donetsk,86.3
2015,"Measles, mumps, rubella",1 year,Donetsk,86.3
2015,Mumps,1 year,Donetsk,86.3
2015,Rubella,6 years,Donetsk,79.2
2015,"Measles, mumps, rubella",6 years,Donetsk,79.2
2015,Mumps,6 years,Donetsk,79.2
2015,Hepatitis B,under 1 year,Donetsk,6.2
2015,Tuberculosis,under 1 year,Zhytomyr,34.4
2015,Poliomyelitis,under 1 year,Zhytomyr,79.4
2015,Poliomyelitis,18 months,Zhytomyr,119.3
2015,Poliomyelitis,6 years,Zhytomyr,67.6
2015,Poliomyelitis,14 years,Zhytomyr,65.4
2015,"Diphtheria, tetanus",under 1 year,Zhytomyr,9.0
2015,Pertussis,under 1 year,Zhytomyr,9.0
2015,Tetanus,under 1 year,Zhytomyr,9.0
2015,"Diphtheria, tetanus",18 months,Zhytomyr,7.9
2015,Pertussis,18 months,Zhytomyr,7.9
2015,Tetanus,18 months,Zhytomyr,7.9
2015,"Diphtheria, tetanus",6 years,Zhytomyr,0.0
2015,Tetanus,6 years,Zhytomyr,0.0
2015,"Diphtheria, tetanus",adults,Zhytomyr,0.0
2015,Tetanus,adults,Zhytomyr,0.0
2015,Rubella,1 year,Zhytomyr,57.4
2015,"Measles, mumps, rubella",1 year,Zhytomyr,57.4
2015,Mumps,1 year,Zhytomyr,57.4
2015,Rubella,6 years,Zhytomyr,67.2
2015,"Measles, mumps, rubella",6 years,Zhytomyr,67.2
2015,Mumps,6 years,Zhytomyr,67.2
2015,Hepatitis B,under 1 year,Zhytomyr,41.6
2015,Tuberculosis,under 1 year,Zakarpattya,37.9
2015,Poliomyelitis,under 1 year,Zakarpattya,57.8
2015,Poliomyelitis,18 months,Zakarpattya,72.6
2015,Poliomyelitis,6 years,Zakarpattya,62.7
2015,Poliomyelitis,14 years,Zakarpattya,60.2
2015,"Diphtheria, tetanus",under 1 year,Zakarpattya,22.0
2015,Pertussis,under 1 year,Zakarpattya,22.0
2015,Tetanus,under 1 year,Zakarpattya,22.0
2015,"Diphtheria, tetanus",18 months,Zakarpattya,24.1
2015,Pertussis,18 months,Zakarpattya,24.1
2015,Tetanus,18 months,Zakarpattya,24.1
2015,"Diphtheria, tetanus",6 years,Zakarpattya,0.0
2015,Tetanus,6 years,Zakarpattya,0.0
2015,"Diphtheria, tetanus",adults,Zakarpattya,0.0
2015,Tetanus,adults,Zakarpattya,0.0
2015,Rubella,1 year,Zakarpattya,61.4
2015,"Measles, mumps, rubella",1 year,Zakarpattya,61.4
2015,Mumps,1 year,Zakarpattya,61.4
2015,Rubella,6 years,Zakarpattya,71.4
2015,"Measles, mumps, rubella",6 years,Zakarpattya,71.4
2015,Mumps,6 years,Zakarpattya,71.4
2015,Hepatitis B,under 1 year,Zakarpattya,19.1
2015,Tuberculosis,under 1 year,Zaporizhzhya,44.5
2015,Poliomyelitis,under 1 year,Zaporizhzhya,47.8
2015,Poliomyelitis,18 months,Zaporizhzhya,74.9
2015,Poliomyelitis,6 years,Zaporizhzhya,43.9
2015,Poliomyelitis,14 years,Zaporizhzhya,26.8
2015,"Diphtheria, tetanus",under 1 year,Zaporizhzhya,19.6
2015,Pertussis,under 1 year,Zaporizhzhya,19.6
2015,Tetanus,under 1 year,Zaporizhzhya,19.6
2015,"Diphtheria, tetanus",18 months,Zaporizhzhya,20.5
2015,Pertussis,18 months,Zaporizhzhya,20.5
2015,Tetanus,18 months,Zaporizhzhya,20.5
2015,"Diphtheria, tetanus",6 years,Zaporizhzhya,10.8
2015,Tetanus,6 years,Zaporizhzhya,10.8
2015,"Diphtheria, tetanus",adults,Zaporizhzhya,0.9
2015,Tetanus,adults,Zaporizhzhya,0.9
2015,Rubella,1 year,Zaporizhzhya,72.8
2015,"Measles, mumps, rubella",1 year,Zaporizhzhya,72.8
2015,Mumps,1 year,Zaporizhzhya,72.8
2015,Rubella,6 years,Zaporizhzhya,50.7
2015,"Measles, mumps, rubella",6 years,Zaporizhzhya,50.7
2015,Mumps,6 years,Zaporizhzhya,50.7
2015,Hepatitis B,under 1 year,Zaporizhzhya,31.3
2015,Tuberculosis,under 1 year,Ivano-Frankivsk,29.5
2015,Poliomyelitis,under 1 year,Ivano-Frankivsk,43.1
2015,Poliomyelitis,18 months,Ivano-Frankivsk,56.2
2015,Poliomyelitis,6 years,Ivano-Frankivsk,47.4
2015,Poliomyelitis,14 years,Ivano-Frankivsk,47.7
2015,"Diphtheria, tetanus",under 1 year,Ivano-Frankivsk,19.7
2015,Pertussis,under 1 year,Ivano-Frankivsk,19.7
2015,Tetanus,under 1 year,Ivano-Frankivsk,19.7
2015,"Diphtheria, tetanus",18 months,Ivano-Frankivsk,24.1
2015,Pertussis,18 months,Ivano-Frankivsk,24.1
2015,Tetanus,18 months,Ivano-Frankivsk,24.1
2015,"Diphtheria, tetanus",6 years,Ivano-Frankivsk,0.0
2015,Tetanus,6 years,Ivano-Frankivsk,0.0
2015,"Diphtheria, tetanus",adults,Ivano-Frankivsk,0.0
2015,Tetanus,adults,Ivano-Frankivsk,0.0
2015,Rubella,1 year,Ivano-Frankivsk,64.0
2015,"Measles, mumps, rubella",1 year,Ivano-Frankivsk,64.0
2015,Mumps,1 year,Ivano-Frankivsk,64.0
2015,Rubella,6 years,Ivano-Frankivsk,47.8
2015,"Measles, mumps, rubella",6 years,Ivano-Frankivsk,47.8
2015,Mumps,6 years,Ivano-Frankivsk,47.8
2015,Hepatitis B,under 1 year,Ivano-Frankivsk,38.5
2015,Tuberculosis,under 1 year,Kirovohrad,51.9
2015,Poliomyelitis,under 1 year,Kirovohrad,66.9
2015,Poliomyelitis,18 months,Kirovohrad,94.1
2015,Poliomyelitis,6 years,Kirovohrad,75.8
2015,Poliomyelitis,14 years,Kirovohrad,65.6
2015,"Diphtheria, tetanus",under 1 year,Kirovohrad,39.4
2015,Pertussis,under 1 year,Kirovohrad,39.4
2015,Tetanus,under 1 year,Kirovohrad,39.4
2015,"Diphtheria, tetanus",18 months,Kirovohrad,28.3
2015,Pertussis,18 months,Kirovohrad,28.3
2015,Tetanus,18 months,Kirovohrad,28.3
2015,"Diphtheria, tetanus",6 years,Kirovohrad,0.0
2015,Tetanus,6 years,Kirovohrad,0.0
2015,"Diphtheria, tetanus",adults,Kirovohrad,0.0
2015,Tetanus,adults,Kirovohrad,0.0
2015,Rubella,1 year,Kirovohrad,39.6
2015,"Measles, mumps, rubella",1 year,Kirovohrad,39.6
2015,Mumps,1 year,Kirovohrad,39.6
2015,Rubella,6 years,Kirovohrad,27.4
2015,"Measles, mumps, rubella",6 years,Kirovohrad,27.4
2015,Mumps,6 years,Kirovohrad,27.4
2015,Hepatitis B,under 1 year,Kirovohrad,22.2
2015,Tuberculosis,under 1 year,Luhansk,78.4
2015,Poliomyelitis,under 1 year,Luhansk,50.2
2015,Poliomyelitis,18 months,Luhansk,70.6
2015,Poliomyelitis,6 years,Luhansk,52.4
2015,Poliomyelitis,14 years,Luhansk,68.9
2015,"Diphtheria, tetanus",under 1 year,Luhansk,51.5
2015,Pertussis,under 1 year,Luhansk,51.5
2015,Tetanus,under 1 year,Luhansk,51.5
2015,"Diphtheria, tetanus",18 months,Luhansk,57.0
2015,Pertussis,18 months,Luhansk,57.0
2015,Tetanus,18 months,Luhansk,57.0
2015,"Diphtheria, tetanus",6 years,Luhansk,11.8
2015,Tetanus,6 years,Luhansk,11.8
2015,"Diphtheria, tetanus",adults,Luhansk,0.2
2015,Tetanus,adults,Luhansk,0.2
2015,Rubella,1 year,Luhansk,96.6
2015,"Measles, mumps, rubella",1 year,Luhansk,96.6
2015,Mumps,1 year,Luhansk,96.6
2015,Rubella,6 years,Luhansk,67.8
2015,"Measles, mumps, rubella",6 years,Luhansk,67.8
2015,Mumps,6 years,Luhansk,67.8
2015,Hepatitis B,under 1 year,Luhansk,45.5
2015,Tuberculosis,under 1 year,Lviv,15.2
2015,Poliomyelitis,under 1 year,Lviv,59.0
2015,Poliomyelitis,18 months,Lviv,80.5
2015,Poliomyelitis,6 years,Lviv,42.6
2015,Poliomyelitis,14 years,Lviv,56.8
2015,"Diphtheria, tetanus",under 1 year,Lviv,24.0
2015,Pertussis,under 1 year,Lviv,24.0
2015,Tetanus,under 1 year,Lviv,24.0
2015,"Diphtheria, tetanus",18 months,Lviv,28.9
2015,Pertussis,18 months,Lviv,28.9
2015,Tetanus,18 months,Lviv,28.9
2015,"Diphtheria, tetanus",6 years,Lviv,0.0
2015,Tetanus,6 years,Lviv,0.0
2015,"Diphtheria, tetanus",adults,Lviv,0.0
2015,Tetanus,adults,Lviv,0.0
2015,Rubella,1 year,Lviv,73.0
2015,"Measles, mumps, rubella",1 year,Lviv,73.0
2015,Mumps,1 year,Lviv,73.0
2015,Rubella,6 years,Lviv,77.6
2015,"Measles, mumps, rubella",6 years,Lviv,77.6
2015,Mumps,6 years,Lviv,77.6
2015,Hepatitis B,under 1 year,Lviv,26.9
2015,Tuberculosis,under 1 year,Mykolayiv,61.0
2015,Poliomyelitis,under 1 year,Mykolayiv,48.5
2015,Poliomyelitis,18 months,Mykolayiv,65.5
2015,Poliomyelitis,6 years,Mykolayiv,59.6
2015,Poliomyelitis,14 years,Mykolayiv,86.1
2015,"Diphtheria, tetanus",under 1 year,Mykolayiv,21.9
2015,Pertussis,under 1 year,Mykolayiv,21.9
2015,Tetanus,under 1 year,Mykolayiv,21.9
2015,"Diphtheria, tetanus",18 months,Mykolayiv,11.7
2015,Pertussis,18 months,Mykolayiv,11.7
2015,Tetanus,18 months,Mykolayiv,11.7
2015,"Diphtheria, tetanus",6 years,Mykolayiv,0.0
2015,Tetanus,6 years,Mykolayiv,0.0
2015,"Diphtheria, tetanus",adults,Mykolayiv,0.0
2015,Tetanus,adults,Mykolayiv,0.0
2015,Rubella,1 year,Mykolayiv,75.0
2015,"Measles, mumps, rubella",1 year,Mykolayiv,75.0
2015,Mumps,1 year,Mykolayiv,75.0
2015,Rubella,6 years,Mykolayiv,63.4
2015,"Measles, mumps, rubella",6 years,Mykolayiv,63.4
2015,Mumps,6 years,Mykolayiv,63.4
2015,Hepatitis B,under 1 year,Mykolayiv,20.9
2015,Tuberculosis,under 1 year,Odesa,39.3
2015,Poliomyelitis,under 1 year,Odesa,65.9
2015,Poliomyelitis,18 months,Odesa,88.1
2015,Poliomyelitis,6 years,Odesa,54.3
2015,Poliomyelitis,14 years,Odesa,52.1
2015,"Diphtheria, tetanus",under 1 year,Odesa,46.7
2015,Pertussis,under 1 year,Odesa,46.7
2015,Tetanus,under 1 year,Odesa,46.7
2015,"Diphtheria, tetanus",18 months,Odesa,58.0
2015,Pertussis,18 months,Odesa,58.0
2015,Tetanus,18 months,Odesa,58.0
2015,"Diphtheria, tetanus",6 years,Odesa,7.2
2015,Tetanus,6 years,Odesa,7.2
2015,"Diphtheria, tetanus",adults,Odesa,0.1
2015,Tetanus,adults,Odesa,0.1
2015,Rubella,1 year,Odesa,61.9
2015,"Measles, mumps, rubella",1 year,Odesa,61.9
2015,Mumps,1 year,Odesa,61.9
2015,Rubella,6 years,Odesa,65.6
2015,"Measles, mumps, rubella",6 years,Odesa,65.6
2015,Mumps,6 years,Odesa,65.6
2015,Hepatitis B,under 1 year,Odesa,11.4
2015,Tuberculosis,under 1 year,Poltava,16.5
2015,Poliomyelitis,under 1 year,Poltava,23.4
2015,Poliomyelitis,18 months,Poltava,87.7
2015,Poliomyelitis,6 years,Poltava,15.9
2015,Poliomyelitis,14 years,Poltava,37.8
2015,"Diphtheria, tetanus",under 1 year,Poltava,14.9
2015,Pertussis,under 1 year,Poltava,14.9
2015,Tetanus,under 1 year,Poltava,14.9
2015,"Diphtheria, tetanus",18 months,Poltava,55.6
2015,Pertussis,18 months,Poltava,55.6
2015,Tetanus,18 months,Poltava,55.6
2015,"Diphtheria, tetanus",6 years,Poltava,0.5
2015,Tetanus,6 years,Poltava,0.5
2015,"Diphtheria, tetanus",adults,Poltava,0.0
2015,Tetanus,adults,Poltava,0.0
2015,Rubella,1 year,Poltava,31.5
2015,"Measles, mumps, rubella",1 year,Poltava,31.5
2015,Mumps,1 year,Poltava,31.5
2015,Rubella,6 years,Poltava,23.4
2015,"Measles, mumps, rubella",6 years,Poltava,23.4
2015,Mumps,6 years,Poltava,23.4
2015,Hepatitis B,under 1 year,Poltava,6.3
2015,Tuberculosis,under 1 year,Rivne,25.3
2015,Poliomyelitis,under 1 year,Rivne,63.6
2015,Poliomyelitis,18 months,Rivne,78.2
2015,Poliomyelitis,6 years,Rivne,68.2
2015,Poliomyelitis,14 years,Rivne,78.6
2015,"Diphtheria, tetanus",under 1 year,Rivne,11.8
2015,Pertussis,under 1 year,Rivne,11.8
2015,Tetanus,under 1 year,Rivne,11.8
2015,"Diphtheria, tetanus",18 months,Rivne,27.2
2015,Pertussis,18 months,Rivne,27.2
2015,Tetanus,18 months,Rivne,27.2
2015,"Diphtheria, tetanus",6 years,Rivne,0.0
2015,Tetanus,6 years,Rivne,0.0
2015,"Diphtheria, tetanus",adults,Rivne,0.0
2015,Tetanus,adults,Rivne,0.0
2015,Rubella,1 year,Rivne,43.3
2015,"Measles, mumps, rubella",1 year,Rivne,43.3
2015,Mumps,1 year,Rivne,43.3
2015,Rubella,6 years,Rivne,58.0
2015,"Measles, mumps, rubella",6 years,Rivne,58.0
2015,Mumps,6 years,Rivne,58.0
2015,Hepatitis B,under 1 year,Rivne,10.1
2015,Tuberculosis,under 1 year,Sumy,67.9
2015,Poliomyelitis,under 1 year,Sumy,63.6
2015,Poliomyelitis,18 months,Sumy,84.3
2015,Poliomyelitis,6 years,Sumy,29.8
2015,Poliomyelitis,14 years,Sumy,24.1
2015,"Diphtheria, tetanus",under 1 year,Sumy,18.5
2015,Pertussis,under 1 year,Sumy,18.5
2015,Tetanus,under 1 year,Sumy,18.5
2015,"Diphtheria, tetanus",18 months,Sumy,19.5
2015,Pertussis,18 months,Sumy,19.5
2015,Tetanus,18 months,Sumy,19.5
2015,"Diphtheria, tetanus",6 years,Sumy,0.1
2015,Tetanus,6 years,Sumy,0.1
2015,"Diphtheria, tetanus",adults,Sumy,0.1
2015,Tetanus,adults,Sumy,0.1
2015,Rubella,1 year,Sumy,44.5
2015,"Measles, mumps, rubella",1 year,Sumy,44.5
2015,Mumps,1 year,Sumy,44.5
2015,Rubella,6 years,Sumy,25.6
2015,"Measles, mumps, rubella",6 years,Sumy,25.6
2015,Mumps,6 years,Sumy,25.6
2015,Hepatitis B,under 1 year,Sumy,14.7
2015,Tuberculosis,under 1 year,Ternopil,17.4
2015,Poliomyelitis,under 1 year,Ternopil,37.1
2015,Poliomyelitis,18 months,Ternopil,80.9
2015,Poliomyelitis,6 years,Ternopil,43.0
2015,Poliomyelitis,14 years,Ternopil,49.3
2015,"Diphtheria, tetanus",under 1 year,Ternopil,28.7
2015,Pertussis,under 1 year,Ternopil,28.7
2015,Tetanus,under 1 year,Ternopil,28.7
2015,"Diphtheria, tetanus",18 months,Ternopil,48.7
2015,Pertussis,18 months,Ternopil,48.7
2015,Tetanus,18 months,Ternopil,48.7
2015,"Diphtheria, tetanus",6 years,Ternopil,0.1
2015,Tetanus,6 years,Ternopil,0.1
2015,"Diphtheria, tetanus",adults,Ternopil,0.0
2015,Tetanus,adults,Ternopil,0.0
2015,Rubella,1 year,Ternopil,64.3
2015,"Measles, mumps, rubella",1 year,Ternopil,64.3
2015,Mumps,1 year,Ternopil,64.3
2015,Rubella,6 years,Ternopil,68.4
2015,"Measles, mumps, rubella",6 years,Ternopil,68.4
2015,Mumps,6 years,Ternopil,68.4
2015,Hepatitis B,under 1 year,Ternopil,16.6
2015,Tuberculosis,under 1 year,Kharkiv,73.0
2015,Poliomyelitis,under 1 year,Kharkiv,46.9
2015,Poliomyelitis,18 months,Kharkiv,99.3
2015,Poliomyelitis,6 years,Kharkiv,29.2
2015,Poliomyelitis,14 years,Kharkiv,34.9
2015,"Diphtheria, tetanus",under 1 year,Kharkiv,21.6
2015,Pertussis,under 1 year,Kharkiv,21.6
2015,Tetanus,under 1 year,Kharkiv,21.6
2015,"Diphtheria, tetanus",18 months,Kharkiv,57.8
2015,Pertussis,18 months,Kharkiv,57.8
2015,Tetanus,18 months,Kharkiv,57.8
2015,"Diphtheria, tetanus",6 years,Kharkiv,11.9
2015,Tetanus,6 years,Kharkiv,11.9
2015,"Diphtheria, tetanus",adults,Kharkiv,0.0
2015,Tetanus,adults,Kharkiv,0.0
2015,Rubella,1 year,Kharkiv,51.8
