Year,Region,Sex,Type of residence,Value
2019,reg_Kharkiv,,,76.3
2020,reg_Kharkiv,,,80.7
2021,reg_Kharkiv,,,81.2
2022,reg_Kharkiv,,,70.9
2023,reg_Kharkiv,,,
2015,reg_Kherson,,,72.7
2016,reg_Kherson,,,71.8
2017,reg_Kherson,,,71.9
2018,reg_Kherson,,,70.2
2019,reg_Kherson,,,72.1
2020,reg_Kherson,,,69.8
2021,reg_Kherson,,,71.8
2022,reg_Kherson,,,34.7
2023,reg_Kherson,,,
2015,reg_Khmelnytskiy,,,93.0
2016,reg_Khmelnytskiy,,,86.3
2017,reg_Khmelnytskiy,,,85.5
2018,reg_Khmelnytskiy,,,86.4
2019,reg_Khmelnytskiy,,,86.0
2020,reg_Khmelnytskiy,,,86.2
2021,reg_Khmelnytskiy,,,86.7
2022,reg_Khmelnytskiy,,,79.6
2023,reg_Khmelnytskiy,,,
2015,reg_Cherkasy,,,82.0
2016,reg_Cherkasy,,,81.7
2017,reg_Cherkasy,,,81.6
2018,reg_Cherkasy,,,79.7
2019,reg_Cherkasy,,,76.3
2020,reg_Cherkasy,,,74.6
2021,reg_Cherkasy,,,78.9
2022,reg_Cherkasy,,,73.1
2023,reg_Cherkasy,,,
2015,reg_Chernivtsi,,,76.6
2016,reg_Chernivtsi,,,72.8
2017,reg_Chernivtsi,,,75.0
2018,reg_Chernivtsi,,,72.7
2019,reg_Chernivtsi,,,71.8
2020,reg_Chernivtsi,,,71.5
2021,reg_Chernivtsi,,,71.8
2022,reg_Chernivtsi,,,66.1
2023,reg_Chernivtsi,,,
2015,reg_Chernihiv,,,80.9
2016,reg_Chernihiv,,,74.6
2017,reg_Chernihiv,,,79.2
2018,reg_Chernihiv,,,75.3
2019,reg_Chernihiv,,,74.4
2020,reg_Chernihiv,,,78.8
2021,reg_Chernihiv,,,75.8
2022,reg_Chernihiv,,,68.8
2023,reg_Chernihiv,,,
2015,reg_Kyiv_city,,,86.5
2016,reg_Kyiv_city,,,89.1
2017,reg_Kyiv_city,,,85.1
2018,reg_Kyiv_city,,,84.4
2019,reg_Kyiv_city,,,81.1
2020,reg_Kyiv_city,,,77.2
2021,reg_Kyiv_city,,,71.8
2022,reg_Kyiv_city,,,69.8
2023,reg_Kyiv_city,,,
2018,,women,,66.0
2019,,women,,69.3
2020,,women,,66.3
2021,,women,,71.9
2022,,women,,65.3
2023,,women,,
2018,,men,,73.9
2019,,men,,69.0
2020,,men,,67.1
2021,,men,,71.9
2022,,men,,65.1
2023,,men,,
2015,,,urban,77.4
2016,,,urban,76.8
2017,,,urban,76.4
2018,,,urban,76.3
2019,,,urban,78.8
2020,,,urban,85.7
2021,,,urban,83.3
2022,,,urban,75.2
2023,,,urban,
2015,,,rural,57.4
2016,,,rural,56.0
2017,,,rural,56.1
2018,,,rural,54.9
2019,,,rural,54.4
2020,,,rural,54.3
2021,,,rural,54.3
2022,,,rural,47.1
2023,,,rural,
