Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2019,growing of fibre crops,,,,
2020,growing of fibre crops,,,,
2021,growing of fibre crops,,,,23.8
2022,growing of fibre crops,,,,25.0
2023,growing of fibre crops,,,,38.9
2024,growing of fibre crops,,,,21.1
2015,growing of other non-perennial crops,,,,
2016,growing of other non-perennial crops,,,,
2017,growing of other non-perennial crops,,,,
2018,growing of other non-perennial crops,,,,
2019,growing of other non-perennial crops,,,,
2020,growing of other non-perennial crops,,,,
2021,growing of other non-perennial crops,,,,26.5
2022,growing of other non-perennial crops,,,,29.9
2023,growing of other non-perennial crops,,,,27.0
2024,growing of other non-perennial crops,,,,28.2
2015,growing of grapes,,,,
2016,growing of grapes,,,,
2017,growing of grapes,,,,
2018,growing of grapes,,,,
2019,growing of grapes,,,,
2020,growing of grapes,,,,
2021,growing of grapes,,,,19.7
2022,growing of grapes,,,,18.9
2023,growing of grapes,,,,21.6
2024,growing of grapes,,,,25.2
2015,growing of pome fruits and stone fruits,,,,
2016,growing of pome fruits and stone fruits,,,,
2017,growing of pome fruits and stone fruits,,,,
2018,growing of pome fruits and stone fruits,,,,
2019,growing of pome fruits and stone fruits,,,,
2020,growing of pome fruits and stone fruits,,,,
2021,growing of pome fruits and stone fruits,,,,20.8
2022,growing of pome fruits and stone fruits,,,,21.0
2023,growing of pome fruits and stone fruits,,,,20.3
2024,growing of pome fruits and stone fruits,,,,23.0
2015,growing of other tree and bush fruits and nuts,,,,
2016,growing of other tree and bush fruits and nuts,,,,
2017,growing of other tree and bush fruits and nuts,,,,
2018,growing of other tree and bush fruits and nuts,,,,
2019,growing of other tree and bush fruits and nuts,,,,
2020,growing of other tree and bush fruits and nuts,,,,
2021,growing of other tree and bush fruits and nuts,,,,18.1
2022,growing of other tree and bush fruits and nuts,,,,19.7
2023,growing of other tree and bush fruits and nuts,,,,22.6
2024,growing of other tree and bush fruits and nuts,,,,24.3
2015,growing of beverage crops,,,,
2016,growing of beverage crops,,,,
2017,growing of beverage crops,,,,
2018,growing of beverage crops,,,,
2019,growing of beverage crops,,,,
2020,growing of beverage crops,,,,
2021,growing of beverage crops,,,,
2022,growing of beverage crops,,,,
2023,growing of beverage crops,,,,
2024,growing of beverage crops,,,,
2015,"growing of spices, aromatic, drug and pharmaceutical crops",,,,
2016,"growing of spices, aromatic, drug and pharmaceutical crops",,,,
2017,"growing of spices, aromatic, drug and pharmaceutical crops",,,,
2018,"growing of spices, aromatic, drug and pharmaceutical crops",,,,
2019,"growing of spices, aromatic, drug and pharmaceutical crops",,,,
2020,"growing of spices, aromatic, drug and pharmaceutical crops",,,,
2021,"growing of spices, aromatic, drug and pharmaceutical crops",,,,18.9
2022,"growing of spices, aromatic, drug and pharmaceutical crops",,,,17.3
2023,"growing of spices, aromatic, drug and pharmaceutical crops",,,,22.0
2024,"growing of spices, aromatic, drug and pharmaceutical crops",,,,22.2
2015,growing of other perennial crops,,,,
2016,growing of other perennial crops,,,,
2017,growing of other perennial crops,,,,
2018,growing of other perennial crops,,,,
2019,growing of other perennial crops,,,,
2020,growing of other perennial crops,,,,
2021,growing of other perennial crops,,,,22.1
2022,growing of other perennial crops,,,,18.5
2023,growing of other perennial crops,,,,20.4
2024,growing of other perennial crops,,,,25.5
2015,plant propagation,,,,
2016,plant propagation,,,,
2017,plant propagation,,,,
2018,plant propagation,,,,
2019,plant propagation,,,,
2020,plant propagation,,,,
2021,plant propagation,,,,26.5
2022,plant propagation,,,,29.6
2023,plant propagation,,,,22.4
2024,plant propagation,,,,25.7
2015,raising of dairy cattle,,,,
2016,raising of dairy cattle,,,,
2017,raising of dairy cattle,,,,
2018,raising of dairy cattle,,,,
2019,raising of dairy cattle,,,,
2020,raising of dairy cattle,,,,
2021,raising of dairy cattle,,,,19.4
2022,raising of dairy cattle,,,,18.6
2023,raising of dairy cattle,,,,19.1
2024,raising of dairy cattle,,,,21.4
2015,raising of other cattle and buffaloes,,,,
2016,raising of other cattle and buffaloes,,,,
2017,raising of other cattle and buffaloes,,,,
2018,raising of other cattle and buffaloes,,,,
2019,raising of other cattle and buffaloes,,,,
2020,raising of other cattle and buffaloes,,,,
2021,raising of other cattle and buffaloes,,,,22.0
2022,raising of other cattle and buffaloes,,,,22.1
2023,raising of other cattle and buffaloes,,,,19.2
2024,raising of other cattle and buffaloes,,,,19.8
2015,raising of horses and other equines,,,,
2016,raising of horses and other equines,,,,
2017,raising of horses and other equines,,,,
2018,raising of horses and other equines,,,,
2019,raising of horses and other equines,,,,
2020,raising of horses and other equines,,,,
2021,raising of horses and other equines,,,,27.0
2022,raising of horses and other equines,,,,35.9
2023,raising of horses and other equines,,,,36.8
2024,raising of horses and other equines,,,,36.8
2015,raising of camels and camelids,,,,
2016,raising of camels and camelids,,,,
2017,raising of camels and camelids,,,,
2018,raising of camels and camelids,,,,
2019,raising of camels and camelids,,,,
2020,raising of camels and camelids,,,,
2021,raising of camels and camelids,,,,
2022,raising of camels and camelids,,,,
2023,raising of camels and camelids,,,,
2024,raising of camels and camelids,,,,
2015,raising of sheep and goats,,,,
2016,raising of sheep and goats,,,,
2017,raising of sheep and goats,,,,
2018,raising of sheep and goats,,,,
2019,raising of sheep and goats,,,,
2020,raising of sheep and goats,,,,
2021,raising of sheep and goats,,,,17.5
2022,raising of sheep and goats,,,,18.1
2023,raising of sheep and goats,,,,19.1
2024,raising of sheep and goats,,,,17.9
2015,raising of swine/pigs,,,,
2016,raising of swine/pigs,,,,
2017,raising of swine/pigs,,,,
2018,raising of swine/pigs,,,,
2019,raising of swine/pigs,,,,
2020,raising of swine/pigs,,,,
2021,raising of swine/pigs,,,,22.0
2022,raising of swine/pigs,,,,21.6
2023,raising of swine/pigs,,,,20.1
2024,raising of swine/pigs,,,,20.4
2015,raising of poultry,,,,
2016,raising of poultry,,,,
2017,raising of poultry,,,,
2018,raising of poultry,,,,
2019,raising of poultry,,,,
2020,raising of poultry,,,,
2021,raising of poultry,,,,23.3
2022,raising of poultry,,,,22.8
2023,raising of poultry,,,,21.9
2024,raising of poultry,,,,24.0
2015,raising of other animals,,,,
2016,raising of other animals,,,,
2017,raising of other animals,,,,
2018,raising of other animals,,,,
2019,raising of other animals,,,,
2020,raising of other animals,,,,
2021,raising of other animals,,,,22.6
2022,raising of other animals,,,,19.7
2023,raising of other animals,,,,23.7
2024,raising of other animals,,,,23.6
2015,mixed farming,,,,
2016,mixed farming,,,,
2017,mixed farming,,,,
2018,mixed farming,,,,
2019,mixed farming,,,,
2020,mixed farming,,,,
2021,mixed farming,,,,18.7
2022,mixed farming,,,,18.2
2023,mixed farming,,,,18.6
2024,mixed farming,,,,19.2
2015,support activities for crop production,,,,
2016,support activities for crop production,,,,
2017,support activities for crop production,,,,
2018,support activities for crop production,,,,
2019,support activities for crop production,,,,
2020,support activities for crop production,,,,
2021,support activities for crop production,,,,19.6
2022,support activities for crop production,,,,19.7
2023,support activities for crop production,,,,19.5
2024,support activities for crop production,,,,19.9
2015,support activities for animal production,,,,
2016,support activities for animal production,,,,
2017,support activities for animal production,,,,
2018,support activities for animal production,,,,
2019,support activities for animal production,,,,
2020,support activities for animal production,,,,
2021,support activities for animal production,,,,23.7
2022,support activities for animal production,,,,25.7
2023,support activities for animal production,,,,26.6
2024,support activities for animal production,,,,27.4
2015,post-harvest crop activities,,,,
2016,post-harvest crop activities,,,,
2017,post-harvest crop activities,,,,
2018,post-harvest crop activities,,,,
2019,post-harvest crop activities,,,,
2020,post-harvest crop activities,,,,
2021,post-harvest crop activities,,,,20.0
2022,post-harvest crop activities,,,,22.5
2023,post-harvest crop activities,,,,21.1
2024,post-harvest crop activities,,,,22.5
2015,seed processing for propagation,,,,
2016,seed processing for propagation,,,,
2017,seed processing for propagation,,,,
2018,seed processing for propagation,,,,
2019,seed processing for propagation,,,,
2020,seed processing for propagation,,,,
2021,seed processing for propagation,,,,16.7
2022,seed processing for propagation,,,,14.5
2023,seed processing for propagation,,,,19.3
2024,seed processing for propagation,,,,20.3
2015,"hunting, trapping and related service activities",,,,
2016,"hunting, trapping and related service activities",,,,
2017,"hunting, trapping and related service activities",,,,
2018,"hunting, trapping and related service activities",,,,
2019,"hunting, trapping and related service activities",,,,
2020,"hunting, trapping and related service activities",,,,
2021,"hunting, trapping and related service activities",,,,5.5
2022,"hunting, trapping and related service activities",,,,5.1
2023,"hunting, trapping and related service activities",,,,5.3
2024,"hunting, trapping and related service activities",,,,6.1
2015,silviculture and other forestry activities,,,,
2016,silviculture and other forestry activities,,,,
2017,silviculture and other forestry activities,,,,
2018,silviculture and other forestry activities,,,,
2019,silviculture and other forestry activities,,,,
2020,silviculture and other forestry activities,,,,
2021,silviculture and other forestry activities,,,,8.3
2022,silviculture and other forestry activities,,,,4.6
2023,silviculture and other forestry activities,,,,5.6
2024,silviculture and other forestry activities,,,,8.6
2015,logging,,,,
2016,logging,,,,
2017,logging,,,,
2018,logging,,,,
2019,logging,,,,
2020,logging,,,,
2021,logging,,,,8.4
2022,logging,,,,7.7
2023,logging,,,,12.6
2024,logging,,,,14.3
2015,gathering of wild growing non-wood products,,,,
2016,gathering of wild growing non-wood products,,,,
2017,gathering of wild growing non-wood products,,,,
2018,gathering of wild growing non-wood products,,,,
2019,gathering of wild growing non-wood products,,,,
2020,gathering of wild growing non-wood products,,,,
2021,gathering of wild growing non-wood products,,,,25.0
2022,gathering of wild growing non-wood products,,,,30.0
2023,gathering of wild growing non-wood products,,,,31.2
2024,gathering of wild growing non-wood products,,,,28.6
2015,support services to forestry,,,,
2016,support services to forestry,,,,
2017,support services to forestry,,,,
2018,support services to forestry,,,,
2019,support services to forestry,,,,
2020,support services to forestry,,,,
2021,support services to forestry,,,,12.1
2022,support services to forestry,,,,14.3
2023,support services to forestry,,,,14.8
2024,support services to forestry,,,,14.6
2015,marine fishing,,,,
2016,marine fishing,,,,
2017,marine fishing,,,,
2018,marine fishing,,,,
2019,marine fishing,,,,
2020,marine fishing,,,,
2021,marine fishing,,,,12.4
2022,marine fishing,,,,16.7
2023,marine fishing,,,,10.5
2024,marine fishing,,,,19.5
2015,freshwater fishing,,,,
2016,freshwater fishing,,,,
2017,freshwater fishing,,,,
2018,freshwater fishing,,,,
2019,freshwater fishing,,,,
2020,freshwater fishing,,,,
2021,freshwater fishing,,,,17.8
2022,freshwater fishing,,,,18.2
2023,freshwater fishing,,,,19.2
2024,freshwater fishing,,,,23.4
2015,marine aquaculture,,,,
2016,marine aquaculture,,,,
2017,marine aquaculture,,,,
2018,marine aquaculture,,,,
2019,marine aquaculture,,,,
2020,marine aquaculture,,,,
2021,marine aquaculture,,,,36.4
2022,marine aquaculture,,,,35.0
2023,marine aquaculture,,,,
2024,marine aquaculture,,,,33.3
2015,freshwater aquaculture,,,,
2016,freshwater aquaculture,,,,
2017,freshwater aquaculture,,,,
2018,freshwater aquaculture,,,,
2019,freshwater aquaculture,,,,
2020,freshwater aquaculture,,,,
2021,freshwater aquaculture,,,,19.3
2022,freshwater aquaculture,,,,19.5
2023,freshwater aquaculture,,,,18.9
2024,freshwater aquaculture,,,,19.7
2015,mining of hard coal,,,,
2016,mining of hard coal,,,,
2017,mining of hard coal,,,,
2018,mining of hard coal,,,,
2019,mining of hard coal,,,,
2020,mining of hard coal,,,,
2021,mining of hard coal,,,,13.7
2022,mining of hard coal,,,,13.0
2023,mining of hard coal,,,,7.0
2024,mining of hard coal,,,,7.1
2015,mining of lignite,,,,
2016,mining of lignite,,,,
2017,mining of lignite,,,,
2018,mining of lignite,,,,
2019,mining of lignite,,,,
2020,mining of lignite,,,,
2021,mining of lignite,,,,20.0
2022,mining of lignite,,,,
2023,mining of lignite,,,,
2024,mining of lignite,,,,
2015,extraction of crude petroleum,,,,
2016,extraction of crude petroleum,,,,
2017,extraction of crude petroleum,,,,
2018,extraction of crude petroleum,,,,
2019,extraction of crude petroleum,,,,
2020,extraction of crude petroleum,,,,
2021,extraction of crude petroleum,,,,24.2
2022,extraction of crude petroleum,,,,20.8
2023,extraction of crude petroleum,,,,22.4
2024,extraction of crude petroleum,,,,25.5
2015,extraction of natural gas,,,,
2016,extraction of natural gas,,,,
2017,extraction of natural gas,,,,
2018,extraction of natural gas,,,,
2019,extraction of natural gas,,,,
2020,extraction of natural gas,,,,
2021,extraction of natural gas,,,,20.0
2022,extraction of natural gas,,,,15.5
2023,extraction of natural gas,,,,15.6
2024,extraction of natural gas,,,,15.4
2015,mining of iron ores,,,,
2016,mining of iron ores,,,,
2017,mining of iron ores,,,,
2018,mining of iron ores,,,,
2019,mining of iron ores,,,,
2020,mining of iron ores,,,,
2021,mining of iron ores,,,,20.8
2022,mining of iron ores,,,,22.7
2023,mining of iron ores,,,,18.2
2024,mining of iron ores,,,,20.0
2015,mining of uranium and thorium ores,,,,
2016,mining of uranium and thorium ores,,,,
2017,mining of uranium and thorium ores,,,,
2018,mining of uranium and thorium ores,,,,
2019,mining of uranium and thorium ores,,,,
2020,mining of uranium and thorium ores,,,,
2021,mining of uranium and thorium ores,,,,
2022,mining of uranium and thorium ores,,,,
2023,mining of uranium and thorium ores,,,,
2024,mining of uranium and thorium ores,,,,
2015,mining of other non-ferrous metal ores,,,,
2016,mining of other non-ferrous metal ores,,,,
2017,mining of other non-ferrous metal ores,,,,
2018,mining of other non-ferrous metal ores,,,,
2019,mining of other non-ferrous metal ores,,,,
2020,mining of other non-ferrous metal ores,,,,
2021,mining of other non-ferrous metal ores,,,,19.6
2022,mining of other non-ferrous metal ores,,,,18.4
2023,mining of other non-ferrous metal ores,,,,12.8
2024,mining of other non-ferrous metal ores,,,,9.3
2015,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,
2016,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,
2017,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,
2018,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,
2019,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,
2020,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,
2021,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,15.7
2022,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,15.3
2023,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,14.9
2024,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,16.7
2015,operation of gravel and sand pits; mining of clays and kaolin,,,,
2016,operation of gravel and sand pits; mining of clays and kaolin,,,,
2017,operation of gravel and sand pits; mining of clays and kaolin,,,,
2018,operation of gravel and sand pits; mining of clays and kaolin,,,,
2019,operation of gravel and sand pits; mining of clays and kaolin,,,,
2020,operation of gravel and sand pits; mining of clays and kaolin,,,,
2021,operation of gravel and sand pits; mining of clays and kaolin,,,,11.6
2022,operation of gravel and sand pits; mining of clays and kaolin,,,,10.8
2023,operation of gravel and sand pits; mining of clays and kaolin,,,,11.9
2024,operation of gravel and sand pits; mining of clays and kaolin,,,,14.3
2015,mining of chemical and fertiliser minerals,,,,
2016,mining of chemical and fertiliser minerals,,,,
2017,mining of chemical and fertiliser minerals,,,,
2018,mining of chemical and fertiliser minerals,,,,
2019,mining of chemical and fertiliser minerals,,,,
2020,mining of chemical and fertiliser minerals,,,,
2021,mining of chemical and fertiliser minerals,,,,11.8
2022,mining of chemical and fertiliser minerals,,,,15.0
2023,mining of chemical and fertiliser minerals,,,,16.7
2024,mining of chemical and fertiliser minerals,,,,12.1
2015,extraction of peat,,,,
2016,extraction of peat,,,,
2017,extraction of peat,,,,
2018,extraction of peat,,,,
2019,extraction of peat,,,,
2020,extraction of peat,,,,
2021,extraction of peat,,,,15.9
2022,extraction of peat,,,,12.5
2023,extraction of peat,,,,20.0
2024,extraction of peat,,,,15.2
2015,extraction of salt,,,,
2016,extraction of salt,,,,
2017,extraction of salt,,,,
2018,extraction of salt,,,,
2019,extraction of salt,,,,
2020,extraction of salt,,,,
2021,extraction of salt,,,,16.7
2022,extraction of salt,,,,10.0
2023,extraction of salt,,,,
2024,extraction of salt,,,,12.5
2015,other mining and quarrying n.e.c.,,,,
2016,other mining and quarrying n.e.c.,,,,
2017,other mining and quarrying n.e.c.,,,,
2018,other mining and quarrying n.e.c.,,,,
2019,other mining and quarrying n.e.c.,,,,
2020,other mining and quarrying n.e.c.,,,,
2021,other mining and quarrying n.e.c.,,,,8.7
2022,other mining and quarrying n.e.c.,,,,10.9
2023,other mining and quarrying n.e.c.,,,,10.9
2024,other mining and quarrying n.e.c.,,,,16.4
2015,mining support service activities,,,,
2016,mining support service activities,,,,
2017,mining support service activities,,,,
2018,mining support service activities,,,,
2019,mining support service activities,,,,
2020,mining support service activities,,,,
2021,mining support service activities,,,,17.0
2022,mining support service activities,,,,20.2
2023,mining support service activities,,,,15.8
2024,mining support service activities,,,,16.0
2015,support activities for other mining and quarrying,,,,
2016,support activities for other mining and quarrying,,,,
2017,support activities for other mining and quarrying,,,,
2018,support activities for other mining and quarrying,,,,
2019,support activities for other mining and quarrying,,,,
2020,support activities for other mining and quarrying,,,,
2021,support activities for other mining and quarrying,,,,16.42
2022,support activities for other mining and quarrying,,,,16.9
2023,support activities for other mining and quarrying,,,,12.5
2024,support activities for other mining and quarrying,,,,10.7
2015,processing and preserving of meat,,,,
2016,processing and preserving of meat,,,,
2017,processing and preserving of meat,,,,
2018,processing and preserving of meat,,,,
2019,processing and preserving of meat,,,,
2020,processing and preserving of meat,,,,
2021,processing and preserving of meat,,,,16.6
2022,processing and preserving of meat,,,,17.6
2023,processing and preserving of meat,,,,16.4
2024,processing and preserving of meat,,,,19.5
2015,processing and preserving of poultry meat,,,,
2016,processing and preserving of poultry meat,,,,
2017,processing and preserving of poultry meat,,,,
2018,processing and preserving of poultry meat,,,,
2019,processing and preserving of poultry meat,,,,
2020,processing and preserving of poultry meat,,,,
2021,processing and preserving of poultry meat,,,,14.3
2022,processing and preserving of poultry meat,,,,7.7
2023,processing and preserving of poultry meat,,,,13.0
2024,processing and preserving of poultry meat,,,,15.3
2015,production of meat and poultry meat products,,,,
2016,production of meat and poultry meat products,,,,
2017,production of meat and poultry meat products,,,,
2018,production of meat and poultry meat products,,,,
2019,production of meat and poultry meat products,,,,
2020,production of meat and poultry meat products,,,,
2021,production of meat and poultry meat products,,,,23.3
2022,production of meat and poultry meat products,,,,20.9
2023,production of meat and poultry meat products,,,,24.4
2024,production of meat and poultry meat products,,,,22.4
2015,"processing and preserving of fish, crustaceans and molluscs",,,,
2016,"processing and preserving of fish, crustaceans and molluscs",,,,
2017,"processing and preserving of fish, crustaceans and molluscs",,,,
2018,"processing and preserving of fish, crustaceans and molluscs",,,,
2019,"processing and preserving of fish, crustaceans and molluscs",,,,
2020,"processing and preserving of fish, crustaceans and molluscs",,,,
2021,"processing and preserving of fish, crustaceans and molluscs",,,,23.1
2022,"processing and preserving of fish, crustaceans and molluscs",,,,24.0
2023,"processing and preserving of fish, crustaceans and molluscs",,,,23.9
2024,"processing and preserving of fish, crustaceans and molluscs",,,,25.9
2015,processing and preserving of potatoes,,,,
2016,processing and preserving of potatoes,,,,
2017,processing and preserving of potatoes,,,,
2018,processing and preserving of potatoes,,,,
2019,processing and preserving of potatoes,,,,
2020,processing and preserving of potatoes,,,,
2021,processing and preserving of potatoes,,,,20.0
2022,processing and preserving of potatoes,,,,18.2
2023,processing and preserving of potatoes,,,,18.2
2024,processing and preserving of potatoes,,,,23.1
2015,manufacture of fruit and vegetable juice,,,,
2016,manufacture of fruit and vegetable juice,,,,
2017,manufacture of fruit and vegetable juice,,,,
2018,manufacture of fruit and vegetable juice,,,,
2019,manufacture of fruit and vegetable juice,,,,
2020,manufacture of fruit and vegetable juice,,,,
2021,manufacture of fruit and vegetable juice,,,,16.0
2022,manufacture of fruit and vegetable juice,,,,19.7
2023,manufacture of fruit and vegetable juice,,,,18.6
2024,manufacture of fruit and vegetable juice,,,,24.7
2015,other processing and preserving of fruit and vegetables,,,,
2016,other processing and preserving of fruit and vegetables,,,,
2017,other processing and preserving of fruit and vegetables,,,,
2018,other processing and preserving of fruit and vegetables,,,,
2019,other processing and preserving of fruit and vegetables,,,,
2020,other processing and preserving of fruit and vegetables,,,,
2021,other processing and preserving of fruit and vegetables,,,,29.5
2022,other processing and preserving of fruit and vegetables,,,,27.5
2023,other processing and preserving of fruit and vegetables,,,,27.7
2024,other processing and preserving of fruit and vegetables,,,,30.5
2015,manufacture of vegetable and animal oils and fats,,,,
2016,manufacture of vegetable and animal oils and fats,,,,
2017,manufacture of vegetable and animal oils and fats,,,,
2018,manufacture of vegetable and animal oils and fats,,,,
2019,manufacture of vegetable and animal oils and fats,,,,
2020,manufacture of vegetable and animal oils and fats,,,,
2021,manufacture of vegetable and animal oils and fats,,,,20.0
2022,manufacture of vegetable and animal oils and fats,,,,20.9
2023,manufacture of vegetable and animal oils and fats,,,,21.4
2024,manufacture of vegetable and animal oils and fats,,,,21.2
2015,manufacture of margarine and similar edible fats,,,,
2016,manufacture of margarine and similar edible fats,,,,
2017,manufacture of margarine and similar edible fats,,,,
2018,manufacture of margarine and similar edible fats,,,,
2019,manufacture of margarine and similar edible fats,,,,
2020,manufacture of margarine and similar edible fats,,,,
2021,manufacture of margarine and similar edible fats,,,,24.1
2022,manufacture of margarine and similar edible fats,,,,24.0
2023,manufacture of margarine and similar edible fats,,,,25.0
2024,manufacture of margarine and similar edible fats,,,,28.6
2015,operation of dairies and cheese making,,,,
2016,operation of dairies and cheese making,,,,
2017,operation of dairies and cheese making,,,,
2018,operation of dairies and cheese making,,,,
2019,operation of dairies and cheese making,,,,
2020,operation of dairies and cheese making,,,,
2021,operation of dairies and cheese making,,,,25.9
2022,operation of dairies and cheese making,,,,25.1
2023,operation of dairies and cheese making,,,,24.4
2024,operation of dairies and cheese making,,,,28.1
2015,manufacture of ice cream,,,,
2016,manufacture of ice cream,,,,
2017,manufacture of ice cream,,,,
2018,manufacture of ice cream,,,,
2019,manufacture of ice cream,,,,
2020,manufacture of ice cream,,,,
2021,manufacture of ice cream,,,,29.0
2022,manufacture of ice cream,,,,35.3
2023,manufacture of ice cream,,,,28.9
2024,manufacture of ice cream,,,,34.0
2015,manufacture of grain mill products,,,,
2016,manufacture of grain mill products,,,,
2017,manufacture of grain mill products,,,,
2018,manufacture of grain mill products,,,,
2019,manufacture of grain mill products,,,,
2020,manufacture of grain mill products,,,,
2021,manufacture of grain mill products,,,,24.1
2022,manufacture of grain mill products,,,,22.3
2023,manufacture of grain mill products,,,,23.7
2024,manufacture of grain mill products,,,,25.2
2015,manufacture of starches and starch products,,,,
2016,manufacture of starches and starch products,,,,
2017,manufacture of starches and starch products,,,,
2018,manufacture of starches and starch products,,,,
2019,manufacture of starches and starch products,,,,
2020,manufacture of starches and starch products,,,,
2021,manufacture of starches and starch products,,,,4.4
2022,manufacture of starches and starch products,,,,4.5
2023,manufacture of starches and starch products,,,,4.8
2024,manufacture of starches and starch products,,,,4.8
2015,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,
2016,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,
2017,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,
2018,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,
2019,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,
2020,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,
2021,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,34.3
2022,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,33.5
2023,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,34.2
2024,manufacture of bread; manufacture of fresh pastry goods and cakes,,,,35.9
2015,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,
2016,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,
2017,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,
2018,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,
2019,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,
2020,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,
2021,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,30.0
2022,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,30.1
2023,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,35.0
2024,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,35.2
2015,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2016,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2017,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2018,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2019,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2020,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2021,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,27.7
2022,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,32.8
2023,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,27.0
2024,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,31.1
2015,manufacture of sugar,,,,
2016,manufacture of sugar,,,,
2017,manufacture of sugar,,,,
2018,manufacture of sugar,,,,
2019,manufacture of sugar,,,,
2020,manufacture of sugar,,,,
2021,manufacture of sugar,,,,14.8
2022,manufacture of sugar,,,,9.8
2023,manufacture of sugar,,,,14.6
