Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Value
2022,Розведення верблюдів та інших тварин родини верблюдячих,,,50.0
2023,Розведення верблюдів та інших тварин родини верблюдячих,,,
2024,Розведення верблюдів та інших тварин родини верблюдячих,,,
2025,Розведення верблюдів та інших тварин родини верблюдячих,,,
2016,Розведення овець і кіз,,,
2017,Розведення овець і кіз,,,
2018,Розведення овець і кіз,,,
2019,Розведення овець і кіз,,,
2020,Розведення овець і кіз,,,
2021,Розведення овець і кіз,,,
2022,Розведення овець і кіз,,,19.6
2023,Розведення овець і кіз,,,19.9
2024,Розведення овець і кіз,,,20.5
2025,Розведення овець і кіз,,,21.1
2016,Розведення свиней,,,
2017,Розведення свиней,,,
2018,Розведення свиней,,,
2019,Розведення свиней,,,
2020,Розведення свиней,,,
2021,Розведення свиней,,,
2022,Розведення свиней,,,23.7
2023,Розведення свиней,,,23.6
2024,Розведення свиней,,,23.3
2025,Розведення свиней,,,23.2
2016,Розведення свійської птиці,,,
2017,Розведення свійської птиці,,,
2018,Розведення свійської птиці,,,
2019,Розведення свійської птиці,,,
2020,Розведення свійської птиці,,,
2021,Розведення свійської птиці,,,
2022,Розведення свійської птиці,,,22.2
2023,Розведення свійської птиці,,,22.4
2024,Розведення свійської птиці,,,22.2
2025,Розведення свійської птиці,,,23.7
2016,Розведення інших тварин,,,
2017,Розведення інших тварин,,,
2018,Розведення інших тварин,,,
2019,Розведення інших тварин,,,
2020,Розведення інших тварин,,,
2021,Розведення інших тварин,,,
2022,Розведення інших тварин,,,19.8
2023,Розведення інших тварин,,,19.7
2024,Розведення інших тварин,,,20.6
2025,Розведення інших тварин,,,20.9
2016,Змішане сільське господарство,,,
2017,Змішане сільське господарство,,,
2018,Змішане сільське господарство,,,
2019,Змішане сільське господарство,,,
2020,Змішане сільське господарство,,,
2021,Змішане сільське господарство,,,
2022,Змішане сільське господарство,,,20.2
2023,Змішане сільське господарство,,,20.4
2024,Змішане сільське господарство,,,20.4
2025,Змішане сільське господарство,,,21.1
2016,Допоміжна діяльність у рослинництві,,,
2017,Допоміжна діяльність у рослинництві,,,
2018,Допоміжна діяльність у рослинництві,,,
2019,Допоміжна діяльність у рослинництві,,,
2020,Допоміжна діяльність у рослинництві,,,
2021,Допоміжна діяльність у рослинництві,,,
2022,Допоміжна діяльність у рослинництві,,,21.0
2023,Допоміжна діяльність у рослинництві,,,21.1
2024,Допоміжна діяльність у рослинництві,,,20.7
2025,Допоміжна діяльність у рослинництві,,,20.9
2016,Допоміжна діяльність у тваринництві,,,
2017,Допоміжна діяльність у тваринництві,,,
2018,Допоміжна діяльність у тваринництві,,,
2019,Допоміжна діяльність у тваринництві,,,
2020,Допоміжна діяльність у тваринництві,,,
2021,Допоміжна діяльність у тваринництві,,,
2022,Допоміжна діяльність у тваринництві,,,29.3
2023,Допоміжна діяльність у тваринництві,,,30.6
2024,Допоміжна діяльність у тваринництві,,,30.2
2025,Допоміжна діяльність у тваринництві,,,31.0
2016,Післяурожайна діяльність,,,
2017,Післяурожайна діяльність,,,
2018,Післяурожайна діяльність,,,
2019,Післяурожайна діяльність,,,
2020,Післяурожайна діяльність,,,
2021,Післяурожайна діяльність,,,
2022,Післяурожайна діяльність,,,19.8
2023,Післяурожайна діяльність,,,19.9
2024,Післяурожайна діяльність,,,20.1
2025,Післяурожайна діяльність,,,21.1
2016,Оброблення насіння для відтворення,,,
2017,Оброблення насіння для відтворення,,,
2018,Оброблення насіння для відтворення,,,
2019,Оброблення насіння для відтворення,,,
2020,Оброблення насіння для відтворення,,,
2021,Оброблення насіння для відтворення,,,
2022,Оброблення насіння для відтворення,,,21.7
2023,Оброблення насіння для відтворення,,,22.3
2024,Оброблення насіння для відтворення,,,20.5
2025,Оброблення насіння для відтворення,,,21.7
2016,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2017,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2018,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2019,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2020,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2021,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2022,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,7.2
2023,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,7.1
2024,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,7.3
2025,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,7.6
2016,Лісівництво та інша діяльність у лісовому господарстві,,,
2017,Лісівництво та інша діяльність у лісовому господарстві,,,
2018,Лісівництво та інша діяльність у лісовому господарстві,,,
2019,Лісівництво та інша діяльність у лісовому господарстві,,,
2020,Лісівництво та інша діяльність у лісовому господарстві,,,
2021,Лісівництво та інша діяльність у лісовому господарстві,,,
2022,Лісівництво та інша діяльність у лісовому господарстві,,,10.3
2023,Лісівництво та інша діяльність у лісовому господарстві,,,10.1
2024,Лісівництво та інша діяльність у лісовому господарстві,,,11.5
2025,Лісівництво та інша діяльність у лісовому господарстві,,,13.9
2016,Лісозаготівлі,,,
2017,Лісозаготівлі,,,
2018,Лісозаготівлі,,,
2019,Лісозаготівлі,,,
2020,Лісозаготівлі,,,
2021,Лісозаготівлі,,,
2022,Лісозаготівлі,,,15.3
2023,Лісозаготівлі,,,15.1
2024,Лісозаготівлі,,,15.5
2025,Лісозаготівлі,,,16.0
2016,Збирання дикорослих недеревних продуктів,,,
2017,Збирання дикорослих недеревних продуктів,,,
2018,Збирання дикорослих недеревних продуктів,,,
2019,Збирання дикорослих недеревних продуктів,,,
2020,Збирання дикорослих недеревних продуктів,,,
2021,Збирання дикорослих недеревних продуктів,,,
2022,Збирання дикорослих недеревних продуктів,,,23.6
2023,Збирання дикорослих недеревних продуктів,,,23.0
2024,Збирання дикорослих недеревних продуктів,,,24.0
2025,Збирання дикорослих недеревних продуктів,,,24.7
2016,Надання допоміжних послуг у лісовому господарстві,,,
2017,Надання допоміжних послуг у лісовому господарстві,,,
2018,Надання допоміжних послуг у лісовому господарстві,,,
2019,Надання допоміжних послуг у лісовому господарстві,,,
2020,Надання допоміжних послуг у лісовому господарстві,,,
2021,Надання допоміжних послуг у лісовому господарстві,,,
2022,Надання допоміжних послуг у лісовому господарстві,,,7.4
2023,Надання допоміжних послуг у лісовому господарстві,,,8.4
2024,Надання допоміжних послуг у лісовому господарстві,,,10.0
2025,Надання допоміжних послуг у лісовому господарстві,,,12.4
2016,Морське рибальство,,,
2017,Морське рибальство,,,
2018,Морське рибальство,,,
2019,Морське рибальство,,,
2020,Морське рибальство,,,
2021,Морське рибальство,,,
2022,Морське рибальство,,,18.1
2023,Морське рибальство,,,17.9
2024,Морське рибальство,,,17.6
2025,Морське рибальство,,,21.2
2016,Прісноводне рибальство,,,
2017,Прісноводне рибальство,,,
2018,Прісноводне рибальство,,,
2019,Прісноводне рибальство,,,
2020,Прісноводне рибальство,,,
2021,Прісноводне рибальство,,,
2022,Прісноводне рибальство,,,18.2
2023,Прісноводне рибальство,,,18.7
2024,Прісноводне рибальство,,,19.0
2025,Прісноводне рибальство,,,19.6
2016,Морське рибництво (аквакультура),,,
2017,Морське рибництво (аквакультура),,,
2018,Морське рибництво (аквакультура),,,
2019,Морське рибництво (аквакультура),,,
2020,Морське рибництво (аквакультура),,,
2021,Морське рибництво (аквакультура),,,
2022,Морське рибництво (аквакультура),,,29.5
2023,Морське рибництво (аквакультура),,,27.7
2024,Морське рибництво (аквакультура),,,30.2
2025,Морське рибництво (аквакультура),,,30.9
2016,Прісноводне рибництво (аквакультура),,,
2017,Прісноводне рибництво (аквакультура),,,
2018,Прісноводне рибництво (аквакультура),,,
2019,Прісноводне рибництво (аквакультура),,,
2020,Прісноводне рибництво (аквакультура),,,
2021,Прісноводне рибництво (аквакультура),,,
2022,Прісноводне рибництво (аквакультура),,,17.7
2023,Прісноводне рибництво (аквакультура),,,17.7
2024,Прісноводне рибництво (аквакультура),,,18.1
2025,Прісноводне рибництво (аквакультура),,,18.9
2016,Добування кам'яного вугілля,,,
2017,Добування кам'яного вугілля,,,
2018,Добування кам'яного вугілля,,,
2019,Добування кам'яного вугілля,,,
2020,Добування кам'яного вугілля,,,
2021,Добування кам'яного вугілля,,,
2022,Добування кам'яного вугілля,,,9.6
2023,Добування кам'яного вугілля,,,9.2
2024,Добування кам'яного вугілля,,,9.0
2025,Добування кам'яного вугілля,,,9.1
2016,Добування бурого вугілля,,,
2017,Добування бурого вугілля,,,
2018,Добування бурого вугілля,,,
2019,Добування бурого вугілля,,,
2020,Добування бурого вугілля,,,
2021,Добування бурого вугілля,,,
2022,Добування бурого вугілля,,,6.7
2023,Добування бурого вугілля,,,6.3
2024,Добування бурого вугілля,,,5.6
2025,Добування бурого вугілля,,,5.6
2016,Добування сирої нафти,,,
2017,Добування сирої нафти,,,
2018,Добування сирої нафти,,,
2019,Добування сирої нафти,,,
2020,Добування сирої нафти,,,
2021,Добування сирої нафти,,,
2022,Добування сирої нафти,,,14.3
2023,Добування сирої нафти,,,14.0
2024,Добування сирої нафти,,,15.8
2025,Добування сирої нафти,,,15.9
2016,Добування природного газу,,,
2017,Добування природного газу,,,
2018,Добування природного газу,,,
2019,Добування природного газу,,,
2020,Добування природного газу,,,
2021,Добування природного газу,,,
2022,Добування природного газу,,,11.1
2023,Добування природного газу,,,10.5
2024,Добування природного газу,,,10.7
2025,Добування природного газу,,,12.2
2016,Добування залізних руд,,,
2017,Добування залізних руд,,,
2018,Добування залізних руд,,,
2019,Добування залізних руд,,,
2020,Добування залізних руд,,,
2021,Добування залізних руд,,,
2022,Добування залізних руд,,,23.9
2023,Добування залізних руд,,,26.7
2024,Добування залізних руд,,,23.9
2025,Добування залізних руд,,,23.4
2016,Добування уранових і торієвих руд,,,
2017,Добування уранових і торієвих руд,,,
2018,Добування уранових і торієвих руд,,,
2019,Добування уранових і торієвих руд,,,
2020,Добування уранових і торієвих руд,,,
2021,Добування уранових і торієвих руд,,,
2022,Добування уранових і торієвих руд,,,
2023,Добування уранових і торієвих руд,,,
2024,Добування уранових і торієвих руд,,,
2025,Добування уранових і торієвих руд,,,20.0
2016,Добування руд інших кольорових металів,,,
2017,Добування руд інших кольорових металів,,,
2018,Добування руд інших кольорових металів,,,
2019,Добування руд інших кольорових металів,,,
2020,Добування руд інших кольорових металів,,,
2021,Добування руд інших кольорових металів,,,
2022,Добування руд інших кольорових металів,,,17.7
2023,Добування руд інших кольорових металів,,,18.3
2024,Добування руд інших кольорових металів,,,11.8
2025,Добування руд інших кольорових металів,,,11.8
2016,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2017,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2018,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2019,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2020,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2021,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2022,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,15.0
2023,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,14.4
2024,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,14.9
2025,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,15.3
2016,"Добування піску, гравію, глин і каоліну",,,
2017,"Добування піску, гравію, глин і каоліну",,,
2018,"Добування піску, гравію, глин і каоліну",,,
2019,"Добування піску, гравію, глин і каоліну",,,
2020,"Добування піску, гравію, глин і каоліну",,,
2021,"Добування піску, гравію, глин і каоліну",,,
2022,"Добування піску, гравію, глин і каоліну",,,12.9
2023,"Добування піску, гравію, глин і каоліну",,,13.9
2024,"Добування піску, гравію, глин і каоліну",,,15.1
2025,"Добування піску, гравію, глин і каоліну",,,15.6
2016,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2017,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2018,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2019,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2020,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2021,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2022,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,13.6
2023,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,12.6
2024,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,11.0
2025,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,11.7
2016,Добування торфу,,,
2017,Добування торфу,,,
2018,Добування торфу,,,
2019,Добування торфу,,,
2020,Добування торфу,,,
2021,Добування торфу,,,
2022,Добування торфу,,,14.6
2023,Добування торфу,,,14.7
2024,Добування торфу,,,13.7
2025,Добування торфу,,,13.9
2016,Добування солі,,,
2017,Добування солі,,,
2018,Добування солі,,,
2019,Добування солі,,,
2020,Добування солі,,,
2021,Добування солі,,,
2022,Добування солі,,,15.4
2023,Добування солі,,,13.3
2024,Добування солі,,,12.5
2025,Добування солі,,,17.1
2016,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2017,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2018,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2019,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2020,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2021,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2022,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,12.0
2023,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,12.4
2024,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,15.3
2025,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,15.6
2016,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2017,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2018,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2019,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2020,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2021,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2022,Надання допоміжних послуг у сфері добування нафти та природного газу,,,18.5
2023,Надання допоміжних послуг у сфері добування нафти та природного газу,,,18.6
2024,Надання допоміжних послуг у сфері добування нафти та природного газу,,,16.5
2025,Надання допоміжних послуг у сфері добування нафти та природного газу,,,17.1
2016,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2017,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2018,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2019,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2020,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2021,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2022,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,14.7
2023,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,13.1
2024,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,11.7
2025,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,13.3
2016,Виробництво м'яса,,,
2017,Виробництво м'яса,,,
2018,Виробництво м'яса,,,
2019,Виробництво м'яса,,,
2020,Виробництво м'яса,,,
2021,Виробництво м'яса,,,
2022,Виробництво м'яса,,,20.7
2023,Виробництво м'яса,,,21.0
2024,Виробництво м'яса,,,20.1
2025,Виробництво м'яса,,,22.0
2016,Виробництво м'яса свійської птиці,,,
2017,Виробництво м'яса свійської птиці,,,
2018,Виробництво м'яса свійської птиці,,,
2019,Виробництво м'яса свійської птиці,,,
2020,Виробництво м'яса свійської птиці,,,
2021,Виробництво м'яса свійської птиці,,,
2022,Виробництво м'яса свійської птиці,,,16.5
2023,Виробництво м'яса свійської птиці,,,15.8
2024,Виробництво м'яса свійської птиці,,,18.6
2025,Виробництво м'яса свійської птиці,,,20.2
2016,Виробництво м'ясних продуктів,,,
2017,Виробництво м'ясних продуктів,,,
