Year,Місцевість проживання,Область,Value
2019,,Рівненська,17.0
2019,,Сумська,17.9
2019,,Тернопільська,17.4
2019,,Харківська,19.1
2019,,Херсонська,22.4
2019,,Хмельницька,19.7
2019,,Черкаська,19.4
2019,,Чернівецька,18.5
2019,,Чернігівська,17.7
2019,,м. Київ,12.0
2019,,м. Севастополь,12.0
2020,,Україна,16.3
2020,міська,Україна,21.1
2020,сільська,Україна,7.6
2020,,Автономна Республіка Крим,
2020,,Вінницька,21.4
2020,,Волинська,12.3
2020,,Волинська,12.3
2020,,Дніпропетровська,20.6
2020,,Донецька,
2020,,Житомирська,18.5
2020,,Закарпатська,13.5
2020,,Запорізька,19.2
2020,,Івано-Франківська,15.6
2020,,Київська,18.6
2020,,Кіровоградська,19.1
2020,,Луганська,
2020,,Львівська,14.8
2020,,Миколаївська,20.4
2020,,Одеська,18.7
2020,,Полтавська,17.8
2020,,Рівненська,15.4
2020,,Сумська,16.5
2020,,Тернопільська,15.9
2020,,Харківська,17.4
2020,,Херсонська,20.8
2020,,Хмельницька,18.3
2020,,Черкаська,17.9
2020,,Чернівецька,17.1
2020,,Чернігівська,16.2
2020,,м. Київ,11.1
2020,,м. Севастополь,1.0
2021,,Україна,18.1
2021,міська,Україна,23.4
2021,сільська,Україна,8.7
2021,,Автономна Республіка Крим,
2021,,Вінницька,24.7
2021,,Волинська,13.7
2021,,Дніпропетровська,22.2
2021,,Донецька,
2021,,Житомирська,20.2
2021,,Закарпатська,14.8
2021,,Запорізька,21.2
2021,,Івано-Франківська,18.3
2021,,Київська,21.1
2021,,Кіровоградська,22.0
2021,,Луганська,
2021,,Львівська,16.9
2021,,Миколаївська,22.8
2021,,Одеська,21.5
2021,,Полтавська,20.4
2021,,Рівненська,17.6
2021,,Сумська,18.8
2021,,Тернопільська,18.1
2021,,Харківська,20.3
2021,,Херсонська,23.6
2021,,Хмельницька,21.0
2021,,Черкаська,20.6
2021,,Чернівецька,19.8
2021,,Чернігівська,18.9
2021,,м. Київ,12.8
2021,,м. Севастополь,
2022,,Україна,12.3
2022,міська,Україна,15.6
2022,сільська,Україна,6.5
2022,,Автономна Республіка Крим,
2022,,Вінницька,18.4
2022,,Волинська,10.7
2022,,Волинська,10.7
2022,,Дніпропетровська,17.8
2022,,Донецька,
2022,,Житомирська,16.0
2022,,Закарпатська,13.2
2022,,Запорізька,10.9
2022,,Івано-Франківська,14.2
2022,,Київська,15.7
2022,,Кіровоградська,16.9
2022,,Луганська,
2022,,Львівська,13.5
2022,,Миколаївська,17.1
2022,,Одеська,15.2
2022,,Полтавська,14.6
2022,,Рівненська,13.1
2022,,Сумська,14.0
2022,,Тернопільська,13.8
2022,,Харківська,12.6
2022,,Херсонська,6.4
2022,,Хмельницька,15.1
2022,,Черкаська,14.8
2022,,Чернівецька,14.3
2022,,Чернігівська,13.5
2022,,м. Київ,9.3
2022,,м. Севастополь,9.3
2023,,Україна,
2023,,Автономна Республіка Крим,
2023,,Вінницька,
2023,,Волинська,
2023,,Дніпропетровська,
2023,,Донецька,
2023,,Житомирська,
2023,,Закарпатська,
2023,,Запорізька,
2023,,Івано-Франківська,
2023,,Київська,
2023,,Кіровоградська,
2023,,Луганська,
2023,,Львівська,
2023,,Миколаївська,
2023,,Одеська,
2023,,Полтавська,
2023,,Рівненська,
2023,,Сумська,
2023,,Тернопільська,
2023,,Харківська,
2023,,Херсонська,
2023,,Хмельницька,
2023,,Черкаська,
2023,,Чернівецька,
2023,,Чернігівська,
2023,,м. Київ,
2023,,м. Севастополь,
2024,,Україна,
2024,,Автономна Республіка Крим,
2024,,Вінницька,
2024,,Волинська,
2024,,Дніпропетровська,
2024,,Донецька,
2024,,Житомирська,
2024,,Закарпатська,
2024,,Запорізька,
2024,,Івано-Франківська,
2024,,Київська,
2024,,Кіровоградська,
2024,,Луганська,
2024,,Львівська,
2024,,Миколаївська,
2024,,Одеська,
2024,,Полтавська,
2024,,Рівненська,
2024,,Сумська,
2024,,Тернопільська,
2024,,Харківська,
2024,,Херсонська,
2024,,Хмельницька,
2024,,Черкаська,
2024,,Чернівецька,
2024,,Чернігівська,
2024,,м. Київ,
2024,,м. Севастополь,
2011,,Автономна Республіка Крим,
2011,,Вінницька,
2011,,Волинська,13.7
2011,,Дніпропетровська,
2011,,Донецька,
2011,,Житомирська,
2011,,Закарпатська,
2011,,Запорізька,
2011,,Івано-Франківська,
2011,,Київська,
2011,,Кіровоградська,
2011,,Луганська,
2011,,Львівська,
2011,,Миколаївська,
2011,,Одеська,
2011,,Полтавська,
2011,,Рівненська,
2011,,Сумська,
2011,,Тернопільська,
2011,,Харківська,
2011,,Херсонська,
2011,,Хмельницька,
2011,,Черкаська,
2011,,Чернівецька,
2011,,Чернігівська,
2011,,м. Київ,
2011,,м. Севастополь,
